,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Disco Fries   Dee Roze, My World,unknown,0.0305,https://api.spotify.com/v1/audio-analysis/0iIDDRincaiAIpkz4K6Bbn,4A,0.603,182904.0,0.923,0iIDDRincaiAIpkz4K6Bbn,0.00414,5.0,0.109,-2.849,0.0,0.0801,122.973,4.0,https://api.spotify.com/v1/tracks/0iIDDRincaiAIpkz4K6Bbn,audio_features,spotify:track:0iIDDRincaiAIpkz4K6Bbn,0.507
1,Tiësto   Bright Sparks, On My Way,unknown,0.00856,https://api.spotify.com/v1/audio-analysis/1pWscEL17ssjbKXIS5nlQv,9B,0.634,183710.0,0.775,1pWscEL17ssjbKXIS5nlQv,0.0,7.0,0.28,-4.09,1.0,0.0346,123.977,4.0,https://api.spotify.com/v1/tracks/1pWscEL17ssjbKXIS5nlQv,audio_features,spotify:track:1pWscEL17ssjbKXIS5nlQv,0.539
2,Dimitri Vegas Like Mike, Leaves,unknown,0.992,https://api.spotify.com/v1/audio-analysis/34ZbY2k4aC8Eo5uVYbGAAp,4A,0.232,199160.0,0.117,34ZbY2k4aC8Eo5uVYbGAAp,0.0934,5.0,0.0895,-23.438,0.0,0.0358,106.818,5.0,https://api.spotify.com/v1/tracks/34ZbY2k4aC8Eo5uVYbGAAp,audio_features,spotify:track:34ZbY2k4aC8Eo5uVYbGAAp,0.116
3,Zonderling, Tunnel Vision ,Don Diablo Edit,0.234,https://api.spotify.com/v1/audio-analysis/5xL84TYVoMCJZc3ZIv50x4,4A,0.763,215476.0,0.913,5xL84TYVoMCJZc3ZIv50x4,0.453,5.0,0.11,-4.1,0.0,0.112,125.999,4.0,https://api.spotify.com/v1/tracks/5xL84TYVoMCJZc3ZIv50x4,audio_features,spotify:track:5xL84TYVoMCJZc3ZIv50x4,0.363
4,The Joy Formidable, A Heavy Abacus ,Qulinez Remix,0.000289,https://api.spotify.com/v1/audio-analysis/18bMfoScYmenFKMristSDI,11B,0.233,220267.0,0.936,18bMfoScYmenFKMristSDI,0.0875,9.0,0.153,-3.812,1.0,0.0758,179.069,4.0,https://api.spotify.com/v1/tracks/18bMfoScYmenFKMristSDI,audio_features,spotify:track:18bMfoScYmenFKMristSDI,0.29
5,MaxRiven, Rhythm Is A Dancer,unknown,0.000338,https://api.spotify.com/v1/audio-analysis/1hOqepMkASAFsthYTAgDkK,3A,0.693,190000.0,0.857,1hOqepMkASAFsthYTAgDkK,0.00727,10.0,0.69,-4.852,0.0,0.0602,127.978,4.0,https://api.spotify.com/v1/tracks/1hOqepMkASAFsthYTAgDkK,audio_features,spotify:track:1hOqepMkASAFsthYTAgDkK,0.109
6,The Dirty Code Skyknock   Bettina, Must Be More,unknown,0.0451,https://api.spotify.com/v1/audio-analysis/0N2D9nvmxozCLDnn6oE1HX,8B,0.579,178560.0,0.882,0N2D9nvmxozCLDnn6oE1HX,1.79e-06,0.0,0.127,-3.768,1.0,0.146,124.995,4.0,https://api.spotify.com/v1/tracks/0N2D9nvmxozCLDnn6oE1HX,audio_features,spotify:track:0N2D9nvmxozCLDnn6oE1HX,0.335
7,Ravitez, Musicbox,unknown,,,,,,,,,,,,,,,,,,,
8,Sikdope, Old School,unknown,0.023,https://api.spotify.com/v1/audio-analysis/7DASvReTFBrIsqFU2FY3Ds,11B,0.712,172500.0,0.946,7DASvReTFBrIsqFU2FY3Ds,0.445,9.0,0.12,-2.37,1.0,0.0954,127.965,4.0,https://api.spotify.com/v1/tracks/7DASvReTFBrIsqFU2FY3Ds,audio_features,spotify:track:7DASvReTFBrIsqFU2FY3Ds,0.398
9,Diplo AutoErotique, Waist Time,unknown,0.00931,https://api.spotify.com/v1/audio-analysis/0HUGkXVSRaLwRlhSRZzvOu,10B,0.715,198750.0,0.989,0HUGkXVSRaLwRlhSRZzvOu,0.109,2.0,0.0475,-1.723,1.0,0.194,128.054,4.0,https://api.spotify.com/v1/tracks/0HUGkXVSRaLwRlhSRZzvOu,audio_features,spotify:track:0HUGkXVSRaLwRlhSRZzvOu,0.674
10,Ed Sheeran, Shape Of You ,FIGHT CLVB Remix,0.581,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,12A,0.825,233713.0,0.652,7qiZfU4dY1lWllzX7mPBI3,0.0,1.0,0.0931,-3.183,0.0,0.0802,95.977,4.0,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,audio_features,spotify:track:7qiZfU4dY1lWllzX7mPBI3,0.931
11,Sophie Francis, Without You,unknown,0.0455,https://api.spotify.com/v1/audio-analysis/1VNZBQaIVYjtsKt4bqHE96,1A,0.778,210538.0,0.729,1VNZBQaIVYjtsKt4bqHE96,0.0,8.0,0.11,-4.45,0.0,0.116,105.084,4.0,https://api.spotify.com/v1/tracks/1VNZBQaIVYjtsKt4bqHE96,audio_features,spotify:track:1VNZBQaIVYjtsKt4bqHE96,0.401
12,3LAU Said The Sky   NÉONHÈART, Fire ,Price & Takis Remix,0.00383,https://api.spotify.com/v1/audio-analysis/51rldgwJawa5JVtWLeVMhc,11A,0.613,193552.0,0.925,51rldgwJawa5JVtWLeVMhc,1.52e-06,6.0,0.0913,-1.579,0.0,0.0622,154.908,4.0,https://api.spotify.com/v1/tracks/51rldgwJawa5JVtWLeVMhc,audio_features,spotify:track:51rldgwJawa5JVtWLeVMhc,0.467
13,Ardalan Justin Martin   Riton Kah,Lo ,Loud Luxury Bootleg,0.566,https://api.spotify.com/v1/audio-analysis/4nNXNhEoTrNrKHCAiy88JY,8A,0.762,169496.0,0.495,4nNXNhEoTrNrKHCAiy88JY,0.0,9.0,0.0658,-5.395,0.0,0.0408,107.518,3.0,https://api.spotify.com/v1/tracks/4nNXNhEoTrNrKHCAiy88JY,audio_features,spotify:track:4nNXNhEoTrNrKHCAiy88JY,0.932
14,Loud Luxury, ID,unknown,3.56e-05,https://api.spotify.com/v1/audio-analysis/1zdAxZ5B7Qnuz1C6ccHSHZ,4A,0.661,328258.0,0.9,1zdAxZ5B7Qnuz1C6ccHSHZ,0.779,5.0,0.285,-5.478,0.0,0.0552,128.01,4.0,https://api.spotify.com/v1/tracks/1zdAxZ5B7Qnuz1C6ccHSHZ,audio_features,spotify:track:1zdAxZ5B7Qnuz1C6ccHSHZ,0.0895
15,Borgeous Loud Luxury, Going Under,unknown,0.0474,https://api.spotify.com/v1/audio-analysis/0BSHH0asHMdca5NXesp0N9,11A,0.699,185000.0,0.967,0BSHH0asHMdca5NXesp0N9,0.00204,6.0,0.175,-1.879,0.0,0.0562,125.991,4.0,https://api.spotify.com/v1/tracks/0BSHH0asHMdca5NXesp0N9,audio_features,spotify:track:0BSHH0asHMdca5NXesp0N9,0.276
16,Loud Luxury, See It Again,unknown,,,,,,,,,,,,,,,,,,,
