,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Cosmic Gate, ID,unknown,0.975,https://api.spotify.com/v1/audio-analysis/11knscFduvPphTlaHebsE0,9B,0.402,319000.0,0.0763,11knscFduvPphTlaHebsE0,0.00895,7.0,0.484,-14.65,1.0,0.0356,123.643,4.0,https://api.spotify.com/v1/tracks/11knscFduvPphTlaHebsE0,audio_features,spotify:track:11knscFduvPphTlaHebsE0,0.133
1,Cosmic Gate, ID,unknown,0.975,https://api.spotify.com/v1/audio-analysis/11knscFduvPphTlaHebsE0,9B,0.402,319000.0,0.0763,11knscFduvPphTlaHebsE0,0.00895,7.0,0.484,-14.65,1.0,0.0356,123.643,4.0,https://api.spotify.com/v1/tracks/11knscFduvPphTlaHebsE0,audio_features,spotify:track:11knscFduvPphTlaHebsE0,0.133
2,Cosmic Gate Orjan Nilsen, Fair Game,unknown,0.00942,https://api.spotify.com/v1/audio-analysis/4jWjF3KxBuCYiyXj1SkMvs,4A,0.615,296250.0,0.971,4jWjF3KxBuCYiyXj1SkMvs,0.916,5.0,0.0509,-4.456,0.0,0.0507,127.964,4.0,https://api.spotify.com/v1/tracks/4jWjF3KxBuCYiyXj1SkMvs,audio_features,spotify:track:4jWjF3KxBuCYiyXj1SkMvs,0.338
3,Cosmic Gate Eric Lumiere, Edge Of Life,unknown,0.00557,https://api.spotify.com/v1/audio-analysis/4tz0zAKu4fjaCS0D2MA38y,4A,0.532,197995.0,0.76,4tz0zAKu4fjaCS0D2MA38y,1.7e-06,5.0,0.122,-4.249,0.0,0.0561,128.114,4.0,https://api.spotify.com/v1/tracks/4tz0zAKu4fjaCS0D2MA38y,audio_features,spotify:track:4tz0zAKu4fjaCS0D2MA38y,0.181
4,Cosmic Gate JES, Fall Into You,unknown,0.0692,https://api.spotify.com/v1/audio-analysis/3bAVKXu6RouQXlnRfuvfLC,1A,0.486,208154.0,0.632,3bAVKXu6RouQXlnRfuvfLC,0.000278,8.0,0.0857,-6.509,0.0,0.0849,127.814,4.0,https://api.spotify.com/v1/tracks/3bAVKXu6RouQXlnRfuvfLC,audio_features,spotify:track:3bAVKXu6RouQXlnRfuvfLC,0.23
5,Cosmic Gate Ferry Corsten, Dynamic,unknown,0.00833,https://api.spotify.com/v1/audio-analysis/3tHnn2sR4KKyHphcZMvTbO,9B,0.571,199000.0,0.903,3tHnn2sR4KKyHphcZMvTbO,0.9,7.0,0.129,-6.149,1.0,0.0549,127.987,3.0,https://api.spotify.com/v1/tracks/3tHnn2sR4KKyHphcZMvTbO,audio_features,spotify:track:3tHnn2sR4KKyHphcZMvTbO,0.44
6,Grum, Shout,unknown,0.00046,https://api.spotify.com/v1/audio-analysis/1LunC142mMFR10ZnlJGhhW,7A,0.592,245013.0,0.896,1LunC142mMFR10ZnlJGhhW,0.493,2.0,0.228,-8.213,0.0,0.0574,126.12,4.0,https://api.spotify.com/v1/tracks/1LunC142mMFR10ZnlJGhhW,audio_features,spotify:track:1LunC142mMFR10ZnlJGhhW,0.291
7,Chicane, Saltwater ,Kryder Remix,0.00624,https://api.spotify.com/v1/audio-analysis/5RJuGM4Was9jZUWy80rWOV,4A,0.551,214854.0,0.907,5RJuGM4Was9jZUWy80rWOV,0.849,5.0,0.691,-8.399,0.0,0.0502,126.019,4.0,https://api.spotify.com/v1/tracks/5RJuGM4Was9jZUWy80rWOV,audio_features,spotify:track:5RJuGM4Was9jZUWy80rWOV,0.23
8,Cosmic Gate, am2pm,unknown,0.0409,https://api.spotify.com/v1/audio-analysis/3RJe4I37nHsuKJGCFvpUO2,12B,0.515,182731.0,0.955,3RJe4I37nHsuKJGCFvpUO2,0.915,4.0,0.104,-5.723,1.0,0.0483,127.994,4.0,https://api.spotify.com/v1/tracks/3RJe4I37nHsuKJGCFvpUO2,audio_features,spotify:track:3RJe4I37nHsuKJGCFvpUO2,0.2
9,Cosmic Gate Emma Hewitt, Tonight,unknown,0.141,https://api.spotify.com/v1/audio-analysis/3Suvh7EDt3lsFfHq3olSVd,9B,0.624,191467.0,0.657,3Suvh7EDt3lsFfHq3olSVd,7.56e-06,7.0,0.271,-6.229,1.0,0.0497,129.973,4.0,https://api.spotify.com/v1/tracks/3Suvh7EDt3lsFfHq3olSVd,audio_features,spotify:track:3Suvh7EDt3lsFfHq3olSVd,0.152
10,Cosmic Gate, ID,unknown,0.975,https://api.spotify.com/v1/audio-analysis/11knscFduvPphTlaHebsE0,9B,0.402,319000.0,0.0763,11knscFduvPphTlaHebsE0,0.00895,7.0,0.484,-14.65,1.0,0.0356,123.643,4.0,https://api.spotify.com/v1/tracks/11knscFduvPphTlaHebsE0,audio_features,spotify:track:11knscFduvPphTlaHebsE0,0.133
11,Darude, Sandstorm ,Mark Sixma Bootleg,0.169,https://api.spotify.com/v1/audio-analysis/24CXuh2WNpgeSYUOvz14jk,10A,0.539,225373.0,0.98,24CXuh2WNpgeSYUOvz14jk,0.982,11.0,0.084,-8.18,0.0,0.0469,136.087,4.0,https://api.spotify.com/v1/tracks/24CXuh2WNpgeSYUOvz14jk,audio_features,spotify:track:24CXuh2WNpgeSYUOvz14jk,0.522
