,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Cosmic Gate JES, Materia ,Intro Mix,0.00356,https://api.spotify.com/v1/audio-analysis/3KMivOa6Y82wbdzHqi9IxN,8A,0.64,389996.0,0.842,3KMivOa6Y82wbdzHqi9IxN,0.696,9.0,0.0657,-6.885,0.0,0.0699,127.999,4.0,https://api.spotify.com/v1/tracks/3KMivOa6Y82wbdzHqi9IxN,audio_features,spotify:track:3KMivOa6Y82wbdzHqi9IxN,0.0958
1,Cosmic Gate Super8 Tab, Noom,unknown,0.00394,https://api.spotify.com/v1/audio-analysis/0apWRGD98dfrtW0QEu4mhD,6B,0.557,303742.0,0.847,0apWRGD98dfrtW0QEu4mhD,0.395,10.0,0.357,-9.23,1.0,0.0501,128.034,4.0,https://api.spotify.com/v1/tracks/0apWRGD98dfrtW0QEu4mhD,audio_features,spotify:track:0apWRGD98dfrtW0QEu4mhD,0.277
2,Cosmic Gate Ørjan Nilsen, Fair Game,unknown,0.00942,https://api.spotify.com/v1/audio-analysis/4jWjF3KxBuCYiyXj1SkMvs,4A,0.615,296250.0,0.971,4jWjF3KxBuCYiyXj1SkMvs,0.916,5.0,0.0509,-4.456,0.0,0.0507,127.964,4.0,https://api.spotify.com/v1/tracks/4jWjF3KxBuCYiyXj1SkMvs,audio_features,spotify:track:4jWjF3KxBuCYiyXj1SkMvs,0.338
3,Cosmic Gate   Eric Lumiere, Edge Of Life,unknown,0.00557,https://api.spotify.com/v1/audio-analysis/4tz0zAKu4fjaCS0D2MA38y,4A,0.532,197995.0,0.76,4tz0zAKu4fjaCS0D2MA38y,1.7e-06,5.0,0.122,-4.249,0.0,0.0561,128.114,4.0,https://api.spotify.com/v1/tracks/4tz0zAKu4fjaCS0D2MA38y,audio_features,spotify:track:4tz0zAKu4fjaCS0D2MA38y,0.181
4,M.I.K.E. pres. Push, Strange World ,Andrew Bayer Remix,0.000296,https://api.spotify.com/v1/audio-analysis/5bRiDL7abJrHNWKbIeOjiJ,10A,0.488,173143.0,0.959,5bRiDL7abJrHNWKbIeOjiJ,0.954,11.0,0.351,-6.606,0.0,0.0511,140.039,4.0,https://api.spotify.com/v1/tracks/5bRiDL7abJrHNWKbIeOjiJ,audio_features,spotify:track:5bRiDL7abJrHNWKbIeOjiJ,0.476
5,Cosmic Gate JES, Fall Into You,unknown,0.0692,https://api.spotify.com/v1/audio-analysis/3bAVKXu6RouQXlnRfuvfLC,1A,0.486,208154.0,0.632,3bAVKXu6RouQXlnRfuvfLC,0.000278,8.0,0.0857,-6.509,0.0,0.0849,127.814,4.0,https://api.spotify.com/v1/tracks/3bAVKXu6RouQXlnRfuvfLC,audio_features,spotify:track:3bAVKXu6RouQXlnRfuvfLC,0.23
6,Cosmic Gate Ilan Bluestone, Spectrum,unknown,0.000667,https://api.spotify.com/v1/audio-analysis/2E0Abd5ttOU8WS6y0KgmSz,1A,0.543,254764.0,0.918,2E0Abd5ttOU8WS6y0KgmSz,0.882,8.0,0.238,-8.782,0.0,0.152,129.993,4.0,https://api.spotify.com/v1/tracks/2E0Abd5ttOU8WS6y0KgmSz,audio_features,spotify:track:2E0Abd5ttOU8WS6y0KgmSz,0.192
7,Chicane   Moya Brennan, Saltwater ,Kryder Remix,0.01,https://api.spotify.com/v1/audio-analysis/3JEcGSosEy238cpB61fv7h,4A,0.351,244048.0,0.924,3JEcGSosEy238cpB61fv7h,0.929,5.0,0.0396,-3.687,0.0,0.0531,125.967,4.0,https://api.spotify.com/v1/tracks/3JEcGSosEy238cpB61fv7h,audio_features,spotify:track:3JEcGSosEy238cpB61fv7h,0.586
8,Cosmic Gate, am2pm,unknown,0.0409,https://api.spotify.com/v1/audio-analysis/3RJe4I37nHsuKJGCFvpUO2,12B,0.515,182731.0,0.955,3RJe4I37nHsuKJGCFvpUO2,0.915,4.0,0.104,-5.723,1.0,0.0483,127.994,4.0,https://api.spotify.com/v1/tracks/3RJe4I37nHsuKJGCFvpUO2,audio_features,spotify:track:3RJe4I37nHsuKJGCFvpUO2,0.2
9,Cosmic Gate   Emma Hewitt, Tonight,unknown,0.141,https://api.spotify.com/v1/audio-analysis/3Suvh7EDt3lsFfHq3olSVd,9B,0.624,191467.0,0.657,3Suvh7EDt3lsFfHq3olSVd,7.56e-06,7.0,0.271,-6.229,1.0,0.0497,129.973,4.0,https://api.spotify.com/v1/tracks/3Suvh7EDt3lsFfHq3olSVd,audio_features,spotify:track:3Suvh7EDt3lsFfHq3olSVd,0.152
