,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,DJ Snake, Intro ,A86,0.749,https://api.spotify.com/v1/audio-analysis/21yo11TFsfpDtuYyCbqhZS,8A,0.453,83400.0,0.38,21yo11TFsfpDtuYyCbqhZS,1.62e-06,9.0,0.145,-7.914,0.0,0.0298,99.893,4.0,https://api.spotify.com/v1/tracks/21yo11TFsfpDtuYyCbqhZS,audio_features,spotify:track:21yo11TFsfpDtuYyCbqhZS,0.158
1,DJ Snake, Middle ,feat. Bipolar Sunshine,0.0971,https://api.spotify.com/v1/audio-analysis/4rQKBjSOixDZxspUiveiRd,9B,0.68,182979.0,0.877,4rQKBjSOixDZxspUiveiRd,3.14e-06,7.0,0.135,-3.837,1.0,0.374,130.056,4.0,https://api.spotify.com/v1/tracks/4rQKBjSOixDZxspUiveiRd,audio_features,spotify:track:4rQKBjSOixDZxspUiveiRd,0.848
2,DJ Snake, Sahara ,feat. Skrillex,0.00068,https://api.spotify.com/v1/audio-analysis/5GokpIAufFJxKqkJgRtdKD,8A,0.596,258347.0,0.929,5GokpIAufFJxKqkJgRtdKD,0.338,9.0,0.0731,-1.366,0.0,0.0321,102.977,4.0,https://api.spotify.com/v1/tracks/5GokpIAufFJxKqkJgRtdKD,audio_features,spotify:track:5GokpIAufFJxKqkJgRtdKD,0.113
3,DJ Snake, Sober ,feat. JRY,0.0621,https://api.spotify.com/v1/audio-analysis/6NsxPxFzZ18TKBcTgxX3dh,5A,0.585,206667.0,0.929,6NsxPxFzZ18TKBcTgxX3dh,0.0,0.0,0.103,-3.448,0.0,0.183,125.895,4.0,https://api.spotify.com/v1/tracks/6NsxPxFzZ18TKBcTgxX3dh,audio_features,spotify:track:6NsxPxFzZ18TKBcTgxX3dh,0.338
4,DJ Snake, Pigalle ,feat. Moksi,0.000238,https://api.spotify.com/v1/audio-analysis/6GTxdh4FiA8XyCLFK1vvgG,10A,0.629,263107.0,0.873,6GTxdh4FiA8XyCLFK1vvgG,0.00127,11.0,0.0999,-4.959,0.0,0.0502,135.001,4.0,https://api.spotify.com/v1/tracks/6GTxdh4FiA8XyCLFK1vvgG,audio_features,spotify:track:6GTxdh4FiA8XyCLFK1vvgG,0.103
5,DJ Snake, Talk ,feat. George Mapple,0.0074,https://api.spotify.com/v1/audio-analysis/5Mf84BbHYdrewDABZOH5H6,9B,0.647,237960.0,0.817,5Mf84BbHYdrewDABZOH5H6,0.0,7.0,0.124,-4.466,1.0,0.0814,118.082,4.0,https://api.spotify.com/v1/tracks/5Mf84BbHYdrewDABZOH5H6,audio_features,spotify:track:5Mf84BbHYdrewDABZOH5H6,0.277
6,DJ Snake, Ocho Cinco ,feat. Yellow Claw,0.0017,https://api.spotify.com/v1/audio-analysis/7LWPWw7PtYHrDn194kNCPA,3B,0.556,222000.0,0.943,7LWPWw7PtYHrDn194kNCPA,0.0676,1.0,0.0747,-2.115,1.0,0.15,150.031,4.0,https://api.spotify.com/v1/tracks/7LWPWw7PtYHrDn194kNCPA,audio_features,spotify:track:7LWPWw7PtYHrDn194kNCPA,0.396
7,DJ Snake, The Half ,"feat. Jeremih, Young Thug & Swizz Beatz",0.0113,https://api.spotify.com/v1/audio-analysis/69bDRy5MeWQl1lNeEJQIBE,1B,0.705,217373.0,0.705,69bDRy5MeWQl1lNeEJQIBE,0.0,11.0,0.643,-3.393,1.0,0.12,170.031,4.0,https://api.spotify.com/v1/tracks/69bDRy5MeWQl1lNeEJQIBE,audio_features,spotify:track:69bDRy5MeWQl1lNeEJQIBE,0.445
8,DJ Snake, Oh Me ,"feat. Travis Scott, The Migos & G4shi",0.0249,https://api.spotify.com/v1/audio-analysis/56urRCfhQX5H3tfGt6q3uU,9A,0.681,256320.0,0.658,56urRCfhQX5H3tfGt6q3uU,0.0,4.0,0.156,-4.242,0.0,0.0574,119.962,4.0,https://api.spotify.com/v1/tracks/56urRCfhQX5H3tfGt6q3uU,audio_features,spotify:track:56urRCfhQX5H3tfGt6q3uU,0.0399
9,DJ Snake, Propaganda,unknown,0.00216,https://api.spotify.com/v1/audio-analysis/7sn0OyaKn1XKx18JjUZkSw,3B,0.66,249600.0,0.926,7sn0OyaKn1XKx18JjUZkSw,0.698,1.0,0.705,-3.997,1.0,0.0927,150.239,4.0,https://api.spotify.com/v1/tracks/7sn0OyaKn1XKx18JjUZkSw,audio_features,spotify:track:7sn0OyaKn1XKx18JjUZkSw,0.25
10,DJ Snake, 4 Life ,feat. G4shi,0.56,https://api.spotify.com/v1/audio-analysis/2cs9NbGdcutSqoy0SEmyuY,11A,0.585,213240.0,0.59,2cs9NbGdcutSqoy0SEmyuY,8.67e-06,6.0,0.118,-5.903,0.0,0.0394,129.993,4.0,https://api.spotify.com/v1/tracks/2cs9NbGdcutSqoy0SEmyuY,audio_features,spotify:track:2cs9NbGdcutSqoy0SEmyuY,0.193
11,DJ Snake, Future Pt 2 ,feat. Bipolar Sunshine,0.0587,https://api.spotify.com/v1/audio-analysis/5PsLICW9HfBbHZ64TT1liT,9A,0.8,222413.0,0.645,5PsLICW9HfBbHZ64TT1liT,4.69e-05,4.0,0.171,-6.928,0.0,0.0434,115.988,4.0,https://api.spotify.com/v1/tracks/5PsLICW9HfBbHZ64TT1liT,audio_features,spotify:track:5PsLICW9HfBbHZ64TT1liT,0.437
12,DJ Snake, Let Me Love You ,feat. Justin Bieber,0.0771,https://api.spotify.com/v1/audio-analysis/0lYBSQXN6rCTvUZvg9S0lU,4B,0.652,205947.0,0.713,0lYBSQXN6rCTvUZvg9S0lU,1.02e-05,8.0,0.144,-5.311,1.0,0.0368,100.023,4.0,https://api.spotify.com/v1/tracks/0lYBSQXN6rCTvUZvg9S0lU,audio_features,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,0.152
13,DJ Snake, Here Come The Night ,feat. Mr Hudson,,,,,,,,,,,,,,,,,,,
