,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,DISKORD, The Maze,unknown,,,,,,,,,,,,,,,,,,,
1,DVBBS, 24k,unknown,0.00335,https://api.spotify.com/v1/audio-analysis/33qJwWQzCnoEex3bZJIsKU,4A,0.589,187285.0,0.978,33qJwWQzCnoEex3bZJIsKU,0.204,5.0,0.606,-3.463,0.0,0.078,149.992,4.0,https://api.spotify.com/v1/tracks/33qJwWQzCnoEex3bZJIsKU,audio_features,spotify:track:33qJwWQzCnoEex3bZJIsKU,0.339
2,Zomboy, Terror Squad ,Bro Safari & Ricky Remedy Remix,0.000833,https://api.spotify.com/v1/audio-analysis/2yTTVFwrD7a4liRK2bvflX,6B,0.57,183344.0,0.942,2yTTVFwrD7a4liRK2bvflX,0.623,10.0,0.27,-3.932,1.0,0.046,145.092,4.0,https://api.spotify.com/v1/tracks/2yTTVFwrD7a4liRK2bvflX,audio_features,spotify:track:2yTTVFwrD7a4liRK2bvflX,0.31
3,w/ DVBBS Dropgun   Sanjin, Pyramids ,Acapella,0.743,https://api.spotify.com/v1/audio-analysis/1vv30K4hKpDZZY2NouSIwZ,10B,0.578,310267.0,0.488,1vv30K4hKpDZZY2NouSIwZ,0.843,2.0,0.111,-17.574,1.0,0.0375,112.014,4.0,https://api.spotify.com/v1/tracks/1vv30K4hKpDZZY2NouSIwZ,audio_features,spotify:track:1vv30K4hKpDZZY2NouSIwZ,0.437
4,DVBBS BORGEOUS, Tsunami ,Jay Cosmic Remix / Borgeous Edit,0.049,https://api.spotify.com/v1/audio-analysis/3felG0BIvmmOoCIeE2A5vq,9A,0.698,236827.0,0.838,3felG0BIvmmOoCIeE2A5vq,0.758,4.0,0.0892,-5.371,0.0,0.0499,128.004,4.0,https://api.spotify.com/v1/tracks/3felG0BIvmmOoCIeE2A5vq,audio_features,spotify:track:3felG0BIvmmOoCIeE2A5vq,0.289
5,4B Aazar, Pop Dat,unknown,0.00441,https://api.spotify.com/v1/audio-analysis/5mvXiroNv8swMbCaKOwuuN,3B,0.63,224052.0,0.851,5mvXiroNv8swMbCaKOwuuN,0.0218,1.0,0.0939,-4.61,1.0,0.319,150.054,4.0,https://api.spotify.com/v1/tracks/5mvXiroNv8swMbCaKOwuuN,audio_features,spotify:track:5mvXiroNv8swMbCaKOwuuN,0.573
6,MANDY, Gimme Your Love,unknown,0.0379,https://api.spotify.com/v1/audio-analysis/7ankTCpadkvKvjPsDmBR3h,8B,0.524,197850.0,0.979,7ankTCpadkvKvjPsDmBR3h,6.84e-05,0.0,0.0692,-3.122,1.0,0.0671,150.056,4.0,https://api.spotify.com/v1/tracks/7ankTCpadkvKvjPsDmBR3h,audio_features,spotify:track:7ankTCpadkvKvjPsDmBR3h,0.258
7,Hard Driver, Dope,unknown,0.17,https://api.spotify.com/v1/audio-analysis/0vvlBGa36cdA7D8nDAJKIG,10A,0.54,161864.0,0.962,0vvlBGa36cdA7D8nDAJKIG,4.76e-05,11.0,0.178,-2.558,0.0,0.188,153.138,4.0,https://api.spotify.com/v1/tracks/0vvlBGa36cdA7D8nDAJKIG,audio_features,spotify:track:0vvlBGa36cdA7D8nDAJKIG,0.287
8,GRAVEDGR, Jesse James,unknown,0.000845,https://api.spotify.com/v1/audio-analysis/5MEgfTEmK5KeRAoQo6W5rM,3B,0.583,206871.0,0.972,5MEgfTEmK5KeRAoQo6W5rM,0.708,1.0,0.0945,-2.392,1.0,0.0933,159.989,4.0,https://api.spotify.com/v1/tracks/5MEgfTEmK5KeRAoQo6W5rM,audio_features,spotify:track:5MEgfTEmK5KeRAoQo6W5rM,0.329
9,Kompany Wooli, Briddim Bomb,unknown,0.022,https://api.spotify.com/v1/audio-analysis/6h32WeRmpk06DZd5i9jJz1,8B,0.578,211200.0,0.974,6h32WeRmpk06DZd5i9jJz1,0.000178,0.0,0.0938,-2.999,1.0,0.515,74.97,4.0,https://api.spotify.com/v1/tracks/6h32WeRmpk06DZd5i9jJz1,audio_features,spotify:track:6h32WeRmpk06DZd5i9jJz1,0.106
10,Dropgun Jesse Wilde, Uluwatu,unknown,0.00159,https://api.spotify.com/v1/audio-analysis/7yYLIIScUpH76gDKUyFahn,11A,0.307,157447.0,0.946,7yYLIIScUpH76gDKUyFahn,0.608,6.0,0.0842,-1.826,0.0,0.07,139.877,4.0,https://api.spotify.com/v1/tracks/7yYLIIScUpH76gDKUyFahn,audio_features,spotify:track:7yYLIIScUpH76gDKUyFahn,0.0943
11,DVBBS X Ido B Zooki, Drop It,unknown,0.118,https://api.spotify.com/v1/audio-analysis/2N0obTrZDLmIEzUgO0PRNh,9B,0.785,391510.0,0.706,2N0obTrZDLmIEzUgO0PRNh,0.886,7.0,0.107,-9.801,1.0,0.0791,121.993,4.0,https://api.spotify.com/v1/tracks/2N0obTrZDLmIEzUgO0PRNh,audio_features,spotify:track:2N0obTrZDLmIEzUgO0PRNh,0.577
12,Future, Mask Off,unknown,0.0102,https://api.spotify.com/v1/audio-analysis/0VgkVdmE4gld66l8iyGjgx,10B,0.833,204600.0,0.434,0VgkVdmE4gld66l8iyGjgx,0.0219,2.0,0.165,-8.795,1.0,0.431,150.062,4.0,https://api.spotify.com/v1/tracks/0VgkVdmE4gld66l8iyGjgx,audio_features,spotify:track:0VgkVdmE4gld66l8iyGjgx,0.281
13,w/ NGHTMRE, Burn Out,unknown,0.00682,https://api.spotify.com/v1/audio-analysis/281msiMhzgb1WIJXxijLRa,10B,0.573,229600.0,0.827,281msiMhzgb1WIJXxijLRa,0.00296,2.0,0.663,-5.572,1.0,0.0578,150.047,4.0,https://api.spotify.com/v1/tracks/281msiMhzgb1WIJXxijLRa,audio_features,spotify:track:281msiMhzgb1WIJXxijLRa,0.0857
14,Dash Berlin   Do, Heaven ,DJ Isaac Remix,0.0251,https://api.spotify.com/v1/audio-analysis/6If6tXpbwYs5zBop1AqfwG,5A,0.3,198010.0,0.897,6If6tXpbwYs5zBop1AqfwG,0.0,0.0,0.328,-1.6,0.0,0.0481,150.062,3.0,https://api.spotify.com/v1/tracks/6If6tXpbwYs5zBop1AqfwG,audio_features,spotify:track:6If6tXpbwYs5zBop1AqfwG,0.237
15,MOTi, Earthquake,unknown,0.00286,https://api.spotify.com/v1/audio-analysis/4Z1YitnjpOY8sTsWBmoNBF,4A,0.747,188800.0,0.939,4Z1YitnjpOY8sTsWBmoNBF,0.693,5.0,0.105,-4.313,0.0,0.107,150.005,4.0,https://api.spotify.com/v1/tracks/4Z1YitnjpOY8sTsWBmoNBF,audio_features,spotify:track:4Z1YitnjpOY8sTsWBmoNBF,0.677
