,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,DVBBS GTA   Chris Marshall, Fiya Blaza ,Working Title,0.083,https://api.spotify.com/v1/audio-analysis/2Rpyj5kA3jAyQeLOm1s40H,4A,0.589,217815.0,0.95,2Rpyj5kA3jAyQeLOm1s40H,1.45e-05,5.0,0.0735,-2.388,0.0,0.0715,155.058,4.0,https://api.spotify.com/v1/tracks/2Rpyj5kA3jAyQeLOm1s40H,audio_features,spotify:track:2Rpyj5kA3jAyQeLOm1s40H,0.686
1,Cesqeaux KAYZO, Home,unknown,0.00841,https://api.spotify.com/v1/audio-analysis/4p1LSwxdx2qgtK8v8NH2YE,8A,0.601,185562.0,0.947,4p1LSwxdx2qgtK8v8NH2YE,0.0317,9.0,0.114,-5.243,0.0,0.0623,149.99,4.0,https://api.spotify.com/v1/tracks/4p1LSwxdx2qgtK8v8NH2YE,audio_features,spotify:track:4p1LSwxdx2qgtK8v8NH2YE,0.344
2,4B Aazar, Pop Dat,unknown,0.00441,https://api.spotify.com/v1/audio-analysis/5mvXiroNv8swMbCaKOwuuN,3B,0.63,224052.0,0.851,5mvXiroNv8swMbCaKOwuuN,0.0218,1.0,0.0939,-4.61,1.0,0.319,150.054,4.0,https://api.spotify.com/v1/tracks/5mvXiroNv8swMbCaKOwuuN,audio_features,spotify:track:5mvXiroNv8swMbCaKOwuuN,0.573
3,Slander NGHTMRE, Gud Vibrations,unknown,0.000208,https://api.spotify.com/v1/audio-analysis/2BVUOGciUUUqOPSLtHwLGp,4B,0.514,224211.0,0.924,2BVUOGciUUUqOPSLtHwLGp,0.805,8.0,0.0684,-5.417,1.0,0.052,151.994,4.0,https://api.spotify.com/v1/tracks/2BVUOGciUUUqOPSLtHwLGp,audio_features,spotify:track:2BVUOGciUUUqOPSLtHwLGp,0.0675
4,w/ DVBBS Shaun Frank   Delaney Jane, La La Land ,Acapella,0.061,https://api.spotify.com/v1/audio-analysis/6YIWXrjPyaxjO96yz5ccg3,5A,0.667,205671.0,0.799,6YIWXrjPyaxjO96yz5ccg3,1.27e-05,0.0,0.106,-5.366,0.0,0.0728,139.988,4.0,https://api.spotify.com/v1/tracks/6YIWXrjPyaxjO96yz5ccg3,audio_features,spotify:track:6YIWXrjPyaxjO96yz5ccg3,0.475
5,Corona, Rhythm Of The Night,unknown,0.000232,https://api.spotify.com/v1/audio-analysis/0ofMkI3jzmGCElAOgOLeo3,4A,0.69,264280.0,0.805,0ofMkI3jzmGCElAOgOLeo3,0.739,5.0,0.095,-11.522,0.0,0.0336,127.808,4.0,https://api.spotify.com/v1/tracks/0ofMkI3jzmGCElAOgOLeo3,audio_features,spotify:track:0ofMkI3jzmGCElAOgOLeo3,0.799
6,w/ Jewelz Sparks, Crank,unknown,0.00542,https://api.spotify.com/v1/audio-analysis/6XPxhu9b70wxelrjNIrc9Y,3A,0.693,172500.0,0.982,6XPxhu9b70wxelrjNIrc9Y,0.253,10.0,0.0432,-1.587,0.0,0.399,127.988,4.0,https://api.spotify.com/v1/tracks/6XPxhu9b70wxelrjNIrc9Y,audio_features,spotify:track:6XPxhu9b70wxelrjNIrc9Y,0.0435
7,Sander Van Doorn Martin Garrix DVBBS   Aleesia, Gold Skies,unknown,0.00426,https://api.spotify.com/v1/audio-analysis/5vQIaNoKsT4xkG1j2KFBFs,8A,0.562,328213.0,0.815,5vQIaNoKsT4xkG1j2KFBFs,0.0615,9.0,0.664,-6.322,0.0,0.046,128.02,4.0,https://api.spotify.com/v1/tracks/5vQIaNoKsT4xkG1j2KFBFs,audio_features,spotify:track:5vQIaNoKsT4xkG1j2KFBFs,0.196
8,w/ The Weeknd, Can't Feel My Face ,Martin Garrix Remix,0.000867,https://api.spotify.com/v1/audio-analysis/4dZEkHDfbTIOWaO5RP3F8e,8A,0.231,201107.0,0.855,4dZEkHDfbTIOWaO5RP3F8e,0.0,9.0,0.289,-6.288,0.0,0.0589,108.089,4.0,https://api.spotify.com/v1/tracks/4dZEkHDfbTIOWaO5RP3F8e,audio_features,spotify:track:4dZEkHDfbTIOWaO5RP3F8e,0.316
9,w/ Sander Van Doorn Martin Garrix DVBBS   Aleesia, Gold Skies ,Tiësto Remix,0.00426,https://api.spotify.com/v1/audio-analysis/5vQIaNoKsT4xkG1j2KFBFs,8A,0.562,328213.0,0.815,5vQIaNoKsT4xkG1j2KFBFs,0.0615,9.0,0.664,-6.322,0.0,0.046,128.02,4.0,https://api.spotify.com/v1/tracks/5vQIaNoKsT4xkG1j2KFBFs,audio_features,spotify:track:5vQIaNoKsT4xkG1j2KFBFs,0.196
10,Dillon Francis NGHTMRE, Need You ,Party Thieves Festival Trap Remix,0.00171,https://api.spotify.com/v1/audio-analysis/20UdW4qyeOmKa9YaOcv9WX,9A,0.721,197442.0,0.925,20UdW4qyeOmKa9YaOcv9WX,0.0545,4.0,0.547,-3.208,0.0,0.196,111.961,4.0,https://api.spotify.com/v1/tracks/20UdW4qyeOmKa9YaOcv9WX,audio_features,spotify:track:20UdW4qyeOmKa9YaOcv9WX,0.37
11,w/ DVBBS MOTi, Switch,unknown,0.104,https://api.spotify.com/v1/audio-analysis/3GpwYKLk0Xk5pWbPmjhckt,7B,0.784,106573.0,0.667,3GpwYKLk0Xk5pWbPmjhckt,0.916,5.0,0.0728,-18.212,1.0,0.0657,120.011,4.0,https://api.spotify.com/v1/tracks/3GpwYKLk0Xk5pWbPmjhckt,audio_features,spotify:track:3GpwYKLk0Xk5pWbPmjhckt,0.731
12,w/ 4B, Hold Up ,D-John Remix,0.0725,https://api.spotify.com/v1/audio-analysis/6lIxcFi14FWdMtfMxvUoZp,8B,0.792,188480.0,0.813,6lIxcFi14FWdMtfMxvUoZp,0.0,0.0,0.058,-3.513,1.0,0.276,187.964,4.0,https://api.spotify.com/v1/tracks/6lIxcFi14FWdMtfMxvUoZp,audio_features,spotify:track:6lIxcFi14FWdMtfMxvUoZp,0.891
13,DVBBS VINAI, Raveology ,Hunter Siegel Remix,0.0164,https://api.spotify.com/v1/audio-analysis/5qDy5v2Ci15FB4WlGUcSNh,11B,0.634,262515.0,0.99,5qDy5v2Ci15FB4WlGUcSNh,0.785,9.0,0.0837,-3.035,1.0,0.0714,127.98,4.0,https://api.spotify.com/v1/tracks/5qDy5v2Ci15FB4WlGUcSNh,audio_features,spotify:track:5qDy5v2Ci15FB4WlGUcSNh,0.573
14,w/ DVBBS VINAI, Raveology,unknown,0.0164,https://api.spotify.com/v1/audio-analysis/5qDy5v2Ci15FB4WlGUcSNh,11B,0.634,262515.0,0.99,5qDy5v2Ci15FB4WlGUcSNh,0.785,9.0,0.0837,-3.035,1.0,0.0714,127.98,4.0,https://api.spotify.com/v1/tracks/5qDy5v2Ci15FB4WlGUcSNh,audio_features,spotify:track:5qDy5v2Ci15FB4WlGUcSNh,0.573
15,w/ BURNS, Make It Clap,unknown,0.0605,https://api.spotify.com/v1/audio-analysis/5qZwojXruBFh3dqYFVz0BA,8B,0.852,220955.0,0.972,5qZwojXruBFh3dqYFVz0BA,0.588,0.0,0.285,-3.505,1.0,0.123,125.985,4.0,https://api.spotify.com/v1/tracks/5qZwojXruBFh3dqYFVz0BA,audio_features,spotify:track:5qZwojXruBFh3dqYFVz0BA,0.468
16,DVBBS, Ur On My Mind,unknown,0.0393,https://api.spotify.com/v1/audio-analysis/6cXrFTx5N4IM5tVffUwzGI,9B,0.512,211156.0,0.922,6cXrFTx5N4IM5tVffUwzGI,0.000435,7.0,0.429,-2.13,1.0,0.0564,128.054,4.0,https://api.spotify.com/v1/tracks/6cXrFTx5N4IM5tVffUwzGI,audio_features,spotify:track:6cXrFTx5N4IM5tVffUwzGI,0.412
17,w/ Bob Marley, Is This Love ,Acapella,0.0595,https://api.spotify.com/v1/audio-analysis/1S8m1YDH9WKH7HngBxRLph,7B,0.923,263036.0,0.416,1S8m1YDH9WKH7HngBxRLph,0.0009,5.0,0.0969,-13.458,1.0,0.0652,119.99,4.0,https://api.spotify.com/v1/tracks/1S8m1YDH9WKH7HngBxRLph,audio_features,spotify:track:1S8m1YDH9WKH7HngBxRLph,0.695
18,Dimitri Vegas Like Mike   DVBBS Borgeous, Stampede,unknown,0.00134,https://api.spotify.com/v1/audio-analysis/6nsP6Cgov9ZV46fZG3AMcw,9A,0.647,257062.0,0.52,6nsP6Cgov9ZV46fZG3AMcw,0.898,4.0,0.0612,-3.759,0.0,0.0532,128.022,4.0,https://api.spotify.com/v1/tracks/6nsP6Cgov9ZV46fZG3AMcw,audio_features,spotify:track:6nsP6Cgov9ZV46fZG3AMcw,0.158
19,DVBBS, Never Leave,unknown,0.0183,https://api.spotify.com/v1/audio-analysis/6mvF9Mpgqr9Gj8rhPiUVfD,8B,0.575,186275.0,0.88,6mvF9Mpgqr9Gj8rhPiUVfD,0.0,0.0,0.379,-1.861,1.0,0.0579,127.882,4.0,https://api.spotify.com/v1/tracks/6mvF9Mpgqr9Gj8rhPiUVfD,audio_features,spotify:track:6mvF9Mpgqr9Gj8rhPiUVfD,0.436
20,Martin Solveig GTA, Intoxicated,unknown,0.00435,https://api.spotify.com/v1/audio-analysis/0dbQ4h3cs8QE5fOPMYdDrX,8B,0.792,159560.0,0.688,0dbQ4h3cs8QE5fOPMYdDrX,0.00477,0.0,0.0972,-4.008,1.0,0.0386,124.987,4.0,https://api.spotify.com/v1/tracks/0dbQ4h3cs8QE5fOPMYdDrX,audio_features,spotify:track:0dbQ4h3cs8QE5fOPMYdDrX,0.502
21,w/ Gama, Everybody Ready,unknown,0.0128,https://api.spotify.com/v1/audio-analysis/6RPB9884QQMLabBdxr8kzw,10A,0.704,262531.0,0.985,6RPB9884QQMLabBdxr8kzw,0.626,11.0,0.287,-2.072,0.0,0.0935,127.984,4.0,https://api.spotify.com/v1/tracks/6RPB9884QQMLabBdxr8kzw,audio_features,spotify:track:6RPB9884QQMLabBdxr8kzw,0.58
22,DVBBS, Raveheart,unknown,0.00106,https://api.spotify.com/v1/audio-analysis/1rEE9uPXdjBNa35RNPtJb3,6B,0.5,210588.0,0.986,1rEE9uPXdjBNa35RNPtJb3,0.000115,10.0,0.283,-2.197,1.0,0.322,127.972,4.0,https://api.spotify.com/v1/tracks/1rEE9uPXdjBNa35RNPtJb3,audio_features,spotify:track:1rEE9uPXdjBNa35RNPtJb3,0.24
23,Nicky Romero, Ready 2 Rumble,unknown,0.002,https://api.spotify.com/v1/audio-analysis/1FTuI2u4EvgfyVJdCIjrDK,8B,0.684,179048.0,0.995,1FTuI2u4EvgfyVJdCIjrDK,0.519,0.0,0.324,-3.125,1.0,0.0833,126.002,4.0,https://api.spotify.com/v1/tracks/1FTuI2u4EvgfyVJdCIjrDK,audio_features,spotify:track:1FTuI2u4EvgfyVJdCIjrDK,0.123
24,DVBBS Borgeous, Tsunami,unknown,0.049,https://api.spotify.com/v1/audio-analysis/3felG0BIvmmOoCIeE2A5vq,9A,0.698,236827.0,0.838,3felG0BIvmmOoCIeE2A5vq,0.758,4.0,0.0892,-5.371,0.0,0.0499,128.004,4.0,https://api.spotify.com/v1/tracks/3felG0BIvmmOoCIeE2A5vq,audio_features,spotify:track:3felG0BIvmmOoCIeE2A5vq,0.289
25,Sikdope, Snakes,unknown,0.0262,https://api.spotify.com/v1/audio-analysis/7wC9cG5EgruIiQe6Xt6SFm,1B,0.86,174375.0,0.956,7wC9cG5EgruIiQe6Xt6SFm,0.722,11.0,0.183,-1.611,1.0,0.0727,128.013,4.0,https://api.spotify.com/v1/tracks/7wC9cG5EgruIiQe6Xt6SFm,audio_features,spotify:track:7wC9cG5EgruIiQe6Xt6SFm,0.0794
26,w/ Sikdope, Snakes ,Michael Sparks Flip,0.987,https://api.spotify.com/v1/audio-analysis/1X154yNgyvWWHnmf3r7gtl,8B,0.366,122400.0,0.0314,1X154yNgyvWWHnmf3r7gtl,0.0,0.0,0.172,-25.541,1.0,0.0458,84.309,1.0,https://api.spotify.com/v1/tracks/1X154yNgyvWWHnmf3r7gtl,audio_features,spotify:track:1X154yNgyvWWHnmf3r7gtl,0.196
27,Michael Sparks Andres Fresko, BTFU,unknown,,,,,,,,,,,,,,,,,,,
28,MAKJ Lil Jon, Let's Get F*cked Up ,Zatox Hardstyle Bootleg,,,,,,,,,,,,,,,,,,,
29,DVBBS, 24k,unknown,0.00335,https://api.spotify.com/v1/audio-analysis/33qJwWQzCnoEex3bZJIsKU,4A,0.589,187285.0,0.978,33qJwWQzCnoEex3bZJIsKU,0.204,5.0,0.606,-3.463,0.0,0.078,149.992,4.0,https://api.spotify.com/v1/tracks/33qJwWQzCnoEex3bZJIsKU,audio_features,spotify:track:33qJwWQzCnoEex3bZJIsKU,0.339
30,Zomboy, Terror Squad ,Bro Safari & Ricky Remedy Remix,0.000833,https://api.spotify.com/v1/audio-analysis/2yTTVFwrD7a4liRK2bvflX,6B,0.57,183344.0,0.942,2yTTVFwrD7a4liRK2bvflX,0.623,10.0,0.27,-3.932,1.0,0.046,145.092,4.0,https://api.spotify.com/v1/tracks/2yTTVFwrD7a4liRK2bvflX,audio_features,spotify:track:2yTTVFwrD7a4liRK2bvflX,0.31
31,w/ DVBBS Dropgun   Sanjin, Pyramids ,Acapella,0.743,https://api.spotify.com/v1/audio-analysis/1vv30K4hKpDZZY2NouSIwZ,10B,0.578,310267.0,0.488,1vv30K4hKpDZZY2NouSIwZ,0.843,2.0,0.111,-17.574,1.0,0.0375,112.014,4.0,https://api.spotify.com/v1/tracks/1vv30K4hKpDZZY2NouSIwZ,audio_features,spotify:track:1vv30K4hKpDZZY2NouSIwZ,0.437
32,w/ Zatox, Sunlight,unknown,0.00146,https://api.spotify.com/v1/audio-analysis/5xBWLeSebSMkbRyTH7MPBZ,4A,0.538,240000.0,0.944,5xBWLeSebSMkbRyTH7MPBZ,0.258,5.0,0.26,-3.385,0.0,0.237,74.981,4.0,https://api.spotify.com/v1/tracks/5xBWLeSebSMkbRyTH7MPBZ,audio_features,spotify:track:5xBWLeSebSMkbRyTH7MPBZ,0.2
33,Riggi Piros, Love Me A Little,unknown,0.0179,https://api.spotify.com/v1/audio-analysis/4LXFCQKK3K3qHbggh5rDMV,3B,0.649,166532.0,0.984,4LXFCQKK3K3qHbggh5rDMV,0.0973,1.0,0.324,-2.138,1.0,0.0947,130.01,4.0,https://api.spotify.com/v1/tracks/4LXFCQKK3K3qHbggh5rDMV,audio_features,spotify:track:4LXFCQKK3K3qHbggh5rDMV,0.128
34,w/ DVBBS Dropgun   Sanjin, Pyramids,unknown,0.743,https://api.spotify.com/v1/audio-analysis/1vv30K4hKpDZZY2NouSIwZ,10B,0.578,310267.0,0.488,1vv30K4hKpDZZY2NouSIwZ,0.843,2.0,0.111,-17.574,1.0,0.0375,112.014,4.0,https://api.spotify.com/v1/tracks/1vv30K4hKpDZZY2NouSIwZ,audio_features,spotify:track:1vv30K4hKpDZZY2NouSIwZ,0.437
