,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Dada Life   Lzzy Hale, Tic Tic Tic,unknown,0.00452,https://api.spotify.com/v1/audio-analysis/24qAMTmX0sr72HWnwU0OR2,3B,0.638,170213.0,0.834,24qAMTmX0sr72HWnwU0OR2,0.00258,1.0,0.649,-5.771,1.0,0.0791,128.099,4.0,https://api.spotify.com/v1/tracks/24qAMTmX0sr72HWnwU0OR2,audio_features,spotify:track:24qAMTmX0sr72HWnwU0OR2,0.735
1,Abel Ramos Albert Neve, Let The Bass Be Louder ,Extended Mix,0.0107,https://api.spotify.com/v1/audio-analysis/7ARre7tVzppQ2PVyvZFhKo,3B,0.784,338086.0,0.988,7ARre7tVzppQ2PVyvZFhKo,0.387,1.0,0.149,-2.77,1.0,0.169,127.965,4.0,https://api.spotify.com/v1/tracks/7ARre7tVzppQ2PVyvZFhKo,audio_features,spotify:track:7ARre7tVzppQ2PVyvZFhKo,0.395
2,Sound Of Legend, Komodo,unknown,0.00499,https://api.spotify.com/v1/audio-analysis/5mWZDVJbjyDDApnuFLIIGD,8A,0.655,258462.0,0.932,5mWZDVJbjyDDApnuFLIIGD,0.026,9.0,0.0564,-3.244,0.0,0.0522,130.021,4.0,https://api.spotify.com/v1/tracks/5mWZDVJbjyDDApnuFLIIGD,audio_features,spotify:track:5mWZDVJbjyDDApnuFLIIGD,0.12
3,Wiwek   Audio Bullys, Rebels,unknown,0.0096,https://api.spotify.com/v1/audio-analysis/3K77ZUUYj2MpmN5AOB6MDz,3B,0.738,215835.0,0.976,3K77ZUUYj2MpmN5AOB6MDz,0.000155,1.0,0.211,-1.759,1.0,0.179,127.985,4.0,https://api.spotify.com/v1/tracks/3K77ZUUYj2MpmN5AOB6MDz,audio_features,spotify:track:3K77ZUUYj2MpmN5AOB6MDz,0.379
4,Matt Nash, Know My Love ,Extended Mix,0.00968,https://api.spotify.com/v1/audio-analysis/6XsrEVdg5Sr08cyAOckgup,12A,0.605,183423.0,0.831,6XsrEVdg5Sr08cyAOckgup,0.0612,1.0,0.163,-6.743,0.0,0.1,126.01,4.0,https://api.spotify.com/v1/tracks/6XsrEVdg5Sr08cyAOckgup,audio_features,spotify:track:6XsrEVdg5Sr08cyAOckgup,0.448
5,Curbi, Triple Six,unknown,0.034,https://api.spotify.com/v1/audio-analysis/3mcoPZRu7fDiKqqCWiUfSL,3B,0.797,190516.0,0.993,3mcoPZRu7fDiKqqCWiUfSL,0.696,1.0,0.152,1.244,1.0,0.0705,125.984,4.0,https://api.spotify.com/v1/tracks/3mcoPZRu7fDiKqqCWiUfSL,audio_features,spotify:track:3mcoPZRu7fDiKqqCWiUfSL,0.421
6,Axwell, Barricade ,Club Mix,0.000329,https://api.spotify.com/v1/audio-analysis/5TjtoskcJjkWX9f79iWR3J,9B,0.733,380625.0,0.963,5TjtoskcJjkWX9f79iWR3J,0.126,7.0,0.099,-4.002,1.0,0.104,128.01,4.0,https://api.spotify.com/v1/tracks/5TjtoskcJjkWX9f79iWR3J,audio_features,spotify:track:5TjtoskcJjkWX9f79iWR3J,0.0689
7,Mike Cervello Alvaro, Empire,unknown,0.000269,https://api.spotify.com/v1/audio-analysis/1wqy9wry0yWXV8BrvkByEW,1B,0.739,187515.0,0.812,1wqy9wry0yWXV8BrvkByEW,0.414,11.0,0.68,-4.242,1.0,0.0586,128.005,4.0,https://api.spotify.com/v1/tracks/1wqy9wry0yWXV8BrvkByEW,audio_features,spotify:track:1wqy9wry0yWXV8BrvkByEW,0.409
8,Armin van Buuren   Human Resource, Dominator,unknown,0.0105,https://api.spotify.com/v1/audio-analysis/2ZCMqo7JeI7XtWTUy9W0VH,12A,0.62,149625.0,0.982,2ZCMqo7JeI7XtWTUy9W0VH,0.00647,1.0,0.119,-3.234,0.0,0.494,132.055,4.0,https://api.spotify.com/v1/tracks/2ZCMqo7JeI7XtWTUy9W0VH,audio_features,spotify:track:2ZCMqo7JeI7XtWTUy9W0VH,0.214
9,Steff Da Campo, Get Busy ,Extended Mix,0.00154,https://api.spotify.com/v1/audio-analysis/0yoh0Clab2KkeU4OIzoHSo,4A,0.711,175339.0,0.905,0yoh0Clab2KkeU4OIzoHSo,0.639,5.0,0.384,-4.274,0.0,0.0709,126.01,4.0,https://api.spotify.com/v1/tracks/0yoh0Clab2KkeU4OIzoHSo,audio_features,spotify:track:0yoh0Clab2KkeU4OIzoHSo,0.499
