,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Aylen, Zazu,unknown,0.00453,https://api.spotify.com/v1/audio-analysis/47nmmWhGEFFslALjkrqtaQ,4A,0.73,240001.0,0.967,47nmmWhGEFFslALjkrqtaQ,0.794,5.0,0.345,-3.153,0.0,0.046,128.018,4.0,https://api.spotify.com/v1/tracks/47nmmWhGEFFslALjkrqtaQ,audio_features,spotify:track:47nmmWhGEFFslALjkrqtaQ,0.0806
1,TJR   Cardi B, Fuck Me Up,unknown,0.00729,https://api.spotify.com/v1/audio-analysis/5FuwvKtlTYiwSa0CTTVjYG,8B,0.652,151875.0,0.99,5FuwvKtlTYiwSa0CTTVjYG,0.356,0.0,0.936,-2.651,1.0,0.164,128.031,4.0,https://api.spotify.com/v1/tracks/5FuwvKtlTYiwSa0CTTVjYG,audio_features,spotify:track:5FuwvKtlTYiwSa0CTTVjYG,0.327
2,Wess Tight Lexor, Montenegro,unknown,,,,,,,,,,,,,,,,,,,
3,Abel Ramos Hurt, Believe,unknown,9.55e-05,https://api.spotify.com/v1/audio-analysis/5dxp2i3bRYtJM1zUbzft8i,6A,0.506,217500.0,0.93,5dxp2i3bRYtJM1zUbzft8i,0.373,7.0,0.35,-7.744,0.0,0.0552,128.0,4.0,https://api.spotify.com/v1/tracks/5dxp2i3bRYtJM1zUbzft8i,audio_features,spotify:track:5dxp2i3bRYtJM1zUbzft8i,0.0465
4,DVBBS MOTi, Switch,unknown,0.00767,https://api.spotify.com/v1/audio-analysis/6xTNWb3QMKn20bAIcySO9G,7A,0.509,174375.0,0.848,6xTNWb3QMKn20bAIcySO9G,0.466,2.0,0.0696,-3.257,0.0,0.0808,128.096,4.0,https://api.spotify.com/v1/tracks/6xTNWb3QMKn20bAIcySO9G,audio_features,spotify:track:6xTNWb3QMKn20bAIcySO9G,0.203
5,Marcus Schossow Magnificence, 1994,unknown,0.000111,https://api.spotify.com/v1/audio-analysis/3P3368fw9PYodz6iYTxerq,3B,0.611,165854.0,0.881,3P3368fw9PYodz6iYTxerq,0.717,1.0,0.283,-7.663,1.0,0.054,122.99,4.0,https://api.spotify.com/v1/tracks/3P3368fw9PYodz6iYTxerq,audio_features,spotify:track:3P3368fw9PYodz6iYTxerq,0.123
6,HIIO Sevag, Anzulu,unknown,0.00816,https://api.spotify.com/v1/audio-analysis/3MO7fNZk8uAuIqGerbflLb,10A,0.517,188438.0,0.996,3MO7fNZk8uAuIqGerbflLb,0.657,11.0,0.559,-2.561,0.0,0.0673,128.011,4.0,https://api.spotify.com/v1/tracks/3MO7fNZk8uAuIqGerbflLb,audio_features,spotify:track:3MO7fNZk8uAuIqGerbflLb,0.589
7,Nari Milani and Cristian Marchi, The Creeps 2016,unknown,0.00561,https://api.spotify.com/v1/audio-analysis/76JKgaAFdR0XaZeu5cHqmu,12B,0.759,146719.0,0.977,76JKgaAFdR0XaZeu5cHqmu,0.75,4.0,0.603,-3.363,1.0,0.0517,128.086,4.0,https://api.spotify.com/v1/tracks/76JKgaAFdR0XaZeu5cHqmu,audio_features,spotify:track:76JKgaAFdR0XaZeu5cHqmu,0.85
8,That Matters   Jenia Mr. Styles, IWI,unknown,0.000117,https://api.spotify.com/v1/audio-analysis/3ntK2SA0PIKxATGChF0omt,10A,0.781,297656.0,0.988,3ntK2SA0PIKxATGChF0omt,0.69,11.0,0.0457,-4.397,0.0,0.0722,128.02,4.0,https://api.spotify.com/v1/tracks/3ntK2SA0PIKxATGChF0omt,audio_features,spotify:track:3ntK2SA0PIKxATGChF0omt,0.277
9,Swanky Tunes Going Deeper, Drownin',unknown,0.00296,https://api.spotify.com/v1/audio-analysis/4ySoQFVU13iQzAbaJasTCx,10A,0.657,211200.0,0.921,4ySoQFVU13iQzAbaJasTCx,0.00197,11.0,0.0961,-4.449,0.0,0.0374,124.987,4.0,https://api.spotify.com/v1/tracks/4ySoQFVU13iQzAbaJasTCx,audio_features,spotify:track:4ySoQFVU13iQzAbaJasTCx,0.228
10,Galantis, No Money ,Dillon Francis Remix,0.000247,https://api.spotify.com/v1/audio-analysis/2QClgxYcgxxDD7EqOe1c3X,10B,0.734,281694.0,0.774,2QClgxYcgxxDD7EqOe1c3X,0.0698,2.0,0.134,-3.606,1.0,0.0551,128.023,4.0,https://api.spotify.com/v1/tracks/2QClgxYcgxxDD7EqOe1c3X,audio_features,spotify:track:2QClgxYcgxxDD7EqOe1c3X,0.396
11,Curbi, Triple Six,unknown,0.034,https://api.spotify.com/v1/audio-analysis/3mcoPZRu7fDiKqqCWiUfSL,3B,0.797,190516.0,0.993,3mcoPZRu7fDiKqqCWiUfSL,0.696,1.0,0.152,1.244,1.0,0.0705,125.984,4.0,https://api.spotify.com/v1/tracks/3mcoPZRu7fDiKqqCWiUfSL,audio_features,spotify:track:3mcoPZRu7fDiKqqCWiUfSL,0.421
12,Sebastian Ingrosso, Dark River ,Festival Version,0.00534,https://api.spotify.com/v1/audio-analysis/0ikuoejgnBNitqFArW6fFk,10A,0.744,262857.0,0.745,0ikuoejgnBNitqFArW6fFk,0.013,11.0,0.0498,-4.71,0.0,0.0384,126.005,4.0,https://api.spotify.com/v1/tracks/0ikuoejgnBNitqFArW6fFk,audio_features,spotify:track:0ikuoejgnBNitqFArW6fFk,0.418
13,Odd Mob   Starley, Into You ,ak9 Remix,0.000956,https://api.spotify.com/v1/audio-analysis/4DOVoB7gRuLejzOWRJvvtK,1A,0.758,323269.0,0.888,4DOVoB7gRuLejzOWRJvvtK,0.000242,8.0,0.0695,-5.237,0.0,0.23,126.046,4.0,https://api.spotify.com/v1/tracks/4DOVoB7gRuLejzOWRJvvtK,audio_features,spotify:track:4DOVoB7gRuLejzOWRJvvtK,0.501
