,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Calvin Harris   Pharrell Williams Katy Perry Big Sean, Feels ,Jolyon Petch Remix,0.0642,https://api.spotify.com/v1/audio-analysis/5bcTCxgc7xVfSaMV3RuVke,10A,0.893,223413.0,0.745,5bcTCxgc7xVfSaMV3RuVke,0.0,11.0,0.0943,-3.105,0.0,0.0571,101.018,4.0,https://api.spotify.com/v1/tracks/5bcTCxgc7xVfSaMV3RuVke,audio_features,spotify:track:5bcTCxgc7xVfSaMV3RuVke,0.872
1,M.Hustler, Provocator,unknown,0.00307,https://api.spotify.com/v1/audio-analysis/3Sx45BHupROLZouXkVvKWv,3A,0.921,203406.0,0.531,3Sx45BHupROLZouXkVvKWv,0.134,10.0,0.0871,-6.279,0.0,0.0595,118.013,4.0,https://api.spotify.com/v1/tracks/3Sx45BHupROLZouXkVvKWv,audio_features,spotify:track:3Sx45BHupROLZouXkVvKWv,0.384
2,MERCER   Ron Carroll, Satisfy,unknown,0.01,https://api.spotify.com/v1/audio-analysis/5u5bgOaZ5ZD6B7gGN5Ah71,7A,0.674,184920.0,0.852,5u5bgOaZ5ZD6B7gGN5Ah71,6.08e-05,2.0,0.127,-4.889,0.0,0.249,125.027,4.0,https://api.spotify.com/v1/tracks/5u5bgOaZ5ZD6B7gGN5Ah71,audio_features,spotify:track:5u5bgOaZ5ZD6B7gGN5Ah71,0.749
3,Drop Department SuitStatic, Manea,unknown,0.167,https://api.spotify.com/v1/audio-analysis/7xeg9vXJ8fCZhk2vUmS7U3,8A,0.649,187568.0,0.998,7xeg9vXJ8fCZhk2vUmS7U3,0.936,9.0,0.312,-1.08,0.0,0.149,126.078,4.0,https://api.spotify.com/v1/tracks/7xeg9vXJ8fCZhk2vUmS7U3,audio_features,spotify:track:7xeg9vXJ8fCZhk2vUmS7U3,0.505
4,Supertons, Supra Sumo ,Kid Massive Edit,0.00308,https://api.spotify.com/v1/audio-analysis/6xKcqBoidyTSoWpSE35rBy,9A,0.681,329524.0,0.95,6xKcqBoidyTSoWpSE35rBy,0.921,4.0,0.0369,-5.637,0.0,0.0923,126.005,4.0,https://api.spotify.com/v1/tracks/6xKcqBoidyTSoWpSE35rBy,audio_features,spotify:track:6xKcqBoidyTSoWpSE35rBy,0.299
5,Tru Fonix   Stush, In The Corner ,Sly One Remix,0.00127,https://api.spotify.com/v1/audio-analysis/6ZfSkRgYeiYlU3uNkglD0Z,8B,0.758,400604.0,0.872,6ZfSkRgYeiYlU3uNkglD0Z,0.0974,0.0,0.106,-8.788,1.0,0.0647,125.02,4.0,https://api.spotify.com/v1/tracks/6ZfSkRgYeiYlU3uNkglD0Z,audio_features,spotify:track:6ZfSkRgYeiYlU3uNkglD0Z,0.266
6,Arno Cost Norman Doray, Apocalypse ,B-Rather Clap Up,0.0709,https://api.spotify.com/v1/audio-analysis/3KCdb0XSDwNTwg41EHO2EX,4A,0.46,217515.0,0.848,3KCdb0XSDwNTwg41EHO2EX,5.22e-05,5.0,0.0932,-5.198,0.0,0.0628,127.986,4.0,https://api.spotify.com/v1/tracks/3KCdb0XSDwNTwg41EHO2EX,audio_features,spotify:track:3KCdb0XSDwNTwg41EHO2EX,0.344
7,Double Pleasure Maori, Cabo,unknown,0.053,https://api.spotify.com/v1/audio-analysis/23qD6AUW37zUyCzy7yVrF4,3B,0.667,173333.0,0.982,23qD6AUW37zUyCzy7yVrF4,0.461,1.0,0.339,-3.554,1.0,0.126,125.98,4.0,https://api.spotify.com/v1/tracks/23qD6AUW37zUyCzy7yVrF4,audio_features,spotify:track:23qD6AUW37zUyCzy7yVrF4,0.539
8,Axwell Λ Ingrosso   Genairo Nvilla, On My Memories ,John Spano Mashup,,,,,,,,,,,,,,,,,,,
9,Fedde Le Grand, Bump`N` Shake,unknown,,,,,,,,,,,,,,,,,,,
10,Throttle X Niko The Kid   Rob Jack, Badgal Piňata ,Luca Lecce Edit,,,,,,,,,,,,,,,,,,,
11,Lazy Jay, Float My Boat ,Bougenvilla Remix,0.0892,https://api.spotify.com/v1/audio-analysis/6qGDBRJLngK3dLerxiR0br,10A,0.642,161261.0,0.752,6qGDBRJLngK3dLerxiR0br,0.776,11.0,0.0563,-7.157,0.0,0.0397,128.002,4.0,https://api.spotify.com/v1/tracks/6qGDBRJLngK3dLerxiR0br,audio_features,spotify:track:6qGDBRJLngK3dLerxiR0br,0.329
12,Steff Da Campo SIKS, Make Me Feel,unknown,0.0687,https://api.spotify.com/v1/audio-analysis/6h4amzlskB8KKlbTWQ7500,1A,0.66,187143.0,0.926,6h4amzlskB8KKlbTWQ7500,0.000422,8.0,0.166,-3.702,0.0,0.0655,126.083,4.0,https://api.spotify.com/v1/tracks/6h4amzlskB8KKlbTWQ7500,audio_features,spotify:track:6h4amzlskB8KKlbTWQ7500,0.275
13,David Guetta   Justin Bieber, 2U ,SDJM Remix,0.23,https://api.spotify.com/v1/audio-analysis/762UXiwEHYY97VL45sAUPR,1A,0.542,194907.0,0.654,762UXiwEHYY97VL45sAUPR,0.0,8.0,0.241,-5.862,0.0,0.0537,144.971,4.0,https://api.spotify.com/v1/tracks/762UXiwEHYY97VL45sAUPR,audio_features,spotify:track:762UXiwEHYY97VL45sAUPR,0.563
