,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Bynon Rumors, City Of Angels,unknown,0.163,https://api.spotify.com/v1/audio-analysis/3AzrUsisDXJFSdP9zhXxEs,10A,0.578,206625.0,0.83,3AzrUsisDXJFSdP9zhXxEs,0.0,11.0,0.586,-2.443,0.0,0.0661,114.978,4.0,https://api.spotify.com/v1/tracks/3AzrUsisDXJFSdP9zhXxEs,audio_features,spotify:track:3AzrUsisDXJFSdP9zhXxEs,0.339
1,Dumbers MAXIMALS, Dancin',unknown,0.0138,https://api.spotify.com/v1/audio-analysis/1YDzFO7v41QCyUXJ3U5BdH,3A,0.635,177958.0,0.9,1YDzFO7v41QCyUXJ3U5BdH,0.747,10.0,0.308,-5.538,0.0,0.0351,126.945,4.0,https://api.spotify.com/v1/tracks/1YDzFO7v41QCyUXJ3U5BdH,audio_features,spotify:track:1YDzFO7v41QCyUXJ3U5BdH,0.874
2,Daddy's Groove   Steve Biko, Tribe,unknown,0.0908,https://api.spotify.com/v1/audio-analysis/5EZ3mMZnHap7dwoJj10AHA,11A,0.902,234347.0,0.696,5EZ3mMZnHap7dwoJj10AHA,0.0,6.0,0.141,-4.803,0.0,0.188,105.586,4.0,https://api.spotify.com/v1/tracks/5EZ3mMZnHap7dwoJj10AHA,audio_features,spotify:track:5EZ3mMZnHap7dwoJj10AHA,0.592
3,HIIO Sevag, Anzulu,unknown,0.00816,https://api.spotify.com/v1/audio-analysis/3MO7fNZk8uAuIqGerbflLb,10A,0.517,188438.0,0.996,3MO7fNZk8uAuIqGerbflLb,0.657,11.0,0.559,-2.561,0.0,0.0673,128.011,4.0,https://api.spotify.com/v1/tracks/3MO7fNZk8uAuIqGerbflLb,audio_features,spotify:track:3MO7fNZk8uAuIqGerbflLb,0.589
4,Francesco Diaz Jay Frog, Arabian Nights ,Melsen Edit,0.0163,https://api.spotify.com/v1/audio-analysis/3r4z0Xxu2TtQf3di5qUO0T,10B,0.762,198036.0,0.935,3r4z0Xxu2TtQf3di5qUO0T,0.0144,2.0,0.0714,-3.829,1.0,0.116,126.033,4.0,https://api.spotify.com/v1/tracks/3r4z0Xxu2TtQf3di5qUO0T,audio_features,spotify:track:3r4z0Xxu2TtQf3di5qUO0T,0.488
5,Hardwell Dannic   Haris, Survivors ,LoaX Remix,0.00365,https://api.spotify.com/v1/audio-analysis/7M0DlKgiKDsyxC7SqKlB2G,9B,0.44,186562.0,0.994,7M0DlKgiKDsyxC7SqKlB2G,0.0312,7.0,0.366,-2.484,1.0,0.0541,127.931,4.0,https://api.spotify.com/v1/tracks/7M0DlKgiKDsyxC7SqKlB2G,audio_features,spotify:track:7M0DlKgiKDsyxC7SqKlB2G,0.639
6,Dannic Amersy, Lights Out,unknown,0.00245,https://api.spotify.com/v1/audio-analysis/65ELWQeionxQVzNIT1sss2,2B,0.626,148125.0,0.973,65ELWQeionxQVzNIT1sss2,0.632,6.0,0.267,-3.341,1.0,0.169,127.992,4.0,https://api.spotify.com/v1/tracks/65ELWQeionxQVzNIT1sss2,audio_features,spotify:track:65ELWQeionxQVzNIT1sss2,0.129
7,Kamo, Fire,unknown,0.00788,https://api.spotify.com/v1/audio-analysis/6XYODQTlY0eV4w0WH9tkYt,9B,0.771,211915.0,0.691,6XYODQTlY0eV4w0WH9tkYt,1.27e-05,7.0,0.146,-7.107,1.0,0.0559,93.974,4.0,https://api.spotify.com/v1/tracks/6XYODQTlY0eV4w0WH9tkYt,audio_features,spotify:track:6XYODQTlY0eV4w0WH9tkYt,0.189
8,WILL K, Hakai,unknown,0.0376,https://api.spotify.com/v1/audio-analysis/00RjKUmyLQ8e32MZCdcOFr,3B,0.624,226490.0,0.985,00RjKUmyLQ8e32MZCdcOFr,0.92,1.0,0.326,-4.121,1.0,0.0877,125.049,4.0,https://api.spotify.com/v1/tracks/00RjKUmyLQ8e32MZCdcOFr,audio_features,spotify:track:00RjKUmyLQ8e32MZCdcOFr,0.313
9,Alesso   Nico Vinz, I Wanna Know ,Dannic Bootleg,0.0755,https://api.spotify.com/v1/audio-analysis/2kYqdSlrtovVMMIn6ykzba,10B,0.651,240413.0,0.823,2kYqdSlrtovVMMIn6ykzba,0.0,2.0,0.0939,-3.632,1.0,0.0325,115.946,4.0,https://api.spotify.com/v1/tracks/2kYqdSlrtovVMMIn6ykzba,audio_features,spotify:track:2kYqdSlrtovVMMIn6ykzba,0.505
10,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
11,SUCHAN, Revenite,unknown,,,,,,,,,,,,,,,,,,,
12,MEM, Lock & Load,unknown,0.0163,https://api.spotify.com/v1/audio-analysis/7ybWpVoeO4uoAMUJLoPiJV,3B,0.762,195615.0,0.972,7ybWpVoeO4uoAMUJLoPiJV,0.847,1.0,0.0954,-4.701,1.0,0.0478,127.888,4.0,https://api.spotify.com/v1/tracks/7ybWpVoeO4uoAMUJLoPiJV,audio_features,spotify:track:7ybWpVoeO4uoAMUJLoPiJV,0.104
13,Tom Jame, What Goes Around,unknown,0.000732,https://api.spotify.com/v1/audio-analysis/4s9URY3jXWH2bncF7hWaif,3B,0.531,193125.0,0.956,4s9URY3jXWH2bncF7hWaif,0.1,1.0,0.15,-2.444,1.0,0.0533,128.068,4.0,https://api.spotify.com/v1/tracks/4s9URY3jXWH2bncF7hWaif,audio_features,spotify:track:4s9URY3jXWH2bncF7hWaif,0.103
14,Noizy Mark MAD2MAD, Release Yourself,unknown,,,,,,,,,,,,,,,,,,,
15,Axwell Λ Ingrosso   Pharrell Williams, Dream Bigger,unknown,0.00652,https://api.spotify.com/v1/audio-analysis/76BFt6hGCrZhGHrGh0N3uC,9B,0.642,196800.0,0.908,76BFt6hGCrZhGHrGh0N3uC,1.5e-05,7.0,0.0863,-3.0,1.0,0.166,125.001,4.0,https://api.spotify.com/v1/tracks/76BFt6hGCrZhGHrGh0N3uC,audio_features,spotify:track:76BFt6hGCrZhGHrGh0N3uC,0.735
