,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Dannic, Clash ,Intro Edit,0.00123,https://api.spotify.com/v1/audio-analysis/04CuZEqrkPb7JEDNBCaePp,7B,0.476,198281.0,0.958,04CuZEqrkPb7JEDNBCaePp,0.873,5.0,0.403,-4.354,1.0,0.0475,128.006,4.0,https://api.spotify.com/v1/tracks/04CuZEqrkPb7JEDNBCaePp,audio_features,spotify:track:04CuZEqrkPb7JEDNBCaePp,0.0556
1,w/ Missy Elliott   Ciara Fatman Scoop, Lose Control ,Acapella,0.0311,https://api.spotify.com/v1/audio-analysis/0UaMYEvWZi0ZqiDOoHU3YI,9A,0.904,226864.0,0.813,0UaMYEvWZi0ZqiDOoHU3YI,0.00697,4.0,0.0471,-7.105,0.0,0.121,125.461,4.0,https://api.spotify.com/v1/tracks/0UaMYEvWZi0ZqiDOoHU3YI,audio_features,spotify:track:0UaMYEvWZi0ZqiDOoHU3YI,0.81
2,w/ David Guetta   Sia, Titanium ,Acapella,0.069,https://api.spotify.com/v1/audio-analysis/77TT8Xvx637TpzV8kKGkUw,5A,0.599,245041.0,0.803,77TT8Xvx637TpzV8kKGkUw,0.137,0.0,0.129,-3.641,0.0,0.0986,126.057,4.0,https://api.spotify.com/v1/tracks/77TT8Xvx637TpzV8kKGkUw,audio_features,spotify:track:77TT8Xvx637TpzV8kKGkUw,0.233
3,w/ Jamie Lewis   Michael Watford, For You ,Put Your Hands Up In The Air Acapella,0.185,https://api.spotify.com/v1/audio-analysis/3CO19cTl5zzlWx9GWEpOhD,11B,0.425,273773.0,0.519,3CO19cTl5zzlWx9GWEpOhD,0.0,9.0,0.102,-9.707,1.0,0.0279,143.887,4.0,https://api.spotify.com/v1/tracks/3CO19cTl5zzlWx9GWEpOhD,audio_features,spotify:track:3CO19cTl5zzlWx9GWEpOhD,0.208
4,Pessto, ID,unknown,,,,,,,,,,,,,,,,,,,
5,w/ Alesso, Raise Your Head ,Acapella,0.00971,https://api.spotify.com/v1/audio-analysis/6XpNaTIY1sTrXFpYFXF8Cf,10A,0.666,350431.0,0.761,6XpNaTIY1sTrXFpYFXF8Cf,0.321,11.0,0.0884,-6.734,0.0,0.0529,124.999,4.0,https://api.spotify.com/v1/tracks/6XpNaTIY1sTrXFpYFXF8Cf,audio_features,spotify:track:6XpNaTIY1sTrXFpYFXF8Cf,0.22
6,w/ Martin Garrix, Proxy ,Put Your Hands Up Acapella,0.0087,https://api.spotify.com/v1/audio-analysis/3iLzyDMXB7QXX2RjtmJFOn,8B,0.682,279385.0,0.698,3iLzyDMXB7QXX2RjtmJFOn,0.834,0.0,0.237,-5.679,1.0,0.0335,128.059,4.0,https://api.spotify.com/v1/tracks/3iLzyDMXB7QXX2RjtmJFOn,audio_features,spotify:track:3iLzyDMXB7QXX2RjtmJFOn,0.257
7,w/ Candi Staton, You Got The Love ,Acapella,0.0523,https://api.spotify.com/v1/audio-analysis/4nQkNmJJWnFIRsbIMeIrlX,2B,0.591,193600.0,0.898,4nQkNmJJWnFIRsbIMeIrlX,2.66e-06,6.0,0.411,-4.779,1.0,0.0336,107.092,4.0,https://api.spotify.com/v1/tracks/4nQkNmJJWnFIRsbIMeIrlX,audio_features,spotify:track:4nQkNmJJWnFIRsbIMeIrlX,0.478
8,Dannic Rob Jack, Bring Di Fire,unknown,0.00337,https://api.spotify.com/v1/audio-analysis/0CQDy46QSoSQg5EzsmcJ89,9B,0.831,139219.0,0.959,0CQDy46QSoSQg5EzsmcJ89,0.236,7.0,0.361,-2.685,1.0,0.271,128.001,4.0,https://api.spotify.com/v1/tracks/0CQDy46QSoSQg5EzsmcJ89,audio_features,spotify:track:0CQDy46QSoSQg5EzsmcJ89,0.702
9,w/ Dannic   Bright Lights, Dear Life,unknown,0.00253,https://api.spotify.com/v1/audio-analysis/2OvrOws6s9gdsDSs46Awxg,11A,0.527,214988.0,0.986,2OvrOws6s9gdsDSs46Awxg,0.677,6.0,0.403,-4.768,0.0,0.277,131.745,4.0,https://api.spotify.com/v1/tracks/2OvrOws6s9gdsDSs46Awxg,audio_features,spotify:track:2OvrOws6s9gdsDSs46Awxg,0.196
