,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
1,Throttle, Baddest Behaviour,unknown,0.00546,https://api.spotify.com/v1/audio-analysis/3ekTSuD7hN7hcGGyaMdrwy,9B,0.622,198138.0,0.929,3ekTSuD7hN7hcGGyaMdrwy,0.457,7.0,0.377,-4.966,1.0,0.0861,137.991,4.0,https://api.spotify.com/v1/tracks/3ekTSuD7hN7hcGGyaMdrwy,audio_features,spotify:track:3ekTSuD7hN7hcGGyaMdrwy,0.213
2,Sam Feldt Hook N Sling, Open Your Eyes ,Club Mix,0.0023,https://api.spotify.com/v1/audio-analysis/0uLKe11CKz2QIZjkqWYnCK,4A,0.658,188813.0,0.863,0uLKe11CKz2QIZjkqWYnCK,3.9e-05,5.0,0.0812,-5.544,0.0,0.0396,121.927,4.0,https://api.spotify.com/v1/tracks/0uLKe11CKz2QIZjkqWYnCK,audio_features,spotify:track:0uLKe11CKz2QIZjkqWYnCK,0.382
3,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
4,Bodyrox   Luciana, Yeah Yeah ,Chocolate Puma Remix,0.069,https://api.spotify.com/v1/audio-analysis/4HVGC52IogHANcKFA0QYiT,8B,0.778,161627.0,0.618,4HVGC52IogHANcKFA0QYiT,0.0,0.0,0.362,-7.667,1.0,0.0827,126.065,4.0,https://api.spotify.com/v1/tracks/4HVGC52IogHANcKFA0QYiT,audio_features,spotify:track:4HVGC52IogHANcKFA0QYiT,0.693
5,Don Diablo, Save A Little Love,unknown,0.0104,https://api.spotify.com/v1/audio-analysis/3LCoejTOQmc1sKAJ0wlYd9,5A,0.629,202930.0,0.909,3LCoejTOQmc1sKAJ0wlYd9,0.0,0.0,0.553,-2.582,0.0,0.108,121.943,4.0,https://api.spotify.com/v1/tracks/3LCoejTOQmc1sKAJ0wlYd9,audio_features,spotify:track:3LCoejTOQmc1sKAJ0wlYd9,0.321
6,Mesto   Brielle Von Hugel, Chances,unknown,0.0361,https://api.spotify.com/v1/audio-analysis/6dIOXIxiSLC7yc5sbYFUBZ,9A,0.727,196535.0,0.724,6dIOXIxiSLC7yc5sbYFUBZ,0.00135,4.0,0.266,-3.964,0.0,0.0649,126.976,4.0,https://api.spotify.com/v1/tracks/6dIOXIxiSLC7yc5sbYFUBZ,audio_features,spotify:track:6dIOXIxiSLC7yc5sbYFUBZ,0.433
7,Madison Mars, Ready Or Not,unknown,0.0528,https://api.spotify.com/v1/audio-analysis/7w3dY5jS4Nms4ITe7B4mOe,3A,0.646,195000.0,0.961,7w3dY5jS4Nms4ITe7B4mOe,1.47e-06,10.0,0.368,-2.637,0.0,0.268,125.958,4.0,https://api.spotify.com/v1/tracks/7w3dY5jS4Nms4ITe7B4mOe,audio_features,spotify:track:7w3dY5jS4Nms4ITe7B4mOe,0.529
8,Dante Klein The 87's   Bone Thugs, Coke & Hennessy,unknown,0.0511,https://api.spotify.com/v1/audio-analysis/297nAO29txLabwChUWOqiu,7A,0.548,201600.0,0.893,297nAO29txLabwChUWOqiu,0.0,2.0,0.189,-3.452,0.0,0.0469,149.997,4.0,https://api.spotify.com/v1/tracks/297nAO29txLabwChUWOqiu,audio_features,spotify:track:297nAO29txLabwChUWOqiu,0.502
9,Galantis Hook N Sling, Love On Me ,ID Remix,0.105,https://api.spotify.com/v1/audio-analysis/2MHCiOohBZEQuLgDTPvSzF,12B,0.562,205920.0,0.906,2MHCiOohBZEQuLgDTPvSzF,0.0,4.0,0.145,-2.085,1.0,0.0758,124.146,4.0,https://api.spotify.com/v1/tracks/2MHCiOohBZEQuLgDTPvSzF,audio_features,spotify:track:2MHCiOohBZEQuLgDTPvSzF,0.674
