,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Don Diablo   A R I Z O N A, Take Her Place,unknown,0.279,https://api.spotify.com/v1/audio-analysis/3AzvNvE3xpgelqmE5MRnbI,8B,0.603,209660.0,0.744,3AzvNvE3xpgelqmE5MRnbI,4.87e-06,0.0,0.106,-5.724,1.0,0.0458,101.991,4.0,https://api.spotify.com/v1/tracks/3AzvNvE3xpgelqmE5MRnbI,audio_features,spotify:track:3AzvNvE3xpgelqmE5MRnbI,0.605
1,Autograf   Lils, You Might Be,unknown,0.00363,https://api.spotify.com/v1/audio-analysis/0JshnWfAOhnJiob29TL7XO,9B,0.764,181663.0,0.673,0JshnWfAOhnJiob29TL7XO,0.0119,7.0,0.211,-7.844,1.0,0.0386,121.014,4.0,https://api.spotify.com/v1/tracks/0JshnWfAOhnJiob29TL7XO,audio_features,spotify:track:0JshnWfAOhnJiob29TL7XO,0.41
2,The Mary Nixons, Adrian,unknown,0.0439,https://api.spotify.com/v1/audio-analysis/7GAOQ8MtrE35VOIwf49l3k,5B,0.695,212486.0,0.869,7GAOQ8MtrE35VOIwf49l3k,9.94e-05,3.0,0.167,-3.844,1.0,0.0637,112.949,4.0,https://api.spotify.com/v1/tracks/7GAOQ8MtrE35VOIwf49l3k,audio_features,spotify:track:7GAOQ8MtrE35VOIwf49l3k,0.32
3,Tom Reason, Rather Do,unknown,0.12,https://api.spotify.com/v1/audio-analysis/0dsW4RBqvpUwXLE9925nxC,8B,0.631,196190.0,0.88,0dsW4RBqvpUwXLE9925nxC,0.0,0.0,0.321,-4.585,1.0,0.349,125.899,4.0,https://api.spotify.com/v1/tracks/0dsW4RBqvpUwXLE9925nxC,audio_features,spotify:track:0dsW4RBqvpUwXLE9925nxC,0.139
4,Laidback Luke Mark Villa, Rise,unknown,0.00315,https://api.spotify.com/v1/audio-analysis/2DhdCkMBOZKouXLJhNSnL1,8B,0.585,191865.0,0.886,2DhdCkMBOZKouXLJhNSnL1,0.633,0.0,0.387,-5.354,1.0,0.0333,126.026,4.0,https://api.spotify.com/v1/tracks/2DhdCkMBOZKouXLJhNSnL1,audio_features,spotify:track:2DhdCkMBOZKouXLJhNSnL1,0.591
5,Ovion Sam Void, Faded,unknown,0.0194,https://api.spotify.com/v1/audio-analysis/1gOjKBRYStVG8hz6miXM1z,9B,0.603,171523.0,0.785,1gOjKBRYStVG8hz6miXM1z,0.00859,7.0,0.0833,-5.425,1.0,0.0514,125.12,4.0,https://api.spotify.com/v1/tracks/1gOjKBRYStVG8hz6miXM1z,audio_features,spotify:track:1gOjKBRYStVG8hz6miXM1z,0.367
6,Tim Mason, Modulate,unknown,0.00132,https://api.spotify.com/v1/audio-analysis/0H643cS0M4dCA4THzQJqLI,11A,0.529,253700.0,0.908,0H643cS0M4dCA4THzQJqLI,0.898,6.0,0.103,-5.055,0.0,0.0439,125.98,3.0,https://api.spotify.com/v1/tracks/0H643cS0M4dCA4THzQJqLI,audio_features,spotify:track:0H643cS0M4dCA4THzQJqLI,0.16
7,Martin Garrix Matisse Sadko, Forever,unknown,0.0277,https://api.spotify.com/v1/audio-analysis/5EwwwdsQfKI8ZnFG93j5Zu,1A,0.45,218437.0,0.898,5EwwwdsQfKI8ZnFG93j5Zu,0.0616,8.0,0.166,-3.604,0.0,0.0395,127.983,4.0,https://api.spotify.com/v1/tracks/5EwwwdsQfKI8ZnFG93j5Zu,audio_features,spotify:track:5EwwwdsQfKI8ZnFG93j5Zu,0.22
8,Avicii   Sandro Cavazza, Without You ,ID Remix,0.0018,https://api.spotify.com/v1/audio-analysis/6Pgkp4qUoTmJIPn7ReaGxL,10B,0.653,181673.0,0.863,6Pgkp4qUoTmJIPn7ReaGxL,0.0,2.0,0.0406,-4.799,1.0,0.0457,134.004,4.0,https://api.spotify.com/v1/tracks/6Pgkp4qUoTmJIPn7ReaGxL,audio_features,spotify:track:6Pgkp4qUoTmJIPn7ReaGxL,0.276
9,Dash Berlin   Haneri, We Don't Belong,unknown,0.137,https://api.spotify.com/v1/audio-analysis/2AeMQ7G8313RP8KrC3ot4v,4B,0.613,186364.0,0.74,2AeMQ7G8313RP8KrC3ot4v,0.0,8.0,0.324,-2.326,1.0,0.0474,127.955,4.0,https://api.spotify.com/v1/tracks/2AeMQ7G8313RP8KrC3ot4v,audio_features,spotify:track:2AeMQ7G8313RP8KrC3ot4v,0.306
