,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Delerium   Sarah McLachlan, Silence ,Dash Berlin Rework,0.00903,https://api.spotify.com/v1/audio-analysis/3oVnbdWg48ZrmsUAQQUKbU,8A,0.602,235200.0,0.847,3oVnbdWg48ZrmsUAQQUKbU,0.0306,9.0,0.0622,-5.998,0.0,0.0589,138.025,4.0,https://api.spotify.com/v1/tracks/3oVnbdWg48ZrmsUAQQUKbU,audio_features,spotify:track:3oVnbdWg48ZrmsUAQQUKbU,0.0863
1,Gareth Emery   Christina Novelli, Concrete Angel ,Dash Berlin Rework,0.0107,https://api.spotify.com/v1/audio-analysis/0emkFigRCrQnsaOOnhtoFY,9B,0.631,235025.0,0.893,0emkFigRCrQnsaOOnhtoFY,0.00632,7.0,0.147,-5.123,1.0,0.0411,130.015,4.0,https://api.spotify.com/v1/tracks/0emkFigRCrQnsaOOnhtoFY,audio_features,spotify:track:0emkFigRCrQnsaOOnhtoFY,0.548
2,Dzeko Torres, Alarm,unknown,0.00551,https://api.spotify.com/v1/audio-analysis/39OZa6fj9NAOQay6G7eWAD,4A,0.609,240469.0,0.974,39OZa6fj9NAOQay6G7eWAD,0.564,5.0,0.0422,-3.129,0.0,0.0762,127.967,4.0,https://api.spotify.com/v1/tracks/39OZa6fj9NAOQay6G7eWAD,audio_features,spotify:track:39OZa6fj9NAOQay6G7eWAD,0.216
3,Paul van Dyk, For An Angel ,Dash Berlin 2016 Rework,0.0306,https://api.spotify.com/v1/audio-analysis/4CkQiW6QKUFbcuWKuIc3mx,8A,0.686,231707.0,0.991,4CkQiW6QKUFbcuWKuIc3mx,0.89,9.0,0.861,-5.937,0.0,0.0334,138.232,4.0,https://api.spotify.com/v1/tracks/4CkQiW6QKUFbcuWKuIc3mx,audio_features,spotify:track:4CkQiW6QKUFbcuWKuIc3mx,0.587
4,Dami Im, Sound Of Silence ,Dash Berlin Remix,0.344,https://api.spotify.com/v1/audio-analysis/2b9czDPSLTI88694CIqCy3,9A,0.523,195480.0,0.818,2b9czDPSLTI88694CIqCy3,0.0,4.0,0.098,-4.062,0.0,0.071,135.56,4.0,https://api.spotify.com/v1/tracks/2b9czDPSLTI88694CIqCy3,audio_features,spotify:track:2b9czDPSLTI88694CIqCy3,0.32
5,Dash Berlin   DubVision   DVBBS Jay Hardway, Janeiro Primer Voodoo ,Dash Berlin Dashup,,,,,,,,,,,,,,,,,,,
6,Hardwell Joey Dale Thomas Newson   Luciana   R3hab VINAI, Arcadia ,Dash Berlin Dashup,0.0028,https://api.spotify.com/v1/audio-analysis/3HlckzlrHx8xd49xYDCBqH,11A,0.608,193594.0,0.888,3HlckzlrHx8xd49xYDCBqH,3.46e-06,6.0,0.153,-3.192,0.0,0.0351,127.938,4.0,https://api.spotify.com/v1/tracks/3HlckzlrHx8xd49xYDCBqH,audio_features,spotify:track:3HlckzlrHx8xd49xYDCBqH,0.251
7,Dash Berlin   Emma Hewitt, Waiting ,Dash Berlin Miami 2015 Remix,0.0834,https://api.spotify.com/v1/audio-analysis/2Ths9niMVey4aBqRkFfxvw,11A,0.47,173906.0,0.963,2Ths9niMVey4aBqRkFfxvw,0.000238,6.0,0.314,-2.053,0.0,0.112,128.032,4.0,https://api.spotify.com/v1/tracks/2Ths9niMVey4aBqRkFfxvw,audio_features,spotify:track:2Ths9niMVey4aBqRkFfxvw,0.177
8,Zara Larsson, I Would Like ,Dash Berlin Rework,0.0853,https://api.spotify.com/v1/audio-analysis/4Q4jmPHwu0wrJvqrld0FQ6,7A,0.486,226720.0,0.713,4Q4jmPHwu0wrJvqrld0FQ6,0.0,2.0,0.0839,-3.949,0.0,0.0524,121.028,4.0,https://api.spotify.com/v1/tracks/4Q4jmPHwu0wrJvqrld0FQ6,audio_features,spotify:track:4Q4jmPHwu0wrJvqrld0FQ6,0.297
9,Justin Timberlake, Can't Stop The Feeling ,Dash Berlin Remix,,,,,,,,,,,,,,,,,,,
10,Dash Berlin   ID, Locked Out Of Heaven,unknown,,,,,,,,,,,,,,,,,,,
11,Martin Garrix Bebe Rexha, In The Name Of Love ,Syzz Bootleg,0.109,https://api.spotify.com/v1/audio-analysis/23L5CiUhw2jV1OIMwthR3S,9A,0.501,195707.0,0.519,23L5CiUhw2jV1OIMwthR3S,0.0,4.0,0.454,-5.88,0.0,0.0409,133.99,4.0,https://api.spotify.com/v1/tracks/23L5CiUhw2jV1OIMwthR3S,audio_features,spotify:track:23L5CiUhw2jV1OIMwthR3S,0.168
12,DubVision Feenixpawl   Joe Gil, Destination,unknown,0.0409,https://api.spotify.com/v1/audio-analysis/7CAJOOic1iswrz45dWXRnf,9B,0.684,355276.0,0.759,7CAJOOic1iswrz45dWXRnf,0.00256,7.0,0.131,-5.824,1.0,0.071,127.003,4.0,https://api.spotify.com/v1/tracks/7CAJOOic1iswrz45dWXRnf,audio_features,spotify:track:7CAJOOic1iswrz45dWXRnf,0.513
13,Nari Milani and Cristian Marchi, The Creeps 2016,unknown,0.00561,https://api.spotify.com/v1/audio-analysis/76JKgaAFdR0XaZeu5cHqmu,12B,0.759,146719.0,0.977,76JKgaAFdR0XaZeu5cHqmu,0.75,4.0,0.603,-3.363,1.0,0.0517,128.086,4.0,https://api.spotify.com/v1/tracks/76JKgaAFdR0XaZeu5cHqmu,audio_features,spotify:track:76JKgaAFdR0XaZeu5cHqmu,0.85
14,OneRepublic, If I Lose Myself ,Dash Berlin Remix,0.219,https://api.spotify.com/v1/audio-analysis/1hZk9dktp4yRFTm0TrycuH,10B,0.523,214813.0,0.782,1hZk9dktp4yRFTm0TrycuH,1.03e-05,2.0,0.133,-4.846,1.0,0.041,125.998,4.0,https://api.spotify.com/v1/tracks/1hZk9dktp4yRFTm0TrycuH,audio_features,spotify:track:1hZk9dktp4yRFTm0TrycuH,0.164
15,Gabriel Dresden pres. Motorcycle, As The Rush Comes ,Dash Berlin Remix,0.058,https://api.spotify.com/v1/audio-analysis/6uEmDZoJcc7Oqrute8BA2N,9B,0.614,212000.0,0.817,6uEmDZoJcc7Oqrute8BA2N,0.0354,7.0,0.446,-7.527,1.0,0.0631,135.01,4.0,https://api.spotify.com/v1/tracks/6uEmDZoJcc7Oqrute8BA2N,audio_features,spotify:track:6uEmDZoJcc7Oqrute8BA2N,0.644
16,John Legend, Love Me Now ,Dash Berlin Remix,0.591,https://api.spotify.com/v1/audio-analysis/6nxQdXa1uAL0rY72wPZu89,4B,0.488,210293.0,0.762,6nxQdXa1uAL0rY72wPZu89,0.0,8.0,0.0763,-3.842,1.0,0.0865,123.889,4.0,https://api.spotify.com/v1/tracks/6nxQdXa1uAL0rY72wPZu89,audio_features,spotify:track:6nxQdXa1uAL0rY72wPZu89,0.709
17,SICK INDIVIDUALS   Stevie Appleton, People I Love,unknown,0.00371,https://api.spotify.com/v1/audio-analysis/03Df9PfYm38PP8UQ6pLo9A,3A,0.654,355430.0,0.937,03Df9PfYm38PP8UQ6pLo9A,0.0391,10.0,0.141,-3.747,0.0,0.067,127.988,4.0,https://api.spotify.com/v1/tracks/03Df9PfYm38PP8UQ6pLo9A,audio_features,spotify:track:03Df9PfYm38PP8UQ6pLo9A,0.38
18,Alan Walker   Iselin Solheim, Faded ,Dash Berlin Remix,0.0291,https://api.spotify.com/v1/audio-analysis/7gHs73wELdeycvS48JfIos,2B,0.589,212627.0,0.651,7gHs73wELdeycvS48JfIos,3.2e-06,6.0,0.111,-5.097,1.0,0.0306,90.011,4.0,https://api.spotify.com/v1/tracks/7gHs73wELdeycvS48JfIos,audio_features,spotify:track:7gHs73wELdeycvS48JfIos,0.166
19,Dash Berlin Luca Perra, Without The Sun,unknown,0.015,https://api.spotify.com/v1/audio-analysis/6jGkzFSB2LugZp5w8ZrH5j,4A,0.574,181500.0,0.924,6jGkzFSB2LugZp5w8ZrH5j,0.0,5.0,0.0821,-2.984,0.0,0.0502,119.927,4.0,https://api.spotify.com/v1/tracks/6jGkzFSB2LugZp5w8ZrH5j,audio_features,spotify:track:6jGkzFSB2LugZp5w8ZrH5j,0.55
20,Dash Berlin DBSTF   Jake Reese Waka Flocka Flame DJ Whoo Kid, Gold ,Club Mix,0.0052,https://api.spotify.com/v1/audio-analysis/56p4Sbcwv5hPUSGjV11PjP,5A,0.526,145811.0,0.677,56p4Sbcwv5hPUSGjV11PjP,0.0,0.0,0.328,-2.909,0.0,0.0328,128.133,4.0,https://api.spotify.com/v1/tracks/56p4Sbcwv5hPUSGjV11PjP,audio_features,spotify:track:56p4Sbcwv5hPUSGjV11PjP,0.463
21,Dash Berlin   Do, Heaven,unknown,0.0265,https://api.spotify.com/v1/audio-analysis/0hQ26gjJyL3uiEmIxjXqrU,5A,0.59,197813.0,0.786,0hQ26gjJyL3uiEmIxjXqrU,0.0,0.0,0.146,-2.437,0.0,0.0377,128.027,4.0,https://api.spotify.com/v1/tracks/0hQ26gjJyL3uiEmIxjXqrU,audio_features,spotify:track:0hQ26gjJyL3uiEmIxjXqrU,0.236
22,Dash Berlin   Christina Novelli, Jar Of Hearts ,Dash Berlin Upgrade,0.184,https://api.spotify.com/v1/audio-analysis/22XOtlDMd6nP3zPjVYfPDX,5B,0.522,221250.0,0.728,22XOtlDMd6nP3zPjVYfPDX,1.87e-05,3.0,0.163,-4.893,1.0,0.0434,127.94,4.0,https://api.spotify.com/v1/tracks/22XOtlDMd6nP3zPjVYfPDX,audio_features,spotify:track:22XOtlDMd6nP3zPjVYfPDX,0.206
23,John Legend, All Of Me ,Dash Berlin Rework,0.922,https://api.spotify.com/v1/audio-analysis/3U4isOIWM3VvDubwSI3y7a,4B,0.422,269560.0,0.264,3U4isOIWM3VvDubwSI3y7a,0.0,8.0,0.132,-7.064,1.0,0.0322,119.93,4.0,https://api.spotify.com/v1/tracks/3U4isOIWM3VvDubwSI3y7a,audio_features,spotify:track:3U4isOIWM3VvDubwSI3y7a,0.331
24,Lost Frequencies Dash Berlin   Nom De Strip, Are You With Me ,Dash Berlin Dashup,0.262,https://api.spotify.com/v1/audio-analysis/2glGP8kEfACgJdZ86kWxhN,4A,0.763,138013.0,0.608,2glGP8kEfACgJdZ86kWxhN,2.5e-05,5.0,0.12,-8.1,0.0,0.035,121.02,4.0,https://api.spotify.com/v1/tracks/2glGP8kEfACgJdZ86kWxhN,audio_features,spotify:track:2glGP8kEfACgJdZ86kWxhN,0.393
25,MNEK Zara Larsson, Never Forget You ,Dash Berlin Remix,0.00312,https://api.spotify.com/v1/audio-analysis/6hmhG1b4LEyNuashVvuIAo,10A,0.583,213428.0,0.732,6hmhG1b4LEyNuashVvuIAo,9.86e-06,11.0,0.269,-5.728,0.0,0.0457,145.992,4.0,https://api.spotify.com/v1/tracks/6hmhG1b4LEyNuashVvuIAo,audio_features,spotify:track:6hmhG1b4LEyNuashVvuIAo,0.276
26,Yoel Lewis, Monaco,unknown,0.0208,https://api.spotify.com/v1/audio-analysis/1Cu65nU863P8dd7dMdr6pk,10A,0.611,187500.0,0.925,1Cu65nU863P8dd7dMdr6pk,0.155,11.0,0.604,-5.291,0.0,0.057,128.014,4.0,https://api.spotify.com/v1/tracks/1Cu65nU863P8dd7dMdr6pk,audio_features,spotify:track:1Cu65nU863P8dd7dMdr6pk,0.223
27,ATB, 9PM ,Till I Come,0.0276,https://api.spotify.com/v1/audio-analysis/1CgbwsrNDlFrRuk2ebQ7zr,8A,0.672,193880.0,0.941,1CgbwsrNDlFrRuk2ebQ7zr,0.926,9.0,0.149,-6.427,0.0,0.0494,130.218,4.0,https://api.spotify.com/v1/tracks/1CgbwsrNDlFrRuk2ebQ7zr,audio_features,spotify:track:1CgbwsrNDlFrRuk2ebQ7zr,0.754
28,Darude, Sandstorm ,Dash Berlin Rework,0.169,https://api.spotify.com/v1/audio-analysis/24CXuh2WNpgeSYUOvz14jk,10A,0.539,225373.0,0.98,24CXuh2WNpgeSYUOvz14jk,0.982,11.0,0.084,-8.18,0.0,0.0469,136.087,4.0,https://api.spotify.com/v1/tracks/24CXuh2WNpgeSYUOvz14jk,audio_features,spotify:track:24CXuh2WNpgeSYUOvz14jk,0.522
29,Adam Lambert, Ghost Town ,Dash Berlin Remix,0.186,https://api.spotify.com/v1/audio-analysis/44aN5xKL3kGHvQ5bXVk6B8,9A,0.703,208330.0,0.736,44aN5xKL3kGHvQ5bXVk6B8,1.92e-05,4.0,0.174,-5.709,0.0,0.046,119.955,4.0,https://api.spotify.com/v1/tracks/44aN5xKL3kGHvQ5bXVk6B8,audio_features,spotify:track:44aN5xKL3kGHvQ5bXVk6B8,0.274
30,Dash Berlin Jay Cosmic   Collin McLoughlin, Here Tonight ,Dash Berlin Mashup,0.106,https://api.spotify.com/v1/audio-analysis/6Ha2gDoMVDHaRjxxoS6qZJ,6A,0.557,241875.0,0.841,6Ha2gDoMVDHaRjxxoS6qZJ,0.0,7.0,0.337,-2.472,0.0,0.0426,127.977,4.0,https://api.spotify.com/v1/tracks/6Ha2gDoMVDHaRjxxoS6qZJ,audio_features,spotify:track:6Ha2gDoMVDHaRjxxoS6qZJ,0.188
31,Stadiumx Taylr Renee, Howl At The Moon,unknown,0.0525,https://api.spotify.com/v1/audio-analysis/6oFd2c2UiVfFBTIJiFVfz6,3A,0.514,183750.0,0.934,6oFd2c2UiVfFBTIJiFVfz6,0.00089,10.0,0.137,-3.201,0.0,0.0992,127.953,4.0,https://api.spotify.com/v1/tracks/6oFd2c2UiVfFBTIJiFVfz6,audio_features,spotify:track:6oFd2c2UiVfFBTIJiFVfz6,0.182
32,The Chainsmokers   Rozes, Roses ,Dash Berlin Remix,0.0435,https://api.spotify.com/v1/audio-analysis/3vv9phIu6Y1vX3jcqaGz5Z,12B,0.713,226739.0,0.802,3vv9phIu6Y1vX3jcqaGz5Z,0.00377,4.0,0.309,-7.055,1.0,0.0561,100.001,4.0,https://api.spotify.com/v1/tracks/3vv9phIu6Y1vX3jcqaGz5Z,audio_features,spotify:track:3vv9phIu6Y1vX3jcqaGz5Z,0.343
