,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,David Guetta, Live Intro ,2014 Version,0.0113,https://api.spotify.com/v1/audio-analysis/1lNBqpDnEP164VNlOievgP,9B,0.538,85635.0,0.739,1lNBqpDnEP164VNlOievgP,0.685,7.0,0.388,-6.963,1.0,0.0372,97.009,3.0,https://api.spotify.com/v1/tracks/1lNBqpDnEP164VNlOievgP,audio_features,spotify:track:1lNBqpDnEP164VNlOievgP,0.591
1,David Guetta   Skylar Grey, Shot Me Down,unknown,0.0597,https://api.spotify.com/v1/audio-analysis/7qfwcqfGOkQYtzjF4UzJHM,4A,0.347,191412.0,0.772,7qfwcqfGOkQYtzjF4UzJHM,0.0333,5.0,0.115,-4.359,0.0,0.0549,192.118,3.0,https://api.spotify.com/v1/tracks/7qfwcqfGOkQYtzjF4UzJHM,audio_features,spotify:track:7qfwcqfGOkQYtzjF4UzJHM,0.035
2,Hard Rock Sofa Skidka   Nirvana   Prodigy, Rasputin ,Dannic vs. Nicky Romero Mashup,0.167,https://api.spotify.com/v1/audio-analysis/2veHsC4clbrr1YzVWHfFul,8B,0.637,358125.0,0.961,2veHsC4clbrr1YzVWHfFul,0.844,0.0,0.0732,-3.82,1.0,0.0458,128.024,4.0,https://api.spotify.com/v1/tracks/2veHsC4clbrr1YzVWHfFul,audio_features,spotify:track:2veHsC4clbrr1YzVWHfFul,0.285
3,Martin Garrix   Evol Waves, Animal Inferno ,Nicky Romero Edit,,,,,,,,,,,,,,,,,,,
4,Mauro Picotto, Komodo ,Save A Soul,0.044,https://api.spotify.com/v1/audio-analysis/5Mzcpiq4ewTNkV9qGo9DNH,9A,0.678,498827.0,0.759,5Mzcpiq4ewTNkV9qGo9DNH,0.792,4.0,0.0854,-6.481,0.0,0.0426,137.667,4.0,https://api.spotify.com/v1/tracks/5Mzcpiq4ewTNkV9qGo9DNH,audio_features,spotify:track:5Mzcpiq4ewTNkV9qGo9DNH,0.337
5,David Guetta Glowinthedark   The White Stripes, Ain't A Seven Nation Army ,Paolo Ortelli & Luke Degree Booty,,,,,,,,,,,,,,,,,,,
6,Icona Pop   Charli XCX, I Love It ,SICK INDIVIDUALS Remix,0.000222,https://api.spotify.com/v1/audio-analysis/7yRAh6hXWz62xa6VS9AGoE,1A,0.741,405000.0,0.976,7yRAh6hXWz62xa6VS9AGoE,0.573,8.0,0.12,-2.081,0.0,0.0523,128.0,4.0,https://api.spotify.com/v1/tracks/7yRAh6hXWz62xa6VS9AGoE,audio_features,spotify:track:7yRAh6hXWz62xa6VS9AGoE,0.533
7,w/ Maurizio Gubellini Nari Milani   Nicci, Vago ,Acapella,0.00198,https://api.spotify.com/v1/audio-analysis/7oHN4fEXd0wPubuTZLhNbw,4A,0.536,202525.0,0.946,7oHN4fEXd0wPubuTZLhNbw,0.9,5.0,0.366,-5.284,0.0,0.0719,128.112,4.0,https://api.spotify.com/v1/tracks/7oHN4fEXd0wPubuTZLhNbw,audio_features,spotify:track:7oHN4fEXd0wPubuTZLhNbw,0.109
8,w/ Hardwell W&W   Calvin Harris Alesso, Jump Control ,GLOWINTHEDARK Smash-up!,,,,,,,,,,,,,,,,,,,
9,Alesso Calvin Harris   SESA, Bring Control ,Showtek Beijing Mashup,,,,,,,,,,,,,,,,,,,
10,Alesso, Tear The Roof Up,unknown,0.0233,https://api.spotify.com/v1/audio-analysis/2ze8tFyaI1W6db1pJBWBGq,9B,0.684,195787.0,0.954,2ze8tFyaI1W6db1pJBWBGq,0.305,7.0,0.0608,-3.406,1.0,0.0553,126.023,4.0,https://api.spotify.com/v1/tracks/2ze8tFyaI1W6db1pJBWBGq,audio_features,spotify:track:2ze8tFyaI1W6db1pJBWBGq,0.416
11,Afrojack, Musician,unknown,0.0238,https://api.spotify.com/v1/audio-analysis/7wkHXAtquMS0hHQI5iVjEx,8B,0.628,349031.0,0.959,7wkHXAtquMS0hHQI5iVjEx,0.793,0.0,0.105,-4.739,1.0,0.0485,128.0,4.0,https://api.spotify.com/v1/tracks/7wkHXAtquMS0hHQI5iVjEx,audio_features,spotify:track:7wkHXAtquMS0hHQI5iVjEx,0.15
12,w/ Zedd Lucky Date   Ellie Goulding, Fall Into The Sky ,Everybody Fuckin Jump Acapella,0.0362,https://api.spotify.com/v1/audio-analysis/6xzCQrXrn0uOOKBQZK1zsF,9B,0.656,217413.0,0.956,6xzCQrXrn0uOOKBQZK1zsF,0.0384,7.0,0.138,-3.635,1.0,0.0699,128.001,4.0,https://api.spotify.com/v1/tracks/6xzCQrXrn0uOOKBQZK1zsF,audio_features,spotify:track:6xzCQrXrn0uOOKBQZK1zsF,0.54
13,w/ David Guetta   Chris Willis, Just A Little More Love ,Acapella,0.00848,https://api.spotify.com/v1/audio-analysis/14OWRWKwRWvEgaNxyxsm4d,9B,0.62,204387.0,0.86,14OWRWKwRWvEgaNxyxsm4d,0.000141,7.0,0.0852,-5.391,1.0,0.0445,127.967,4.0,https://api.spotify.com/v1/tracks/14OWRWKwRWvEgaNxyxsm4d,audio_features,spotify:track:14OWRWKwRWvEgaNxyxsm4d,0.0972
14,Tiësto, Lethal Industry ,Jebu & MITS Bootleg,5.38e-05,https://api.spotify.com/v1/audio-analysis/1cvoODlXTIlxkrjyd1BAmt,9B,0.513,163813.0,0.949,1cvoODlXTIlxkrjyd1BAmt,0.919,7.0,0.132,-6.021,1.0,0.0454,134.982,4.0,https://api.spotify.com/v1/tracks/1cvoODlXTIlxkrjyd1BAmt,audio_features,spotify:track:1cvoODlXTIlxkrjyd1BAmt,0.0441
15,w/ Chuckie, Who's Ready To Jump ,Acapella,0.00396,https://api.spotify.com/v1/audio-analysis/7hqX7t5WRmCqb2L7PDDUka,4A,0.744,225000.0,0.829,7hqX7t5WRmCqb2L7PDDUka,0.512,5.0,0.348,-4.009,0.0,0.0733,128.017,4.0,https://api.spotify.com/v1/tracks/7hqX7t5WRmCqb2L7PDDUka,audio_features,spotify:track:7hqX7t5WRmCqb2L7PDDUka,0.562
16,w/ Avicii   Dannic Sick Individuals   Chuckie, Blueprint Brother Who's Ready To Jump ,Albert Neve Mashup,,,,,,,,,,,,,,,,,,,
17,Armin van Buuren, Ping Pong ,Kryder & Tom Staar Remix,0.000227,https://api.spotify.com/v1/audio-analysis/4ij7o3hyx7kf4vdWYN0W04,2B,0.586,181887.0,0.973,4ij7o3hyx7kf4vdWYN0W04,0.868,6.0,0.0897,-5.429,1.0,0.0616,128.001,4.0,https://api.spotify.com/v1/tracks/4ij7o3hyx7kf4vdWYN0W04,audio_features,spotify:track:4ij7o3hyx7kf4vdWYN0W04,0.105
18,Showtek Ookay, Bouncer ,Ultra Music Festival Miami Edit,4.87e-05,https://api.spotify.com/v1/audio-analysis/7yzXK13nRm2fDTCPi9RjAu,11A,0.479,263593.0,0.898,7yzXK13nRm2fDTCPi9RjAu,0.144,6.0,0.0673,-4.077,0.0,0.0431,128.088,4.0,https://api.spotify.com/v1/tracks/7yzXK13nRm2fDTCPi9RjAu,audio_features,spotify:track:7yzXK13nRm2fDTCPi9RjAu,0.311
19,Avicii   Audra Mae, Addicted To You ,David Guetta Remix,0.0494,https://api.spotify.com/v1/audio-analysis/5GayeBzzXIEl6fY0cP42Z1,12A,0.549,148387.0,0.778,5GayeBzzXIEl6fY0cP42Z1,0.0,1.0,0.0819,-4.071,0.0,0.0451,128.089,4.0,https://api.spotify.com/v1/tracks/5GayeBzzXIEl6fY0cP42Z1,audio_features,spotify:track:5GayeBzzXIEl6fY0cP42Z1,0.318
20,David Guetta   Ne,Yo & Akon ,Albert Neve Remix,0.0252,https://api.spotify.com/v1/audio-analysis/462J78LtfJOn0kIf9NWaJE,1A,0.751,412500.0,0.963,462J78LtfJOn0kIf9NWaJE,0.00024,8.0,0.578,-3.969,0.0,0.303,127.961,4.0,https://api.spotify.com/v1/tracks/462J78LtfJOn0kIf9NWaJE,audio_features,spotify:track:462J78LtfJOn0kIf9NWaJE,0.452
21,David Guetta Kaz James, Blast Off,unknown,0.00222,https://api.spotify.com/v1/audio-analysis/2JloUbn5LzODW1jSxaLTRP,12B,0.659,188840.0,0.983,2JloUbn5LzODW1jSxaLTRP,2.11e-06,4.0,0.162,-4.065,1.0,0.151,127.949,4.0,https://api.spotify.com/v1/tracks/2JloUbn5LzODW1jSxaLTRP,audio_features,spotify:track:2JloUbn5LzODW1jSxaLTRP,0.118
22,Showtek   Rihanna, Booyah Right Now ,Nicky Romero Stereosonic Edit,,,,,,,,,,,,,,,,,,,
23,David Guetta Showtek   VASSY, BAD,unknown,0.00125,https://api.spotify.com/v1/audio-analysis/6PtXobrqImYfnpIxNsJApa,4A,0.614,170625.0,0.972,6PtXobrqImYfnpIxNsJApa,0.0186,5.0,0.328,-3.927,0.0,0.088,127.966,4.0,https://api.spotify.com/v1/tracks/6PtXobrqImYfnpIxNsJApa,audio_features,spotify:track:6PtXobrqImYfnpIxNsJApa,0.411
24,w/ David Guetta Showtek   ZooFunktion, BAD To The Beat ,GLOWINTHEDARK Smashup,,,,,,,,,,,,,,,,,,,
25,David Guetta Showtek, ID,unknown,0.000115,https://api.spotify.com/v1/audio-analysis/0w132yywtVxpERETzdmCZt,10B,0.516,224960.0,0.815,0w132yywtVxpERETzdmCZt,0.00174,2.0,0.224,-5.724,1.0,0.0315,95.013,4.0,https://api.spotify.com/v1/tracks/0w132yywtVxpERETzdmCZt,audio_features,spotify:track:0w132yywtVxpERETzdmCZt,0.655
26,Sebastian Ingrosso Tommy Trash   John Martin, Reload ,Vocal Mix,0.0736,https://api.spotify.com/v1/audio-analysis/0GDVj31c8AxWXjWFzVFu0d,8A,0.484,221280.0,0.724,0GDVj31c8AxWXjWFzVFu0d,0.0,9.0,0.0631,-4.633,0.0,0.0522,128.038,4.0,https://api.spotify.com/v1/tracks/0GDVj31c8AxWXjWFzVFu0d,audio_features,spotify:track:0GDVj31c8AxWXjWFzVFu0d,0.433
27,w/ Kid Cudi   MGMT, Pursuit Of Happiness ,Steve Aoki Remix,0.511,https://api.spotify.com/v1/audio-analysis/5iSEsR6NKjlC9SrIJkyL3k,8B,0.629,295293.0,0.622,5iSEsR6NKjlC9SrIJkyL3k,0.000174,0.0,0.383,-8.906,1.0,0.0404,115.293,4.0,https://api.spotify.com/v1/tracks/5iSEsR6NKjlC9SrIJkyL3k,audio_features,spotify:track:5iSEsR6NKjlC9SrIJkyL3k,0.264
28,Afrojack   Stephen Wrabel, Ten Feet Tall ,David Guetta Remix,0.0336,https://api.spotify.com/v1/audio-analysis/2ldAdghnrO34HPcZ0IWfTu,8B,0.523,229149.0,0.861,2ldAdghnrO34HPcZ0IWfTu,0.0,0.0,0.144,-3.447,1.0,0.0644,127.049,4.0,https://api.spotify.com/v1/tracks/2ldAdghnrO34HPcZ0IWfTu,audio_features,spotify:track:2ldAdghnrO34HPcZ0IWfTu,0.346
29,Bruno Mars Sultan Ned Shepard   David Guetta Nicky Romero, Locked Out Of Metropolis ,Nicky Romero Mashup,,,,,,,,,,,,,,,,,,,
30,Passenger, Let Her Go ,David Guetta Remix,0.365,https://api.spotify.com/v1/audio-analysis/6GmUVqe73u5YRfUUynZK6I,9B,0.479,252733.0,0.545,6GmUVqe73u5YRfUUynZK6I,0.0,7.0,0.0963,-7.346,1.0,0.0688,74.897,4.0,https://api.spotify.com/v1/tracks/6GmUVqe73u5YRfUUynZK6I,audio_features,spotify:track:6GmUVqe73u5YRfUUynZK6I,0.244
31,Showtek, Slow Down,unknown,0.00611,https://api.spotify.com/v1/audio-analysis/5RwlxAPiIwBKuaTPlUllJn,10A,0.581,207021.0,0.956,5RwlxAPiIwBKuaTPlUllJn,0.824,11.0,0.0978,-3.349,0.0,0.041,129.967,4.0,https://api.spotify.com/v1/tracks/5RwlxAPiIwBKuaTPlUllJn,audio_features,spotify:track:5RwlxAPiIwBKuaTPlUllJn,0.301
32,w/ David Guetta   Chris Willis, Love Is Gone ,Fred Rister & Joachim Garraud Remix,0.0105,https://api.spotify.com/v1/audio-analysis/06AQsApc1OKHD7TEDy0qKv,1A,0.531,432453.0,0.28,06AQsApc1OKHD7TEDy0qKv,0.822,8.0,0.192,-10.399,0.0,0.0299,73.96,4.0,https://api.spotify.com/v1/tracks/06AQsApc1OKHD7TEDy0qKv,audio_features,spotify:track:06AQsApc1OKHD7TEDy0qKv,0.134
33,w/ Knife Party, EDM Death Machine,unknown,0.000802,https://api.spotify.com/v1/audio-analysis/6iBzUjscIAeQ2vKV67UuZM,11B,0.661,263088.0,0.95,6iBzUjscIAeQ2vKV67UuZM,0.452,9.0,0.116,-3.417,1.0,0.131,128.03,4.0,https://api.spotify.com/v1/tracks/6iBzUjscIAeQ2vKV67UuZM,audio_features,spotify:track:6iBzUjscIAeQ2vKV67UuZM,0.301
34,David Guetta Showtek   Kid Cudi Elliphant Ms Dynamite, Memories ,David Guetta Mashup,0.0015,https://api.spotify.com/v1/audio-analysis/4dTaAiV9xFFCxnPur9c9yL,4B,0.544,210093.0,0.87,4dTaAiV9xFFCxnPur9c9yL,2.8e-06,8.0,0.246,-6.103,1.0,0.26,129.984,4.0,https://api.spotify.com/v1/tracks/4dTaAiV9xFFCxnPur9c9yL,audio_features,spotify:track:4dTaAiV9xFFCxnPur9c9yL,0.502
35,David Guetta   Sia, Titanium ,Alesso Remix,0.00326,https://api.spotify.com/v1/audio-analysis/1fI5yYMJEYkAHI5YRdnikY,5A,0.696,403810.0,0.652,1fI5yYMJEYkAHI5YRdnikY,0.67,0.0,0.0894,-6.826,0.0,0.0461,125.981,4.0,https://api.spotify.com/v1/tracks/1fI5yYMJEYkAHI5YRdnikY,audio_features,spotify:track:1fI5yYMJEYkAHI5YRdnikY,0.13
