,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Degos Re,Done ,unknown,0.135,https://api.spotify.com/v1/audio-analysis/6xzTE9A2iL2enmm5SmB35K,3B,0.732,190493.0,0.648,6xzTE9A2iL2enmm5SmB35K,0.0,1.0,0.0574,-9.365,1.0,0.0755,80.0,4.0,https://api.spotify.com/v1/tracks/6xzTE9A2iL2enmm5SmB35K,audio_features,spotify:track:6xzTE9A2iL2enmm5SmB35K,0.574
1,Degos Re,Done ,unknown,0.135,https://api.spotify.com/v1/audio-analysis/6xzTE9A2iL2enmm5SmB35K,3B,0.732,190493.0,0.648,6xzTE9A2iL2enmm5SmB35K,0.0,1.0,0.0574,-9.365,1.0,0.0755,80.0,4.0,https://api.spotify.com/v1/tracks/6xzTE9A2iL2enmm5SmB35K,audio_features,spotify:track:6xzTE9A2iL2enmm5SmB35K,0.574
2,Geck,o ,unknown,0.000343,https://api.spotify.com/v1/audio-analysis/3uSnQmqMzBpEKPlq3blpJs,9B,0.544,398927.0,0.956,3uSnQmqMzBpEKPlq3blpJs,0.902,7.0,0.144,-2.402,1.0,0.0461,148.011,4.0,https://api.spotify.com/v1/tracks/3uSnQmqMzBpEKPlq3blpJs,audio_features,spotify:track:3uSnQmqMzBpEKPlq3blpJs,0.289
3,Endymion, Abduction ,Endymion Remix,0.393,https://api.spotify.com/v1/audio-analysis/2pfD6XRmGErgL6lPamxGys,1A,0.469,185806.0,0.988,2pfD6XRmGErgL6lPamxGys,3.78e-06,8.0,0.0912,-1.373,0.0,0.397,154.685,4.0,https://api.spotify.com/v1/tracks/2pfD6XRmGErgL6lPamxGys,audio_features,spotify:track:2pfD6XRmGErgL6lPamxGys,0.187
4,Act Of Rage D,Sturb ,unknown,,,,,,,,,,,,,,,,,,,
5,Degos Re,Done ,unknown,0.135,https://api.spotify.com/v1/audio-analysis/6xzTE9A2iL2enmm5SmB35K,3B,0.732,190493.0,0.648,6xzTE9A2iL2enmm5SmB35K,0.0,1.0,0.0574,-9.365,1.0,0.0755,80.0,4.0,https://api.spotify.com/v1/tracks/6xzTE9A2iL2enmm5SmB35K,audio_features,spotify:track:6xzTE9A2iL2enmm5SmB35K,0.574
6,MYST, Before You Go,unknown,0.0506,https://api.spotify.com/v1/audio-analysis/0gXabXHVoNMIRR3g8rVyjR,9A,0.326,231039.0,0.981,0gXabXHVoNMIRR3g8rVyjR,0.00134,4.0,0.142,-4.469,0.0,0.164,115.48,4.0,https://api.spotify.com/v1/tracks/0gXabXHVoNMIRR3g8rVyjR,audio_features,spotify:track:0gXabXHVoNMIRR3g8rVyjR,0.202
7,Degos Re,Done ft. MC Diesel ,unknown,,,,,,,,,,,,,,,,,,,
8,Degos Re,Done ,unknown,0.135,https://api.spotify.com/v1/audio-analysis/6xzTE9A2iL2enmm5SmB35K,3B,0.732,190493.0,0.648,6xzTE9A2iL2enmm5SmB35K,0.0,1.0,0.0574,-9.365,1.0,0.0755,80.0,4.0,https://api.spotify.com/v1/tracks/6xzTE9A2iL2enmm5SmB35K,audio_features,spotify:track:6xzTE9A2iL2enmm5SmB35K,0.574
9,Endymion Degos Re,Done ,unknown,0.0526,https://api.spotify.com/v1/audio-analysis/7bZAahUgfHAMc8gaj3niez,11A,0.462,313480.0,0.994,7bZAahUgfHAMc8gaj3niez,0.00304,6.0,0.192,-1.262,0.0,0.114,152.97,4.0,https://api.spotify.com/v1/tracks/7bZAahUgfHAMc8gaj3niez,audio_features,spotify:track:7bZAahUgfHAMc8gaj3niez,0.189
10,Robert Miles, Children ,Degos & Re-Done Remix,0.0866,https://api.spotify.com/v1/audio-analysis/2gmY1vRJzf1SWGJn6AllXT,7B,0.439,148258.0,0.808,2gmY1vRJzf1SWGJn6AllXT,0.0486,5.0,0.341,-5.576,1.0,0.0384,155.006,4.0,https://api.spotify.com/v1/tracks/2gmY1vRJzf1SWGJn6AllXT,audio_features,spotify:track:2gmY1vRJzf1SWGJn6AllXT,0.07
11,w/ Alan Walker   Iselin Solheim, Faded ,Acapella,0.000358,https://api.spotify.com/v1/audio-analysis/0FnMGHqMbh464teiK9M6YA,7B,0.606,225611.0,0.932,0FnMGHqMbh464teiK9M6YA,0.000672,5.0,0.369,-5.603,1.0,0.0753,126.694,4.0,https://api.spotify.com/v1/tracks/0FnMGHqMbh464teiK9M6YA,audio_features,spotify:track:0FnMGHqMbh464teiK9M6YA,0.216
12,Degos Re,Done ,unknown,0.135,https://api.spotify.com/v1/audio-analysis/6xzTE9A2iL2enmm5SmB35K,3B,0.732,190493.0,0.648,6xzTE9A2iL2enmm5SmB35K,0.0,1.0,0.0574,-9.365,1.0,0.0755,80.0,4.0,https://api.spotify.com/v1/tracks/6xzTE9A2iL2enmm5SmB35K,audio_features,spotify:track:6xzTE9A2iL2enmm5SmB35K,0.574
13,B,Front & Degos & Re,unknown,,,,,,,,,,,,,,,,,,,
14,High Voltage, Death Of You,unknown,0.0769,https://api.spotify.com/v1/audio-analysis/5OU0l93hNkegnGxLtYqOfj,4A,0.554,174968.0,0.932,5OU0l93hNkegnGxLtYqOfj,0.0,5.0,0.39,-4.322,0.0,0.152,155.019,4.0,https://api.spotify.com/v1/tracks/5OU0l93hNkegnGxLtYqOfj,audio_features,spotify:track:5OU0l93hNkegnGxLtYqOfj,0.344
15,D,Sturb ,unknown,,,,,,,,,,,,,,,,,,,
