,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Deorro, Good To See You ,Intro,0.563,https://api.spotify.com/v1/audio-analysis/2eN7lXbfHF9ZEPPBdCQoEH,8B,0.147,80079.0,0.378,2eN7lXbfHF9ZEPPBdCQoEH,0.484,0.0,0.154,-11.706,1.0,0.0382,66.608,4.0,https://api.spotify.com/v1/tracks/2eN7lXbfHF9ZEPPBdCQoEH,audio_features,spotify:track:2eN7lXbfHF9ZEPPBdCQoEH,0.0686
1,Deorro, Guide Me,unknown,0.195,https://api.spotify.com/v1/audio-analysis/4Emy25GTcByJn3ofL92ks1,9B,0.404,228071.0,0.43,4Emy25GTcByJn3ofL92ks1,0.00191,7.0,0.503,-9.081,1.0,0.0476,139.108,4.0,https://api.spotify.com/v1/tracks/4Emy25GTcByJn3ofL92ks1,audio_features,spotify:track:4Emy25GTcByJn3ofL92ks1,0.156
2,Deorro, If You Go First,unknown,0.0953,https://api.spotify.com/v1/audio-analysis/4CII8oB9LMhAAPoDqGra4g,3B,0.272,66031.0,0.36,4CII8oB9LMhAAPoDqGra4g,0.649,1.0,0.166,-14.415,1.0,0.0339,85.224,3.0,https://api.spotify.com/v1/tracks/4CII8oB9LMhAAPoDqGra4g,audio_features,spotify:track:4CII8oB9LMhAAPoDqGra4g,0.0591
3,Deorro   Teemu, Turn Back Time,unknown,0.00182,https://api.spotify.com/v1/audio-analysis/02FZ7CS69ZwsLQMngR3rhW,9B,0.605,229100.0,0.717,02FZ7CS69ZwsLQMngR3rhW,0.0316,7.0,0.262,-3.511,1.0,0.0454,123.973,4.0,https://api.spotify.com/v1/tracks/02FZ7CS69ZwsLQMngR3rhW,audio_features,spotify:track:02FZ7CS69ZwsLQMngR3rhW,0.444
4,Deorro, Steady Rise,unknown,0.882,https://api.spotify.com/v1/audio-analysis/0c8P53WNgtsbXIVwYw6ldV,4A,0.157,72269.0,0.284,0c8P53WNgtsbXIVwYw6ldV,0.986,5.0,0.285,-15.828,0.0,0.0401,66.358,4.0,https://api.spotify.com/v1/tracks/0c8P53WNgtsbXIVwYw6ldV,audio_features,spotify:track:0c8P53WNgtsbXIVwYw6ldV,0.0343
5,Deorro   DyCy, Goin Up,unknown,0.0283,https://api.spotify.com/v1/audio-analysis/6ZXO2ZFcAFmkFoJpMIwzGa,4A,0.757,162985.0,0.755,6ZXO2ZFcAFmkFoJpMIwzGa,0.0165,5.0,0.112,-5.791,0.0,0.0887,128.062,4.0,https://api.spotify.com/v1/tracks/6ZXO2ZFcAFmkFoJpMIwzGa,audio_features,spotify:track:6ZXO2ZFcAFmkFoJpMIwzGa,0.423
6,Deorro, Miss You,unknown,0.824,https://api.spotify.com/v1/audio-analysis/2CaIIT2rrJ5vHZIyIQWIwy,3A,0.478,66356.0,0.238,2CaIIT2rrJ5vHZIyIQWIwy,0.00152,10.0,0.252,-18.081,0.0,0.0339,115.978,3.0,https://api.spotify.com/v1/tracks/2CaIIT2rrJ5vHZIyIQWIwy,audio_features,spotify:track:2CaIIT2rrJ5vHZIyIQWIwy,0.0783
7,Deorro   Madeleine Jayne, Find A Way,unknown,0.00293,https://api.spotify.com/v1/audio-analysis/0thT1go2Rd4WFeNRGTrF9B,4A,0.37,226767.0,0.354,0thT1go2Rd4WFeNRGTrF9B,0.169,5.0,0.319,-12.156,0.0,0.0354,116.255,4.0,https://api.spotify.com/v1/tracks/0thT1go2Rd4WFeNRGTrF9B,audio_features,spotify:track:0thT1go2Rd4WFeNRGTrF9B,0.123
8,Deorro, Prove It,unknown,0.0193,https://api.spotify.com/v1/audio-analysis/69ugCiJS4wSz0rR6qF4It0,5B,0.146,42889.0,0.432,69ugCiJS4wSz0rR6qF4It0,0.923,3.0,0.455,-19.222,1.0,0.0583,138.477,4.0,https://api.spotify.com/v1/tracks/69ugCiJS4wSz0rR6qF4It0,audio_features,spotify:track:69ugCiJS4wSz0rR6qF4It0,0.0502
9,Deorro, Butt Naked,unknown,0.000392,https://api.spotify.com/v1/audio-analysis/0kgcZPgonZwh9msLjT6PBV,10B,0.601,158996.0,0.83,0kgcZPgonZwh9msLjT6PBV,0.365,2.0,0.305,-5.312,1.0,0.0507,160.05,4.0,https://api.spotify.com/v1/tracks/0kgcZPgonZwh9msLjT6PBV,audio_features,spotify:track:0kgcZPgonZwh9msLjT6PBV,0.288
10,Deorro, Colorblind,unknown,0.103,https://api.spotify.com/v1/audio-analysis/6qjT2tc2muKYvhCUTVbluL,7A,0.714,68221.0,0.0975,6qjT2tc2muKYvhCUTVbluL,0.00335,2.0,0.221,-14.812,0.0,0.0555,80.013,4.0,https://api.spotify.com/v1/tracks/6qjT2tc2muKYvhCUTVbluL,audio_features,spotify:track:6qjT2tc2muKYvhCUTVbluL,0.531
11,Deorro, Feeling Pretty Good,unknown,0.169,https://api.spotify.com/v1/audio-analysis/03eIEzOHqJrAV6gUhTV9Va,7A,0.685,191934.0,0.372,03eIEzOHqJrAV6gUhTV9Va,0.17,2.0,0.183,-4.974,0.0,0.163,105.043,3.0,https://api.spotify.com/v1/tracks/03eIEzOHqJrAV6gUhTV9Va,audio_features,spotify:track:03eIEzOHqJrAV6gUhTV9Va,0.124
12,Deorro, Hands Up,unknown,0.114,https://api.spotify.com/v1/audio-analysis/5vkRCpUQPb2PrTAkUSB5rB,6B,0.523,41180.0,0.346,5vkRCpUQPb2PrTAkUSB5rB,0.242,10.0,0.299,-9.03,1.0,0.104,69.818,4.0,https://api.spotify.com/v1/tracks/5vkRCpUQPb2PrTAkUSB5rB,audio_features,spotify:track:5vkRCpUQPb2PrTAkUSB5rB,0.0468
13,Deorro, Drumline,unknown,0.752,https://api.spotify.com/v1/audio-analysis/1rbnrQHIFhc9kTFFSgvHe4,8A,0.557,35129.0,0.505,1rbnrQHIFhc9kTFFSgvHe4,0.969,9.0,0.255,-10.741,0.0,0.0622,128.041,3.0,https://api.spotify.com/v1/tracks/1rbnrQHIFhc9kTFFSgvHe4,audio_features,spotify:track:1rbnrQHIFhc9kTFFSgvHe4,0.654
14,Deorro, Bomba,unknown,0.0251,https://api.spotify.com/v1/audio-analysis/3rJHtp9aZnAnbYpTOCpP3l,1A,0.777,193359.0,0.581,3rJHtp9aZnAnbYpTOCpP3l,0.293,8.0,0.368,-6.003,0.0,0.175,114.939,4.0,https://api.spotify.com/v1/tracks/3rJHtp9aZnAnbYpTOCpP3l,audio_features,spotify:track:3rJHtp9aZnAnbYpTOCpP3l,0.69
15,Deorro, Reality,unknown,0.031,https://api.spotify.com/v1/audio-analysis/4ugGBvrcWx2fB0wqP50mXS,11B,0.204,27854.0,0.31,4ugGBvrcWx2fB0wqP50mXS,0.846,9.0,0.157,-27.707,1.0,0.0916,140.303,4.0,https://api.spotify.com/v1/tracks/4ugGBvrcWx2fB0wqP50mXS,audio_features,spotify:track:4ugGBvrcWx2fB0wqP50mXS,0.258
16,Deorro   Lesley Roy, Tell Me Lies,unknown,0.146,https://api.spotify.com/v1/audio-analysis/5ICi5BDNCHAc1lBPlIsKbd,12A,0.702,219119.0,0.451,5ICi5BDNCHAc1lBPlIsKbd,0.0,1.0,0.137,-8.112,0.0,0.197,135.005,4.0,https://api.spotify.com/v1/tracks/5ICi5BDNCHAc1lBPlIsKbd,audio_features,spotify:track:5ICi5BDNCHAc1lBPlIsKbd,0.599
17,Deorro, Honest Man,unknown,0.571,https://api.spotify.com/v1/audio-analysis/40Qg7PpahXQWVBrHT8ouDl,10B,0.698,189551.0,0.286,40Qg7PpahXQWVBrHT8ouDl,0.00155,2.0,0.439,-11.317,1.0,0.0921,160.104,4.0,https://api.spotify.com/v1/tracks/40Qg7PpahXQWVBrHT8ouDl,audio_features,spotify:track:40Qg7PpahXQWVBrHT8ouDl,0.371
18,Deorro," Me, Myself and I",unknown,0.0202,https://api.spotify.com/v1/audio-analysis/0EpFplbkvrUvesEKaTAlbH,2B,0.537,22463.0,0.251,0EpFplbkvrUvesEKaTAlbH,0.0258,6.0,0.304,-18.892,1.0,0.15,167.467,5.0,https://api.spotify.com/v1/tracks/0EpFplbkvrUvesEKaTAlbH,audio_features,spotify:track:0EpFplbkvrUvesEKaTAlbH,0.737
