,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Rob Mayth, Feel My Love ,Devin Wild & Sub Zero Project Bootleg,0.0231,https://api.spotify.com/v1/audio-analysis/5Q8EPHPyr8J1JDGl3nFu5X,3A,0.592,243217.0,0.938,5Q8EPHPyr8J1JDGl3nFu5X,3.55e-05,10.0,0.184,-3.996,0.0,0.143,150.022,4.0,https://api.spotify.com/v1/tracks/5Q8EPHPyr8J1JDGl3nFu5X,audio_features,spotify:track:5Q8EPHPyr8J1JDGl3nFu5X,0.157
1,Sub Zero Project, The Project,unknown,0.00132,https://api.spotify.com/v1/audio-analysis/0rxN1O9XnyLVPYixqLrMWP,8A,0.182,203817.0,0.891,0rxN1O9XnyLVPYixqLrMWP,0.00336,9.0,0.0787,-3.22,0.0,0.0573,149.86,4.0,https://api.spotify.com/v1/tracks/0rxN1O9XnyLVPYixqLrMWP,audio_features,spotify:track:0rxN1O9XnyLVPYixqLrMWP,0.136
2,Devin Wild, Revolve,unknown,0.00805,https://api.spotify.com/v1/audio-analysis/4cbTuEl7clSWlP0Q4WIsXK,9B,0.486,222517.0,0.837,4cbTuEl7clSWlP0Q4WIsXK,0.00162,7.0,0.228,-4.29,1.0,0.046,75.003,4.0,https://api.spotify.com/v1/tracks/4cbTuEl7clSWlP0Q4WIsXK,audio_features,spotify:track:4cbTuEl7clSWlP0Q4WIsXK,0.14
3,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
4,Devin Wild   Galantis, Children Of The Sun ,U & I,0.0479,https://api.spotify.com/v1/audio-analysis/6ITixDRNxeMsrhOinBcbE2,7B,0.471,241210.0,0.933,6ITixDRNxeMsrhOinBcbE2,2.95e-05,5.0,0.334,-3.866,1.0,0.0483,150.029,4.0,https://api.spotify.com/v1/tracks/6ITixDRNxeMsrhOinBcbE2,audio_features,spotify:track:6ITixDRNxeMsrhOinBcbE2,0.354
5,Devin Wild, Breakthrough,unknown,0.0113,https://api.spotify.com/v1/audio-analysis/4it5Cchg13sT1o38hQHmgS,4B,0.505,163312.0,0.95,4it5Cchg13sT1o38hQHmgS,0.0,8.0,0.201,-3.203,1.0,0.0437,149.916,4.0,https://api.spotify.com/v1/tracks/4it5Cchg13sT1o38hQHmgS,audio_features,spotify:track:4it5Cchg13sT1o38hQHmgS,0.172
6,Atmozfears Devin Wild, ID,unknown,0.397,https://api.spotify.com/v1/audio-analysis/11CVk0k216ivE9UVdx4CSD,6A,0.693,201567.0,0.738,11CVk0k216ivE9UVdx4CSD,0.00147,7.0,0.786,-9.336,0.0,0.0717,129.951,3.0,https://api.spotify.com/v1/tracks/11CVk0k216ivE9UVdx4CSD,audio_features,spotify:track:11CVk0k216ivE9UVdx4CSD,0.474
7,Devin Wild RVAGE, Just Me,unknown,0.00102,https://api.spotify.com/v1/audio-analysis/23W0j4Vavnv2krP8irzREi,4A,0.573,200960.0,0.897,23W0j4Vavnv2krP8irzREi,0.0,5.0,0.355,-3.685,0.0,0.0614,74.97,4.0,https://api.spotify.com/v1/tracks/23W0j4Vavnv2krP8irzREi,audio_features,spotify:track:23W0j4Vavnv2krP8irzREi,0.225
8,E,Force & Frequencerz ,Devin Wild Remix,,,,,,,,,,,,,,,,,,,
9,Devin Wild JNXD, ID,unknown,0.397,https://api.spotify.com/v1/audio-analysis/11CVk0k216ivE9UVdx4CSD,6A,0.693,201567.0,0.738,11CVk0k216ivE9UVdx4CSD,0.00147,7.0,0.786,-9.336,0.0,0.0717,129.951,3.0,https://api.spotify.com/v1/tracks/11CVk0k216ivE9UVdx4CSD,audio_features,spotify:track:11CVk0k216ivE9UVdx4CSD,0.474
10,Noisecontrollers, Savannah,unknown,0.000281,https://api.spotify.com/v1/audio-analysis/2FgdtvJlotRv6uPHLV05B0,5A,0.532,184200.0,0.97,2FgdtvJlotRv6uPHLV05B0,0.287,0.0,0.131,-6.238,0.0,0.0681,150.045,4.0,https://api.spotify.com/v1/tracks/2FgdtvJlotRv6uPHLV05B0,audio_features,spotify:track:2FgdtvJlotRv6uPHLV05B0,0.277
