,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,La Fuente, Capitol,unknown,0.387,https://api.spotify.com/v1/audio-analysis/2BMSmsDdX1U5DrWjfRCu0y,9A,0.638,161545.0,0.952,2BMSmsDdX1U5DrWjfRCu0y,0.00127,4.0,0.538,-3.597,0.0,0.197,125.188,4.0,https://api.spotify.com/v1/tracks/2BMSmsDdX1U5DrWjfRCu0y,audio_features,spotify:track:2BMSmsDdX1U5DrWjfRCu0y,0.609
1,Asketa, This Life,unknown,,,,,,,,,,,,,,,,,,,
2,Mark Villa Keanu Silva   F51, Lots To Say ,Keanu Silva VIP Mix,0.0136,https://api.spotify.com/v1/audio-analysis/70lkCSHk4NPBA2ATQt6f6I,8B,0.703,195652.0,0.828,70lkCSHk4NPBA2ATQt6f6I,0.000221,0.0,0.577,-4.403,1.0,0.142,125.95,4.0,https://api.spotify.com/v1/tracks/70lkCSHk4NPBA2ATQt6f6I,audio_features,spotify:track:70lkCSHk4NPBA2ATQt6f6I,0.435
3,Zedd   Alessia Cara, Stay ,Chris Robleda Remix,0.253,https://api.spotify.com/v1/audio-analysis/6uBhi9gBXWjanegOb2Phh0,4A,0.69,210091.0,0.622,6uBhi9gBXWjanegOb2Phh0,0.0,5.0,0.116,-5.025,0.0,0.0622,102.04,4.0,https://api.spotify.com/v1/tracks/6uBhi9gBXWjanegOb2Phh0,audio_features,spotify:track:6uBhi9gBXWjanegOb2Phh0,0.544
4,Mike Mago   Elderbrook, You Don't Know Me Now,unknown,0.0345,https://api.spotify.com/v1/audio-analysis/2yHpNwEGXdzsnsRgIy5R3O,6B,0.611,191591.0,0.855,2yHpNwEGXdzsnsRgIy5R3O,0.00405,10.0,0.104,-4.165,1.0,0.0282,123.978,4.0,https://api.spotify.com/v1/tracks/2yHpNwEGXdzsnsRgIy5R3O,audio_features,spotify:track:2yHpNwEGXdzsnsRgIy5R3O,0.45
5,PBH Jack Shizzle   Sings, Deep Inside,unknown,0.0107,https://api.spotify.com/v1/audio-analysis/2VRAx1uV67xY25LgdIPLIw,3B,0.668,176702.0,0.924,2VRAx1uV67xY25LgdIPLIw,0.000118,1.0,0.241,-2.552,1.0,0.0367,125.028,4.0,https://api.spotify.com/v1/tracks/2VRAx1uV67xY25LgdIPLIw,audio_features,spotify:track:2VRAx1uV67xY25LgdIPLIw,0.654
6,Ellis Beau Collins   Joegarratt, Anyway,unknown,0.0873,https://api.spotify.com/v1/audio-analysis/3MPTBsLd0c3rCyt1wLkwtd,5A,0.719,202391.0,0.855,3MPTBsLd0c3rCyt1wLkwtd,0.00275,0.0,0.0968,-5.133,0.0,0.0606,126.032,4.0,https://api.spotify.com/v1/tracks/3MPTBsLd0c3rCyt1wLkwtd,audio_features,spotify:track:3MPTBsLd0c3rCyt1wLkwtd,0.56
7,S.P.Y, Love Unlimited,unknown,0.0833,https://api.spotify.com/v1/audio-analysis/2Erm1KPrliU2EEqPZYHY5x,4B,0.59,256139.0,0.932,2Erm1KPrliU2EEqPZYHY5x,0.00392,8.0,0.0717,-3.704,1.0,0.163,169.933,4.0,https://api.spotify.com/v1/tracks/2Erm1KPrliU2EEqPZYHY5x,audio_features,spotify:track:2Erm1KPrliU2EEqPZYHY5x,0.647
8,Mako, Let Go Of The Wheel ,Fury Remix,0.0469,https://api.spotify.com/v1/audio-analysis/2B86KptQfpwSUjin58hoMc,4B,0.418,253170.0,0.72,2B86KptQfpwSUjin58hoMc,0.0,8.0,0.107,-5.386,1.0,0.0778,164.968,4.0,https://api.spotify.com/v1/tracks/2B86KptQfpwSUjin58hoMc,audio_features,spotify:track:2B86KptQfpwSUjin58hoMc,0.29
9,Bottai, Bare Mind,unknown,,,,,,,,,,,,,,,,,,,
