,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Cirez D, ID,unknown,0.00186,https://api.spotify.com/v1/audio-analysis/5f16faoWznQlmj1mYyTtYi,9B,0.472,164933.0,0.974,5f16faoWznQlmj1mYyTtYi,0.00223,7.0,0.392,-4.125,1.0,0.151,107.538,4.0,https://api.spotify.com/v1/tracks/5f16faoWznQlmj1mYyTtYi,audio_features,spotify:track:5f16faoWznQlmj1mYyTtYi,0.708
1,Wehbba, Just,unknown,0.037,https://api.spotify.com/v1/audio-analysis/5ZcCqtviZx66S2AxbUeF2M,2B,0.776,323435.0,0.909,5ZcCqtviZx66S2AxbUeF2M,0.926,6.0,0.087,-7.641,1.0,0.117,128.027,4.0,https://api.spotify.com/v1/tracks/5ZcCqtviZx66S2AxbUeF2M,audio_features,spotify:track:5ZcCqtviZx66S2AxbUeF2M,0.0904
2,Bart Skils Reinier Zonneveld, Snakecharmer ,Pig&Dan Remix,0.000736,https://api.spotify.com/v1/audio-analysis/09JdwjQdRjk7z7YkZk2diB,4B,0.677,475080.0,0.631,09JdwjQdRjk7z7YkZk2diB,0.91,8.0,0.112,-9.775,1.0,0.0699,126.001,4.0,https://api.spotify.com/v1/tracks/09JdwjQdRjk7z7YkZk2diB,audio_features,spotify:track:09JdwjQdRjk7z7YkZk2diB,0.236
3,Pryda, Soho Miami 2018 ID ,Working Title,,,,,,,,,,,,,,,,,,,
4,Daft Punk, Alive ,ID Remix,5.42e-05,https://api.spotify.com/v1/audio-analysis/1PH5Es89c1cENU8WVuWwbp,2A,0.723,316253.0,0.716,1PH5Es89c1cENU8WVuWwbp,0.905,3.0,0.072,-6.407,0.0,0.0437,128.701,4.0,https://api.spotify.com/v1/tracks/1PH5Es89c1cENU8WVuWwbp,audio_features,spotify:track:1PH5Es89c1cENU8WVuWwbp,0.0748
5,Enrico Sangiuliano, Symbiosis,unknown,0.0342,https://api.spotify.com/v1/audio-analysis/1BiZIPwNd3yLP9KBoUqMRY,12A,0.752,533311.0,0.874,1BiZIPwNd3yLP9KBoUqMRY,0.864,1.0,0.175,-7.716,0.0,0.0817,129.009,4.0,https://api.spotify.com/v1/tracks/1BiZIPwNd3yLP9KBoUqMRY,audio_features,spotify:track:1BiZIPwNd3yLP9KBoUqMRY,0.154
6,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
7,Cirez D, On Off,unknown,0.000225,https://api.spotify.com/v1/audio-analysis/0YHJHGRuPDMt7mpdB1HhJV,12B,0.797,548455.0,0.711,0YHJHGRuPDMt7mpdB1HhJV,0.876,4.0,0.104,-10.605,1.0,0.0522,127.986,4.0,https://api.spotify.com/v1/tracks/0YHJHGRuPDMt7mpdB1HhJV,audio_features,spotify:track:0YHJHGRuPDMt7mpdB1HhJV,0.142
8,w/ Adam Beyer, What You Need,unknown,0.0125,https://api.spotify.com/v1/audio-analysis/3uDQouqySlb6XOrBVSvx8i,2B,0.826,397105.0,0.906,3uDQouqySlb6XOrBVSvx8i,0.843,6.0,0.1,-8.185,1.0,0.0704,123.01,4.0,https://api.spotify.com/v1/tracks/3uDQouqySlb6XOrBVSvx8i,audio_features,spotify:track:3uDQouqySlb6XOrBVSvx8i,0.734
9,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
10,Cirez D, Brown Alley ID ,Working Title,,,,,,,,,,,,,,,,,,,
11,Cirez D, Ushuaia ID ,Working Title,,,,,,,,,,,,,,,,,,,
12,Adam Beyer Enrico Sangiuliano, ID,unknown,0.655,https://api.spotify.com/v1/audio-analysis/08UzGDamcvDkjUDp0dbdIT,12B,0.505,146267.0,0.398,08UzGDamcvDkjUDp0dbdIT,0.0,4.0,0.299,-8.707,1.0,0.0506,115.639,4.0,https://api.spotify.com/v1/tracks/08UzGDamcvDkjUDp0dbdIT,audio_features,spotify:track:08UzGDamcvDkjUDp0dbdIT,0.247
