,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,LPLS, Voxplosion Pus,unknown,,,,,,,,,,,,,,,,,,,
1,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
2,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
3,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
4,Carlos Roll Mr. Danny, Virux ,Alex Gomez Remix,,,,,,,,,,,,,,,,,,,
5,Jonny Mc Govern Kevin Aviance, The World Work,unknown,,,,,,,,,,,,,,,,,,,
6,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
7,Mark Broom, Satellite,unknown,4.98e-05,https://api.spotify.com/v1/audio-analysis/6tmt6O1MhsImj63uXadR9r,9B,0.767,319674.0,0.858,6tmt6O1MhsImj63uXadR9r,0.78,7.0,0.0976,-6.643,1.0,0.0475,126.994,4.0,https://api.spotify.com/v1/tracks/6tmt6O1MhsImj63uXadR9r,audio_features,spotify:track:6tmt6O1MhsImj63uXadR9r,0.505
8,Dario Sorano, Kick Off,unknown,4.61e-05,https://api.spotify.com/v1/audio-analysis/7nusyCg221exVoerxvGzlc,1B,0.782,427467.0,0.734,7nusyCg221exVoerxvGzlc,0.838,11.0,0.0664,-10.492,1.0,0.0587,128.024,4.0,https://api.spotify.com/v1/tracks/7nusyCg221exVoerxvGzlc,audio_features,spotify:track:7nusyCg221exVoerxvGzlc,0.0501
9,Array Access, Variation I ,Ekserd Remix,,,,,,,,,,,,,,,,,,,
10,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
11,The Reoner Muksell, Metropolis,unknown,0.272,https://api.spotify.com/v1/audio-analysis/0lNtLBFqhqRMECdc8MrHb2,9B,0.706,285015.0,0.808,0lNtLBFqhqRMECdc8MrHb2,0.245,7.0,0.177,-8.228,1.0,0.0522,128.023,4.0,https://api.spotify.com/v1/tracks/0lNtLBFqhqRMECdc8MrHb2,audio_features,spotify:track:0lNtLBFqhqRMECdc8MrHb2,0.431
