,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Dadub, Vibration,unknown,0.262,https://api.spotify.com/v1/audio-analysis/3VXLVjfEVMnJvp3YNAytSR,3A,0.197,334036.0,0.269,3VXLVjfEVMnJvp3YNAytSR,0.621,10.0,0.0965,-17.087,0.0,0.0359,97.119,4.0,https://api.spotify.com/v1/tracks/3VXLVjfEVMnJvp3YNAytSR,audio_features,spotify:track:3VXLVjfEVMnJvp3YNAytSR,0.0394
1,Fabio Florido, Levity,unknown,0.363,https://api.spotify.com/v1/audio-analysis/7yJPcfMhXcyhVxnGXFBsK6,3A,0.784,359135.0,0.894,7yJPcfMhXcyhVxnGXFBsK6,0.922,10.0,0.109,-10.819,0.0,0.0537,124.002,4.0,https://api.spotify.com/v1/tracks/7yJPcfMhXcyhVxnGXFBsK6,audio_features,spotify:track:7yJPcfMhXcyhVxnGXFBsK6,0.459
2,Amelie Lens, Drift,unknown,0.0673,https://api.spotify.com/v1/audio-analysis/4t1DXTyp454P6uY7FL29rg,10A,0.793,397500.0,0.476,4t1DXTyp454P6uY7FL29rg,0.941,11.0,0.104,-15.635,0.0,0.0682,127.993,4.0,https://api.spotify.com/v1/tracks/4t1DXTyp454P6uY7FL29rg,audio_features,spotify:track:4t1DXTyp454P6uY7FL29rg,0.0599
3,Mathame, Timeshift,unknown,0.0136,https://api.spotify.com/v1/audio-analysis/2gJZU8AmcPdaVShT7FANnn,3A,0.827,449524.0,0.411,2gJZU8AmcPdaVShT7FANnn,0.918,10.0,0.109,-10.787,0.0,0.0845,126.015,4.0,https://api.spotify.com/v1/tracks/2gJZU8AmcPdaVShT7FANnn,audio_features,spotify:track:2gJZU8AmcPdaVShT7FANnn,0.0374
4,Enrico Sangiuliano, Blooming Era,unknown,0.000708,https://api.spotify.com/v1/audio-analysis/1YDzIFUD4zZwejyM8rHqt8,3B,0.782,432857.0,0.584,1YDzIFUD4zZwejyM8rHqt8,0.768,1.0,0.136,-8.965,1.0,0.0675,126.015,4.0,https://api.spotify.com/v1/tracks/1YDzIFUD4zZwejyM8rHqt8,audio_features,spotify:track:1YDzIFUD4zZwejyM8rHqt8,0.109
5,Len Faki Regal, Abroad,unknown,0.0153,https://api.spotify.com/v1/audio-analysis/5HnRckIUbUsRBX0qEFCDXO,3A,0.645,422797.0,0.636,5HnRckIUbUsRBX0qEFCDXO,0.888,10.0,0.112,-13.386,0.0,0.0397,128.0,4.0,https://api.spotify.com/v1/tracks/5HnRckIUbUsRBX0qEFCDXO,audio_features,spotify:track:5HnRckIUbUsRBX0qEFCDXO,0.0646
6,Trunkline, The Mole,unknown,,,,,,,,,,,,,,,,,,,
7,Billy Turner, Should I Get A New Roll Of Tape,unknown,0.000674,https://api.spotify.com/v1/audio-analysis/6wOsiQu5vovBiIu6PBd0yT,8B,0.533,363031.0,0.803,6wOsiQu5vovBiIu6PBd0yT,0.934,0.0,0.113,-10.4,1.0,0.044,128.995,4.0,https://api.spotify.com/v1/tracks/6wOsiQu5vovBiIu6PBd0yT,audio_features,spotify:track:6wOsiQu5vovBiIu6PBd0yT,0.34
8,Parallx, Lost In Time,unknown,7.56e-05,https://api.spotify.com/v1/audio-analysis/5XXgdntG60jC38aLX89bO3,8B,0.895,421364.0,0.734,5XXgdntG60jC38aLX89bO3,0.886,0.0,0.111,-8.166,1.0,0.0795,134.004,4.0,https://api.spotify.com/v1/tracks/5XXgdntG60jC38aLX89bO3,audio_features,spotify:track:5XXgdntG60jC38aLX89bO3,0.23
9,Alberto Pascual, Last Train To Party,unknown,3.83e-05,https://api.spotify.com/v1/audio-analysis/0w9i2WuNaViI44Vn0lCTIf,1B,0.788,428473.0,0.69,0w9i2WuNaViI44Vn0lCTIf,0.899,11.0,0.0953,-11.484,1.0,0.0824,127.008,4.0,https://api.spotify.com/v1/tracks/0w9i2WuNaViI44Vn0lCTIf,audio_features,spotify:track:0w9i2WuNaViI44Vn0lCTIf,0.153
10,Curtis Mack, Datamoshing ,Mike Wall Interpretation,0.57,https://api.spotify.com/v1/audio-analysis/2qbehKQ2ae6k20iWLBdaMt,9B,0.763,404000.0,0.379,2qbehKQ2ae6k20iWLBdaMt,0.922,7.0,0.115,-15.457,1.0,0.174,129.002,4.0,https://api.spotify.com/v1/tracks/2qbehKQ2ae6k20iWLBdaMt,audio_features,spotify:track:2qbehKQ2ae6k20iWLBdaMt,0.144
11,Efde, Move On ,Trus'me Thrust Mix,4.93e-06,https://api.spotify.com/v1/audio-analysis/2IWCHWrDZiIdiowyOgnIrO,3A,0.717,313694.0,0.729,2IWCHWrDZiIdiowyOgnIrO,0.895,10.0,0.337,-6.917,0.0,0.0466,128.001,4.0,https://api.spotify.com/v1/tracks/2IWCHWrDZiIdiowyOgnIrO,audio_features,spotify:track:2IWCHWrDZiIdiowyOgnIrO,0.584
12,Niereich Hackler Kuch, Empire,unknown,0.00161,https://api.spotify.com/v1/audio-analysis/09YVLIQ3PY2n3ywRkGk5Iv,12A,0.674,393077.0,0.961,09YVLIQ3PY2n3ywRkGk5Iv,0.844,1.0,0.105,-8.713,0.0,0.0528,127.011,4.0,https://api.spotify.com/v1/tracks/09YVLIQ3PY2n3ywRkGk5Iv,audio_features,spotify:track:09YVLIQ3PY2n3ywRkGk5Iv,0.0596
