,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
1,Dusky, LF10,unknown,0.000377,https://api.spotify.com/v1/audio-analysis/2Ld7qJoBwUePyKo3CttUE5,10A,0.791,370125.0,0.945,2Ld7qJoBwUePyKo3CttUE5,0.88,11.0,0.111,-7.099,0.0,0.0476,124.995,4.0,https://api.spotify.com/v1/tracks/2Ld7qJoBwUePyKo3CttUE5,audio_features,spotify:track:2Ld7qJoBwUePyKo3CttUE5,0.596
2,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
3,Dusky, Cold Heart,unknown,0.000106,https://api.spotify.com/v1/audio-analysis/6jOnNJdHJ6y1eCDl4obRXX,3B,0.684,196374.0,0.723,6jOnNJdHJ6y1eCDl4obRXX,0.843,1.0,0.0903,-6.137,1.0,0.0396,122.017,4.0,https://api.spotify.com/v1/tracks/6jOnNJdHJ6y1eCDl4obRXX,audio_features,spotify:track:6jOnNJdHJ6y1eCDl4obRXX,0.835
4,KiNK, Five,unknown,0.129,https://api.spotify.com/v1/audio-analysis/4ti6uDodBFRMqwvrExIGc9,1A,0.729,453768.0,0.659,4ti6uDodBFRMqwvrExIGc9,0.883,8.0,0.0927,-8.48,0.0,0.0735,127.009,5.0,https://api.spotify.com/v1/tracks/4ti6uDodBFRMqwvrExIGc9,audio_features,spotify:track:4ti6uDodBFRMqwvrExIGc9,0.393
5,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
6,Maceo Plex   Maars, Mutant Disco,unknown,0.0089,https://api.spotify.com/v1/audio-analysis/3L5uGz7ySQ3FRA246NGbQo,1B,0.833,420480.0,0.496,3L5uGz7ySQ3FRA246NGbQo,0.835,11.0,0.0805,-9.148,1.0,0.0697,124.025,4.0,https://api.spotify.com/v1/tracks/3L5uGz7ySQ3FRA246NGbQo,audio_features,spotify:track:3L5uGz7ySQ3FRA246NGbQo,0.358
7,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
8,TERR, Neuromancer ,Krystal Klear Remix,0.0117,https://api.spotify.com/v1/audio-analysis/38xlLsYXRmA4h0NFJVZDPQ,10A,0.568,526787.0,0.897,38xlLsYXRmA4h0NFJVZDPQ,0.726,11.0,0.337,-8.483,0.0,0.0649,123.999,4.0,https://api.spotify.com/v1/tracks/38xlLsYXRmA4h0NFJVZDPQ,audio_features,spotify:track:38xlLsYXRmA4h0NFJVZDPQ,0.799
9,AB/DC, This Feelin' ,Man Power Remix,7.23e-05,https://api.spotify.com/v1/audio-analysis/39pevPEkKK3PYlrldxjSgO,9B,0.572,322591.0,0.672,39pevPEkKK3PYlrldxjSgO,0.951,7.0,0.321,-9.028,1.0,0.0329,122.01,4.0,https://api.spotify.com/v1/tracks/39pevPEkKK3PYlrldxjSgO,audio_features,spotify:track:39pevPEkKK3PYlrldxjSgO,0.0936
10,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
11,Marcus Marr, High Times ,Gerd Janson Discotheque Remix,0.000466,https://api.spotify.com/v1/audio-analysis/4YNzE2vY8WkiyGHMMPmg7s,9A,0.564,429409.0,0.852,4YNzE2vY8WkiyGHMMPmg7s,0.865,4.0,0.0857,-6.913,0.0,0.0436,119.992,4.0,https://api.spotify.com/v1/tracks/4YNzE2vY8WkiyGHMMPmg7s,audio_features,spotify:track:4YNzE2vY8WkiyGHMMPmg7s,0.352
12,Josh Wink, Selecta,unknown,0.000189,https://api.spotify.com/v1/audio-analysis/3y67T605zrxZadIf6dy3jg,8B,0.793,434055.0,0.751,3y67T605zrxZadIf6dy3jg,0.894,0.0,0.0955,-9.166,1.0,0.0474,123.0,5.0,https://api.spotify.com/v1/tracks/3y67T605zrxZadIf6dy3jg,audio_features,spotify:track:3y67T605zrxZadIf6dy3jg,0.338
13,KiNK, Perth ,Dusky Remix,0.000403,https://api.spotify.com/v1/audio-analysis/38mFPR6JTtMywd4feWQJKL,6B,0.564,226560.0,0.834,38mFPR6JTtMywd4feWQJKL,0.903,10.0,0.706,-10.098,1.0,0.0571,124.996,4.0,https://api.spotify.com/v1/tracks/38mFPR6JTtMywd4feWQJKL,audio_features,spotify:track:38mFPR6JTtMywd4feWQJKL,0.375
14,Dusky, Square Miso,unknown,0.275,https://api.spotify.com/v1/audio-analysis/1xEVN2kGewHLQtkXSYGX0Z,5B,0.295,277507.0,0.681,1xEVN2kGewHLQtkXSYGX0Z,0.552,3.0,0.642,-11.804,1.0,0.0374,114.017,4.0,https://api.spotify.com/v1/tracks/1xEVN2kGewHLQtkXSYGX0Z,audio_features,spotify:track:1xEVN2kGewHLQtkXSYGX0Z,0.081
15,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
16,Florian Meindl, Space Traveler ,Lucy Remix,0.0122,https://api.spotify.com/v1/audio-analysis/5gtnPZVy5reNp1DKWJ1Q7p,9B,0.686,457846.0,0.694,5gtnPZVy5reNp1DKWJ1Q7p,0.895,7.0,0.25,-11.641,1.0,0.0499,130.011,4.0,https://api.spotify.com/v1/tracks/5gtnPZVy5reNp1DKWJ1Q7p,audio_features,spotify:track:5gtnPZVy5reNp1DKWJ1Q7p,0.141
17,Dusky, Ingrid Is A Hybrid,unknown,0.00365,https://api.spotify.com/v1/audio-analysis/6hREi7jxcLZyq02dAIsyjL,4B,0.53,280520.0,0.491,6hREi7jxcLZyq02dAIsyjL,0.52,8.0,0.0863,-10.512,1.0,0.0352,124.993,4.0,https://api.spotify.com/v1/tracks/6hREi7jxcLZyq02dAIsyjL,audio_features,spotify:track:6hREi7jxcLZyq02dAIsyjL,0.0462
18,Delia Gonzalez Gavin Russom, Relevee ,Carl Craig Remix / Slam Rework,0.00031,https://api.spotify.com/v1/audio-analysis/0oSigDSDs2Sr1IMRwQVjjL,12A,0.506,475105.0,0.639,0oSigDSDs2Sr1IMRwQVjjL,0.833,1.0,0.11,-13.625,0.0,0.0344,127.006,4.0,https://api.spotify.com/v1/tracks/0oSigDSDs2Sr1IMRwQVjjL,audio_features,spotify:track:0oSigDSDs2Sr1IMRwQVjjL,0.114
19,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
20,Hugo Massien, Where Your Body Begins,unknown,0.00284,https://api.spotify.com/v1/audio-analysis/70wVRlWSx0CEvUHAGgovdZ,10B,0.678,349302.0,0.995,70wVRlWSx0CEvUHAGgovdZ,0.908,2.0,0.397,-6.893,1.0,0.0521,130.005,4.0,https://api.spotify.com/v1/tracks/70wVRlWSx0CEvUHAGgovdZ,audio_features,spotify:track:70wVRlWSx0CEvUHAGgovdZ,0.359
21,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
22,Elax, Reaktor,unknown,0.0454,https://api.spotify.com/v1/audio-analysis/2hfT3hbuX3BmL9p8bp5MHv,10B,0.94,403644.0,0.471,2hfT3hbuX3BmL9p8bp5MHv,0.906,2.0,0.108,-9.671,1.0,0.0515,124.01,4.0,https://api.spotify.com/v1/tracks/2hfT3hbuX3BmL9p8bp5MHv,audio_features,spotify:track:2hfT3hbuX3BmL9p8bp5MHv,0.426
23,Chus Ceballos Danny Serrano Solo Tamas, Down For It ,In Stereo Remix,0.000559,https://api.spotify.com/v1/audio-analysis/4p5h66aQQKB2O4ZESzRTG3,3A,0.807,196190.0,0.955,4p5h66aQQKB2O4ZESzRTG3,0.908,10.0,0.0391,-9.118,0.0,0.049,126.003,4.0,https://api.spotify.com/v1/tracks/4p5h66aQQKB2O4ZESzRTG3,audio_features,spotify:track:4p5h66aQQKB2O4ZESzRTG3,0.524
24,Project 223, Tell Me,unknown,0.00253,https://api.spotify.com/v1/audio-analysis/4Jd6GgS4ql11aXvGHWhuqz,3B,0.713,378537.0,0.892,4Jd6GgS4ql11aXvGHWhuqz,0.967,1.0,0.566,-8.666,1.0,0.0657,122.886,3.0,https://api.spotify.com/v1/tracks/4Jd6GgS4ql11aXvGHWhuqz,audio_features,spotify:track:4Jd6GgS4ql11aXvGHWhuqz,0.598
25,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
