,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Evil Activities Endymion   E,life ,Wildstylez Remix,0.00032,https://api.spotify.com/v1/audio-analysis/54ArgpaRv2fmA9jEL4h22l,6B,0.452,240107.0,0.881,54ArgpaRv2fmA9jEL4h22l,0.000111,10.0,0.0845,-4.109,1.0,0.0384,141.911,4.0,https://api.spotify.com/v1/tracks/54ArgpaRv2fmA9jEL4h22l,audio_features,spotify:track:54ArgpaRv2fmA9jEL4h22l,0.219
1,Endymion Alfred, My Name Is Alfred,unknown,0.0964,https://api.spotify.com/v1/audio-analysis/38NC2NX5S4Sa2caLkF1rew,4A,0.564,171800.0,0.985,38NC2NX5S4Sa2caLkF1rew,0.000294,5.0,0.127,-3.096,0.0,0.121,149.986,4.0,https://api.spotify.com/v1/tracks/38NC2NX5S4Sa2caLkF1rew,audio_features,spotify:track:38NC2NX5S4Sa2caLkF1rew,0.364
2,Endymion Art Of Fighters   Lilly Julian, A New Today ,ANDY SVGE Remix,0.184,https://api.spotify.com/v1/audio-analysis/6OQBLmfuKMpXZ7nGrQW7n1,10A,0.392,223816.0,0.951,6OQBLmfuKMpXZ7nGrQW7n1,0.00128,11.0,0.0959,-3.941,0.0,0.064,151.998,4.0,https://api.spotify.com/v1/tracks/6OQBLmfuKMpXZ7nGrQW7n1,audio_features,spotify:track:6OQBLmfuKMpXZ7nGrQW7n1,0.394
3,Endymion, The Rhythm,unknown,0.0561,https://api.spotify.com/v1/audio-analysis/4VjvJIRfyOAxfsxxJiZJ6B,11A,0.497,174276.0,0.991,4VjvJIRfyOAxfsxxJiZJ6B,0.000158,6.0,0.287,-1.709,0.0,0.116,151.939,4.0,https://api.spotify.com/v1/tracks/4VjvJIRfyOAxfsxxJiZJ6B,audio_features,spotify:track:4VjvJIRfyOAxfsxxJiZJ6B,0.151
4,Endymion, Welcome To The Darkness,unknown,0.0601,https://api.spotify.com/v1/audio-analysis/6XbPQTQDFBHdCPWgHf60hq,3B,0.384,227451.0,0.978,6XbPQTQDFBHdCPWgHf60hq,0.0,1.0,0.245,-1.204,1.0,0.139,152.911,4.0,https://api.spotify.com/v1/tracks/6XbPQTQDFBHdCPWgHf60hq,audio_features,spotify:track:6XbPQTQDFBHdCPWgHf60hq,0.129
5,Endymion GLDY LX, The Afterlife,unknown,0.0638,https://api.spotify.com/v1/audio-analysis/151vYUFvruNimvMU10yxUt,9B,0.441,160300.0,0.976,151vYUFvruNimvMU10yxUt,0.0,7.0,0.102,-1.672,1.0,0.114,149.883,4.0,https://api.spotify.com/v1/tracks/151vYUFvruNimvMU10yxUt,audio_features,spotify:track:151vYUFvruNimvMU10yxUt,0.1
6,Endymion MYST   Démira, Waiting For Treason,unknown,0.0124,https://api.spotify.com/v1/audio-analysis/6HG5Uru3NA2xB98jyxPZSs,9B,0.322,194805.0,0.845,6HG5Uru3NA2xB98jyxPZSs,0.0,7.0,0.101,-4.005,1.0,0.0513,154.138,4.0,https://api.spotify.com/v1/tracks/6HG5Uru3NA2xB98jyxPZSs,audio_features,spotify:track:6HG5Uru3NA2xB98jyxPZSs,0.179
7,Endymion, Abduction ,Endymion Remix,0.393,https://api.spotify.com/v1/audio-analysis/2pfD6XRmGErgL6lPamxGys,1A,0.469,185806.0,0.988,2pfD6XRmGErgL6lPamxGys,3.78e-06,8.0,0.0912,-1.373,0.0,0.397,154.685,4.0,https://api.spotify.com/v1/tracks/2pfD6XRmGErgL6lPamxGys,audio_features,spotify:track:2pfD6XRmGErgL6lPamxGys,0.187
8,Endymion   MC Jeff, Losing Myself,unknown,0.32,https://api.spotify.com/v1/audio-analysis/5RoIFmkrtBWEDcvCVFTxKi,7A,0.466,186316.0,0.985,5RoIFmkrtBWEDcvCVFTxKi,0.0,2.0,0.0653,-1.4,0.0,0.261,152.082,4.0,https://api.spotify.com/v1/tracks/5RoIFmkrtBWEDcvCVFTxKi,audio_features,spotify:track:5RoIFmkrtBWEDcvCVFTxKi,0.252
9,Endymion, The Dark Knight,unknown,0.0376,https://api.spotify.com/v1/audio-analysis/1eSw4NkJUKJuVoJIvDAd84,6A,0.479,232208.0,0.964,1eSw4NkJUKJuVoJIvDAd84,0.0,7.0,0.347,-3.41,0.0,0.237,153.978,4.0,https://api.spotify.com/v1/tracks/1eSw4NkJUKJuVoJIvDAd84,audio_features,spotify:track:1eSw4NkJUKJuVoJIvDAd84,0.121
