,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Pryda, WOWOW ,Working Title,,,,,,,,,,,,,,,,,,,
1,w/ Pryda, Welcome To My House,unknown,0.00552,https://api.spotify.com/v1/audio-analysis/0XUpKCZ7XQz7f4vg5TVVAU,9B,0.59,579500.0,0.811,0XUpKCZ7XQz7f4vg5TVVAU,0.535,7.0,0.619,-10.702,1.0,0.0454,126.016,4.0,https://api.spotify.com/v1/tracks/0XUpKCZ7XQz7f4vg5TVVAU,audio_features,spotify:track:0XUpKCZ7XQz7f4vg5TVVAU,0.0314
2,Pryda, Escape 2017 Intro ID ,Working Title,,,,,,,,,,,,,,,,,,,
3,w/ Pryda, Viro,unknown,0.019,https://api.spotify.com/v1/audio-analysis/279qshBe3fHnh8OSs1YS1s,6A,0.669,526640.0,0.89,279qshBe3fHnh8OSs1YS1s,0.829,7.0,0.279,-5.587,0.0,0.0523,126.012,4.0,https://api.spotify.com/v1/tracks/279qshBe3fHnh8OSs1YS1s,audio_features,spotify:track:279qshBe3fHnh8OSs1YS1s,0.0403
4,Cirez D, Escape 2017 ID,unknown,,,,,,,,,,,,,,,,,,,
5,Cirez D, Echostage NYE ID ,Working Title,,,,,,,,,,,,,,,,,,,
6,Pryda, Decadence Intro ID ,Working Title,,,,,,,,,,,,,,,,,,,
7,Adam Beyer Bart Skils, Your Mind,unknown,0.00262,https://api.spotify.com/v1/audio-analysis/2zDCZ8jY4kjuUZbVROHaZj,10A,0.66,285857.0,0.857,2zDCZ8jY4kjuUZbVROHaZj,0.165,11.0,0.215,-7.946,0.0,0.0565,126.032,4.0,https://api.spotify.com/v1/tracks/2zDCZ8jY4kjuUZbVROHaZj,audio_features,spotify:track:2zDCZ8jY4kjuUZbVROHaZj,0.111
8,Pryda, Soho Miami 2018 ID ,Working Title,,,,,,,,,,,,,,,,,,,
9,Pryda, Rebel XX,unknown,0.00282,https://api.spotify.com/v1/audio-analysis/5ApOwXo2LlNDH9LfxCoGJS,9B,0.603,519376.0,0.883,5ApOwXo2LlNDH9LfxCoGJS,0.864,7.0,0.0925,-9.999,1.0,0.0633,125.998,4.0,https://api.spotify.com/v1/tracks/5ApOwXo2LlNDH9LfxCoGJS,audio_features,spotify:track:5ApOwXo2LlNDH9LfxCoGJS,0.33
10,Cirez D, Marquee Las Vegas 2017 ID ,Working Title,,,,,,,,,,,,,,,,,,,
11,Cirez D, Dare U,unknown,0.00233,https://api.spotify.com/v1/audio-analysis/6e3BtUZCEZAHZdTVxTU1lG,9B,0.771,559285.0,0.753,6e3BtUZCEZAHZdTVxTU1lG,0.884,7.0,0.108,-10.171,1.0,0.0839,126.003,4.0,https://api.spotify.com/v1/tracks/6e3BtUZCEZAHZdTVxTU1lG,audio_features,spotify:track:6e3BtUZCEZAHZdTVxTU1lG,0.0477
12,Pryda, Stay With Me,unknown,0.00576,https://api.spotify.com/v1/audio-analysis/7twthmMegoAskip42GJocW,3A,0.71,441905.0,0.776,7twthmMegoAskip42GJocW,0.555,10.0,0.116,-7.315,0.0,0.0409,125.989,3.0,https://api.spotify.com/v1/tracks/7twthmMegoAskip42GJocW,audio_features,spotify:track:7twthmMegoAskip42GJocW,0.243
13,Pryda, Niton,unknown,0.000494,https://api.spotify.com/v1/audio-analysis/1luIcIP5eWUqOYiPJEtlLQ,10A,0.517,483480.0,0.85,1luIcIP5eWUqOYiPJEtlLQ,0.259,11.0,0.238,-5.931,0.0,0.031,127.97,4.0,https://api.spotify.com/v1/tracks/1luIcIP5eWUqOYiPJEtlLQ,audio_features,spotify:track:1luIcIP5eWUqOYiPJEtlLQ,0.225
14,w/ Pryda, Mirage,unknown,0.0402,https://api.spotify.com/v1/audio-analysis/4wTnetKDZsm0v3hTwacMuI,3B,0.712,246173.0,0.466,4wTnetKDZsm0v3hTwacMuI,0.00068,1.0,0.191,-17.242,1.0,0.452,113.831,4.0,https://api.spotify.com/v1/tracks/4wTnetKDZsm0v3hTwacMuI,audio_features,spotify:track:4wTnetKDZsm0v3hTwacMuI,0.133
15,Cirez D   Adam Beyer, On Off ,Eric Prydz Mashup,0.000225,https://api.spotify.com/v1/audio-analysis/0YHJHGRuPDMt7mpdB1HhJV,12B,0.797,548455.0,0.711,0YHJHGRuPDMt7mpdB1HhJV,0.876,4.0,0.104,-10.605,1.0,0.0522,127.986,4.0,https://api.spotify.com/v1/tracks/0YHJHGRuPDMt7mpdB1HhJV,audio_features,spotify:track:0YHJHGRuPDMt7mpdB1HhJV,0.142
16,Pryda, Rotonda,unknown,0.000199,https://api.spotify.com/v1/audio-analysis/6j0qEzGwHoMeIuOoYHQhIf,7A,0.713,458747.0,0.794,6j0qEzGwHoMeIuOoYHQhIf,0.736,2.0,0.0973,-7.172,0.0,0.0364,125.999,4.0,https://api.spotify.com/v1/tracks/6j0qEzGwHoMeIuOoYHQhIf,audio_features,spotify:track:6j0qEzGwHoMeIuOoYHQhIf,0.396
17,Pryda, Creamfields 2017 Intro ID ,Working Title,,,,,,,,,,,,,,,,,,,
18,w/ Eric Prydz, Every Day,unknown,0.000175,https://api.spotify.com/v1/audio-analysis/0ih1CEG8PPzvmejlRqKps3,11B,0.852,513827.0,0.413,0ih1CEG8PPzvmejlRqKps3,0.951,9.0,0.137,-9.747,1.0,0.0715,120.008,4.0,https://api.spotify.com/v1/tracks/0ih1CEG8PPzvmejlRqKps3,audio_features,spotify:track:0ih1CEG8PPzvmejlRqKps3,0.292
19,Pryda, Lillo,unknown,0.00111,https://api.spotify.com/v1/audio-analysis/0wIblt271U2oH60h7w8ECA,5B,0.589,518294.0,0.636,0wIblt271U2oH60h7w8ECA,0.924,3.0,0.148,-7.888,1.0,0.0361,125.998,4.0,https://api.spotify.com/v1/tracks/0wIblt271U2oH60h7w8ECA,audio_features,spotify:track:0wIblt271U2oH60h7w8ECA,0.0361
20,Pryda, You,unknown,0.0114,https://api.spotify.com/v1/audio-analysis/3ivn6JLGUbrFbhETQ4oikh,1B,0.592,508851.0,0.697,3ivn6JLGUbrFbhETQ4oikh,0.841,11.0,0.15,-8.924,1.0,0.0301,125.997,4.0,https://api.spotify.com/v1/tracks/3ivn6JLGUbrFbhETQ4oikh,audio_features,spotify:track:3ivn6JLGUbrFbhETQ4oikh,0.125
21,w/ Eric Prydz, Pjanoo,unknown,0.000563,https://api.spotify.com/v1/audio-analysis/0F2BxpbxH8Yc3pLub48hrb,6A,0.604,157432.0,0.874,0F2BxpbxH8Yc3pLub48hrb,0.812,7.0,0.112,-4.949,0.0,0.0295,125.99,4.0,https://api.spotify.com/v1/tracks/0F2BxpbxH8Yc3pLub48hrb,audio_features,spotify:track:0F2BxpbxH8Yc3pLub48hrb,0.835
22,Pryda, Creamfields 2018 ID,unknown,,,,,,,,,,,,,,,,,,,
23,Eric Prydz   Tom Cane, Generate ,EPIC Interlude Mix,0.00813,https://api.spotify.com/v1/audio-analysis/4Dg0FSovv3n8IBS9QMezTp,1B,0.64,431107.0,0.873,4Dg0FSovv3n8IBS9QMezTp,0.0595,11.0,0.483,-5.142,1.0,0.0267,127.0,4.0,https://api.spotify.com/v1/tracks/4Dg0FSovv3n8IBS9QMezTp,audio_features,spotify:track:4Dg0FSovv3n8IBS9QMezTp,0.201
24,w/ Eric Prydz, Opus,unknown,0.659,https://api.spotify.com/v1/audio-analysis/7g6fMPovOmlJOdAKfHXOIG,3B,0.717,196053.0,0.424,7g6fMPovOmlJOdAKfHXOIG,4.23e-06,1.0,0.247,-14.226,1.0,0.199,129.994,4.0,https://api.spotify.com/v1/tracks/7g6fMPovOmlJOdAKfHXOIG,audio_features,spotify:track:7g6fMPovOmlJOdAKfHXOIG,0.352
