,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Cirez D Acki Kokotos, Tomorrow,unknown,0.000453,https://api.spotify.com/v1/audio-analysis/5xQGC31ag36MH9h7FPCgv5,2B,0.8,463799.0,0.915,5xQGC31ag36MH9h7FPCgv5,0.863,6.0,0.13,-8.296,1.0,0.0465,125.008,3.0,https://api.spotify.com/v1/tracks/5xQGC31ag36MH9h7FPCgv5,audio_features,spotify:track:5xQGC31ag36MH9h7FPCgv5,0.169
1,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
2,Pig&Dan, Chemistry,unknown,0.00179,https://api.spotify.com/v1/audio-analysis/319pimLU5j2eCsC2tSQCcX,2B,0.596,495726.0,0.776,319pimLU5j2eCsC2tSQCcX,0.917,6.0,0.0913,-10.729,1.0,0.135,247.955,4.0,https://api.spotify.com/v1/tracks/319pimLU5j2eCsC2tSQCcX,audio_features,spotify:track:319pimLU5j2eCsC2tSQCcX,0.0896
3,Pryda, UMF 2016 ID ,Working Title,,,,,,,,,,,,,,,,,,,
4,Eric Prydz, Floj,unknown,0.000254,https://api.spotify.com/v1/audio-analysis/09RG4fRTjwi0sYbeUlOXyY,8B,0.512,465840.0,0.826,09RG4fRTjwi0sYbeUlOXyY,0.877,0.0,0.478,-6.631,1.0,0.0327,127.027,3.0,https://api.spotify.com/v1/tracks/09RG4fRTjwi0sYbeUlOXyY,audio_features,spotify:track:09RG4fRTjwi0sYbeUlOXyY,0.0375
5,Pryda, Neuron,unknown,0.000843,https://api.spotify.com/v1/audio-analysis/0ibRbtn0oeCdbB9McwjWbo,10A,0.712,476339.0,0.54,0ibRbtn0oeCdbB9McwjWbo,0.903,11.0,0.13,-9.679,0.0,0.032,127.009,4.0,https://api.spotify.com/v1/tracks/0ibRbtn0oeCdbB9McwjWbo,audio_features,spotify:track:0ibRbtn0oeCdbB9McwjWbo,0.0457
6,Pryda, T5 ID 01 ,Working Title,,,,,,,,,,,,,,,,,,,
7,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
8,Pryda, Liam ,Stringapella,,,,,,,,,,,,,,,,,,,
9,w/ Pryda, Elements,unknown,0.00324,https://api.spotify.com/v1/audio-analysis/1cS9tuyQ9K1yQApyJkuiMT,10B,0.703,488316.0,0.876,1cS9tuyQ9K1yQApyJkuiMT,0.887,2.0,0.099,-10.037,1.0,0.0436,126.006,4.0,https://api.spotify.com/v1/tracks/1cS9tuyQ9K1yQApyJkuiMT,audio_features,spotify:track:1cS9tuyQ9K1yQApyJkuiMT,0.0327
10,Eric Prydz, The Matrix,unknown,0.00645,https://api.spotify.com/v1/audio-analysis/6cFsmeyh2bCmvm4NNRHuuD,9B,0.48,436813.0,0.875,6cFsmeyh2bCmvm4NNRHuuD,0.789,7.0,0.14,-5.738,1.0,0.0405,127.009,4.0,https://api.spotify.com/v1/tracks/6cFsmeyh2bCmvm4NNRHuuD,audio_features,spotify:track:6cFsmeyh2bCmvm4NNRHuuD,0.23
11,Eric Prydz, Opus,unknown,0.000702,https://api.spotify.com/v1/audio-analysis/3v2oAQomhOcYCPPHafS3KV,11A,0.275,543453.0,0.721,3v2oAQomhOcYCPPHafS3KV,0.821,6.0,0.0792,-6.222,0.0,0.0359,125.045,4.0,https://api.spotify.com/v1/tracks/3v2oAQomhOcYCPPHafS3KV,audio_features,spotify:track:3v2oAQomhOcYCPPHafS3KV,0.184
