,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,01 Pryda, Intro ID,unknown,,,,,,,,,,,,,,,,,,,
1,02 Eric Prydz, ID,unknown,0.018,https://api.spotify.com/v1/audio-analysis/2EbfOAhsCaH6p04UTDwTZv,8B,0.347,212959.0,0.971,2EbfOAhsCaH6p04UTDwTZv,0.022,0.0,0.552,-5.72,1.0,0.0928,159.067,4.0,https://api.spotify.com/v1/tracks/2EbfOAhsCaH6p04UTDwTZv,audio_features,spotify:track:2EbfOAhsCaH6p04UTDwTZv,0.422
2,03 Pryda, Loving You,unknown,0.568,https://api.spotify.com/v1/audio-analysis/2PE1TU8iiP3vHSAPmkov2s,6B,0.341,229867.0,0.547,2PE1TU8iiP3vHSAPmkov2s,0.0,10.0,0.12,-7.467,1.0,0.0821,72.821,4.0,https://api.spotify.com/v1/tracks/2PE1TU8iiP3vHSAPmkov2s,audio_features,spotify:track:2PE1TU8iiP3vHSAPmkov2s,0.44
3,04 Pryda, ID,unknown,,,,,,,,,,,,,,,,,,,
4,05 Eric Prydz, NOPUS ID,unknown,,,,,,,,,,,,,,,,,,,
5,06 Eric Prydz, The Matrix,unknown,0.00645,https://api.spotify.com/v1/audio-analysis/6cFsmeyh2bCmvm4NNRHuuD,9B,0.48,436813.0,0.875,6cFsmeyh2bCmvm4NNRHuuD,0.789,7.0,0.14,-5.738,1.0,0.0405,127.009,4.0,https://api.spotify.com/v1/tracks/6cFsmeyh2bCmvm4NNRHuuD,audio_features,spotify:track:6cFsmeyh2bCmvm4NNRHuuD,0.23
6,07 Eric Prydz, Every Day,unknown,0.00298,https://api.spotify.com/v1/audio-analysis/4j1hJwuawbvpm2q2orbgj7,6A,0.477,434667.0,0.728,4j1hJwuawbvpm2q2orbgj7,0.26,7.0,0.124,-5.978,0.0,0.0378,125.988,4.0,https://api.spotify.com/v1/tracks/4j1hJwuawbvpm2q2orbgj7,audio_features,spotify:track:4j1hJwuawbvpm2q2orbgj7,0.0341
7,w/ Eric Prydz, Pjanoo,unknown,0.000563,https://api.spotify.com/v1/audio-analysis/0F2BxpbxH8Yc3pLub48hrb,6A,0.604,157432.0,0.874,0F2BxpbxH8Yc3pLub48hrb,0.812,7.0,0.112,-4.949,0.0,0.0295,125.99,4.0,https://api.spotify.com/v1/tracks/0F2BxpbxH8Yc3pLub48hrb,audio_features,spotify:track:0F2BxpbxH8Yc3pLub48hrb,0.835
8,08 Eric Prydz, Opus ,Interlude Intro,0.000702,https://api.spotify.com/v1/audio-analysis/3v2oAQomhOcYCPPHafS3KV,11A,0.275,543453.0,0.721,3v2oAQomhOcYCPPHafS3KV,0.821,6.0,0.0792,-6.222,0.0,0.0359,125.045,4.0,https://api.spotify.com/v1/tracks/3v2oAQomhOcYCPPHafS3KV,audio_features,spotify:track:3v2oAQomhOcYCPPHafS3KV,0.184
9,09 M83, Midnight City ,Eric Prydz Very Private Mix,0.0161,https://api.spotify.com/v1/audio-analysis/1eyzqe2QqGZUmfcPZtrIyt,10A,0.526,241440.0,0.712,1eyzqe2QqGZUmfcPZtrIyt,0.0,11.0,0.179,-6.525,0.0,0.0356,105.009,4.0,https://api.spotify.com/v1/tracks/1eyzqe2QqGZUmfcPZtrIyt,audio_features,spotify:track:1eyzqe2QqGZUmfcPZtrIyt,0.32
