,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Estiva X Ruben de Ronde, Rainbow,unknown,0.00213,https://api.spotify.com/v1/audio-analysis/4gxRJtuIXVxAKpAEiimylx,7B,0.478,205587.0,0.955,4gxRJtuIXVxAKpAEiimylx,0.965,5.0,0.363,-6.763,1.0,0.0396,126.018,4.0,https://api.spotify.com/v1/tracks/4gxRJtuIXVxAKpAEiimylx,audio_features,spotify:track:4gxRJtuIXVxAKpAEiimylx,0.0482
1,Eximinds, The Missing Civilization,unknown,0.00333,https://api.spotify.com/v1/audio-analysis/0dPVQWQwjd9FPlW60pecmq,2B,0.657,241823.0,0.874,0dPVQWQwjd9FPlW60pecmq,0.0434,6.0,0.0678,-5.718,1.0,0.0565,131.977,4.0,https://api.spotify.com/v1/tracks/0dPVQWQwjd9FPlW60pecmq,audio_features,spotify:track:0dPVQWQwjd9FPlW60pecmq,0.113
2,Andrew Rayel, Moments ,Andrew Rayel & Alexander Popov Remix,0.137,https://api.spotify.com/v1/audio-analysis/4x9ZZCiYapP2OhHgtlM8nL,4A,0.545,183000.0,0.864,4x9ZZCiYapP2OhHgtlM8nL,0.704,5.0,0.187,-4.366,0.0,0.311,127.951,4.0,https://api.spotify.com/v1/tracks/4x9ZZCiYapP2OhHgtlM8nL,audio_features,spotify:track:4x9ZZCiYapP2OhHgtlM8nL,0.263
3,Andrew Rayel   Eric Lumiere, I'll Be There ,Super8 & Tab Remix,,,,,,,,,,,,,,,,,,,
4,HamzeH, Touch & Go,unknown,1.37e-05,https://api.spotify.com/v1/audio-analysis/6IvEfW6b5TehGGM5DBajct,7B,0.446,207277.0,0.947,6IvEfW6b5TehGGM5DBajct,0.699,5.0,0.32,-6.338,1.0,0.0394,132.007,4.0,https://api.spotify.com/v1/tracks/6IvEfW6b5TehGGM5DBajct,audio_features,spotify:track:6IvEfW6b5TehGGM5DBajct,0.0365
5,Andrew Rayel David Gravell, Trance ReBorn ,Find Your Harmony 100 Anthem,0.00435,https://api.spotify.com/v1/audio-analysis/7zIa1I2e7bwIinPHmdYH2t,7A,0.621,141694.0,0.964,7zIa1I2e7bwIinPHmdYH2t,0.962,2.0,0.546,-3.369,0.0,0.061,129.906,4.0,https://api.spotify.com/v1/tracks/7zIa1I2e7bwIinPHmdYH2t,audio_features,spotify:track:7zIa1I2e7bwIinPHmdYH2t,0.0692
6,Frainbreeze Ellie Lawson, I Pray ,Ahmed Helmy Remix,0.00484,https://api.spotify.com/v1/audio-analysis/70qlli8pXhM3ja7IuRUqzT,7B,0.547,197687.0,0.982,70qlli8pXhM3ja7IuRUqzT,0.0821,5.0,0.378,-3.767,1.0,0.0856,130.076,4.0,https://api.spotify.com/v1/tracks/70qlli8pXhM3ja7IuRUqzT,audio_features,spotify:track:70qlli8pXhM3ja7IuRUqzT,0.0915
7,Armin van Buuren Shapov, The Last Dancer,unknown,0.0585,https://api.spotify.com/v1/audio-analysis/2e9eNOK6KfJfkAxQXs6gMz,3B,0.47,210125.0,0.896,2e9eNOK6KfJfkAxQXs6gMz,0.00561,1.0,0.244,-3.692,1.0,0.0366,129.965,4.0,https://api.spotify.com/v1/tracks/2e9eNOK6KfJfkAxQXs6gMz,audio_features,spotify:track:2e9eNOK6KfJfkAxQXs6gMz,0.307
8,Kiran M Sajeev, Amarantine,unknown,0.000354,https://api.spotify.com/v1/audio-analysis/2NZvlXJzpfLJRhJB060M01,2A,0.419,169620.0,0.985,2NZvlXJzpfLJRhJB060M01,0.833,3.0,0.447,-11.562,0.0,0.053,134.98,4.0,https://api.spotify.com/v1/tracks/2NZvlXJzpfLJRhJB060M01,audio_features,spotify:track:2NZvlXJzpfLJRhJB060M01,0.0696
9,Saad Ayub Cristina Soto, Daylight ,Amir Hussain Remix,0.00116,https://api.spotify.com/v1/audio-analysis/20NxriDNsbSMsmDydnwEmF,9B,0.448,229565.0,0.985,20NxriDNsbSMsmDydnwEmF,0.0286,7.0,0.361,-5.02,1.0,0.25,138.007,4.0,https://api.spotify.com/v1/tracks/20NxriDNsbSMsmDydnwEmF,audio_features,spotify:track:20NxriDNsbSMsmDydnwEmF,0.0902
10,Peter Martijn Wijnia, Les Printemps,unknown,0.000196,https://api.spotify.com/v1/audio-analysis/0CgRIyEMmkQYAZMJEubgkU,11B,0.526,427494.0,0.733,0CgRIyEMmkQYAZMJEubgkU,0.813,9.0,0.689,-9.368,1.0,0.0388,137.001,4.0,https://api.spotify.com/v1/tracks/0CgRIyEMmkQYAZMJEubgkU,audio_features,spotify:track:0CgRIyEMmkQYAZMJEubgkU,0.5
11,Oliver Smith   Amy J Price, Lovingly,unknown,0.0234,https://api.spotify.com/v1/audio-analysis/3wG7dTh483h9y0Gh26nJ6U,10A,0.472,168662.0,0.485,3wG7dTh483h9y0Gh26nJ6U,0.00206,11.0,0.356,-12.399,0.0,0.035,127.966,4.0,https://api.spotify.com/v1/tracks/3wG7dTh483h9y0Gh26nJ6U,audio_features,spotify:track:3wG7dTh483h9y0Gh26nJ6U,0.321
12,Torio   Bigtopo Omar Diaz, Fall For Me,unknown,5.49e-05,https://api.spotify.com/v1/audio-analysis/3y5N3N8577Sc35YiyEqDny,9B,0.384,202940.0,0.898,3y5N3N8577Sc35YiyEqDny,0.0506,7.0,0.21,-11.169,1.0,0.0534,134.967,4.0,https://api.spotify.com/v1/tracks/3y5N3N8577Sc35YiyEqDny,audio_features,spotify:track:3y5N3N8577Sc35YiyEqDny,0.0395
13,Dennis Graft, Manipura,unknown,0.0187,https://api.spotify.com/v1/audio-analysis/4ldrirP9wHHPN1T6fcQUp8,11A,0.292,245236.0,0.996,4ldrirP9wHHPN1T6fcQUp8,0.717,6.0,0.838,-5.621,0.0,0.138,103.515,3.0,https://api.spotify.com/v1/tracks/4ldrirP9wHHPN1T6fcQUp8,audio_features,spotify:track:4ldrirP9wHHPN1T6fcQUp8,0.152
14,Fawzy Follow Focus   Akire, Unite With The Emotion,unknown,0.00291,https://api.spotify.com/v1/audio-analysis/22A8JWe1ULuIv607ln9dtC,9A,0.354,230864.0,0.984,22A8JWe1ULuIv607ln9dtC,0.955,4.0,0.0963,-5.81,0.0,0.0658,139.948,4.0,https://api.spotify.com/v1/tracks/22A8JWe1ULuIv607ln9dtC,audio_features,spotify:track:22A8JWe1ULuIv607ln9dtC,0.154
15,Syntouch Ariette Florence, Unspoken Words,unknown,0.00079,https://api.spotify.com/v1/audio-analysis/0Wk5gUvPFGmOVde9TXvsuM,11A,0.443,416571.0,0.992,0Wk5gUvPFGmOVde9TXvsuM,0.755,6.0,0.346,-7.085,0.0,0.0672,138.005,4.0,https://api.spotify.com/v1/tracks/0Wk5gUvPFGmOVde9TXvsuM,audio_features,spotify:track:0Wk5gUvPFGmOVde9TXvsuM,0.138
16,Thomas Aaren AstroFegs, Twin Flame,unknown,7.64e-05,https://api.spotify.com/v1/audio-analysis/4f7AdVPlEjaLcarm9pGA7C,3B,0.46,418215.0,0.957,4f7AdVPlEjaLcarm9pGA7C,0.825,1.0,0.0969,-6.961,1.0,0.0465,140.001,4.0,https://api.spotify.com/v1/tracks/4f7AdVPlEjaLcarm9pGA7C,audio_features,spotify:track:4f7AdVPlEjaLcarm9pGA7C,0.197
17,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
18,MARNIK Danko, Hymn ,Till My Kingdom Comes,0.0173,https://api.spotify.com/v1/audio-analysis/0CPJ0sVVhQYk4Yz0JIloPF,4A,0.702,134457.0,0.949,0CPJ0sVVhQYk4Yz0JIloPF,0.000303,5.0,0.534,-4.502,0.0,0.0518,138.024,4.0,https://api.spotify.com/v1/tracks/0CPJ0sVVhQYk4Yz0JIloPF,audio_features,spotify:track:0CPJ0sVVhQYk4Yz0JIloPF,0.293
19,Eugene Luu Danny Fathom Brandon Michaels, The Mercenaries,unknown,0.00649,https://api.spotify.com/v1/audio-analysis/7BSJAgt6MFwR3nXHpFEyGU,3B,0.51,210630.0,0.995,7BSJAgt6MFwR3nXHpFEyGU,0.784,1.0,0.648,-4.319,1.0,0.0531,138.021,4.0,https://api.spotify.com/v1/tracks/7BSJAgt6MFwR3nXHpFEyGU,audio_features,spotify:track:7BSJAgt6MFwR3nXHpFEyGU,0.372
20,Suncatcher Exolight, Footprints On The Moon,unknown,2.81e-05,https://api.spotify.com/v1/audio-analysis/0kGyeTovGntmElzCal8BqU,4A,0.411,213460.0,0.854,0kGyeTovGntmElzCal8BqU,0.0995,5.0,0.284,-12.02,0.0,0.101,135.986,4.0,https://api.spotify.com/v1/tracks/0kGyeTovGntmElzCal8BqU,audio_features,spotify:track:0kGyeTovGntmElzCal8BqU,0.131
21,The Thrillseekers pres. Hydra, Affinity 2018,unknown,0.0162,https://api.spotify.com/v1/audio-analysis/7GjDOy3vBL9W0M3yLIQ6c7,7B,0.43,203478.0,0.918,7GjDOy3vBL9W0M3yLIQ6c7,0.836,5.0,0.199,-6.758,1.0,0.0394,138.005,4.0,https://api.spotify.com/v1/tracks/7GjDOy3vBL9W0M3yLIQ6c7,audio_features,spotify:track:7GjDOy3vBL9W0M3yLIQ6c7,0.0449
