,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Tom Staar, Sunshine Techno,unknown,,,,,,,,,,,,,,,,,,,
1,Bolier, Discotheque,unknown,0.161,https://api.spotify.com/v1/audio-analysis/2WbT2fo9Ixx4Bm2sYqKkM2,7A,0.788,193000.0,0.838,2WbT2fo9Ixx4Bm2sYqKkM2,0.139,2.0,0.297,-3.739,0.0,0.328,120.12,4.0,https://api.spotify.com/v1/tracks/2WbT2fo9Ixx4Bm2sYqKkM2,audio_features,spotify:track:2WbT2fo9Ixx4Bm2sYqKkM2,0.491
2,Kenn Colt Hiisak, Come On Sugar,unknown,0.00513,https://api.spotify.com/v1/audio-analysis/1yxs0ojfhHY7P0AvqR0MMd,10A,0.724,144194.0,0.871,1yxs0ojfhHY7P0AvqR0MMd,0.000208,11.0,0.38,-3.865,0.0,0.294,124.039,4.0,https://api.spotify.com/v1/tracks/1yxs0ojfhHY7P0AvqR0MMd,audio_features,spotify:track:1yxs0ojfhHY7P0AvqR0MMd,0.735
3,Mark Knight, Your Love,unknown,0.00182,https://api.spotify.com/v1/audio-analysis/54hoWgqeSIk05I79dIPUie,2A,0.764,400004.0,0.857,54hoWgqeSIk05I79dIPUie,0.867,3.0,0.0535,-6.095,0.0,0.0554,125.008,4.0,https://api.spotify.com/v1/tracks/54hoWgqeSIk05I79dIPUie,audio_features,spotify:track:54hoWgqeSIk05I79dIPUie,0.506
4,JLV, Look Away,unknown,0.291,https://api.spotify.com/v1/audio-analysis/0SVvv5Xq5U0kVcNWsUul2Y,4B,0.725,174798.0,0.866,0SVvv5Xq5U0kVcNWsUul2Y,0.321,8.0,0.0998,-6.808,1.0,0.0446,123.999,4.0,https://api.spotify.com/v1/tracks/0SVvv5Xq5U0kVcNWsUul2Y,audio_features,spotify:track:0SVvv5Xq5U0kVcNWsUul2Y,0.114
5,Bobby Rock, You Make Me Feel,unknown,0.00133,https://api.spotify.com/v1/audio-analysis/2qF9QUwYdjisrQdhe1xkbC,2A,0.606,169524.0,0.934,2qF9QUwYdjisrQdhe1xkbC,0.536,3.0,0.254,-4.669,0.0,0.0511,126.048,4.0,https://api.spotify.com/v1/tracks/2qF9QUwYdjisrQdhe1xkbC,audio_features,spotify:track:2qF9QUwYdjisrQdhe1xkbC,0.362
6,DJ Jean, Every Single Day ,Crazibiza Remix,0.0413,https://api.spotify.com/v1/audio-analysis/5OZFLGDiA7vX8zwdDsFP6B,1B,0.678,204202.0,0.887,5OZFLGDiA7vX8zwdDsFP6B,0.867,11.0,0.0433,-6.422,1.0,0.0385,124.015,4.0,https://api.spotify.com/v1/tracks/5OZFLGDiA7vX8zwdDsFP6B,audio_features,spotify:track:5OZFLGDiA7vX8zwdDsFP6B,0.247
7,DJ Licious, I Can't Stop,unknown,0.0122,https://api.spotify.com/v1/audio-analysis/71xYgonpDJ7tWqo2vQm28c,11A,0.621,175714.0,0.897,71xYgonpDJ7tWqo2vQm28c,0.327,6.0,0.0808,-6.232,0.0,0.0566,126.073,4.0,https://api.spotify.com/v1/tracks/71xYgonpDJ7tWqo2vQm28c,audio_features,spotify:track:71xYgonpDJ7tWqo2vQm28c,0.227
8,Firebeatz X Lucas Steve, Show Me Your Love,unknown,0.012,https://api.spotify.com/v1/audio-analysis/12DjymdvxzAYvBC3d5THz5,10A,0.586,177143.0,0.881,12DjymdvxzAYvBC3d5THz5,0.000207,11.0,0.572,-4.015,0.0,0.0514,125.999,4.0,https://api.spotify.com/v1/tracks/12DjymdvxzAYvBC3d5THz5,audio_features,spotify:track:12DjymdvxzAYvBC3d5THz5,0.154
9,Bali Bandits, Claes,unknown,0.0253,https://api.spotify.com/v1/audio-analysis/46Mw1RiLIFeifYEJAIFmCl,10B,0.766,154286.0,0.812,46Mw1RiLIFeifYEJAIFmCl,0.445,2.0,0.0784,-4.397,1.0,0.0476,125.986,4.0,https://api.spotify.com/v1/tracks/46Mw1RiLIFeifYEJAIFmCl,audio_features,spotify:track:46Mw1RiLIFeifYEJAIFmCl,0.409
10,Kenn Colt Hiisak, Come On Sugar,unknown,0.00513,https://api.spotify.com/v1/audio-analysis/1yxs0ojfhHY7P0AvqR0MMd,10A,0.724,144194.0,0.871,1yxs0ojfhHY7P0AvqR0MMd,0.000208,11.0,0.38,-3.865,0.0,0.294,124.039,4.0,https://api.spotify.com/v1/tracks/1yxs0ojfhHY7P0AvqR0MMd,audio_features,spotify:track:1yxs0ojfhHY7P0AvqR0MMd,0.735
11,Firebeatz   Vertel, Till The Sun Comes Up,unknown,0.0258,https://api.spotify.com/v1/audio-analysis/4Whe2TvDChfqpno4dn0s4B,7A,0.646,175713.0,0.797,4Whe2TvDChfqpno4dn0s4B,0.0,2.0,0.19,-6.602,0.0,0.037,123.921,4.0,https://api.spotify.com/v1/tracks/4Whe2TvDChfqpno4dn0s4B,audio_features,spotify:track:4Whe2TvDChfqpno4dn0s4B,0.423
12,La Fuente, Lit,unknown,0.001,https://api.spotify.com/v1/audio-analysis/34rvb3rbW2xW8GqMvovRya,9B,0.691,170972.0,0.947,34rvb3rbW2xW8GqMvovRya,0.359,7.0,0.164,-2.879,1.0,0.0388,126.039,4.0,https://api.spotify.com/v1/tracks/34rvb3rbW2xW8GqMvovRya,audio_features,spotify:track:34rvb3rbW2xW8GqMvovRya,0.324
13,Kaskade   Luke Chable pres. LOKII Mr. Tape, Show Of Hands,unknown,0.0817,https://api.spotify.com/v1/audio-analysis/6c54HhGqvxlLavDsDzyLiw,9A,0.893,202448.0,0.699,6c54HhGqvxlLavDsDzyLiw,0.0566,4.0,0.393,-4.657,0.0,0.201,125.031,4.0,https://api.spotify.com/v1/tracks/6c54HhGqvxlLavDsDzyLiw,audio_features,spotify:track:6c54HhGqvxlLavDsDzyLiw,0.475
14,Sunstars, Ghetto Funk,unknown,0.00458,https://api.spotify.com/v1/audio-analysis/5j6JMYtsEeeFOnUxfd7I47,3B,0.679,153071.0,0.941,5j6JMYtsEeeFOnUxfd7I47,0.625,1.0,0.269,-3.46,1.0,0.111,127.027,4.0,https://api.spotify.com/v1/tracks/5j6JMYtsEeeFOnUxfd7I47,audio_features,spotify:track:5j6JMYtsEeeFOnUxfd7I47,0.594
15,Bassjackers   Breathe Carolina APEK, The Fever,unknown,0.0485,https://api.spotify.com/v1/audio-analysis/1AS2ADK5pf7vHRCH0b1LXT,4B,0.636,187520.0,0.841,1AS2ADK5pf7vHRCH0b1LXT,0.109,8.0,0.38,-5.729,1.0,0.247,128.102,4.0,https://api.spotify.com/v1/tracks/1AS2ADK5pf7vHRCH0b1LXT,audio_features,spotify:track:1AS2ADK5pf7vHRCH0b1LXT,0.331
16,Jay Hardway, Thanks A Million,unknown,0.0105,https://api.spotify.com/v1/audio-analysis/1Th19J8CqUJk7csg9CQW4t,11B,0.662,216407.0,0.81,1Th19J8CqUJk7csg9CQW4t,0.0733,9.0,0.166,-9.396,1.0,0.0316,120.01,4.0,https://api.spotify.com/v1/tracks/1Th19J8CqUJk7csg9CQW4t,audio_features,spotify:track:1Th19J8CqUJk7csg9CQW4t,0.455
