,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
1,Adair, Honda Ronda,unknown,0.00415,https://api.spotify.com/v1/audio-analysis/0NZfNKmfTBlC6kvKzKN9Gi,1B,0.778,211200.0,0.942,0NZfNKmfTBlC6kvKzKN9Gi,0.0183,11.0,0.63,-2.184,1.0,0.155,149.92,4.0,https://api.spotify.com/v1/tracks/0NZfNKmfTBlC6kvKzKN9Gi,audio_features,spotify:track:0NZfNKmfTBlC6kvKzKN9Gi,0.264
2,Kill The Noise, FUK UR MGMT ,Snails Remix,0.00601,https://api.spotify.com/v1/audio-analysis/7nQi1rXRF3zjXQIho68MIN,4B,0.621,147200.0,0.998,7nQi1rXRF3zjXQIho68MIN,1.52e-06,8.0,0.644,-1.82,1.0,0.353,149.852,4.0,https://api.spotify.com/v1/tracks/7nQi1rXRF3zjXQIho68MIN,audio_features,spotify:track:7nQi1rXRF3zjXQIho68MIN,0.366
3,Flux Pavilion Doctor P   Jarren Benton, Party Drink Smoke,unknown,0.00211,https://api.spotify.com/v1/audio-analysis/3DwlLg0zPd34OmUu264SU0,12B,0.76,223840.0,0.845,3DwlLg0zPd34OmUu264SU0,0.0337,4.0,0.224,-4.364,1.0,0.232,74.984,4.0,https://api.spotify.com/v1/tracks/3DwlLg0zPd34OmUu264SU0,audio_features,spotify:track:3DwlLg0zPd34OmUu264SU0,0.333
4,w/ Hydraulix   Kei Leeza, Madness,unknown,0.0449,https://api.spotify.com/v1/audio-analysis/5Bn9r5ZLV5uAgOpFwluVcA,12B,0.855,198480.0,0.839,5Bn9r5ZLV5uAgOpFwluVcA,4.72e-05,4.0,0.159,-4.474,1.0,0.032,107.988,4.0,https://api.spotify.com/v1/tracks/5Bn9r5ZLV5uAgOpFwluVcA,audio_features,spotify:track:5Bn9r5ZLV5uAgOpFwluVcA,0.568
5,Dillon Francis   G,Eazy ,ID Remix,0.00464,https://api.spotify.com/v1/audio-analysis/1Eck97uRMlprKOOJN9oO1E,3B,0.565,225526.0,0.771,1Eck97uRMlprKOOJN9oO1E,0.0,1.0,0.0568,-5.22,1.0,0.213,168.385,4.0,https://api.spotify.com/v1/tracks/1Eck97uRMlprKOOJN9oO1E,audio_features,spotify:track:1Eck97uRMlprKOOJN9oO1E,0.573
6,w/ ID, ID,unknown,0.948,https://api.spotify.com/v1/audio-analysis/2CHVX2nzAYl5omgRfAtkjC,5B,0.575,156373.0,0.125,2CHVX2nzAYl5omgRfAtkjC,0.0,3.0,0.438,-18.952,1.0,0.145,126.925,4.0,https://api.spotify.com/v1/tracks/2CHVX2nzAYl5omgRfAtkjC,audio_features,spotify:track:2CHVX2nzAYl5omgRfAtkjC,0.35
7,Craymark Apriskah, Arrival,unknown,,,,,,,,,,,,,,,,,,,
8,heRobust Monxx, Giant Squiddim,unknown,0.0162,https://api.spotify.com/v1/audio-analysis/4eAraXT7fbfdhkdgAGAqSq,2A,0.563,236694.0,0.954,4eAraXT7fbfdhkdgAGAqSq,0.283,3.0,0.274,-3.708,0.0,0.343,144.957,4.0,https://api.spotify.com/v1/tracks/4eAraXT7fbfdhkdgAGAqSq,audio_features,spotify:track:4eAraXT7fbfdhkdgAGAqSq,0.549
9,Flux Pavilion DISKORD   Flowdan, Locked In,unknown,0.00663,https://api.spotify.com/v1/audio-analysis/1Vuz9wlhCb6qeIuAkLSYDC,3B,0.563,235520.0,0.884,1Vuz9wlhCb6qeIuAkLSYDC,0.00288,1.0,0.196,-4.538,1.0,0.297,79.936,4.0,https://api.spotify.com/v1/tracks/1Vuz9wlhCb6qeIuAkLSYDC,audio_features,spotify:track:1Vuz9wlhCb6qeIuAkLSYDC,0.441
