,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Frequencerz, A Muse,unknown,0.0942,https://api.spotify.com/v1/audio-analysis/7Ke0q7NcJJqmSDUo9HU0yJ,4B,0.486,220000.0,0.746,7Ke0q7NcJJqmSDUo9HU0yJ,4.97e-06,8.0,0.0959,-5.85,1.0,0.0322,150.0,4.0,https://api.spotify.com/v1/tracks/7Ke0q7NcJJqmSDUo9HU0yJ,audio_features,spotify:track:7Ke0q7NcJJqmSDUo9HU0yJ,0.145
1,Frequencerz, Die Hards Only ,Q-base 2016 Anthem,0.0174,https://api.spotify.com/v1/audio-analysis/0CbmZkmugyRNZ5ntecJjeX,5A,0.264,179300.0,0.945,0CbmZkmugyRNZ5ntecJjeX,0.0,0.0,0.204,-4.006,0.0,0.148,149.368,4.0,https://api.spotify.com/v1/tracks/0CbmZkmugyRNZ5ntecJjeX,audio_features,spotify:track:0CbmZkmugyRNZ5ntecJjeX,0.262
2,Philippe Rochard, The World ,Frequencerz Remix,0.635,https://api.spotify.com/v1/audio-analysis/1boOJEEIhrueC5puNYBH1c,1A,0.778,172590.0,0.238,1boOJEEIhrueC5puNYBH1c,0.818,8.0,0.11,-11.387,0.0,0.0453,82.994,4.0,https://api.spotify.com/v1/tracks/1boOJEEIhrueC5puNYBH1c,audio_features,spotify:track:1boOJEEIhrueC5puNYBH1c,0.461
3,Frequencerz, Tomorrow & Beyond ,Lars Edit,0.00905,https://api.spotify.com/v1/audio-analysis/6C5kc3OXhNXgbQew1fKLKh,9B,0.559,380000.0,0.554,6C5kc3OXhNXgbQew1fKLKh,0.235,7.0,0.192,-9.517,1.0,0.063,149.999,4.0,https://api.spotify.com/v1/tracks/6C5kc3OXhNXgbQew1fKLKh,audio_features,spotify:track:6C5kc3OXhNXgbQew1fKLKh,0.237
4,Frequencerz Titan, Getting Off,unknown,0.13,https://api.spotify.com/v1/audio-analysis/0jJ7AZj9ZDPTcofANqNB6f,9B,0.484,359649.0,0.971,0jJ7AZj9ZDPTcofANqNB6f,0.0288,7.0,0.0786,-4.724,1.0,0.0848,150.018,4.0,https://api.spotify.com/v1/tracks/0jJ7AZj9ZDPTcofANqNB6f,audio_features,spotify:track:0jJ7AZj9ZDPTcofANqNB6f,0.134
5,E,Force & Frequencerz ,unknown,,,,,,,,,,,,,,,,,,,
6,Frequencerz, 12FU,unknown,0.212,https://api.spotify.com/v1/audio-analysis/0HY4QxrtrIX6A7dR23O9FK,11A,0.508,233200.0,0.945,0HY4QxrtrIX6A7dR23O9FK,1.03e-05,6.0,0.371,-2.63,0.0,0.0623,149.985,4.0,https://api.spotify.com/v1/tracks/0HY4QxrtrIX6A7dR23O9FK,audio_features,spotify:track:0HY4QxrtrIX6A7dR23O9FK,0.276
7,Frequencerz Warface, Uber Mash Up,unknown,,,,,,,,,,,,,,,,,,,
8,B,Freqz ,unknown,,,,,,,,,,,,,,,,,,,
9,Frequencerz   MC Jeff, Shotgun,unknown,0.0148,https://api.spotify.com/v1/audio-analysis/6MAQwAM4GpWpIi88S8IAMv,9B,0.516,228000.0,0.992,6MAQwAM4GpWpIi88S8IAMv,0.0,7.0,0.351,-3.127,1.0,0.283,149.995,4.0,https://api.spotify.com/v1/tracks/6MAQwAM4GpWpIi88S8IAMv,audio_features,spotify:track:6MAQwAM4GpWpIi88S8IAMv,0.236
10,B,Freqz ,2016 Edit,,,,,,,,,,,,,,,,,,,
11,Frequencerz Tartaros   MC Jeff, Wolfpack ,Qlimax 2015 edit,0.0319,https://api.spotify.com/v1/audio-analysis/1nSIYqlekzwFovP3WThvJ8,10B,0.462,152735.0,0.937,1nSIYqlekzwFovP3WThvJ8,0.0,2.0,0.163,-3.123,1.0,0.0432,150.012,4.0,https://api.spotify.com/v1/tracks/1nSIYqlekzwFovP3WThvJ8,audio_features,spotify:track:1nSIYqlekzwFovP3WThvJ8,0.188
