,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
1,Alice Deejay, Better Off Alone ,Frontliner Bootleg,0.00437,https://api.spotify.com/v1/audio-analysis/0pMUR7Uvp6vxlbG0qBFvgM,1A,0.667,217573.0,0.818,0pMUR7Uvp6vxlbG0qBFvgM,0.761,8.0,0.288,-9.149,0.0,0.0594,136.957,4.0,https://api.spotify.com/v1/tracks/0pMUR7Uvp6vxlbG0qBFvgM,audio_features,spotify:track:0pMUR7Uvp6vxlbG0qBFvgM,0.761
2,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
3,Blasterjaxx Frontliner, Destruction,unknown,,,,,,,,,,,,,,,,,,,
4,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
5,Frontliner John Harris, Loud,unknown,0.0084,https://api.spotify.com/v1/audio-analysis/793EkBVuRQKkRHnuXKANtd,12A,0.514,201692.0,0.785,793EkBVuRQKkRHnuXKANtd,1.23e-06,1.0,0.343,-4.238,0.0,0.0286,149.984,4.0,https://api.spotify.com/v1/tracks/793EkBVuRQKkRHnuXKANtd,audio_features,spotify:track:793EkBVuRQKkRHnuXKANtd,0.201
6,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
7,ATB, 9PM ,Till I Come,0.0276,https://api.spotify.com/v1/audio-analysis/1CgbwsrNDlFrRuk2ebQ7zr,8A,0.672,193880.0,0.941,1CgbwsrNDlFrRuk2ebQ7zr,0.926,9.0,0.149,-6.427,0.0,0.0494,130.218,4.0,https://api.spotify.com/v1/tracks/1CgbwsrNDlFrRuk2ebQ7zr,audio_features,spotify:track:1CgbwsrNDlFrRuk2ebQ7zr,0.754
8,Hardwell   Harrison, Sally ,Frontliner Remix,0.00276,https://api.spotify.com/v1/audio-analysis/2ZxOgR9MiiYbkKIt1Iqb5I,3A,0.557,327669.0,0.94,2ZxOgR9MiiYbkKIt1Iqb5I,0.0025,10.0,0.442,-5.485,0.0,0.0754,149.994,4.0,https://api.spotify.com/v1/tracks/2ZxOgR9MiiYbkKIt1Iqb5I,audio_features,spotify:track:2ZxOgR9MiiYbkKIt1Iqb5I,0.369
9,Calvin Harris   Rihanna, This Is What You Came For ,Frontliner Remix,0.199,https://api.spotify.com/v1/audio-analysis/0azC730Exh71aQlOt9Zj3y,8A,0.63,222160.0,0.928,0azC730Exh71aQlOt9Zj3y,0.124,9.0,0.148,-2.787,0.0,0.0331,123.963,4.0,https://api.spotify.com/v1/tracks/0azC730Exh71aQlOt9Zj3y,audio_features,spotify:track:0azC730Exh71aQlOt9Zj3y,0.465
10,Armin van Buuren   Sophie Ellis,Bextor ,Frontliner Remix,,,,,,,,,,,,,,,,,,,
11,Frontliner, Pull Tuduu Over ,ID Remix,,,,,,,,,,,,,,,,,,,
12,Hatsune Miku, Senbonzakura ,Frontliner Remix,,,,,,,,,,,,,,,,,,,
13,Showtek Major Lazer, Believer ,Frontliner Edit,0.0119,https://api.spotify.com/v1/audio-analysis/7gykga35Dz5VwljfFIm4Cy,1A,0.512,218000.0,0.915,7gykga35Dz5VwljfFIm4Cy,0.0117,8.0,0.158,-6.333,0.0,0.0819,150.046,4.0,https://api.spotify.com/v1/tracks/7gykga35Dz5VwljfFIm4Cy,audio_features,spotify:track:7gykga35Dz5VwljfFIm4Cy,0.49
14,Frontliner   Jantine, I Follow You,unknown,0.000375,https://api.spotify.com/v1/audio-analysis/5azIJ2qQhhgtCSJcgnrFye,4A,0.325,170000.0,0.97,5azIJ2qQhhgtCSJcgnrFye,0.0,5.0,0.536,-1.961,0.0,0.124,149.852,4.0,https://api.spotify.com/v1/tracks/5azIJ2qQhhgtCSJcgnrFye,audio_features,spotify:track:5azIJ2qQhhgtCSJcgnrFye,0.318
15,Kygo   Ellie Goulding, First Time ,Frontliner Tribute,0.197,https://api.spotify.com/v1/audio-analysis/2Gl0FzuLxflY6nPifJp5Dr,5A,0.633,193511.0,0.592,2Gl0FzuLxflY6nPifJp5Dr,0.0,0.0,0.099,-7.245,0.0,0.112,90.066,4.0,https://api.spotify.com/v1/tracks/2Gl0FzuLxflY6nPifJp5Dr,audio_features,spotify:track:2Gl0FzuLxflY6nPifJp5Dr,0.679
