,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Kendrick Lamar, HUMBLE. ,Skrillex Remix / Frontliner Bass Edit,0.000282,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,12A,0.908,177000.0,0.621,7KXjTSCq5nL1LoYtL7XAwS,5.39e-05,1.0,0.0958,-6.638,0.0,0.102,150.011,4.0,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,audio_features,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,0.421
1,Frontliner   Ellie, Lose The Style ,2013 Edit,0.00261,https://api.spotify.com/v1/audio-analysis/3OfipbJgycD0SNq9clm7Dr,8B,0.599,295078.0,0.964,3OfipbJgycD0SNq9clm7Dr,0.626,0.0,0.177,-6.159,1.0,0.109,149.975,4.0,https://api.spotify.com/v1/tracks/3OfipbJgycD0SNq9clm7Dr,audio_features,spotify:track:3OfipbJgycD0SNq9clm7Dr,0.174
2,Frontliner, ID,unknown,,,,,,,,,,,,,,,,,,,
3,Frontliner, Discorecord ,2013 Edit,0.33,https://api.spotify.com/v1/audio-analysis/1IV4sL8prLL2XRYaqS2iwz,10A,0.467,97600.0,0.954,1IV4sL8prLL2XRYaqS2iwz,0.81,11.0,0.0915,-3.694,0.0,0.128,149.941,4.0,https://api.spotify.com/v1/tracks/1IV4sL8prLL2XRYaqS2iwz,audio_features,spotify:track:1IV4sL8prLL2XRYaqS2iwz,0.111
4,Frontliner, Weekend Warriors ,Defqon.1 Anthem 2013,0.011,https://api.spotify.com/v1/audio-analysis/2PW0wMmSvKKhEsw3ZyyeXB,3B,0.536,333520.0,0.953,2PW0wMmSvKKhEsw3ZyyeXB,0.0668,1.0,0.59,-5.033,1.0,0.0673,74.996,4.0,https://api.spotify.com/v1/tracks/2PW0wMmSvKKhEsw3ZyyeXB,audio_features,spotify:track:2PW0wMmSvKKhEsw3ZyyeXB,0.226
5,w/ B,Front & Frontliner ,unknown,,,,,,,,,,,,,,,,,,,
6,Post Malone   21 Savage, Rockstar ,Frontliner Remix,0.117,https://api.spotify.com/v1/audio-analysis/0e7ipj03S05BNilyu5bRzt,4A,0.587,218147.0,0.535,0e7ipj03S05BNilyu5bRzt,6.56e-05,5.0,0.131,-6.09,0.0,0.0898,159.847,4.0,https://api.spotify.com/v1/tracks/0e7ipj03S05BNilyu5bRzt,audio_features,spotify:track:0e7ipj03S05BNilyu5bRzt,0.14
7,Mike Williams Dastic, You & I ,Frontliner Remix,0.181,https://api.spotify.com/v1/audio-analysis/0cjjmKf9zEHDdVMjrlaHZX,11A,0.636,179413.0,0.723,0cjjmKf9zEHDdVMjrlaHZX,0.00142,6.0,0.0844,-3.693,0.0,0.0385,123.948,4.0,https://api.spotify.com/v1/tracks/0cjjmKf9zEHDdVMjrlaHZX,audio_features,spotify:track:0cjjmKf9zEHDdVMjrlaHZX,0.476
8,w/ Macklemore Ryan Lewis   Ray Dalton, Can't Hold Us ,Frontliner Never Comes Down Bootleg,,,,,,,,,,,,,,,,,,,
9,Dune, Hardcore Vibes,unknown,0.0156,https://api.spotify.com/v1/audio-analysis/0yx5eBLk3AGOH5EruCqLDx,9A,0.578,213240.0,0.631,0yx5eBLk3AGOH5EruCqLDx,0.488,4.0,0.0578,-11.93,0.0,0.0415,163.883,4.0,https://api.spotify.com/v1/tracks/0yx5eBLk3AGOH5EruCqLDx,audio_features,spotify:track:0yx5eBLk3AGOH5EruCqLDx,0.484
10,w/ The White Stripes, Seven Nation Army ,ID Remix,0.615,https://api.spotify.com/v1/audio-analysis/3yzSb0aNvXNqmr2h29IgYu,11B,0.528,166715.0,0.888,3yzSb0aNvXNqmr2h29IgYu,3.73e-05,9.0,0.812,-3.05,1.0,0.262,128.741,4.0,https://api.spotify.com/v1/tracks/3yzSb0aNvXNqmr2h29IgYu,audio_features,spotify:track:3yzSb0aNvXNqmr2h29IgYu,0.415
11,Frontliner, Rebirth Of The Sun,unknown,0.00352,https://api.spotify.com/v1/audio-analysis/0Ng7USetW9iK6dstkoMJZo,3B,0.621,331003.0,0.809,0Ng7USetW9iK6dstkoMJZo,0.612,1.0,0.0583,-7.128,1.0,0.0626,150.028,4.0,https://api.spotify.com/v1/tracks/0Ng7USetW9iK6dstkoMJZo,audio_features,spotify:track:0Ng7USetW9iK6dstkoMJZo,0.223
