,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,GTA Valentino Khan, Break Your Neck ,VIP,7.47e-05,https://api.spotify.com/v1/audio-analysis/2GfSor1HN1SaA1oCDIXKtV,3B,0.6,289813.0,0.953,2GfSor1HN1SaA1oCDIXKtV,0.524,1.0,0.0399,-0.791,1.0,0.0485,130.053,4.0,https://api.spotify.com/v1/tracks/2GfSor1HN1SaA1oCDIXKtV,audio_features,spotify:track:2GfSor1HN1SaA1oCDIXKtV,0.155
1,w/ Future, Mask Off ,Acapella,0.0102,https://api.spotify.com/v1/audio-analysis/0VgkVdmE4gld66l8iyGjgx,10B,0.833,204600.0,0.434,0VgkVdmE4gld66l8iyGjgx,0.0219,2.0,0.165,-8.795,1.0,0.431,150.062,4.0,https://api.spotify.com/v1/tracks/0VgkVdmE4gld66l8iyGjgx,audio_features,spotify:track:0VgkVdmE4gld66l8iyGjgx,0.281
2,heRobust, Status Busted ,Oski & Hydraulix Remix,0.0188,https://api.spotify.com/v1/audio-analysis/73vdaPfKiJ4OhJZzm1HFjG,1B,0.622,275200.0,0.927,73vdaPfKiJ4OhJZzm1HFjG,0.306,11.0,0.288,-2.982,1.0,0.145,149.918,4.0,https://api.spotify.com/v1/tracks/73vdaPfKiJ4OhJZzm1HFjG,audio_features,spotify:track:73vdaPfKiJ4OhJZzm1HFjG,0.0625
3,GTA Wiwek   Stush, What We Tell Dem,unknown,0.0664,https://api.spotify.com/v1/audio-analysis/5eMjFmhpw0Yk3FXJyWmFgo,8B,0.85,241867.0,0.899,5eMjFmhpw0Yk3FXJyWmFgo,0.00423,0.0,0.0441,-3.626,1.0,0.191,128.002,4.0,https://api.spotify.com/v1/tracks/5eMjFmhpw0Yk3FXJyWmFgo,audio_features,spotify:track:5eMjFmhpw0Yk3FXJyWmFgo,0.758
4,RAWTEK Herve Pagez, Beleza,unknown,0.0642,https://api.spotify.com/v1/audio-analysis/6kx57VWQiVITr4MPrsVKgl,3B,0.856,177692.0,0.989,6kx57VWQiVITr4MPrsVKgl,0.0639,1.0,0.0271,-1.776,1.0,0.122,130.005,4.0,https://api.spotify.com/v1/tracks/6kx57VWQiVITr4MPrsVKgl,audio_features,spotify:track:6kx57VWQiVITr4MPrsVKgl,0.581
5,Mike Cervello   Tellem, The Crown,unknown,0.000189,https://api.spotify.com/v1/audio-analysis/7LBGemg2oQYibYLZ5LGVNB,9A,0.679,229024.0,0.904,7LBGemg2oQYibYLZ5LGVNB,0.44,4.0,0.0969,-4.53,0.0,0.0355,130.013,4.0,https://api.spotify.com/v1/tracks/7LBGemg2oQYibYLZ5LGVNB,audio_features,spotify:track:7LBGemg2oQYibYLZ5LGVNB,0.0672
6,w/ Estelle   Kanye West, American Boy ,Acapella,0.171,https://api.spotify.com/v1/audio-analysis/22UDw8rSfLbUsaAGTXQ4Z8,8B,0.727,284733.0,0.729,22UDw8rSfLbUsaAGTXQ4Z8,0.0,0.0,0.07,-2.99,1.0,0.326,117.932,4.0,https://api.spotify.com/v1/tracks/22UDw8rSfLbUsaAGTXQ4Z8,audio_features,spotify:track:22UDw8rSfLbUsaAGTXQ4Z8,0.512
7,Regilio, They Know,unknown,0.000116,https://api.spotify.com/v1/audio-analysis/7A64z8ADcbjQoUyC5NCVqp,2B,0.806,159370.0,0.931,7A64z8ADcbjQoUyC5NCVqp,0.758,6.0,0.16,-3.598,1.0,0.135,125.013,4.0,https://api.spotify.com/v1/tracks/7A64z8ADcbjQoUyC5NCVqp,audio_features,spotify:track:7A64z8ADcbjQoUyC5NCVqp,0.729
8,Spencer Hill, Cool ,Afrojack Remix,0.0469,https://api.spotify.com/v1/audio-analysis/2eV047KhtT7leHsvKvexY8,3A,0.871,383383.0,0.753,2eV047KhtT7leHsvKvexY8,0.0664,10.0,0.136,-8.287,0.0,0.146,128.025,4.0,https://api.spotify.com/v1/tracks/2eV047KhtT7leHsvKvexY8,audio_features,spotify:track:2eV047KhtT7leHsvKvexY8,0.46
9,w/ Bingo Players, Bust This,unknown,0.00294,https://api.spotify.com/v1/audio-analysis/5QON9zqbRFwQdRPdf9cWps,10B,0.846,161429.0,0.861,5QON9zqbRFwQdRPdf9cWps,0.694,2.0,0.249,-6.241,1.0,0.19,126.007,4.0,https://api.spotify.com/v1/tracks/5QON9zqbRFwQdRPdf9cWps,audio_features,spotify:track:5QON9zqbRFwQdRPdf9cWps,0.251
10,Damien N,Drix ,unknown,,,,,,,,,,,,,,,,,,,
11,Migos   Lil ƱZi Vert, Bad And Boujee,unknown,0.061,https://api.spotify.com/v1/audio-analysis/4Km5HrUvYTaSUfiSGPJeQR,1B,0.927,343150.0,0.665,4Km5HrUvYTaSUfiSGPJeQR,0.0,11.0,0.123,-5.313,1.0,0.244,127.076,4.0,https://api.spotify.com/v1/tracks/4Km5HrUvYTaSUfiSGPJeQR,audio_features,spotify:track:4Km5HrUvYTaSUfiSGPJeQR,0.175
12,w/ Skrillex Habstrakt, Chicken Soup,unknown,0.00129,https://api.spotify.com/v1/audio-analysis/7hU38LHqMSPFrvoqADFJp4,1B,0.823,207293.0,0.815,7hU38LHqMSPFrvoqADFJp4,0.0494,11.0,0.599,-3.947,1.0,0.134,125.989,4.0,https://api.spotify.com/v1/tracks/7hU38LHqMSPFrvoqADFJp4,audio_features,spotify:track:7hU38LHqMSPFrvoqADFJp4,0.474
13,Wuki, Devotion,unknown,,,,,,,,,,,,,,,,,,,
14,Gama, Everybody Ready,unknown,0.0128,https://api.spotify.com/v1/audio-analysis/6RPB9884QQMLabBdxr8kzw,10A,0.704,262531.0,0.985,6RPB9884QQMLabBdxr8kzw,0.626,11.0,0.287,-2.072,0.0,0.0935,127.984,4.0,https://api.spotify.com/v1/tracks/6RPB9884QQMLabBdxr8kzw,audio_features,spotify:track:6RPB9884QQMLabBdxr8kzw,0.58
15,GTA, Moruga,unknown,0.000175,https://api.spotify.com/v1/audio-analysis/3Evor66a7G1S7EA06gkeq5,11B,0.734,282467.0,0.943,3Evor66a7G1S7EA06gkeq5,0.711,9.0,0.0819,-1.744,1.0,0.0706,130.027,4.0,https://api.spotify.com/v1/tracks/3Evor66a7G1S7EA06gkeq5,audio_features,spotify:track:3Evor66a7G1S7EA06gkeq5,0.533
