,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,CHO   Steflon Don, Popalik ,Dux n Bass Remix,,,,,,,,,,,,,,,,,,,
1,Heist, Against The Grain,unknown,0.00149,https://api.spotify.com/v1/audio-analysis/2VSwfqtGwPnK3zs3sjnJDA,9B,0.574,312495.0,0.989,2VSwfqtGwPnK3zs3sjnJDA,0.943,7.0,0.157,-0.326,1.0,0.0525,175.007,4.0,https://api.spotify.com/v1/tracks/2VSwfqtGwPnK3zs3sjnJDA,audio_features,spotify:track:2VSwfqtGwPnK3zs3sjnJDA,0.739
2,Break, Who Got Da Funk,unknown,0.00107,https://api.spotify.com/v1/audio-analysis/0ndnVHx976CmkCkKlICU5A,1A,0.696,293023.0,0.952,0ndnVHx976CmkCkKlICU5A,0.819,8.0,0.0372,-2.291,0.0,0.0934,172.018,4.0,https://api.spotify.com/v1/tracks/0ndnVHx976CmkCkKlICU5A,audio_features,spotify:track:0ndnVHx976CmkCkKlICU5A,0.922
3,Upgrade, Blow,unknown,0.0405,https://api.spotify.com/v1/audio-analysis/205dKoiih90rcvzocIXzJA,3A,0.795,268807.0,0.91,205dKoiih90rcvzocIXzJA,0.0146,10.0,0.0495,-2.0,0.0,0.0738,87.496,4.0,https://api.spotify.com/v1/tracks/205dKoiih90rcvzocIXzJA,audio_features,spotify:track:205dKoiih90rcvzocIXzJA,0.253
4,Childish Gambino, 3005 ,Tsuki Bootleg,0.149,https://api.spotify.com/v1/audio-analysis/3Z2sglqDj1rDRMF5x0Sz2R,11A,0.473,234213.0,0.461,3Z2sglqDj1rDRMF5x0Sz2R,0.0,6.0,0.0973,-6.474,0.0,0.333,165.985,4.0,https://api.spotify.com/v1/tracks/3Z2sglqDj1rDRMF5x0Sz2R,audio_features,spotify:track:3Z2sglqDj1rDRMF5x0Sz2R,0.615
5,High Maintenance, Roll On Me,unknown,,,,,,,,,,,,,,,,,,,
6,Dilate, Fruitloop ,VIP,0.0874,https://api.spotify.com/v1/audio-analysis/3G6sHX33Q7J81fQM3v7yrg,9B,0.739,257500.0,0.886,3G6sHX33Q7J81fQM3v7yrg,0.25,7.0,0.0941,-4.425,1.0,0.0591,90.024,4.0,https://api.spotify.com/v1/tracks/3G6sHX33Q7J81fQM3v7yrg,audio_features,spotify:track:3G6sHX33Q7J81fQM3v7yrg,0.31
7,Rodeo, Nuff Talk ,Dux n Bass Edit,0.0659,https://api.spotify.com/v1/audio-analysis/1kNIdw4Xs0QElix6l0tJai,10A,0.679,268725.0,0.888,1kNIdw4Xs0QElix6l0tJai,0.698,11.0,0.76,-3.574,0.0,0.187,87.463,4.0,https://api.spotify.com/v1/tracks/1kNIdw4Xs0QElix6l0tJai,audio_features,spotify:track:1kNIdw4Xs0QElix6l0tJai,0.447
8,Upgrade, Tell Me,unknown,0.000138,https://api.spotify.com/v1/audio-analysis/45un4x3SvK4IREaHx0gKtI,1B,0.893,264689.0,0.888,45un4x3SvK4IREaHx0gKtI,0.00181,11.0,0.0659,-0.618,1.0,0.0438,87.468,4.0,https://api.spotify.com/v1/tracks/45un4x3SvK4IREaHx0gKtI,audio_features,spotify:track:45un4x3SvK4IREaHx0gKtI,0.565
9,KYLE   Lil Yachty, Ispy ,Dux n Bass Bootleg,0.378,https://api.spotify.com/v1/audio-analysis/2EEeOnHehOozLq4aS0n6SL,9B,0.746,253107.0,0.653,2EEeOnHehOozLq4aS0n6SL,0.0,7.0,0.229,-6.745,1.0,0.289,75.016,4.0,https://api.spotify.com/v1/tracks/2EEeOnHehOozLq4aS0n6SL,audio_features,spotify:track:2EEeOnHehOozLq4aS0n6SL,0.672
