,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Markus Schulz pres. Dakota, Edonismo,unknown,4.85e-06,https://api.spotify.com/v1/audio-analysis/6i0kuFgcqkbXbBoT0FHVhj,9A,0.41,251191.0,0.905,6i0kuFgcqkbXbBoT0FHVhj,0.893,4.0,0.126,-9.664,0.0,0.049,130.021,4.0,https://api.spotify.com/v1/tracks/6i0kuFgcqkbXbBoT0FHVhj,audio_features,spotify:track:6i0kuFgcqkbXbBoT0FHVhj,0.216
1,Lostly, Came Here To Forget,unknown,0.0486,https://api.spotify.com/v1/audio-analysis/6V22IxfAhkJ8fzNQHnepd6,9A,0.458,227355.0,0.997,6V22IxfAhkJ8fzNQHnepd6,0.951,4.0,0.35,-4.621,0.0,0.0515,138.002,4.0,https://api.spotify.com/v1/tracks/6V22IxfAhkJ8fzNQHnepd6,audio_features,spotify:track:6V22IxfAhkJ8fzNQHnepd6,0.402
2,Basil O'Glue, The Sun Will Rise Again ,Solid Stone Remix,0.000158,https://api.spotify.com/v1/audio-analysis/41RU6AQHyPCeKQ6TVjOgIc,3A,0.73,417049.0,0.811,41RU6AQHyPCeKQ6TVjOgIc,0.874,10.0,0.0333,-8.234,0.0,0.0464,122.006,4.0,https://api.spotify.com/v1/tracks/41RU6AQHyPCeKQ6TVjOgIc,audio_features,spotify:track:41RU6AQHyPCeKQ6TVjOgIc,0.151
3,Cosmic Gate Markus Schulz, AR ,Patrick White Remix,0.0628,https://api.spotify.com/v1/audio-analysis/2jIhFA427oS0LBHtHRHGj0,9A,0.621,196010.0,0.696,2jIhFA427oS0LBHtHRHGj0,0.159,4.0,0.267,-8.394,0.0,0.0581,129.969,4.0,https://api.spotify.com/v1/tracks/2jIhFA427oS0LBHtHRHGj0,audio_features,spotify:track:2jIhFA427oS0LBHtHRHGj0,0.0793
4,Arkham Knights, Existence,unknown,0.000137,https://api.spotify.com/v1/audio-analysis/4zFCWI4zvLhjwdfvAFPafP,9A,0.458,197672.0,0.875,4zFCWI4zvLhjwdfvAFPafP,0.734,4.0,0.195,-11.507,0.0,0.0522,136.02,4.0,https://api.spotify.com/v1/tracks/4zFCWI4zvLhjwdfvAFPafP,audio_features,spotify:track:4zFCWI4zvLhjwdfvAFPafP,0.0364
5,Kyau Albert, DeLorean,unknown,0.000186,https://api.spotify.com/v1/audio-analysis/1Hx7pM03KH37mU5jUSbOC8,10B,0.507,248581.0,0.785,1Hx7pM03KH37mU5jUSbOC8,0.932,2.0,0.0907,-7.2,1.0,0.0331,129.358,4.0,https://api.spotify.com/v1/tracks/1Hx7pM03KH37mU5jUSbOC8,audio_features,spotify:track:1Hx7pM03KH37mU5jUSbOC8,0.223
6,Dan Dobson Davey Asprey, Fantome,unknown,0.00398,https://api.spotify.com/v1/audio-analysis/3X0rQfPImcScpWEkwVkSfy,10B,0.378,197000.0,0.95,3X0rQfPImcScpWEkwVkSfy,0.976,2.0,0.0973,-6.307,1.0,0.0371,131.997,4.0,https://api.spotify.com/v1/tracks/3X0rQfPImcScpWEkwVkSfy,audio_features,spotify:track:3X0rQfPImcScpWEkwVkSfy,0.127
7,Markus Schulz, The New World ,Mark Sherry Remix,0.000185,https://api.spotify.com/v1/audio-analysis/5QlBL0kG0h2TioDpruKLTX,8A,0.48,85977.0,0.935,5QlBL0kG0h2TioDpruKLTX,0.945,9.0,0.4,-5.021,0.0,0.0476,134.015,4.0,https://api.spotify.com/v1/tracks/5QlBL0kG0h2TioDpruKLTX,audio_features,spotify:track:5QlBL0kG0h2TioDpruKLTX,0.518
8,Dark Matter, Future Sight,unknown,1.75e-05,https://api.spotify.com/v1/audio-analysis/1ZWgRXgunxTuM2C4MTjgyj,10B,0.53,525000.0,0.938,1ZWgRXgunxTuM2C4MTjgyj,0.879,2.0,0.11,-8.333,1.0,0.038,128.0,4.0,https://api.spotify.com/v1/tracks/1ZWgRXgunxTuM2C4MTjgyj,audio_features,spotify:track:1ZWgRXgunxTuM2C4MTjgyj,0.0677
9,Bobina   Denise Rivera, Siente,unknown,0.01,https://api.spotify.com/v1/audio-analysis/7LtZykmtEOeNzOhSDfan1p,6A,0.506,202538.0,0.982,7LtZykmtEOeNzOhSDfan1p,0.163,7.0,0.275,-2.027,0.0,0.0545,131.963,4.0,https://api.spotify.com/v1/tracks/7LtZykmtEOeNzOhSDfan1p,audio_features,spotify:track:7LtZykmtEOeNzOhSDfan1p,0.524
