,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Sound Quelle Max Meyer, SoMa,unknown,0.000275,https://api.spotify.com/v1/audio-analysis/4IlQyhsCQYNyElq10YsNHS,9A,0.567,232525.0,0.631,4IlQyhsCQYNyElq10YsNHS,0.0281,4.0,0.117,-9.662,0.0,0.0841,128.005,4.0,https://api.spotify.com/v1/tracks/4IlQyhsCQYNyElq10YsNHS,audio_features,spotify:track:4IlQyhsCQYNyElq10YsNHS,0.19
1,Gux Jimenez, Zero ,Sergey Shemet Remix,0.00287,https://api.spotify.com/v1/audio-analysis/3KW5xnf25QqFAOg9qOqRd3,8A,0.52,331070.0,0.937,3KW5xnf25QqFAOg9qOqRd3,0.862,9.0,0.168,-8.553,0.0,0.0393,127.13,1.0,https://api.spotify.com/v1/tracks/3KW5xnf25QqFAOg9qOqRd3,audio_features,spotify:track:3KW5xnf25QqFAOg9qOqRd3,0.438
2,Gregory Esayan, Ararat ,Sam Davies Remix,0.0572,https://api.spotify.com/v1/audio-analysis/7Bmo4qoYDh5aO8xcGqWSyg,8A,0.663,234266.0,0.821,7Bmo4qoYDh5aO8xcGqWSyg,0.884,9.0,0.179,-9.733,0.0,0.0441,124.971,4.0,https://api.spotify.com/v1/tracks/7Bmo4qoYDh5aO8xcGqWSyg,audio_features,spotify:track:7Bmo4qoYDh5aO8xcGqWSyg,0.194
3,Ilan Bluestone Jason Ross, Amun,unknown,0.0401,https://api.spotify.com/v1/audio-analysis/1ta6y97Z4A9ePfGyXK2Rfr,10A,0.623,216562.0,0.755,1ta6y97Z4A9ePfGyXK2Rfr,0.0189,11.0,0.328,-8.142,0.0,0.0654,128.005,4.0,https://api.spotify.com/v1/tracks/1ta6y97Z4A9ePfGyXK2Rfr,audio_features,spotify:track:1ta6y97Z4A9ePfGyXK2Rfr,0.243
4,LTN pres. Blue Ghost, Chasing The Arrow,unknown,0.000438,https://api.spotify.com/v1/audio-analysis/1TvpkpAgnEasAtFB3gYk44,10A,0.547,204000.0,0.946,1TvpkpAgnEasAtFB3gYk44,0.894,11.0,0.358,-8.646,0.0,0.0555,131.997,4.0,https://api.spotify.com/v1/tracks/1TvpkpAgnEasAtFB3gYk44,audio_features,spotify:track:1TvpkpAgnEasAtFB3gYk44,0.192
5,deadmau5, Saved,unknown,0.0804,https://api.spotify.com/v1/audio-analysis/5vUMdmEaauy6qSc1ovtZ30,11A,0.663,588750.0,0.665,5vUMdmEaauy6qSc1ovtZ30,0.543,6.0,0.157,-10.737,0.0,0.0353,128.004,4.0,https://api.spotify.com/v1/tracks/5vUMdmEaauy6qSc1ovtZ30,audio_features,spotify:track:5vUMdmEaauy6qSc1ovtZ30,0.0713
6,Luis Gonzalez, Ethereal,unknown,0.000193,https://api.spotify.com/v1/audio-analysis/6ufzHd3SgRQHKOd0lcsBJs,12A,0.728,375000.0,0.819,6ufzHd3SgRQHKOd0lcsBJs,0.895,1.0,0.0352,-6.447,0.0,0.0611,128.06,4.0,https://api.spotify.com/v1/tracks/6ufzHd3SgRQHKOd0lcsBJs,audio_features,spotify:track:6ufzHd3SgRQHKOd0lcsBJs,0.475
7,Josh Bailey   Jennifer K, Feel ,Dub Mix,0.000552,https://api.spotify.com/v1/audio-analysis/2h43Qb5UXnmoO6Vd0yJIuM,7A,0.609,318671.0,0.846,2h43Qb5UXnmoO6Vd0yJIuM,0.6,2.0,0.244,-8.345,0.0,0.0494,128.029,4.0,https://api.spotify.com/v1/tracks/2h43Qb5UXnmoO6Vd0yJIuM,audio_features,spotify:track:2h43Qb5UXnmoO6Vd0yJIuM,0.221
8,Ronski Speed, Octavia,unknown,0.000684,https://api.spotify.com/v1/audio-analysis/52m4B5PJQNBaSmS5spNaqi,8B,0.595,305644.0,0.885,52m4B5PJQNBaSmS5spNaqi,0.822,0.0,0.288,-8.437,1.0,0.0585,127.97,4.0,https://api.spotify.com/v1/tracks/52m4B5PJQNBaSmS5spNaqi,audio_features,spotify:track:52m4B5PJQNBaSmS5spNaqi,0.0767
9,Chicane, Poppiholla ,Anniversary Remix,0.0377,https://api.spotify.com/v1/audio-analysis/7qlCWRO4Imk3R596jkY2ne,5B,0.67,275122.0,0.71,7qlCWRO4Imk3R596jkY2ne,0.887,3.0,0.078,-9.005,1.0,0.0319,122.993,4.0,https://api.spotify.com/v1/tracks/7qlCWRO4Imk3R596jkY2ne,audio_features,spotify:track:7qlCWRO4Imk3R596jkY2ne,0.0697
