,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,JOYRYDE, Hot Drum,unknown,0.0009,https://api.spotify.com/v1/audio-analysis/0gcPFlSLjkVqz84RcDhyJk,9B,0.625,266880.0,0.981,0gcPFlSLjkVqz84RcDhyJk,0.329,7.0,0.357,-3.799,1.0,0.0597,125.008,4.0,https://api.spotify.com/v1/tracks/0gcPFlSLjkVqz84RcDhyJk,audio_features,spotify:track:0gcPFlSLjkVqz84RcDhyJk,0.156
1,SLANDER BASSTRICK, Drop It,unknown,0.0224,https://api.spotify.com/v1/audio-analysis/5sysgWS6HwrfhHDnqMh27l,9B,0.813,191250.0,0.966,5sysgWS6HwrfhHDnqMh27l,0.739,7.0,0.129,-1.531,1.0,0.154,128.006,4.0,https://api.spotify.com/v1/tracks/5sysgWS6HwrfhHDnqMh27l,audio_features,spotify:track:5sysgWS6HwrfhHDnqMh27l,0.381
2,Mura Masa, Hell ,Vincent Remix,0.00061,https://api.spotify.com/v1/audio-analysis/7dQ847NQosTZ9gztaaBtn7,3B,0.785,124286.0,0.947,7dQ847NQosTZ9gztaaBtn7,0.922,1.0,0.0499,-7.708,1.0,0.0731,140.021,4.0,https://api.spotify.com/v1/tracks/7dQ847NQosTZ9gztaaBtn7,audio_features,spotify:track:7dQ847NQosTZ9gztaaBtn7,0.58
3,Nebita, Coastal ,Airuei Remix,0.0927,https://api.spotify.com/v1/audio-analysis/7g8pDnnzAPe3A5Yujt4Mbo,2B,0.693,362182.0,0.655,7g8pDnnzAPe3A5Yujt4Mbo,0.868,6.0,0.0756,-12.728,1.0,0.0511,110.005,4.0,https://api.spotify.com/v1/tracks/7g8pDnnzAPe3A5Yujt4Mbo,audio_features,spotify:track:7g8pDnnzAPe3A5Yujt4Mbo,0.438
4,Bro Safari Dion Timmer, Proper,unknown,0.244,https://api.spotify.com/v1/audio-analysis/4FUaiI7d7bQ7iQGoI8ZoXS,10B,0.611,225029.0,0.853,4FUaiI7d7bQ7iQGoI8ZoXS,0.525,2.0,0.194,-5.285,1.0,0.225,144.897,4.0,https://api.spotify.com/v1/tracks/4FUaiI7d7bQ7iQGoI8ZoXS,audio_features,spotify:track:4FUaiI7d7bQ7iQGoI8ZoXS,0.184
5,Yo Gotti   Kanye West Big Sean Quavo 2 Chainz, Castro,unknown,0.643,https://api.spotify.com/v1/audio-analysis/0rHJxNaQRMGK6Y4TUx3xRO,3A,0.79,219947.0,0.544,0rHJxNaQRMGK6Y4TUx3xRO,0.0,10.0,0.13,-6.624,0.0,0.368,146.077,4.0,https://api.spotify.com/v1/tracks/0rHJxNaQRMGK6Y4TUx3xRO,audio_features,spotify:track:0rHJxNaQRMGK6Y4TUx3xRO,0.467
6,JOYRYDE   Freddie Gibbs, Damn,unknown,0.208,https://api.spotify.com/v1/audio-analysis/4MTMZIOgU49j201MPSQZ2T,11B,0.583,191960.0,0.737,4MTMZIOgU49j201MPSQZ2T,1.87e-06,9.0,0.192,-6.466,1.0,0.0627,128.402,4.0,https://api.spotify.com/v1/tracks/4MTMZIOgU49j201MPSQZ2T,audio_features,spotify:track:4MTMZIOgU49j201MPSQZ2T,0.76
7,Boombox Cartel   QUIX, Widdit,unknown,0.154,https://api.spotify.com/v1/audio-analysis/3M1QKRWsVzmG9WCQ6ULNt6,9A,0.483,260129.0,0.911,3M1QKRWsVzmG9WCQ6ULNt6,0.304,4.0,0.146,-2.366,0.0,0.099,154.93,4.0,https://api.spotify.com/v1/tracks/3M1QKRWsVzmG9WCQ6ULNt6,audio_features,spotify:track:3M1QKRWsVzmG9WCQ6ULNt6,0.169
8,Skrillex MUST DIE!, VIP's ,Gent & Jawns Remix,0.0692,https://api.spotify.com/v1/audio-analysis/3ePeqsAf7wC431EKdZ3wUh,10A,0.715,219960.0,0.789,3ePeqsAf7wC431EKdZ3wUh,0.0,11.0,0.331,-6.005,0.0,0.298,130.591,5.0,https://api.spotify.com/v1/tracks/3ePeqsAf7wC431EKdZ3wUh,audio_features,spotify:track:3ePeqsAf7wC431EKdZ3wUh,0.615
9,Bravo Bravo, Domination,unknown,0.00191,https://api.spotify.com/v1/audio-analysis/7a4bap8DoDefU5JhlkjbUQ,9B,0.638,168828.0,0.876,7a4bap8DoDefU5JhlkjbUQ,0.00358,7.0,0.105,-5.45,1.0,0.189,145.053,4.0,https://api.spotify.com/v1/tracks/7a4bap8DoDefU5JhlkjbUQ,audio_features,spotify:track:7a4bap8DoDefU5JhlkjbUQ,0.392
10,Vindata, Arrival,unknown,,,,,,,,,,,,,,,,,,,
