,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Gunz For Hire   Nikki Milou, We Will Be Immortal,unknown,0.129,https://api.spotify.com/v1/audio-analysis/7nRDaMCjsZwjE7FG44IqnY,1A,0.262,198523.0,0.854,7nRDaMCjsZwjE7FG44IqnY,0.0,8.0,0.108,-2.139,0.0,0.0544,154.893,4.0,https://api.spotify.com/v1/tracks/7nRDaMCjsZwjE7FG44IqnY,audio_features,spotify:track:7nRDaMCjsZwjE7FG44IqnY,0.0449
1,Gunz For Hire, Armed & Dangerous,unknown,0.00475,https://api.spotify.com/v1/audio-analysis/75oIcJWC4kkd5VshQA93X5,9B,0.532,270400.0,0.994,75oIcJWC4kkd5VshQA93X5,0.0,7.0,0.138,-2.315,1.0,0.169,150.025,4.0,https://api.spotify.com/v1/tracks/75oIcJWC4kkd5VshQA93X5,audio_features,spotify:track:75oIcJWC4kkd5VshQA93X5,0.059
2,Gunz For Hire, Lions,unknown,0.00665,https://api.spotify.com/v1/audio-analysis/1rr99lIqRepaGM5qNg8mvd,8B,0.548,192373.0,0.784,1rr99lIqRepaGM5qNg8mvd,0.000423,0.0,0.0753,-6.677,1.0,0.0331,130.998,4.0,https://api.spotify.com/v1/tracks/1rr99lIqRepaGM5qNg8mvd,audio_features,spotify:track:1rr99lIqRepaGM5qNg8mvd,0.567
3,Gunz For Hire E,life ,unknown,0.0504,https://api.spotify.com/v1/audio-analysis/443xLN2N9G2GUdYEGvosMA,9B,0.512,248693.0,0.906,443xLN2N9G2GUdYEGvosMA,0.0,7.0,0.0514,-3.108,1.0,0.367,169.322,4.0,https://api.spotify.com/v1/tracks/443xLN2N9G2GUdYEGvosMA,audio_features,spotify:track:443xLN2N9G2GUdYEGvosMA,0.633
4,Gunz For Hire, Pussy Lovers,unknown,,,,,,,,,,,,,,,,,,,
5,Gunz For Hire, Kings Of The Underground ,Kick Edit,0.0566,https://api.spotify.com/v1/audio-analysis/6UgE4xFyY9IOczVcvUijhI,4B,0.34,273234.0,0.994,6UgE4xFyY9IOczVcvUijhI,4.35e-06,8.0,0.0861,-4.191,1.0,0.59,75.781,4.0,https://api.spotify.com/v1/tracks/6UgE4xFyY9IOczVcvUijhI,audio_features,spotify:track:6UgE4xFyY9IOczVcvUijhI,0.321
6,Gunz For Hire, Executioner Style,unknown,0.00908,https://api.spotify.com/v1/audio-analysis/1D9OF56mfzLeQLjlq0Kkcb,9B,0.464,217794.0,0.906,1D9OF56mfzLeQLjlq0Kkcb,0.000356,7.0,0.366,-2.521,1.0,0.172,152.192,4.0,https://api.spotify.com/v1/tracks/1D9OF56mfzLeQLjlq0Kkcb,audio_features,spotify:track:1D9OF56mfzLeQLjlq0Kkcb,0.254
7,Gunz For Hire, ID,unknown,2.69e-05,https://api.spotify.com/v1/audio-analysis/3URhkUzzK6vXAV5uRH1Saz,11B,0.396,208053.0,0.965,3URhkUzzK6vXAV5uRH1Saz,8.01e-05,9.0,0.225,-3.823,1.0,0.0972,164.961,4.0,https://api.spotify.com/v1/tracks/3URhkUzzK6vXAV5uRH1Saz,audio_features,spotify:track:3URhkUzzK6vXAV5uRH1Saz,0.431
8,Gunz For Hire, No Mercy,unknown,0.0383,https://api.spotify.com/v1/audio-analysis/2AxFNjASJZnphjzAeSyWPo,9B,0.274,233067.0,0.937,2AxFNjASJZnphjzAeSyWPo,1.38e-05,7.0,0.355,-1.81,1.0,0.179,156.804,4.0,https://api.spotify.com/v1/tracks/2AxFNjASJZnphjzAeSyWPo,audio_features,spotify:track:2AxFNjASJZnphjzAeSyWPo,0.206
9,Gunz For Hire, Sickness,unknown,0.692,https://api.spotify.com/v1/audio-analysis/3rbkDZGAkdaL9iVyd1W2AG,4B,0.367,119000.0,0.987,3rbkDZGAkdaL9iVyd1W2AG,0.578,8.0,0.196,-3.954,1.0,0.0712,127.208,4.0,https://api.spotify.com/v1/tracks/3rbkDZGAkdaL9iVyd1W2AG,audio_features,spotify:track:3rbkDZGAkdaL9iVyd1W2AG,0.13
10,Gunz For Hire, Welcome To Death Row,unknown,0.0196,https://api.spotify.com/v1/audio-analysis/3CSWckgs7W2mKHWT1zKkC0,4A,0.536,295742.0,0.989,3CSWckgs7W2mKHWT1zKkC0,0.0,5.0,0.123,-0.763,0.0,0.608,154.944,4.0,https://api.spotify.com/v1/tracks/3CSWckgs7W2mKHWT1zKkC0,audio_features,spotify:track:3CSWckgs7W2mKHWT1zKkC0,0.0384
11,Gunz For Hire, The Day That I Die,unknown,0.0731,https://api.spotify.com/v1/audio-analysis/6oaBEu0hvzEMFGluixuV2I,9B,0.224,187637.0,0.917,6oaBEu0hvzEMFGluixuV2I,0.0,7.0,0.166,-6.186,1.0,0.413,76.349,4.0,https://api.spotify.com/v1/tracks/6oaBEu0hvzEMFGluixuV2I,audio_features,spotify:track:6oaBEu0hvzEMFGluixuV2I,0.163
