,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Skrillex Habstrakt, Chicken Soup,unknown,0.00129,https://api.spotify.com/v1/audio-analysis/7hU38LHqMSPFrvoqADFJp4,1B,0.823,207293.0,0.815,7hU38LHqMSPFrvoqADFJp4,0.0494,11.0,0.599,-3.947,1.0,0.134,125.989,4.0,https://api.spotify.com/v1/tracks/7hU38LHqMSPFrvoqADFJp4,audio_features,spotify:track:7hU38LHqMSPFrvoqADFJp4,0.474
1,Dustycloud, Blind,unknown,0.451,https://api.spotify.com/v1/audio-analysis/21vLMUijA5tF8W99hPkTsQ,6A,0.822,201434.0,0.908,21vLMUijA5tF8W99hPkTsQ,0.0378,7.0,0.114,-5.947,0.0,0.138,125.987,4.0,https://api.spotify.com/v1/tracks/21vLMUijA5tF8W99hPkTsQ,audio_features,spotify:track:21vLMUijA5tF8W99hPkTsQ,0.494
2,AC Slater, Bass Inside,unknown,0.00112,https://api.spotify.com/v1/audio-analysis/0oUTyBEY3NQzmu2VuoKpSH,2B,0.905,264000.0,0.838,0oUTyBEY3NQzmu2VuoKpSH,0.839,6.0,0.608,-6.838,1.0,0.0499,126.007,4.0,https://api.spotify.com/v1/tracks/0oUTyBEY3NQzmu2VuoKpSH,audio_features,spotify:track:0oUTyBEY3NQzmu2VuoKpSH,0.464
3,Dustycloud, Sometimes,unknown,0.0738,https://api.spotify.com/v1/audio-analysis/0j3gL3NY39XN0x150pZZMY,3A,0.862,205719.0,0.792,0j3gL3NY39XN0x150pZZMY,0.52,10.0,0.0999,-4.356,0.0,0.22,126.03,4.0,https://api.spotify.com/v1/tracks/0j3gL3NY39XN0x150pZZMY,audio_features,spotify:track:0j3gL3NY39XN0x150pZZMY,0.632
4,Jace Mek, Understand,unknown,0.00608,https://api.spotify.com/v1/audio-analysis/1slZxq4zTp2VXmEfM36xsA,9B,0.862,232887.0,0.694,1slZxq4zTp2VXmEfM36xsA,0.583,7.0,0.0792,-5.31,1.0,0.167,125.984,4.0,https://api.spotify.com/v1/tracks/1slZxq4zTp2VXmEfM36xsA,audio_features,spotify:track:1slZxq4zTp2VXmEfM36xsA,0.263
5,Josh Pan   Xian Gaszia, Platinum,unknown,0.0737,https://api.spotify.com/v1/audio-analysis/7KilShb8JCT9ZW0bBUhCQT,4B,0.826,223623.0,0.803,7KilShb8JCT9ZW0bBUhCQT,0.22,8.0,0.0843,-6.425,1.0,0.0872,126.0,4.0,https://api.spotify.com/v1/tracks/7KilShb8JCT9ZW0bBUhCQT,audio_features,spotify:track:7KilShb8JCT9ZW0bBUhCQT,0.622
6,NIGHTOWLS JVDAS, Check It Out,unknown,,,,,,,,,,,,,,,,,,,
7,Marcel Reix, Light Room ,Ukka Remix,,,,,,,,,,,,,,,,,,,
8,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
9,Taiki Nulight AC Slater, Psycho,unknown,0.0159,https://api.spotify.com/v1/audio-analysis/6jr9VnyNjpxXDJ2vTfLUjH,10A,0.882,275400.0,0.814,6jr9VnyNjpxXDJ2vTfLUjH,0.0643,11.0,0.0561,-5.409,0.0,0.107,125.99,4.0,https://api.spotify.com/v1/tracks/6jr9VnyNjpxXDJ2vTfLUjH,audio_features,spotify:track:6jr9VnyNjpxXDJ2vTfLUjH,0.673
10,Dombresky, Utopia,unknown,0.00338,https://api.spotify.com/v1/audio-analysis/3IVjcQvCFu1Bo7Kq3WRlNn,3A,0.754,280952.0,0.833,3IVjcQvCFu1Bo7Kq3WRlNn,0.54,10.0,0.0666,-5.143,0.0,0.0428,126.031,4.0,https://api.spotify.com/v1/tracks/3IVjcQvCFu1Bo7Kq3WRlNn,audio_features,spotify:track:3IVjcQvCFu1Bo7Kq3WRlNn,0.105
11,Riton   Kah,Lo ,unknown,0.0377,https://api.spotify.com/v1/audio-analysis/0N6QmnSZJAZshdgLdBNYn4,2B,0.78,151230.0,0.726,0N6QmnSZJAZshdgLdBNYn4,0.00337,6.0,0.133,-6.486,1.0,0.0612,122.007,4.0,https://api.spotify.com/v1/tracks/0N6QmnSZJAZshdgLdBNYn4,audio_features,spotify:track:0N6QmnSZJAZshdgLdBNYn4,0.623
12,Mr. Oizo, Flat Beat,unknown,0.000209,https://api.spotify.com/v1/audio-analysis/4ek71wqDqmg2nrPHpFNRnU,9A,0.937,316973.0,0.425,4ek71wqDqmg2nrPHpFNRnU,0.49,4.0,0.273,-11.584,0.0,0.569,129.016,4.0,https://api.spotify.com/v1/tracks/4ek71wqDqmg2nrPHpFNRnU,audio_features,spotify:track:4ek71wqDqmg2nrPHpFNRnU,0.497
13,Carte Blanche, Gare Du Nord ,Green Velvet Remix,0.000437,https://api.spotify.com/v1/audio-analysis/3FB4CVSNVOxc1oK4JczLud,8B,0.819,298820.0,0.842,3FB4CVSNVOxc1oK4JczLud,0.738,0.0,0.082,-4.612,1.0,0.242,129.985,4.0,https://api.spotify.com/v1/tracks/3FB4CVSNVOxc1oK4JczLud,audio_features,spotify:track:3FB4CVSNVOxc1oK4JczLud,0.52
14,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
15,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
16,Gussy, Miss E ,Jerome Robins Edit,0.00549,https://api.spotify.com/v1/audio-analysis/5W16T8vM9aYuMy9vFPG067,10A,0.8,404210.0,0.992,5W16T8vM9aYuMy9vFPG067,0.0503,11.0,0.196,-4.31,0.0,0.106,125.998,4.0,https://api.spotify.com/v1/tracks/5W16T8vM9aYuMy9vFPG067,audio_features,spotify:track:5W16T8vM9aYuMy9vFPG067,0.838
