,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Audiotricz, Discover The New,unknown,0.00187,https://api.spotify.com/v1/audio-analysis/10X6VIRKC0bN6UI1RdcasI,12A,0.495,142400.0,0.891,10X6VIRKC0bN6UI1RdcasI,0.112,1.0,0.322,-5.599,0.0,0.0504,149.982,4.0,https://api.spotify.com/v1/tracks/10X6VIRKC0bN6UI1RdcasI,audio_features,spotify:track:10X6VIRKC0bN6UI1RdcasI,0.224
1,Adrenalize   Adn, Get Up,unknown,0.18,https://api.spotify.com/v1/audio-analysis/3fUyhbetp4O7AEbCMAAWhn,1B,0.393,252808.0,0.603,3fUyhbetp4O7AEbCMAAWhn,0.0,11.0,0.141,-5.667,1.0,0.032,150.144,4.0,https://api.spotify.com/v1/tracks/3fUyhbetp4O7AEbCMAAWhn,audio_features,spotify:track:3fUyhbetp4O7AEbCMAAWhn,0.227
2,Headhunterz Miss Palmer, Now Is The Time,unknown,0.00805,https://api.spotify.com/v1/audio-analysis/0YVehDFdHAMQsnY73C7tsh,1A,0.467,211200.0,0.934,0YVehDFdHAMQsnY73C7tsh,0.0442,8.0,0.0699,-5.608,0.0,0.0557,75.012,4.0,https://api.spotify.com/v1/tracks/0YVehDFdHAMQsnY73C7tsh,audio_features,spotify:track:0YVehDFdHAMQsnY73C7tsh,0.0716
3,Da Tweekaz Sephyx, This Is Special,unknown,0.0182,https://api.spotify.com/v1/audio-analysis/0x9kd7OoPseiRFC1lR5I2W,12A,0.423,214600.0,0.906,0x9kd7OoPseiRFC1lR5I2W,0.000513,1.0,0.351,-4.584,0.0,0.0606,149.85,4.0,https://api.spotify.com/v1/tracks/0x9kd7OoPseiRFC1lR5I2W,audio_features,spotify:track:0x9kd7OoPseiRFC1lR5I2W,0.177
4,Omegatypez, Get up! ,Faizar Remix,0.00596,https://api.spotify.com/v1/audio-analysis/4qqxs70yzlWp2OhKuBnsOM,11A,0.523,198400.0,0.912,4qqxs70yzlWp2OhKuBnsOM,0.000266,6.0,0.331,-4.473,0.0,0.0527,150.001,3.0,https://api.spotify.com/v1/tracks/4qqxs70yzlWp2OhKuBnsOM,audio_features,spotify:track:4qqxs70yzlWp2OhKuBnsOM,0.435
5,Retrospect, Visualize,unknown,0.0232,https://api.spotify.com/v1/audio-analysis/3e356NhCBIk7oFDgFcsOeQ,10A,0.245,201089.0,0.987,3e356NhCBIk7oFDgFcsOeQ,1.72e-05,11.0,0.36,-3.254,0.0,0.155,150.031,4.0,https://api.spotify.com/v1/tracks/3e356NhCBIk7oFDgFcsOeQ,audio_features,spotify:track:3e356NhCBIk7oFDgFcsOeQ,0.261
6,KELTEK, Kick Off ,Rebirth 2018 OST,0.0409,https://api.spotify.com/v1/audio-analysis/5PlDCZGiAQF3SiRdgRzRAw,3A,0.505,163200.0,0.927,5PlDCZGiAQF3SiRdgRzRAw,0.529,10.0,0.226,-6.891,0.0,0.0435,150.038,4.0,https://api.spotify.com/v1/tracks/5PlDCZGiAQF3SiRdgRzRAw,audio_features,spotify:track:5PlDCZGiAQF3SiRdgRzRAw,0.31
7,Bass Modulators Max Enforcer, Our Soul,unknown,0.0203,https://api.spotify.com/v1/audio-analysis/7o5C7BxUMypQNh9XKHwNfM,5A,0.352,216100.0,0.957,7o5C7BxUMypQNh9XKHwNfM,0.000329,0.0,0.201,-2.567,0.0,0.0508,149.969,4.0,https://api.spotify.com/v1/tracks/7o5C7BxUMypQNh9XKHwNfM,audio_features,spotify:track:7o5C7BxUMypQNh9XKHwNfM,0.276
8,Denza, Our Way,unknown,0.0016,https://api.spotify.com/v1/audio-analysis/1SY5GJFRhyosLypTdCE21A,3A,0.426,205804.0,0.891,1SY5GJFRhyosLypTdCE21A,0.000114,10.0,0.369,-4.588,0.0,0.0989,149.848,4.0,https://api.spotify.com/v1/tracks/1SY5GJFRhyosLypTdCE21A,audio_features,spotify:track:1SY5GJFRhyosLypTdCE21A,0.262
9,Devin Wild, It Feels So Good,unknown,0.0043,https://api.spotify.com/v1/audio-analysis/09a4cNflLZL9KT5lg0PCEo,3B,0.5,160021.0,0.898,09a4cNflLZL9KT5lg0PCEo,0.00601,1.0,0.362,-4.633,1.0,0.0507,149.973,4.0,https://api.spotify.com/v1/tracks/09a4cNflLZL9KT5lg0PCEo,audio_features,spotify:track:09a4cNflLZL9KT5lg0PCEo,0.274
