,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Hardwell, Eclipse ,Hardwell Intro Edit,0.0175,https://api.spotify.com/v1/audio-analysis/6gf7bTvp2KKvNz2v0Dbmot,11B,0.354,192946.0,0.795,6gf7bTvp2KKvNz2v0Dbmot,0.000447,9.0,0.0719,-3.749,1.0,0.084,128.025,4.0,https://api.spotify.com/v1/tracks/6gf7bTvp2KKvNz2v0Dbmot,audio_features,spotify:track:6gf7bTvp2KKvNz2v0Dbmot,0.0498
1,Paris Blohm   Sebastian Ingrosso Tommy Trash, Left Behinds ,Hardwell Mashup,0.00122,https://api.spotify.com/v1/audio-analysis/4S2HeFXdTt0KTcM2Puf3Ir,1A,0.474,269633.0,0.898,4S2HeFXdTt0KTcM2Puf3Ir,0.133,8.0,0.234,-6.739,0.0,0.0857,128.231,4.0,https://api.spotify.com/v1/tracks/4S2HeFXdTt0KTcM2Puf3Ir,audio_features,spotify:track:4S2HeFXdTt0KTcM2Puf3Ir,0.173
2,Dannic, Zenith,unknown,0.00207,https://api.spotify.com/v1/audio-analysis/2VxDVsvdoCdivWMOi3LaFR,9A,0.538,270900.0,0.947,2VxDVsvdoCdivWMOi3LaFR,0.626,4.0,0.192,-6.059,0.0,0.0961,128.514,4.0,https://api.spotify.com/v1/tracks/2VxDVsvdoCdivWMOi3LaFR,audio_features,spotify:track:2VxDVsvdoCdivWMOi3LaFR,0.0307
3,Hardwell   Matthew Koma, Dare You ,Hardwell Concert Edit,0.000612,https://api.spotify.com/v1/audio-analysis/3GNHC4hmpOpcFnVhtoHfhS,11B,0.456,244633.0,0.915,3GNHC4hmpOpcFnVhtoHfhS,6.77e-05,9.0,0.384,-5.366,1.0,0.0705,129.198,4.0,https://api.spotify.com/v1/tracks/3GNHC4hmpOpcFnVhtoHfhS,audio_features,spotify:track:3GNHC4hmpOpcFnVhtoHfhS,0.0544
4,Gareth Emery W&W   Alesso Calvin Harris   Theo Hutchcraft, U ,Hardwell Mashup,0.0389,https://api.spotify.com/v1/audio-analysis/7ej6hXuIvbHAz5tKRikMi1,9B,0.608,260205.0,0.791,7ej6hXuIvbHAz5tKRikMi1,0.0111,7.0,0.187,-6.627,1.0,0.0336,129.996,4.0,https://api.spotify.com/v1/tracks/7ej6hXuIvbHAz5tKRikMi1,audio_features,spotify:track:7ej6hXuIvbHAz5tKRikMi1,0.127
5,Deorro J,Trick ,Hardwell Edit,0.194,https://api.spotify.com/v1/audio-analysis/4VuN6FwGAF8ogZNiEHbVnz,12A,0.675,238067.0,0.787,4VuN6FwGAF8ogZNiEHbVnz,0.876,1.0,0.121,-6.334,0.0,0.0335,140.02,4.0,https://api.spotify.com/v1/tracks/4VuN6FwGAF8ogZNiEHbVnz,audio_features,spotify:track:4VuN6FwGAF8ogZNiEHbVnz,0.732
6,w/ Mightyfools, Footrocker ,"Get Your, Get Your Hands Up Acapella",0.00135,https://api.spotify.com/v1/audio-analysis/2zp566TCRQE06krunTwKpU,1B,0.575,273789.0,0.982,2zp566TCRQE06krunTwKpU,0.829,11.0,0.472,-4.94,1.0,0.0644,128.011,4.0,https://api.spotify.com/v1/tracks/2zp566TCRQE06krunTwKpU,audio_features,spotify:track:2zp566TCRQE06krunTwKpU,0.431
7,Lana Del Rey, Young & Beautiful ,Cedric Gervais Remix,0.0433,https://api.spotify.com/v1/audio-analysis/4aBDS6611oBs5LBiVMuQmh,10A,0.554,227115.0,0.875,4aBDS6611oBs5LBiVMuQmh,0.00109,11.0,0.39,-4.573,0.0,0.0512,126.007,4.0,https://api.spotify.com/v1/tracks/4aBDS6611oBs5LBiVMuQmh,audio_features,spotify:track:4aBDS6611oBs5LBiVMuQmh,0.399
8,w/ Hardwell, Everybody Is In The Place,unknown,0.000434,https://api.spotify.com/v1/audio-analysis/0coMLoVcagZPGF5zxc5RF8,10B,0.609,171697.0,0.989,0coMLoVcagZPGF5zxc5RF8,0.219,2.0,0.0715,-3.51,1.0,0.0867,130.046,4.0,https://api.spotify.com/v1/tracks/0coMLoVcagZPGF5zxc5RF8,audio_features,spotify:track:0coMLoVcagZPGF5zxc5RF8,0.0358
9,Hardwell   Amba Shepherd, Apollo ,Hardwell Private Edit / Dash Berlin vs. Lucky Date vs. Noisecontrollers Remix Mashup,0.015,https://api.spotify.com/v1/audio-analysis/5v54ZQ0glzbB9XUPTaX0cj,11B,0.56,209766.0,0.742,5v54ZQ0glzbB9XUPTaX0cj,0.0134,9.0,0.639,-6.122,1.0,0.0666,128.06,4.0,https://api.spotify.com/v1/tracks/5v54ZQ0glzbB9XUPTaX0cj,audio_features,spotify:track:5v54ZQ0glzbB9XUPTaX0cj,0.275
