,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,DallasK, Power Trip,unknown,,,,,,,,,,,,,,,,,,,
1,Alicia Keys X Kaskade, In Common ,Remix,0.0182,https://api.spotify.com/v1/audio-analysis/0rcDFdi19NtKf9NbHxr0k9,4B,0.647,209051.0,0.678,0rcDFdi19NtKf9NbHxr0k9,0.0,8.0,0.0413,-7.092,1.0,0.0828,120.122,4.0,https://api.spotify.com/v1/tracks/0rcDFdi19NtKf9NbHxr0k9,audio_features,spotify:track:0rcDFdi19NtKf9NbHxr0k9,0.302
2,Joey Dale Ryos   Tony Rodini, Armageddon,unknown,0.0242,https://api.spotify.com/v1/audio-analysis/2olsY9IxJ17KEDQ8Sb3SQC,7B,0.507,210000.0,0.785,2olsY9IxJ17KEDQ8Sb3SQC,0.0,5.0,0.218,-4.191,1.0,0.0435,128.054,4.0,https://api.spotify.com/v1/tracks/2olsY9IxJ17KEDQ8Sb3SQC,audio_features,spotify:track:2olsY9IxJ17KEDQ8Sb3SQC,0.121
3,DubVision, Primer,unknown,0.026,https://api.spotify.com/v1/audio-analysis/5BHQgdYNXLHFSZaoSGXQh5,9A,0.681,186516.0,0.864,5BHQgdYNXLHFSZaoSGXQh5,0.000563,4.0,0.586,-2.951,0.0,0.049,127.994,4.0,https://api.spotify.com/v1/tracks/5BHQgdYNXLHFSZaoSGXQh5,audio_features,spotify:track:5BHQgdYNXLHFSZaoSGXQh5,0.249
4,JAGGS Dropgun, Chronos,unknown,0.00144,https://api.spotify.com/v1/audio-analysis/7mahTplruaATfH1fyLeoUS,10B,0.678,210000.0,0.986,7mahTplruaATfH1fyLeoUS,0.0777,2.0,0.305,-3.677,1.0,0.147,128.013,4.0,https://api.spotify.com/v1/tracks/7mahTplruaATfH1fyLeoUS,audio_features,spotify:track:7mahTplruaATfH1fyLeoUS,0.0848
5,Tiësto Mike Williams, I Want You,unknown,0.0802,https://api.spotify.com/v1/audio-analysis/4I1zD6WvoJoLDFWsqcCpMJ,6A,0.68,173810.0,0.867,4I1zD6WvoJoLDFWsqcCpMJ,0.0423,7.0,0.0734,-5.128,0.0,0.0437,126.078,4.0,https://api.spotify.com/v1/tracks/4I1zD6WvoJoLDFWsqcCpMJ,audio_features,spotify:track:4I1zD6WvoJoLDFWsqcCpMJ,0.286
6,BRKLYN   Mariah McManus, Can't Get Enough ,Infuse Remix,,,,,,,,,,,,,,,,,,,
7,Joey Dale Reece Low, Makes Me Wonder,unknown,0.0134,https://api.spotify.com/v1/audio-analysis/1Vm2CXwpMMygjALMUBdc7J,3B,0.674,206250.0,0.838,1Vm2CXwpMMygjALMUBdc7J,0.000877,1.0,0.125,-3.449,1.0,0.0876,128.032,4.0,https://api.spotify.com/v1/tracks/1Vm2CXwpMMygjALMUBdc7J,audio_features,spotify:track:1Vm2CXwpMMygjALMUBdc7J,0.356
8,Moby, Porcelain ,SICK INDIVIDUALS Remix,0.00117,https://api.spotify.com/v1/audio-analysis/3ack05QbRCHU8ZDptZ0B9c,5A,0.607,222363.0,0.952,3ack05QbRCHU8ZDptZ0B9c,0.262,0.0,0.318,-2.514,0.0,0.0451,128.006,4.0,https://api.spotify.com/v1/tracks/3ack05QbRCHU8ZDptZ0B9c,audio_features,spotify:track:3ack05QbRCHU8ZDptZ0B9c,0.246
9,Maxum Simon Alex   Roland Clark, Space Disco,unknown,0.00895,https://api.spotify.com/v1/audio-analysis/4CaSKIPLWRzltak0bfrjDa,11B,0.663,211429.0,0.966,4CaSKIPLWRzltak0bfrjDa,0.0,9.0,0.409,-3.886,1.0,0.3,126.07,4.0,https://api.spotify.com/v1/tracks/4CaSKIPLWRzltak0bfrjDa,audio_features,spotify:track:4CaSKIPLWRzltak0bfrjDa,0.353
10,Armin van Buuren   Speedy J, Pull Over ,Hardwell Rework,2.41e-05,https://api.spotify.com/v1/audio-analysis/0tj7NF1dlGwfIdGu1bQdqr,4B,0.594,145771.0,0.98,0tj7NF1dlGwfIdGu1bQdqr,0.849,8.0,0.071,-2.555,1.0,0.0469,131.949,4.0,https://api.spotify.com/v1/tracks/0tj7NF1dlGwfIdGu1bQdqr,audio_features,spotify:track:0tj7NF1dlGwfIdGu1bQdqr,0.641
11,Jewelz Sparks, Crank,unknown,0.00542,https://api.spotify.com/v1/audio-analysis/6XPxhu9b70wxelrjNIrc9Y,3A,0.693,172500.0,0.982,6XPxhu9b70wxelrjNIrc9Y,0.253,10.0,0.0432,-1.587,0.0,0.399,127.988,4.0,https://api.spotify.com/v1/tracks/6XPxhu9b70wxelrjNIrc9Y,audio_features,spotify:track:6XPxhu9b70wxelrjNIrc9Y,0.0435
12,Bassjackers   Luciana, Fireflies,unknown,0.0164,https://api.spotify.com/v1/audio-analysis/5hvoedbyY9mLFsaxxP5oi7,9A,0.643,184697.0,0.817,5hvoedbyY9mLFsaxxP5oi7,0.00239,4.0,0.126,-3.506,0.0,0.0472,128.119,4.0,https://api.spotify.com/v1/tracks/5hvoedbyY9mLFsaxxP5oi7,audio_features,spotify:track:5hvoedbyY9mLFsaxxP5oi7,0.381
13,Matt Watkins Olly James, Mayhem,unknown,0.744,https://api.spotify.com/v1/audio-analysis/4cQMwqae7dVsV5mrc6sph9,8B,0.737,143182.0,0.35,4cQMwqae7dVsV5mrc6sph9,0.884,0.0,0.0937,-19.253,1.0,0.146,88.0,4.0,https://api.spotify.com/v1/tracks/4cQMwqae7dVsV5mrc6sph9,audio_features,spotify:track:4cQMwqae7dVsV5mrc6sph9,0.487
