,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Headhunterz, Dragonborn ,Psychedelic Intro Edit,0.0772,https://api.spotify.com/v1/audio-analysis/1JrQp5SsYx295qNVAaXKMw,7B,0.479,334940.0,0.993,1JrQp5SsYx295qNVAaXKMw,0.254,5.0,0.12,-3.77,1.0,0.188,150.001,4.0,https://api.spotify.com/v1/tracks/1JrQp5SsYx295qNVAaXKMw,audio_features,spotify:track:1JrQp5SsYx295qNVAaXKMw,0.0957
1,w/ Headhunterz, Psychedelic Sunshine,unknown,,,,,,,,,,,,,,,,,,,
2,Sak Noel   Headhunterz, Make It Loca ,Headhunterz Mashup,,,,,,,,,,,,,,,,,,,
3,Zatox, Sunlight ,Zatox & Sub Zero Project Hard Edit,0.00283,https://api.spotify.com/v1/audio-analysis/5yVn5a6YmiI9wLXejKtbgR,3B,0.457,180800.0,0.978,5yVn5a6YmiI9wLXejKtbgR,0.712,1.0,0.36,-3.341,1.0,0.121,150.072,4.0,https://api.spotify.com/v1/tracks/5yVn5a6YmiI9wLXejKtbgR,audio_features,spotify:track:5yVn5a6YmiI9wLXejKtbgR,0.112
4,Headhunterz, Takin It Back,unknown,0.0378,https://api.spotify.com/v1/audio-analysis/31RtShBICxYaZbzerWBE9u,3A,0.496,199200.0,0.907,31RtShBICxYaZbzerWBE9u,0.0151,10.0,0.338,-4.294,0.0,0.145,150.068,4.0,https://api.spotify.com/v1/tracks/31RtShBICxYaZbzerWBE9u,audio_features,spotify:track:31RtShBICxYaZbzerWBE9u,0.279
5,Builder, Her Voice ,Headhunterz Remix,0.0134,https://api.spotify.com/v1/audio-analysis/49ioFJknq6Sz8PtdRlu3eI,4A,0.511,274789.0,0.939,49ioFJknq6Sz8PtdRlu3eI,0.84,5.0,0.0783,-6.79,0.0,0.0646,150.0,4.0,https://api.spotify.com/v1/tracks/49ioFJknq6Sz8PtdRlu3eI,audio_features,spotify:track:49ioFJknq6Sz8PtdRlu3eI,0.0843
6,W&W x Vini Vici, Chakra ,Wildstylez Remix,0.0038,https://api.spotify.com/v1/audio-analysis/0yn1vlbJKUVQuFmFDnRUyK,4A,0.451,263130.0,0.887,0yn1vlbJKUVQuFmFDnRUyK,0.0858,5.0,0.0153,-3.907,0.0,0.0698,150.017,4.0,https://api.spotify.com/v1/tracks/0yn1vlbJKUVQuFmFDnRUyK,audio_features,spotify:track:0yn1vlbJKUVQuFmFDnRUyK,0.21
7,Headhunterz Wildstylez   Noisecontrollers, World Of Madness ,Defqon.1 Anthem 2012,0.0805,https://api.spotify.com/v1/audio-analysis/3TzPEytBqwGZEzUbGsefaT,3A,0.512,385600.0,0.972,3TzPEytBqwGZEzUbGsefaT,0.352,10.0,0.166,-6.312,0.0,0.0581,149.993,4.0,https://api.spotify.com/v1/tracks/3TzPEytBqwGZEzUbGsefaT,audio_features,spotify:track:3TzPEytBqwGZEzUbGsefaT,0.268
8,Project One, Rate Reducer ,Headhunterz Remix,0.0379,https://api.spotify.com/v1/audio-analysis/398xu3uiL9bGM78nYJBe2x,3B,0.863,415485.0,0.962,398xu3uiL9bGM78nYJBe2x,0.000935,1.0,0.173,-7.209,1.0,0.082,150.005,4.0,https://api.spotify.com/v1/tracks/398xu3uiL9bGM78nYJBe2x,audio_features,spotify:track:398xu3uiL9bGM78nYJBe2x,0.116
9,Headhunterz Wildstylez   Noisecontrollers, No One Can Stop Us,unknown,0.0439,https://api.spotify.com/v1/audio-analysis/5YjqaxkS4NLVlzMQVFjez8,10A,0.273,229600.0,0.891,5YjqaxkS4NLVlzMQVFjez8,0.165,11.0,0.345,-5.892,0.0,0.0983,149.693,4.0,https://api.spotify.com/v1/tracks/5YjqaxkS4NLVlzMQVFjez8,audio_features,spotify:track:5YjqaxkS4NLVlzMQVFjez8,0.0744
10,Headhunterz, Scrap Attack ,Defqon.1 2009 Anthem,0.00297,https://api.spotify.com/v1/audio-analysis/0ydvS8dWRqMsiKUEiKQ2iL,9B,0.607,437451.0,0.875,0ydvS8dWRqMsiKUEiKQ2iL,0.0481,7.0,0.0645,-5.417,1.0,0.105,149.991,4.0,https://api.spotify.com/v1/tracks/0ydvS8dWRqMsiKUEiKQ2iL,audio_features,spotify:track:0ydvS8dWRqMsiKUEiKQ2iL,0.189
11,Headhunterz Sound Rush, Rescue Me,unknown,0.117,https://api.spotify.com/v1/audio-analysis/5zr7pJtvFETztQFkWicCEn,7A,0.284,256800.0,0.956,5zr7pJtvFETztQFkWicCEn,0.31,2.0,0.39,-3.099,0.0,0.0666,112.514,3.0,https://api.spotify.com/v1/tracks/5zr7pJtvFETztQFkWicCEn,audio_features,spotify:track:5zr7pJtvFETztQFkWicCEn,0.226
12,Sound Rush, ID,unknown,0.0569,https://api.spotify.com/v1/audio-analysis/5mwxPgI2yzI7PwhMSQ6EgF,10B,0.377,137880.0,0.802,5mwxPgI2yzI7PwhMSQ6EgF,0.0001,2.0,0.409,-4.385,1.0,0.0364,125.045,4.0,https://api.spotify.com/v1/tracks/5mwxPgI2yzI7PwhMSQ6EgF,audio_features,spotify:track:5mwxPgI2yzI7PwhMSQ6EgF,0.802
13,Bass Modulators, Sun Goes Down,unknown,0.00534,https://api.spotify.com/v1/audio-analysis/7nPfWKdn76oiFwD0aUCmWA,10B,0.571,237000.0,0.894,7nPfWKdn76oiFwD0aUCmWA,0.0218,2.0,0.35,-3.336,1.0,0.0422,150.043,4.0,https://api.spotify.com/v1/tracks/7nPfWKdn76oiFwD0aUCmWA,audio_features,spotify:track:7nPfWKdn76oiFwD0aUCmWA,0.443
14,D,Block & S,Hard With Style Edit,0.129,https://api.spotify.com/v1/audio-analysis/1oBFJdXZustB4XE7wIaKjF,8B,0.544,171142.0,0.973,1oBFJdXZustB4XE7wIaKjF,0.000107,0.0,0.212,-4.18,1.0,0.0842,148.002,4.0,https://api.spotify.com/v1/tracks/1oBFJdXZustB4XE7wIaKjF,audio_features,spotify:track:1oBFJdXZustB4XE7wIaKjF,0.255
15,Coone Wildstylez, Here I Come,unknown,0.0112,https://api.spotify.com/v1/audio-analysis/019j8UOaqlO7DAIGwG8QnH,8A,0.567,199200.0,0.882,019j8UOaqlO7DAIGwG8QnH,2.88e-06,9.0,0.298,-4.146,0.0,0.0596,149.957,4.0,https://api.spotify.com/v1/tracks/019j8UOaqlO7DAIGwG8QnH,audio_features,spotify:track:019j8UOaqlO7DAIGwG8QnH,0.662
16,Project One, Luminosity,unknown,0.425,https://api.spotify.com/v1/audio-analysis/1umoIL3ShVbbYdvtGZm8lY,8A,0.507,195600.0,0.72,1umoIL3ShVbbYdvtGZm8lY,0.113,9.0,0.104,-5.913,0.0,0.0401,150.12,4.0,https://api.spotify.com/v1/tracks/1umoIL3ShVbbYdvtGZm8lY,audio_features,spotify:track:1umoIL3ShVbbYdvtGZm8lY,0.208
