,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,DEVI   Y.A.S., Next To Me ,Poundcake,0.021,https://api.spotify.com/v1/audio-analysis/5pmKNPccCICx3QOt2BvVEe,6A,0.713,252110.0,0.623,5pmKNPccCICx3QOt2BvVEe,0.0134,7.0,0.0221,-8.54,0.0,0.0387,123.026,4.0,https://api.spotify.com/v1/tracks/5pmKNPccCICx3QOt2BvVEe,audio_features,spotify:track:5pmKNPccCICx3QOt2BvVEe,0.3
1,L.A Women, Hurricane Love ,Jasper Dietze Remix,0.411,https://api.spotify.com/v1/audio-analysis/56WVi2cTmU5BwHEzOjYpGk,7B,0.561,191203.0,0.556,56WVi2cTmU5BwHEzOjYpGk,2.01e-05,5.0,0.135,-7.132,1.0,0.0306,141.998,4.0,https://api.spotify.com/v1/tracks/56WVi2cTmU5BwHEzOjYpGk,audio_features,spotify:track:56WVi2cTmU5BwHEzOjYpGk,0.377
2,Tritonal   Angel Taylor, Getaway ,Jengi Beats Remix,0.0177,https://api.spotify.com/v1/audio-analysis/6RaIavnBdWU7fNww2uLK1u,11A,0.841,220645.0,0.633,6RaIavnBdWU7fNww2uLK1u,0.00384,6.0,0.138,-7.012,0.0,0.0644,124.001,4.0,https://api.spotify.com/v1/tracks/6RaIavnBdWU7fNww2uLK1u,audio_features,spotify:track:6RaIavnBdWU7fNww2uLK1u,0.201
3,The Chainsmokers   Phoebe Ryan, All We Know ,Oliver Heldens Remix,0.00158,https://api.spotify.com/v1/audio-analysis/5sWevAyvYSRzGpIsdsRvJi,8B,0.711,184253.0,0.8,5sWevAyvYSRzGpIsdsRvJi,0.0513,0.0,0.314,-5.852,1.0,0.0303,124.009,4.0,https://api.spotify.com/v1/tracks/5sWevAyvYSRzGpIsdsRvJi,audio_features,spotify:track:5sWevAyvYSRzGpIsdsRvJi,0.43
4,Basic Tape, So Good ,DEVI Remix,0.00682,https://api.spotify.com/v1/audio-analysis/5A6MrJgPKo2cpaBq70wkOx,7B,0.812,219868.0,0.806,5A6MrJgPKo2cpaBq70wkOx,3.42e-05,5.0,0.118,-6.886,1.0,0.0452,127.044,4.0,https://api.spotify.com/v1/tracks/5A6MrJgPKo2cpaBq70wkOx,audio_features,spotify:track:5A6MrJgPKo2cpaBq70wkOx,0.309
5,Bardos, Fly High,unknown,,,,,,,,,,,,,,,,,,,
6,Ellie Goulding, Something In The Way You Move ,DEVI Remix,0.0398,https://api.spotify.com/v1/audio-analysis/3ZCDG0nujwGfxrEmZlZoEt,12A,0.658,227423.0,0.814,3ZCDG0nujwGfxrEmZlZoEt,0.0,1.0,0.114,-6.157,0.0,0.0493,109.004,4.0,https://api.spotify.com/v1/tracks/3ZCDG0nujwGfxrEmZlZoEt,audio_features,spotify:track:3ZCDG0nujwGfxrEmZlZoEt,0.316
7,Arty, Bloodfire,unknown,0.000401,https://api.spotify.com/v1/audio-analysis/3x0S58XYhXuGhy5k7IW9u5,6B,0.569,175441.0,0.973,3x0S58XYhXuGhy5k7IW9u5,0.907,10.0,0.0608,-4.051,1.0,0.0497,126.014,4.0,https://api.spotify.com/v1/tracks/3x0S58XYhXuGhy5k7IW9u5,audio_features,spotify:track:3x0S58XYhXuGhy5k7IW9u5,0.594
8,Cheat Codes Dante Klein, Let Me Hold You ,Turn Me On,0.0992,https://api.spotify.com/v1/audio-analysis/3aLWuWKHaTV4Ok7LKvXRYn,12A,0.681,162425.0,0.774,3aLWuWKHaTV4Ok7LKvXRYn,0.0,1.0,0.35,-3.167,0.0,0.0787,102.924,4.0,https://api.spotify.com/v1/tracks/3aLWuWKHaTV4Ok7LKvXRYn,audio_features,spotify:track:3aLWuWKHaTV4Ok7LKvXRYn,0.267
9,Lion Babe, Where Do We Go ,DEVI Remix,0.00355,https://api.spotify.com/v1/audio-analysis/7xnN6TtVZbmWKExhYD2IE1,1A,0.611,194893.0,0.815,7xnN6TtVZbmWKExhYD2IE1,0.000309,8.0,0.106,-2.979,0.0,0.0354,124.996,4.0,https://api.spotify.com/v1/tracks/7xnN6TtVZbmWKExhYD2IE1,audio_features,spotify:track:7xnN6TtVZbmWKExhYD2IE1,0.508
