,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Illenium   Echos, Afterlife,unknown,0.089,https://api.spotify.com/v1/audio-analysis/5B7qDiafwNpIF5dCQAYPzB,6A,0.451,364091.0,0.621,5B7qDiafwNpIF5dCQAYPzB,7.56e-06,7.0,0.155,-4.886,0.0,0.0429,88.023,4.0,https://api.spotify.com/v1/tracks/5B7qDiafwNpIF5dCQAYPzB,audio_features,spotify:track:5B7qDiafwNpIF5dCQAYPzB,0.205
1,Illenium, Crawl Out Of Love,unknown,,,,,,,,,,,,,,,,,,,
2,Porter Robinson   Amy Millan, Divinity ,ODESZA Remix,0.00662,https://api.spotify.com/v1/audio-analysis/3EqfkwoSbO6qnn6Agw085M,10A,0.342,326267.0,0.807,3EqfkwoSbO6qnn6Agw085M,0.654,11.0,0.0771,-6.043,0.0,0.0452,180.106,4.0,https://api.spotify.com/v1/tracks/3EqfkwoSbO6qnn6Agw085M,audio_features,spotify:track:3EqfkwoSbO6qnn6Agw085M,0.205
3,Illenium Kerli, Sound Of Walking Away,unknown,0.075,https://api.spotify.com/v1/audio-analysis/3t3oNm7M0HXf7ILqA7vCTP,10B,0.345,253333.0,0.79,3t3oNm7M0HXf7ILqA7vCTP,0.000165,2.0,0.101,-2.761,1.0,0.065,179.849,4.0,https://api.spotify.com/v1/tracks/3t3oNm7M0HXf7ILqA7vCTP,audio_features,spotify:track:3t3oNm7M0HXf7ILqA7vCTP,0.208
4,Illenium Kerli, Sound Of Walking Away ,Piano,0.075,https://api.spotify.com/v1/audio-analysis/3t3oNm7M0HXf7ILqA7vCTP,10B,0.345,253333.0,0.79,3t3oNm7M0HXf7ILqA7vCTP,0.000165,2.0,0.101,-2.761,1.0,0.065,179.849,4.0,https://api.spotify.com/v1/tracks/3t3oNm7M0HXf7ILqA7vCTP,audio_features,spotify:track:3t3oNm7M0HXf7ILqA7vCTP,0.208
5,Illenium   King Deco, Reverie,unknown,0.0208,https://api.spotify.com/v1/audio-analysis/5xBw4KxEiFQwJ27U1Woy9l,8B,0.396,299657.0,0.694,5xBw4KxEiFQwJ27U1Woy9l,0.000386,0.0,0.111,-4.479,1.0,0.0459,85.7,4.0,https://api.spotify.com/v1/tracks/5xBw4KxEiFQwJ27U1Woy9l,audio_features,spotify:track:5xBw4KxEiFQwJ27U1Woy9l,0.0939
6,Seven Lions Illenium Said The Sky   Haliene, Rush Over Me,unknown,0.0701,https://api.spotify.com/v1/audio-analysis/6BDLcvvtyJD2vnXRDi1IjQ,8B,0.441,259556.0,0.753,6BDLcvvtyJD2vnXRDi1IjQ,0.0,0.0,0.027,-4.074,1.0,0.044,135.015,4.0,https://api.spotify.com/v1/tracks/6BDLcvvtyJD2vnXRDi1IjQ,audio_features,spotify:track:6BDLcvvtyJD2vnXRDi1IjQ,0.254
7,Illenium   Joni Fatora, Fortress,unknown,0.0842,https://api.spotify.com/v1/audio-analysis/2vtXB4ShP4eprgRW1IYpAp,7B,0.6,227087.0,0.76,2vtXB4ShP4eprgRW1IYpAp,0.000125,5.0,0.237,-4.964,1.0,0.262,129.896,4.0,https://api.spotify.com/v1/tracks/2vtXB4ShP4eprgRW1IYpAp,audio_features,spotify:track:2vtXB4ShP4eprgRW1IYpAp,0.421
8,w/ Illenium   Joni Fatora, Fortress ,Just A Gent Remix,0.933,https://api.spotify.com/v1/audio-analysis/6rhItS2Xr9yUMiTmP9wpfC,10B,0.208,131750.0,0.746,6rhItS2Xr9yUMiTmP9wpfC,0.875,2.0,0.29,-8.528,1.0,0.0511,100.898,4.0,https://api.spotify.com/v1/tracks/6rhItS2Xr9yUMiTmP9wpfC,audio_features,spotify:track:6rhItS2Xr9yUMiTmP9wpfC,0.262
9,Illenium   Liam O'Donnell, It's All On U,unknown,0.0629,https://api.spotify.com/v1/audio-analysis/55tevo6vHJEn12nzuSdJ6R,6A,0.501,204000.0,0.82,55tevo6vHJEn12nzuSdJ6R,0.000372,7.0,0.568,-4.035,0.0,0.0644,147.948,4.0,https://api.spotify.com/v1/tracks/55tevo6vHJEn12nzuSdJ6R,audio_features,spotify:track:55tevo6vHJEn12nzuSdJ6R,0.294
