,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Excision, Virus,unknown,0.000377,https://api.spotify.com/v1/audio-analysis/6tzAMcswM68zxiGMj0o1tQ,8B,0.236,331346.0,0.947,6tzAMcswM68zxiGMj0o1tQ,0.0174,0.0,0.346,-3.351,1.0,0.423,173.745,4.0,https://api.spotify.com/v1/tracks/6tzAMcswM68zxiGMj0o1tQ,audio_features,spotify:track:6tzAMcswM68zxiGMj0o1tQ,0.186
1,Illenium   Annika Wells, Crawl Outta Love,unknown,0.178,https://api.spotify.com/v1/audio-analysis/6vWk151OrbHfKe4D6Z6tdV,9B,0.376,242012.0,0.723,6vWk151OrbHfKe4D6Z6tdV,0.0,7.0,0.0815,-2.951,1.0,0.046,84.146,4.0,https://api.spotify.com/v1/tracks/6vWk151OrbHfKe4D6Z6tdV,audio_features,spotify:track:6vWk151OrbHfKe4D6Z6tdV,0.167
2,w/ Illenium   Annika Wells, Crawl Outta Love ,VIP Edit,0.178,https://api.spotify.com/v1/audio-analysis/6vWk151OrbHfKe4D6Z6tdV,9B,0.376,242012.0,0.723,6vWk151OrbHfKe4D6Z6tdV,0.0,7.0,0.0815,-2.951,1.0,0.046,84.146,4.0,https://api.spotify.com/v1/tracks/6vWk151OrbHfKe4D6Z6tdV,audio_features,spotify:track:6vWk151OrbHfKe4D6Z6tdV,0.167
3,Illenium Kerli, Sound Of Walking Away,unknown,0.075,https://api.spotify.com/v1/audio-analysis/3t3oNm7M0HXf7ILqA7vCTP,10B,0.345,253333.0,0.79,3t3oNm7M0HXf7ILqA7vCTP,0.000165,2.0,0.101,-2.761,1.0,0.065,179.849,4.0,https://api.spotify.com/v1/tracks/3t3oNm7M0HXf7ILqA7vCTP,audio_features,spotify:track:3t3oNm7M0HXf7ILqA7vCTP,0.208
4,w/ Illenium Said The Sky, Where'd U Go ,VIP Edit,,,,,,,,,,,,,,,,,,,
5,Illenium   Joni Fatora, Fortress ,Just A Gent Remix,0.0842,https://api.spotify.com/v1/audio-analysis/2vtXB4ShP4eprgRW1IYpAp,7B,0.6,227087.0,0.76,2vtXB4ShP4eprgRW1IYpAp,0.000125,5.0,0.237,-4.964,1.0,0.262,129.896,4.0,https://api.spotify.com/v1/tracks/2vtXB4ShP4eprgRW1IYpAp,audio_features,spotify:track:2vtXB4ShP4eprgRW1IYpAp,0.421
6,Illenium   Liam O'Donnell, It's All On U,unknown,0.0629,https://api.spotify.com/v1/audio-analysis/55tevo6vHJEn12nzuSdJ6R,6A,0.501,204000.0,0.82,55tevo6vHJEn12nzuSdJ6R,0.000372,7.0,0.568,-4.035,0.0,0.0644,147.948,4.0,https://api.spotify.com/v1/tracks/55tevo6vHJEn12nzuSdJ6R,audio_features,spotify:track:55tevo6vHJEn12nzuSdJ6R,0.294
7,w/ Illenium   Liam O'Donnell, It's All On U ,K?d Remix,0.0629,https://api.spotify.com/v1/audio-analysis/55tevo6vHJEn12nzuSdJ6R,6A,0.501,204000.0,0.82,55tevo6vHJEn12nzuSdJ6R,0.000372,7.0,0.568,-4.035,0.0,0.0644,147.948,4.0,https://api.spotify.com/v1/tracks/55tevo6vHJEn12nzuSdJ6R,audio_features,spotify:track:55tevo6vHJEn12nzuSdJ6R,0.294
8,Skrillex Rick Ross, Purple Lamborghini ,Virtual Riot Edit,0.0019,https://api.spotify.com/v1/audio-analysis/6JyuJFedEvPmdWQW0PkbGJ,3A,0.457,215510.0,0.899,6JyuJFedEvPmdWQW0PkbGJ,0.0,10.0,0.831,-2.591,0.0,0.132,147.268,4.0,https://api.spotify.com/v1/tracks/6JyuJFedEvPmdWQW0PkbGJ,audio_features,spotify:track:6JyuJFedEvPmdWQW0PkbGJ,0.298
9,Zomboy, Like A Bitch ,Kill The Noise Remix,0.00106,https://api.spotify.com/v1/audio-analysis/3mT8SuFmvheAToweq9oLGt,3B,0.584,274404.0,0.932,3mT8SuFmvheAToweq9oLGt,0.00269,1.0,0.129,-3.501,1.0,0.333,74.976,4.0,https://api.spotify.com/v1/tracks/3mT8SuFmvheAToweq9oLGt,audio_features,spotify:track:3mT8SuFmvheAToweq9oLGt,0.204
10,Illenium Kill The Noise   Mako, Don't Give Up On Me,unknown,0.048,https://api.spotify.com/v1/audio-analysis/7lhqUK06R0uAzOK5yzwok5,10B,0.703,194925.0,0.44,7lhqUK06R0uAzOK5yzwok5,0.000552,2.0,0.136,-14.929,1.0,0.0319,94.995,4.0,https://api.spotify.com/v1/tracks/7lhqUK06R0uAzOK5yzwok5,audio_features,spotify:track:7lhqUK06R0uAzOK5yzwok5,0.572
11,Kaskade   Ilsey, Disarm You ,Illenium Remix,0.0434,https://api.spotify.com/v1/audio-analysis/3xQjivjUZ4KnUslduTEYKC,4A,0.446,221133.0,0.793,3xQjivjUZ4KnUslduTEYKC,4.14e-05,5.0,0.159,-3.912,0.0,0.0556,127.799,4.0,https://api.spotify.com/v1/tracks/3xQjivjUZ4KnUslduTEYKC,audio_features,spotify:track:3xQjivjUZ4KnUslduTEYKC,0.313
12,Kaskade   Ilsey, Disarm You ,Illenium Remix,0.0434,https://api.spotify.com/v1/audio-analysis/3xQjivjUZ4KnUslduTEYKC,4A,0.446,221133.0,0.793,3xQjivjUZ4KnUslduTEYKC,4.14e-05,5.0,0.159,-3.912,0.0,0.0556,127.799,4.0,https://api.spotify.com/v1/tracks/3xQjivjUZ4KnUslduTEYKC,audio_features,spotify:track:3xQjivjUZ4KnUslduTEYKC,0.313
13,Illenium   Nevve, Fractures,unknown,0.373,https://api.spotify.com/v1/audio-analysis/6H0zRPEV1ezBHOidNXSt1D,12B,0.41,245250.0,0.711,6H0zRPEV1ezBHOidNXSt1D,0.00179,4.0,0.139,-3.064,1.0,0.0432,159.837,4.0,https://api.spotify.com/v1/tracks/6H0zRPEV1ezBHOidNXSt1D,audio_features,spotify:track:6H0zRPEV1ezBHOidNXSt1D,0.266
14,w/ Illenium   Nevve, Fractures ,Trivecta Remix,0.373,https://api.spotify.com/v1/audio-analysis/4G3IXyVRxSx5lLhUvv3fu3,12B,0.41,245250.0,0.711,4G3IXyVRxSx5lLhUvv3fu3,0.00179,4.0,0.139,-3.064,1.0,0.0432,159.837,4.0,https://api.spotify.com/v1/tracks/4G3IXyVRxSx5lLhUvv3fu3,audio_features,spotify:track:4G3IXyVRxSx5lLhUvv3fu3,0.266
