,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Gammer, The Drop ,Stonebank Remix,0.00587,https://api.spotify.com/v1/audio-analysis/3SJj3KLhviV4RLBSaAjFnw,10A,0.553,234375.0,0.994,3SJj3KLhviV4RLBSaAjFnw,0.222,11.0,0.347,-1.121,0.0,0.0982,128.026,4.0,https://api.spotify.com/v1/tracks/3SJj3KLhviV4RLBSaAjFnw,audio_features,spotify:track:3SJj3KLhviV4RLBSaAjFnw,0.0689
1,Birthdayy Partyy, French Fries,unknown,0.00046,https://api.spotify.com/v1/audio-analysis/3sANVyzFnpw23FqhJ0faFj,3B,0.817,259200.0,0.813,3sANVyzFnpw23FqhJ0faFj,0.0397,1.0,0.214,-3.718,1.0,0.171,124.958,4.0,https://api.spotify.com/v1/tracks/3sANVyzFnpw23FqhJ0faFj,audio_features,spotify:track:3sANVyzFnpw23FqhJ0faFj,0.476
2,Carmada   Tribes, Ready For it ,Holy Goof Remix,0.0758,https://api.spotify.com/v1/audio-analysis/6vo8rclpViAgGTkls859RN,9A,0.611,320000.0,0.826,6vo8rclpViAgGTkls859RN,4.48e-05,4.0,0.0836,-5.912,0.0,0.0671,134.972,4.0,https://api.spotify.com/v1/tracks/6vo8rclpViAgGTkls859RN,audio_features,spotify:track:6vo8rclpViAgGTkls859RN,0.418
3,Hekler Mastadon, Buggas,unknown,0.0115,https://api.spotify.com/v1/audio-analysis/3wWJ1PBkXw42qtgtJxyLxT,11B,0.508,185143.0,0.913,3wWJ1PBkXw42qtgtJxyLxT,0.0242,9.0,0.0993,-1.152,1.0,0.115,70.075,4.0,https://api.spotify.com/v1/tracks/3wWJ1PBkXw42qtgtJxyLxT,audio_features,spotify:track:3wWJ1PBkXw42qtgtJxyLxT,0.072
4,ConRank Drezza   Patwan, Decapitate,unknown,0.000119,https://api.spotify.com/v1/audio-analysis/1dxwSF0pdHs8Bc3A9H2ziY,11B,0.456,173333.0,0.873,1dxwSF0pdHs8Bc3A9H2ziY,4.2e-06,9.0,0.401,-2.002,1.0,0.251,141.867,4.0,https://api.spotify.com/v1/tracks/1dxwSF0pdHs8Bc3A9H2ziY,audio_features,spotify:track:1dxwSF0pdHs8Bc3A9H2ziY,0.677
5,JAUZ   666, Super Fly,unknown,0.00645,https://api.spotify.com/v1/audio-analysis/5ILSzQlBa4HINKg7QxbDnu,1A,0.657,294000.0,0.873,5ILSzQlBa4HINKg7QxbDnu,0.101,8.0,0.133,-3.78,0.0,0.0728,150.053,4.0,https://api.spotify.com/v1/tracks/5ILSzQlBa4HINKg7QxbDnu,audio_features,spotify:track:5ILSzQlBa4HINKg7QxbDnu,0.319
6,Fatboy Slim," Right Here, Right Now ",Friction & Killer Hertz Remix,0.000916,https://api.spotify.com/v1/audio-analysis/0JIzCPy8H7PJYHVIW4N6zd,9A,0.461,256552.0,0.956,0JIzCPy8H7PJYHVIW4N6zd,0.722,4.0,0.236,-2.388,0.0,0.091,174.314,4.0,https://api.spotify.com/v1/tracks/0JIzCPy8H7PJYHVIW4N6zd,audio_features,spotify:track:0JIzCPy8H7PJYHVIW4N6zd,0.0711
7,Dimension, UK ,Skrillex Edit,0.0128,https://api.spotify.com/v1/audio-analysis/07YEzr5PuDGFoavDSbcLNG,3B,0.558,284138.0,0.962,07YEzr5PuDGFoavDSbcLNG,0.463,1.0,0.0953,-2.469,1.0,0.0684,174.026,4.0,https://api.spotify.com/v1/tracks/07YEzr5PuDGFoavDSbcLNG,audio_features,spotify:track:07YEzr5PuDGFoavDSbcLNG,0.0813
8,Wax Motif, Bunda,unknown,0.0411,https://api.spotify.com/v1/audio-analysis/3ADmwbBcRx5GMLRCb0pZZO,8B,0.786,203035.0,0.927,3ADmwbBcRx5GMLRCb0pZZO,0.0405,0.0,0.531,-3.314,1.0,0.0675,126.989,4.0,https://api.spotify.com/v1/tracks/3ADmwbBcRx5GMLRCb0pZZO,audio_features,spotify:track:3ADmwbBcRx5GMLRCb0pZZO,0.712
9,Boehm   Otto Knows, Million Voices,unknown,0.00247,https://api.spotify.com/v1/audio-analysis/0MOiv7WTXCqvm89lVCf9C8,4B,0.355,192867.0,0.896,0MOiv7WTXCqvm89lVCf9C8,0.0186,8.0,0.0723,-6.219,1.0,0.0609,126.179,4.0,https://api.spotify.com/v1/tracks/0MOiv7WTXCqvm89lVCf9C8,audio_features,spotify:track:0MOiv7WTXCqvm89lVCf9C8,0.0626
10,PEACE MAKER!, Everyday ,KEELD Rework,0.00282,https://api.spotify.com/v1/audio-analysis/1ytuUH9r1M5hWaJojbSQpa,10B,0.831,230452.0,0.963,1ytuUH9r1M5hWaJojbSQpa,0.873,2.0,0.0879,-4.199,1.0,0.125,124.978,4.0,https://api.spotify.com/v1/tracks/1ytuUH9r1M5hWaJojbSQpa,audio_features,spotify:track:1ytuUH9r1M5hWaJojbSQpa,0.477
11,Phlegmatic Dogs, Cuatrocats,unknown,0.13,https://api.spotify.com/v1/audio-analysis/6YcrJfDINoeW1jXOdkncFh,10B,0.967,254600.0,0.806,6YcrJfDINoeW1jXOdkncFh,0.466,2.0,0.286,-5.671,1.0,0.297,123.987,4.0,https://api.spotify.com/v1/tracks/6YcrJfDINoeW1jXOdkncFh,audio_features,spotify:track:6YcrJfDINoeW1jXOdkncFh,0.575
12,Hunter Siegel Seelo, 12 Gauge,unknown,0.0044,https://api.spotify.com/v1/audio-analysis/2eAKh5diDOgH2ka6CdZOsE,11B,0.78,176733.0,0.92,2eAKh5diDOgH2ka6CdZOsE,0.0035,9.0,0.263,-4.168,1.0,0.26,124.997,4.0,https://api.spotify.com/v1/tracks/2eAKh5diDOgH2ka6CdZOsE,audio_features,spotify:track:2eAKh5diDOgH2ka6CdZOsE,0.418
13,Chris Lake Green Velvet, Deceiver,unknown,0.0195,https://api.spotify.com/v1/audio-analysis/6RIbDs0p4XusU2PZSiDgeZ,1B,0.881,225884.0,0.883,6RIbDs0p4XusU2PZSiDgeZ,0.148,11.0,0.0825,-5.494,1.0,0.0633,124.016,4.0,https://api.spotify.com/v1/tracks/6RIbDs0p4XusU2PZSiDgeZ,audio_features,spotify:track:6RIbDs0p4XusU2PZSiDgeZ,0.966
14,Sikdope   Nevve, Lost In The Blue,unknown,0.047,https://api.spotify.com/v1/audio-analysis/3adkpRZiKg0OHrDGZKctF7,12A,0.675,162783.0,0.772,3adkpRZiKg0OHrDGZKctF7,0.000133,1.0,0.257,-5.988,0.0,0.0341,114.976,4.0,https://api.spotify.com/v1/tracks/3adkpRZiKg0OHrDGZKctF7,audio_features,spotify:track:3adkpRZiKg0OHrDGZKctF7,0.388
15,Silk City   Dua Lipa, Electricity,unknown,0.0104,https://api.spotify.com/v1/audio-analysis/5N4erncE7kuUccm7zEmwzk,8B,0.588,238173.0,0.67,5N4erncE7kuUccm7zEmwzk,3.33e-06,0.0,0.338,-6.439,1.0,0.0473,118.159,4.0,https://api.spotify.com/v1/tracks/5N4erncE7kuUccm7zEmwzk,audio_features,spotify:track:5N4erncE7kuUccm7zEmwzk,0.505
16,La Roux, Bulletproof ,Midnight Kids Remix,0.000698,https://api.spotify.com/v1/audio-analysis/6lUY6MoqGgPnA27PHYxem5,2A,0.686,205733.0,0.898,6lUY6MoqGgPnA27PHYxem5,4.61e-05,3.0,0.0721,-2.72,0.0,0.052,122.985,4.0,https://api.spotify.com/v1/tracks/6lUY6MoqGgPnA27PHYxem5,audio_features,spotify:track:6lUY6MoqGgPnA27PHYxem5,0.696
17,RÜFÜS DU SOL, Lost In My Mind,unknown,0.00962,https://api.spotify.com/v1/audio-analysis/1oaBvHM6G6aEkP6RAHn7UU,2B,0.575,260664.0,0.827,1oaBvHM6G6aEkP6RAHn7UU,0.000682,6.0,0.104,-5.576,1.0,0.0354,119.969,4.0,https://api.spotify.com/v1/tracks/1oaBvHM6G6aEkP6RAHn7UU,audio_features,spotify:track:1oaBvHM6G6aEkP6RAHn7UU,0.286
