,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Drake, God's Plan ,Holy Goof Bootleg,,,,,,,,,,,,,,,,,,,
1,JAUZ, Claim 2 Be ,Gerald Le Funk Remix,0.128,https://api.spotify.com/v1/audio-analysis/5WgurEj1OYVbCaD7DflBJB,6B,0.78,192120.0,0.972,5WgurEj1OYVbCaD7DflBJB,0.23,10.0,0.0696,-3.755,1.0,0.0908,134.972,4.0,https://api.spotify.com/v1/tracks/5WgurEj1OYVbCaD7DflBJB,audio_features,spotify:track:5WgurEj1OYVbCaD7DflBJB,0.574
2,JAUZ Gerald Le Funk, ID,unknown,0.329,https://api.spotify.com/v1/audio-analysis/2ayphdNEBBaAErWdTMAhsm,8B,0.366,250453.0,0.54,2ayphdNEBBaAErWdTMAhsm,0.0,0.0,0.103,-7.313,1.0,0.0312,103.857,3.0,https://api.spotify.com/v1/tracks/2ayphdNEBBaAErWdTMAhsm,audio_features,spotify:track:2ayphdNEBBaAErWdTMAhsm,0.208
3,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
4,Valentino Khan, Lick It ,Gammer Remix,0.00127,https://api.spotify.com/v1/audio-analysis/3VmYPudwcZDO07nxjh1pX7,11B,0.736,127000.0,0.816,3VmYPudwcZDO07nxjh1pX7,0.0228,9.0,0.0896,-1.169,1.0,0.0704,139.995,4.0,https://api.spotify.com/v1/tracks/3VmYPudwcZDO07nxjh1pX7,audio_features,spotify:track:3VmYPudwcZDO07nxjh1pX7,0.709
5,DJ Sammy Yanou   Do, Heaven,unknown,0.00107,https://api.spotify.com/v1/audio-analysis/0KT6DLAELYSbgfUemzwGPX,4B,0.565,235000.0,0.942,0KT6DLAELYSbgfUemzwGPX,0.000393,8.0,0.152,-6.821,1.0,0.0518,137.972,4.0,https://api.spotify.com/v1/tracks/0KT6DLAELYSbgfUemzwGPX,audio_features,spotify:track:0KT6DLAELYSbgfUemzwGPX,0.569
6,w/ Gorgon City   Katy Menditta, Imagination ,Skrillex Remix / Jauz Remake,0.712,https://api.spotify.com/v1/audio-analysis/2dg1qZBOYdgQTZqzModsNQ,8B,0.466,126380.0,0.447,2dg1qZBOYdgQTZqzModsNQ,0.718,0.0,0.27,-10.669,1.0,0.273,209.967,4.0,https://api.spotify.com/v1/tracks/2dg1qZBOYdgQTZqzModsNQ,audio_features,spotify:track:2dg1qZBOYdgQTZqzModsNQ,0.395
7,Wild Motherfuckers, Fuck It Up,unknown,0.00579,https://api.spotify.com/v1/audio-analysis/27vzJI5MiW2nuCvPU61kT0,12B,0.753,462158.0,0.946,27vzJI5MiW2nuCvPU61kT0,0.636,4.0,0.0468,-5.627,1.0,0.178,148.023,4.0,https://api.spotify.com/v1/tracks/27vzJI5MiW2nuCvPU61kT0,audio_features,spotify:track:27vzJI5MiW2nuCvPU61kT0,0.0957
8,w/ A$AP Rocky   Skrillex Birdy Nam Nam, Wild For The Night,unknown,0.0452,https://api.spotify.com/v1/audio-analysis/22Mme5vsZ688TMUieIHdx3,10B,0.756,212640.0,0.857,22Mme5vsZ688TMUieIHdx3,0.0,2.0,0.121,-4.185,1.0,0.336,140.016,4.0,https://api.spotify.com/v1/tracks/22Mme5vsZ688TMUieIHdx3,audio_features,spotify:track:22Mme5vsZ688TMUieIHdx3,0.688
9,w/ ATRIP x LOUD ABOUT US!, Bassline Spinner,unknown,0.000244,https://api.spotify.com/v1/audio-analysis/7Cx0ur2KYf9zR2E2P6kZ53,10A,0.722,253723.0,0.93,7Cx0ur2KYf9zR2E2P6kZ53,0.708,11.0,0.572,-3.786,0.0,0.0883,139.986,4.0,https://api.spotify.com/v1/tracks/7Cx0ur2KYf9zR2E2P6kZ53,audio_features,spotify:track:7Cx0ur2KYf9zR2E2P6kZ53,0.565
