,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,David Herrero, Better Days ,Zlatnichi Remix,0.00575,https://api.spotify.com/v1/audio-analysis/08pbtMojxSU3ypjzbj1Dul,9A,0.807,454839.0,0.741,08pbtMojxSU3ypjzbj1Dul,0.888,4.0,0.111,-8.125,0.0,0.0404,124.009,4.0,https://api.spotify.com/v1/tracks/08pbtMojxSU3ypjzbj1Dul,audio_features,spotify:track:08pbtMojxSU3ypjzbj1Dul,0.528
1,Genluigi Pepe, 4 Laudy Remix ,Emilove And Emiliano Naples Remix,0.00169,https://api.spotify.com/v1/audio-analysis/3Umvm0utBC7Tz7DUwrip6o,10A,0.857,363871.0,0.62,3Umvm0utBC7Tz7DUwrip6o,0.896,11.0,0.26,-12.24,0.0,0.0963,124.019,4.0,https://api.spotify.com/v1/tracks/3Umvm0utBC7Tz7DUwrip6o,audio_features,spotify:track:3Umvm0utBC7Tz7DUwrip6o,0.193
2,Hector Couto, Kinky Pinky,unknown,0.00215,https://api.spotify.com/v1/audio-analysis/0HcU5PVjOIi5Tt3W287Zt6,3A,0.807,393546.0,0.957,0HcU5PVjOIi5Tt3W287Zt6,0.92,10.0,0.0329,-10.167,0.0,0.0555,122.99,4.0,https://api.spotify.com/v1/tracks/0HcU5PVjOIi5Tt3W287Zt6,audio_features,spotify:track:0HcU5PVjOIi5Tt3W287Zt6,0.453
3,Paul Johnson, Groove Melody,unknown,,,,,,,,,,,,,,,,,,,
4,Sabb, Percomaniac,unknown,0.00099,https://api.spotify.com/v1/audio-analysis/6jHi7BVSW19VETflXAN2Pn,3A,0.805,472441.0,0.858,6jHi7BVSW19VETflXAN2Pn,0.879,10.0,0.097,-9.539,0.0,0.0723,126.997,4.0,https://api.spotify.com/v1/tracks/6jHi7BVSW19VETflXAN2Pn,audio_features,spotify:track:6jHi7BVSW19VETflXAN2Pn,0.395
5,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
6,Uneaq, Tweeker,unknown,0.00135,https://api.spotify.com/v1/audio-analysis/7xBMWoYHeUrLHI0l0awWBv,10B,0.798,372480.0,0.729,7xBMWoYHeUrLHI0l0awWBv,0.364,2.0,0.226,-6.473,1.0,0.0919,125.005,4.0,https://api.spotify.com/v1/tracks/7xBMWoYHeUrLHI0l0awWBv,audio_features,spotify:track:7xBMWoYHeUrLHI0l0awWBv,0.671
7,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
8,Luke Hess, Myriads,unknown,2.89e-05,https://api.spotify.com/v1/audio-analysis/4ntBD3JKQ9TtZuh5OtptW6,3A,0.799,401556.0,0.929,4ntBD3JKQ9TtZuh5OtptW6,0.932,10.0,0.105,-10.08,0.0,0.0941,125.019,4.0,https://api.spotify.com/v1/tracks/4ntBD3JKQ9TtZuh5OtptW6,audio_features,spotify:track:4ntBD3JKQ9TtZuh5OtptW6,0.261
9,ZKY, Tiny Moves,unknown,0.00173,https://api.spotify.com/v1/audio-analysis/723TCORhVKC1EGF2wVETI0,9B,0.793,368857.0,0.835,723TCORhVKC1EGF2wVETI0,0.943,7.0,0.106,-13.106,1.0,0.0419,126.273,4.0,https://api.spotify.com/v1/tracks/723TCORhVKC1EGF2wVETI0,audio_features,spotify:track:723TCORhVKC1EGF2wVETI0,0.511
