,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,The Space Brothers   Joanna Law, Shine ,Jorn Van Deynhoven Remix,0.0149,https://api.spotify.com/v1/audio-analysis/68yqiuPVxrT9OySWFDwDDd,8B,0.686,349963.0,0.671,68yqiuPVxrT9OySWFDwDDd,0.457,0.0,0.074,-10.185,1.0,0.0475,104.995,4.0,https://api.spotify.com/v1/tracks/68yqiuPVxrT9OySWFDwDDd,audio_features,spotify:track:68yqiuPVxrT9OySWFDwDDd,0.814
1,Tiësto, Lethal Industry ,Jorn Van Deynhoven Remix,0.000113,https://api.spotify.com/v1/audio-analysis/2PjDK2c1ohBDHlRBywh1Pc,8A,0.499,180878.0,0.845,2PjDK2c1ohBDHlRBywh1Pc,0.909,9.0,0.0929,-15.736,0.0,0.0673,138.065,4.0,https://api.spotify.com/v1/tracks/2PjDK2c1ohBDHlRBywh1Pc,audio_features,spotify:track:2PjDK2c1ohBDHlRBywh1Pc,0.0352
2,Quench, Dreams ,Nicholson Cathedral Remix,1.84e-06,https://api.spotify.com/v1/audio-analysis/79pqKla5Q9IiAQfK4jalAO,2B,0.361,159946.0,0.711,79pqKla5Q9IiAQfK4jalAO,0.869,6.0,0.492,-11.097,1.0,0.0423,137.99,4.0,https://api.spotify.com/v1/tracks/79pqKla5Q9IiAQfK4jalAO,audio_features,spotify:track:79pqKla5Q9IiAQfK4jalAO,0.0355
3,Underworld, Born Slippy ,Jorn Van Deynhoven Rework,0.00106,https://api.spotify.com/v1/audio-analysis/7xQYVjs4wZNdCwO0EeAWMC,6B,0.576,456480.0,0.953,7xQYVjs4wZNdCwO0EeAWMC,0.49,10.0,0.474,-8.968,1.0,0.0362,140.042,4.0,https://api.spotify.com/v1/tracks/7xQYVjs4wZNdCwO0EeAWMC,audio_features,spotify:track:7xQYVjs4wZNdCwO0EeAWMC,0.303
4,Markus Schulz, The New World ,Davey Asprey Remix,0.00371,https://api.spotify.com/v1/audio-analysis/3rQU8apokQQH3rxlnmNnK5,7A,0.42,182527.0,0.916,3rQU8apokQQH3rxlnmNnK5,0.919,2.0,0.308,-5.907,0.0,0.0613,136.032,4.0,https://api.spotify.com/v1/tracks/3rQU8apokQQH3rxlnmNnK5,audio_features,spotify:track:3rQU8apokQQH3rxlnmNnK5,0.293
5,CRW, I Feel Love ,Omar Sherif Remix,7.05e-05,https://api.spotify.com/v1/audio-analysis/5HKoLJA4smIoEuK8oMwMoj,11A,0.413,236590.0,0.955,5HKoLJA4smIoEuK8oMwMoj,0.956,6.0,0.354,-11.648,0.0,0.102,137.937,4.0,https://api.spotify.com/v1/tracks/5HKoLJA4smIoEuK8oMwMoj,audio_features,spotify:track:5HKoLJA4smIoEuK8oMwMoj,0.392
6,Craig Connelly   Emma Connelly, We Are ,Daniel Skyver Remix,0.00138,https://api.spotify.com/v1/audio-analysis/7cIYRrgvla2Zs9J4AdRPJg,10B,0.539,434783.0,0.992,7cIYRrgvla2Zs9J4AdRPJg,0.787,2.0,0.294,-5.294,1.0,0.132,137.965,4.0,https://api.spotify.com/v1/tracks/7cIYRrgvla2Zs9J4AdRPJg,audio_features,spotify:track:7cIYRrgvla2Zs9J4AdRPJg,0.352
7,Midway, Cobra ,Niko Zografos Remix,4.4e-05,https://api.spotify.com/v1/audio-analysis/2tdDOjHDPBqd5G3Bs55SZI,3B,0.531,372000.0,0.986,2tdDOjHDPBqd5G3Bs55SZI,0.913,1.0,0.23,-5.225,1.0,0.231,139.961,4.0,https://api.spotify.com/v1/tracks/2tdDOjHDPBqd5G3Bs55SZI,audio_features,spotify:track:2tdDOjHDPBqd5G3Bs55SZI,0.255
8,RAM Darren Porter, The Calling ,Grotesque 300 Anthem,0.000484,https://api.spotify.com/v1/audio-analysis/24NOPiWADEfZ1HdUxINg7e,3A,0.424,229079.0,0.843,24NOPiWADEfZ1HdUxINg7e,0.576,10.0,0.148,-12.724,0.0,0.0638,135.981,4.0,https://api.spotify.com/v1/tracks/24NOPiWADEfZ1HdUxINg7e,audio_features,spotify:track:24NOPiWADEfZ1HdUxINg7e,0.0531
9,Mark Sherry 2nd Phase, Killer Twist ,Cold Blue Remix,0.0313,https://api.spotify.com/v1/audio-analysis/1ybPVfEyzQMl5Gmkig3zsx,3A,0.441,183657.0,0.98,1ybPVfEyzQMl5Gmkig3zsx,0.94,10.0,0.293,-4.433,0.0,0.0544,137.997,4.0,https://api.spotify.com/v1/tracks/1ybPVfEyzQMl5Gmkig3zsx,audio_features,spotify:track:1ybPVfEyzQMl5Gmkig3zsx,0.326
10,Emmanuel Top, Acid Phase ,Greg Downey Remix,0.00685,https://api.spotify.com/v1/audio-analysis/3096gFW9ESHwrlesPicxBu,3A,0.663,320836.0,0.755,3096gFW9ESHwrlesPicxBu,0.947,10.0,0.0844,-8.236,0.0,0.0595,134.865,4.0,https://api.spotify.com/v1/tracks/3096gFW9ESHwrlesPicxBu,audio_features,spotify:track:3096gFW9ESHwrlesPicxBu,0.208
