,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Kaskade Moguai   Zip Zip Through The Night, Something Something Champs ,Kaskade MashUp,0.048,https://api.spotify.com/v1/audio-analysis/6imdB3xGokb5QIJZephOwg,12B,0.445,224282.0,0.794,6imdB3xGokb5QIJZephOwg,0.00149,4.0,0.356,-4.095,1.0,0.041,128.026,4.0,https://api.spotify.com/v1/tracks/6imdB3xGokb5QIJZephOwg,audio_features,spotify:track:6imdB3xGokb5QIJZephOwg,0.346
1,Kaskade Thomas Sagstad   Morning Parade, Under The Stars,unknown,0.995,https://api.spotify.com/v1/audio-analysis/4BweRE07WpVpUIJPrf8RaE,11B,0.377,130067.0,0.0198,4BweRE07WpVpUIJPrf8RaE,0.868,9.0,0.101,-25.533,1.0,0.0467,77.964,3.0,https://api.spotify.com/v1/tracks/4BweRE07WpVpUIJPrf8RaE,audio_features,spotify:track:4BweRE07WpVpUIJPrf8RaE,0.211
2,Kaskade Skrillex, Lick It ,Kaz James Remix,0.00107,https://api.spotify.com/v1/audio-analysis/7hKblfMDYN23aXo5a6B6HF,11A,0.7,360627.0,0.904,7hKblfMDYN23aXo5a6B6HF,0.812,6.0,0.0466,-3.248,0.0,0.074,127.983,4.0,https://api.spotify.com/v1/tracks/7hKblfMDYN23aXo5a6B6HF,audio_features,spotify:track:7hKblfMDYN23aXo5a6B6HF,0.111
3,Kaskade Swanky Tunes   Lights, No One Knows Who We Are ,John Dahlbäck Edit,0.0234,https://api.spotify.com/v1/audio-analysis/4HQYJUVY0zHdGNqMUxbjw7,9B,0.393,230028.0,0.835,4HQYJUVY0zHdGNqMUxbjw7,0.000331,7.0,0.0596,-4.703,1.0,0.0758,125.604,4.0,https://api.spotify.com/v1/tracks/4HQYJUVY0zHdGNqMUxbjw7,audio_features,spotify:track:4HQYJUVY0zHdGNqMUxbjw7,0.195
4,w/ Garmiani, Nomad,unknown,0.0227,https://api.spotify.com/v1/audio-analysis/4uN3TXxFNmvcOrynnKmsB0,10A,0.658,230742.0,0.992,4uN3TXxFNmvcOrynnKmsB0,0.854,11.0,0.344,-0.406,0.0,0.135,127.997,4.0,https://api.spotify.com/v1/tracks/4uN3TXxFNmvcOrynnKmsB0,audio_features,spotify:track:4uN3TXxFNmvcOrynnKmsB0,0.079
5,Kaskade John Dahlbäck   Sansa, A Little More,unknown,0.00772,https://api.spotify.com/v1/audio-analysis/6SKkN6yuQFnzMEHMQR3sWw,10A,0.425,233400.0,0.742,6SKkN6yuQFnzMEHMQR3sWw,0.00077,11.0,0.112,-5.098,0.0,0.0386,127.978,4.0,https://api.spotify.com/v1/tracks/6SKkN6yuQFnzMEHMQR3sWw,audio_features,spotify:track:6SKkN6yuQFnzMEHMQR3sWw,0.215
6,Kaskade   Patric La Funk DBN   Adam Klopp, Please Say Quick Quack ,Kaskade Ultra Mashup,,,,,,,,,,,,,,,,,,,
7,Yves V   ENUR, Manga Calabria ,SikDuo Edit,,,,,,,,,,,,,,,,,,,
8,Kaskade Project 46, Last Chance,unknown,0.0632,https://api.spotify.com/v1/audio-analysis/5bw3ANysdLNdRl8wZfunVp,2A,0.416,258293.0,0.848,5bw3ANysdLNdRl8wZfunVp,0.0172,3.0,0.105,-4.688,0.0,0.0596,127.905,4.0,https://api.spotify.com/v1/tracks/5bw3ANysdLNdRl8wZfunVp,audio_features,spotify:track:5bw3ANysdLNdRl8wZfunVp,0.165
9,w/ Kaskade Project 46, Last Chance ,Clockwork Remix,0.945,https://api.spotify.com/v1/audio-analysis/20F8GtB1DmsmzfuucpiKP9,7A,0.251,215747.0,0.0589,20F8GtB1DmsmzfuucpiKP9,0.892,2.0,0.11,-17.275,0.0,0.0411,135.368,4.0,https://api.spotify.com/v1/tracks/20F8GtB1DmsmzfuucpiKP9,audio_features,spotify:track:20F8GtB1DmsmzfuucpiKP9,0.0396
