,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,deadmau5 Kaskade   Skylar Grey, Beneath With Me,unknown,0.102,https://api.spotify.com/v1/audio-analysis/3XNhUO3VysNZUGq3Z16SWZ,9A,0.518,253828.0,0.525,3XNhUO3VysNZUGq3Z16SWZ,0.00205,4.0,0.102,-6.797,0.0,0.0352,125.793,4.0,https://api.spotify.com/v1/tracks/3XNhUO3VysNZUGq3Z16SWZ,audio_features,spotify:track:3XNhUO3VysNZUGq3Z16SWZ,0.173
1,Kaskade   Scott Shepard, Breaking Up,unknown,0.00672,https://api.spotify.com/v1/audio-analysis/3c5hybEfCTgaWBqNtivL9X,10A,0.666,286067.0,0.836,3c5hybEfCTgaWBqNtivL9X,0.069,11.0,0.0514,-4.917,0.0,0.0329,125.996,4.0,https://api.spotify.com/v1/tracks/3c5hybEfCTgaWBqNtivL9X,audio_features,spotify:track:3c5hybEfCTgaWBqNtivL9X,0.143
2,w/ Promise Land, Wood,unknown,0.664,https://api.spotify.com/v1/audio-analysis/6xgiP9483sMFgum2xccWdj,4A,0.5,194400.0,0.276,6xgiP9483sMFgum2xccWdj,0.513,5.0,0.094,-16.65,0.0,0.05,94.868,4.0,https://api.spotify.com/v1/tracks/6xgiP9483sMFgum2xccWdj,audio_features,spotify:track:6xgiP9483sMFgum2xccWdj,0.145
3,Kaskade Felix Cartal   Ofelia K, Fakin It ,Hook N Sling Remix,0.00564,https://api.spotify.com/v1/audio-analysis/6eRumgSHoTpIth3y7hjQ6Z,10A,0.836,267620.0,0.846,6eRumgSHoTpIth3y7hjQ6Z,0.0564,11.0,0.0538,-2.31,0.0,0.0444,126.026,4.0,https://api.spotify.com/v1/tracks/6eRumgSHoTpIth3y7hjQ6Z,audio_features,spotify:track:6eRumgSHoTpIth3y7hjQ6Z,0.816
4,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
5,Madison Mars, Doppler,unknown,0.00442,https://api.spotify.com/v1/audio-analysis/6VwMd1eoBo726bVQnZCqFP,3B,0.442,211607.0,0.892,6VwMd1eoBo726bVQnZCqFP,0.381,1.0,0.04,-2.762,1.0,0.0614,125.869,4.0,https://api.spotify.com/v1/tracks/6VwMd1eoBo726bVQnZCqFP,audio_features,spotify:track:6VwMd1eoBo726bVQnZCqFP,0.203
6,w/ Kaskade Project 46, Last Chance,unknown,0.945,https://api.spotify.com/v1/audio-analysis/20F8GtB1DmsmzfuucpiKP9,7A,0.251,215747.0,0.0589,20F8GtB1DmsmzfuucpiKP9,0.892,2.0,0.11,-17.275,0.0,0.0411,135.368,4.0,https://api.spotify.com/v1/tracks/20F8GtB1DmsmzfuucpiKP9,audio_features,spotify:track:20F8GtB1DmsmzfuucpiKP9,0.0396
7,Promise Land, Whoomp,unknown,0.00235,https://api.spotify.com/v1/audio-analysis/6fJz27A0n6AadN9lPN1oid,2A,0.566,192381.0,0.982,6fJz27A0n6AadN9lPN1oid,0.00095,3.0,0.755,-3.251,0.0,0.0415,126.005,4.0,https://api.spotify.com/v1/tracks/6fJz27A0n6AadN9lPN1oid,audio_features,spotify:track:6fJz27A0n6AadN9lPN1oid,0.328
8,Kaskade   Ilsey, Disarm You,unknown,0.0434,https://api.spotify.com/v1/audio-analysis/3xQjivjUZ4KnUslduTEYKC,4A,0.446,221133.0,0.793,3xQjivjUZ4KnUslduTEYKC,4.14e-05,5.0,0.159,-3.912,0.0,0.0556,127.799,4.0,https://api.spotify.com/v1/tracks/3xQjivjUZ4KnUslduTEYKC,audio_features,spotify:track:3xQjivjUZ4KnUslduTEYKC,0.313
9,Kaskade feat. Too Many Zooz, Jortz FTW,unknown,,,,,,,,,,,,,,,,,,,
10,BROHUG, In My Head,unknown,,,,,,,,,,,,,,,,,,,
11,Jewelz Sparks, Crank,unknown,0.00542,https://api.spotify.com/v1/audio-analysis/6XPxhu9b70wxelrjNIrc9Y,3A,0.693,172500.0,0.982,6XPxhu9b70wxelrjNIrc9Y,0.253,10.0,0.0432,-1.587,0.0,0.399,127.988,4.0,https://api.spotify.com/v1/tracks/6XPxhu9b70wxelrjNIrc9Y,audio_features,spotify:track:6XPxhu9b70wxelrjNIrc9Y,0.0435
12,Sikdope, I'm Back,unknown,,,,,,,,,,,,,,,,,,,
13,Ravell, Get Away,unknown,0.0161,https://api.spotify.com/v1/audio-analysis/7cQbQPtzPeDkcP3W6hfHgD,10B,0.879,195840.0,0.782,7cQbQPtzPeDkcP3W6hfHgD,0.318,2.0,0.0465,-5.245,1.0,0.106,125.003,4.0,https://api.spotify.com/v1/tracks/7cQbQPtzPeDkcP3W6hfHgD,audio_features,spotify:track:7cQbQPtzPeDkcP3W6hfHgD,0.271
14,Max Vangeli Flatdisk, Blow This Club,unknown,0.00383,https://api.spotify.com/v1/audio-analysis/2vfEc7kTYCKaNszMhdgVaE,10A,0.789,250356.0,0.974,2vfEc7kTYCKaNszMhdgVaE,0.792,11.0,0.0596,-2.417,0.0,0.131,127.005,4.0,https://api.spotify.com/v1/tracks/2vfEc7kTYCKaNszMhdgVaE,audio_features,spotify:track:2vfEc7kTYCKaNszMhdgVaE,0.44
15,The Brocks   Jewelz Sparks, Going Nowhere I Can Fly ,Kaskade 's LACC Mashup,,,,,,,,,,,,,,,,,,,
16,Kaskade   Patric La Funk DBN   Adam Klopp, Please Say Quick Quack ,Kaskade Ultra Mashup,,,,,,,,,,,,,,,,,,,
17,Steve Aoki   Wynter Gordon, Ladi Dadi ,Tommy Trash Remix,0.00132,https://api.spotify.com/v1/audio-analysis/6H4G4c6FfWED02TqsFDPtC,8A,0.692,314867.0,0.967,6H4G4c6FfWED02TqsFDPtC,0.000367,9.0,0.16,-4.591,0.0,0.127,128.978,4.0,https://api.spotify.com/v1/tracks/6H4G4c6FfWED02TqsFDPtC,audio_features,spotify:track:6H4G4c6FfWED02TqsFDPtC,0.0769
