,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Michael Feiner, Bababa,unknown,0.0372,https://api.spotify.com/v1/audio-analysis/17egKpMIcWfAdAmFeA4Dlz,2B,0.847,184687.0,0.952,17egKpMIcWfAdAmFeA4Dlz,0.929,6.0,0.0598,-2.478,1.0,0.216,128.053,4.0,https://api.spotify.com/v1/tracks/17egKpMIcWfAdAmFeA4Dlz,audio_features,spotify:track:17egKpMIcWfAdAmFeA4Dlz,0.298
1,DJ Jean, The Launch ,Jebu Bootleg,0.0622,https://api.spotify.com/v1/audio-analysis/6FP4peicCGnib7asns71fs,10A,0.739,220360.0,0.998,6FP4peicCGnib7asns71fs,0.922,11.0,0.266,-5.669,0.0,0.137,136.513,4.0,https://api.spotify.com/v1/tracks/6FP4peicCGnib7asns71fs,audio_features,spotify:track:6FP4peicCGnib7asns71fs,0.259
2,Tom Staar Corey James, Bird Flu,unknown,0.00108,https://api.spotify.com/v1/audio-analysis/2mRigOP1aGaTgb03ncXDE2,4A,0.597,233500.0,0.983,2mRigOP1aGaTgb03ncXDE2,0.934,5.0,0.378,-3.514,0.0,0.0569,125.989,4.0,https://api.spotify.com/v1/tracks/2mRigOP1aGaTgb03ncXDE2,audio_features,spotify:track:2mRigOP1aGaTgb03ncXDE2,0.477
3,Novak, El Verano,unknown,0.0209,https://api.spotify.com/v1/audio-analysis/1uhSkDmH2S5o6fvmpPcK5J,12A,0.667,171913.0,0.977,1uhSkDmH2S5o6fvmpPcK5J,0.823,1.0,0.285,-7.379,0.0,0.0679,124.934,4.0,https://api.spotify.com/v1/tracks/1uhSkDmH2S5o6fvmpPcK5J,audio_features,spotify:track:1uhSkDmH2S5o6fvmpPcK5J,0.44
4,Lan Sander   No Hope George Nassau, ACDT ,David Tort HoTL Mix,0.0228,https://api.spotify.com/v1/audio-analysis/3pTATnCWKf9d2qKFCDFz03,12B,0.69,391452.0,0.825,3pTATnCWKf9d2qKFCDFz03,0.927,4.0,0.111,-6.114,1.0,0.0643,123.993,4.0,https://api.spotify.com/v1/tracks/3pTATnCWKf9d2qKFCDFz03,audio_features,spotify:track:3pTATnCWKf9d2qKFCDFz03,0.0685
5,Wolsh Larry Mendes, All Day,unknown,0.0192,https://api.spotify.com/v1/audio-analysis/26DLJg395k9Yp2iyzhK96Q,9A,0.671,106667.0,0.947,26DLJg395k9Yp2iyzhK96Q,0.216,4.0,0.291,-7.765,0.0,0.0667,126.009,4.0,https://api.spotify.com/v1/tracks/26DLJg395k9Yp2iyzhK96Q,audio_features,spotify:track:26DLJg395k9Yp2iyzhK96Q,0.406
6,Leandro Da Silva John Hard, La Corrida,unknown,0.00229,https://api.spotify.com/v1/audio-analysis/1D4cwJylq9njeGZ8XbiTqn,1B,0.718,198159.0,0.836,1D4cwJylq9njeGZ8XbiTqn,0.824,11.0,0.0741,-3.789,1.0,0.0703,126.025,4.0,https://api.spotify.com/v1/tracks/1D4cwJylq9njeGZ8XbiTqn,audio_features,spotify:track:1D4cwJylq9njeGZ8XbiTqn,0.477
7,Havoc Lawn   SOVTH, Can't Do That,unknown,0.00736,https://api.spotify.com/v1/audio-analysis/4viV9ZnPZADxzPQU8ySun4,1B,0.665,137143.0,0.956,4viV9ZnPZADxzPQU8ySun4,0.0229,11.0,0.3,-8.456,1.0,0.149,126.007,4.0,https://api.spotify.com/v1/tracks/4viV9ZnPZADxzPQU8ySun4,audio_features,spotify:track:4viV9ZnPZADxzPQU8ySun4,0.49
8,Reza Barry Obzee, Who's The Badman ,DJ Dan & Reza Edit,,,,,,,,,,,,,,,,,,,
9,Simon Kidzoo, Hustler,unknown,,,,,,,,,,,,,,,,,,,
10,ID, Funkadelic,unknown,,,,,,,,,,,,,,,,,,,
11,Rihanna, Sex With Me ,MK Remix,0.00112,https://api.spotify.com/v1/audio-analysis/3i5RpfPay4CbjSSd6rIvkq,11B,0.784,378240.0,0.882,3i5RpfPay4CbjSSd6rIvkq,0.000233,9.0,0.054,-6.846,1.0,0.0567,124.992,4.0,https://api.spotify.com/v1/tracks/3i5RpfPay4CbjSSd6rIvkq,audio_features,spotify:track:3i5RpfPay4CbjSSd6rIvkq,0.491
12,DJ Lucerox, Guantanamo,unknown,0.013,https://api.spotify.com/v1/audio-analysis/22pNHIqxPHivyQ8edYvtAy,8B,0.776,387152.0,0.864,22pNHIqxPHivyQ8edYvtAy,0.533,0.0,0.539,-6.796,1.0,0.0843,124.016,4.0,https://api.spotify.com/v1/tracks/22pNHIqxPHivyQ8edYvtAy,audio_features,spotify:track:22pNHIqxPHivyQ8edYvtAy,0.825
13,DJ Licious, I Hear You Calling,unknown,0.185,https://api.spotify.com/v1/audio-analysis/2YASkm9BoEbAli4ESUx3Po,9B,0.668,220119.0,0.894,2YASkm9BoEbAli4ESUx3Po,0.000111,7.0,0.041,-3.888,1.0,0.202,126.065,4.0,https://api.spotify.com/v1/tracks/2YASkm9BoEbAli4ESUx3Po,audio_features,spotify:track:2YASkm9BoEbAli4ESUx3Po,0.401
14,"Divolly Markward, Party Killers Drop Department", Take Me Now,unknown,0.483,https://api.spotify.com/v1/audio-analysis/3Ki8V24sXCvfINHpP0tU36,3B,0.665,210207.0,0.42,3Ki8V24sXCvfINHpP0tU36,0.0,1.0,0.125,-12.186,1.0,0.0294,115.96,4.0,https://api.spotify.com/v1/tracks/3Ki8V24sXCvfINHpP0tU36,audio_features,spotify:track:3Ki8V24sXCvfINHpP0tU36,0.225
15,ID, Rumble,unknown,,,,,,,,,,,,,,,,,,,
16,Cristoph   The Temper Trap, Temper Divvina ,Dirty South Mashup,,,,,,,,,,,,,,,,,,,
17,TIME, Not Alone,unknown,0.00387,https://api.spotify.com/v1/audio-analysis/3X4R33J2pUsvATuYnlXIgy,10B,0.438,233427.0,0.829,3X4R33J2pUsvATuYnlXIgy,0.0,2.0,0.125,-5.437,1.0,0.0382,164.074,4.0,https://api.spotify.com/v1/tracks/3X4R33J2pUsvATuYnlXIgy,audio_features,spotify:track:3X4R33J2pUsvATuYnlXIgy,0.571
18,RavenKis, Stellar,unknown,0.0143,https://api.spotify.com/v1/audio-analysis/4jOhrAAym4YRXXp0wwCjQ2,10A,0.442,228750.0,0.798,4jOhrAAym4YRXXp0wwCjQ2,0.0017,11.0,0.33,-4.232,0.0,0.0486,127.988,4.0,https://api.spotify.com/v1/tracks/4jOhrAAym4YRXXp0wwCjQ2,audio_features,spotify:track:4jOhrAAym4YRXXp0wwCjQ2,0.116
