,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Don Diablo   Emeni, Universe,unknown,0.00347,https://api.spotify.com/v1/audio-analysis/627WIHxQnvOQIGazjxY66O,9A,0.578,179440.0,0.982,627WIHxQnvOQIGazjxY66O,0.0244,4.0,0.335,-2.536,0.0,0.112,126.052,4.0,https://api.spotify.com/v1/tracks/627WIHxQnvOQIGazjxY66O,audio_features,spotify:track:627WIHxQnvOQIGazjxY66O,0.264
1,w/ Florence + The Machine, You've Got The Love ,Acapella,0.0633,https://api.spotify.com/v1/audio-analysis/1S321KQRV2MzPq2IYHDXxo,3A,0.402,262533.0,0.599,1S321KQRV2MzPq2IYHDXxo,0.0,10.0,0.948,-7.67,0.0,0.28,85.142,4.0,https://api.spotify.com/v1/tracks/1S321KQRV2MzPq2IYHDXxo,audio_features,spotify:track:1S321KQRV2MzPq2IYHDXxo,0.522
2,Tommy Trash Nick Catchdubs   Moosh Twist, OMG ,BROHUG Remix,0.027,https://api.spotify.com/v1/audio-analysis/6zCgtkxJ4Jb6BaLkR05OYo,4A,0.78,153607.0,0.957,6zCgtkxJ4Jb6BaLkR05OYo,4.02e-05,5.0,0.0415,-2.754,0.0,0.162,125.0,4.0,https://api.spotify.com/v1/tracks/6zCgtkxJ4Jb6BaLkR05OYo,audio_features,spotify:track:6zCgtkxJ4Jb6BaLkR05OYo,0.69
3,Lil Silva, Seasons,unknown,0.00116,https://api.spotify.com/v1/audio-analysis/4Z6XWYYWSHPvSupNqmbzzE,8B,0.743,268556.0,0.887,4Z6XWYYWSHPvSupNqmbzzE,0.822,0.0,0.0561,-3.693,1.0,0.0403,128.956,4.0,https://api.spotify.com/v1/tracks/4Z6XWYYWSHPvSupNqmbzzE,audio_features,spotify:track:4Z6XWYYWSHPvSupNqmbzzE,0.573
4,w/ Major Lazer   Vybz Kartel, Pon De Floor ,Afrojack Version,0.0034,https://api.spotify.com/v1/audio-analysis/3S7hj7i6ibxRbpKkXJtio3,8B,0.89,213960.0,0.964,3S7hj7i6ibxRbpKkXJtio3,0.394,0.0,0.102,-4.7,1.0,0.186,126.973,4.0,https://api.spotify.com/v1/tracks/3S7hj7i6ibxRbpKkXJtio3,audio_features,spotify:track:3S7hj7i6ibxRbpKkXJtio3,0.231
5,JAY Z Kanye West, Niggas In Paris,unknown,,,,,,,,,,,,,,,,,,,
6,Kungs   Cookin' On 3 Burners   Kylie Auldist, This Girl,unknown,0.0927,https://api.spotify.com/v1/audio-analysis/1A8j067qyiNwQnZT0bzUpZ,5A,0.792,195547.0,0.717,1A8j067qyiNwQnZT0bzUpZ,3.59e-05,0.0,0.226,-4.759,0.0,0.0393,121.985,4.0,https://api.spotify.com/v1/tracks/1A8j067qyiNwQnZT0bzUpZ,audio_features,spotify:track:1A8j067qyiNwQnZT0bzUpZ,0.466
7,Migos   Lil ƱZi Vert, Bad And Boujee,unknown,0.061,https://api.spotify.com/v1/audio-analysis/4Km5HrUvYTaSUfiSGPJeQR,1B,0.927,343150.0,0.665,4Km5HrUvYTaSUfiSGPJeQR,0.0,11.0,0.123,-5.313,1.0,0.244,127.076,4.0,https://api.spotify.com/v1/tracks/4Km5HrUvYTaSUfiSGPJeQR,audio_features,spotify:track:4Km5HrUvYTaSUfiSGPJeQR,0.175
8,Wiwek Gregor Salto, On Your Mark,unknown,0.00474,https://api.spotify.com/v1/audio-analysis/6Sj9HYcxzo9fbCc7HcxbIS,8B,0.744,241245.0,0.831,6Sj9HYcxzo9fbCc7HcxbIS,0.789,0.0,0.128,-4.022,1.0,0.0507,128.025,4.0,https://api.spotify.com/v1/tracks/6Sj9HYcxzo9fbCc7HcxbIS,audio_features,spotify:track:6Sj9HYcxzo9fbCc7HcxbIS,0.201
9,Queen, We Will Rock You,unknown,0.688,https://api.spotify.com/v1/audio-analysis/54flyrjcdnQdco7300avMJ,10A,0.692,122067.0,0.488,54flyrjcdnQdco7300avMJ,0.0,11.0,0.4,-7.282,0.0,0.104,81.4,4.0,https://api.spotify.com/v1/tracks/54flyrjcdnQdco7300avMJ,audio_features,spotify:track:54flyrjcdnQdco7300avMJ,0.51
