,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,ZDS, Rick James ,Chus & Ceballos Remix,0.000195,https://api.spotify.com/v1/audio-analysis/1EOy6Zn7zLH7Tb7WvGzbm4,10A,0.827,180424.0,0.909,1EOy6Zn7zLH7Tb7WvGzbm4,0.944,11.0,0.0631,-5.063,0.0,0.0461,124.989,4.0,https://api.spotify.com/v1/tracks/1EOy6Zn7zLH7Tb7WvGzbm4,audio_features,spotify:track:1EOy6Zn7zLH7Tb7WvGzbm4,0.649
1,Martin Ikin, Latanya,unknown,0.00229,https://api.spotify.com/v1/audio-analysis/2nFocvnGTym90xOy275STu,2B,0.802,400964.0,0.972,2nFocvnGTym90xOy275STu,0.886,6.0,0.228,-5.549,1.0,0.0595,125.998,4.0,https://api.spotify.com/v1/tracks/2nFocvnGTym90xOy275STu,audio_features,spotify:track:2nFocvnGTym90xOy275STu,0.841
2,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
3,Mark Knight   The Ragga Twins, Move On,unknown,0.095,https://api.spotify.com/v1/audio-analysis/2LrhfSwNRq7rg8SLPcgXja,8B,0.726,205574.0,0.97,2LrhfSwNRq7rg8SLPcgXja,0.0112,0.0,0.954,-3.087,1.0,0.0917,121.995,4.0,https://api.spotify.com/v1/tracks/2LrhfSwNRq7rg8SLPcgXja,audio_features,spotify:track:2LrhfSwNRq7rg8SLPcgXja,0.603
4,Beni, Drop The Pressure,unknown,0.00105,https://api.spotify.com/v1/audio-analysis/28b0YGprPdYxVUk7780Jab,10B,0.712,274004.0,0.856,28b0YGprPdYxVUk7780Jab,0.9,2.0,0.835,-6.245,1.0,0.0483,123.99,4.0,https://api.spotify.com/v1/tracks/28b0YGprPdYxVUk7780Jab,audio_features,spotify:track:28b0YGprPdYxVUk7780Jab,0.212
5,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
6,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
7,Major Lazer   Travis Scott Camila Cabello Quavo, Know No Better ,La Fuente Remix,0.025,https://api.spotify.com/v1/audio-analysis/1DmXJ3SQe88Lqi0REP4x6T,6A,0.831,241276.0,0.81,1DmXJ3SQe88Lqi0REP4x6T,0.0647,7.0,0.0909,-5.957,0.0,0.0651,125.983,4.0,https://api.spotify.com/v1/tracks/1DmXJ3SQe88Lqi0REP4x6T,audio_features,spotify:track:1DmXJ3SQe88Lqi0REP4x6T,0.34
8,Pitbull   Stephen Marley, Options ,James Hype Remix,0.00386,https://api.spotify.com/v1/audio-analysis/28Cg47NhNFR3gY7GtDVQIR,11A,0.771,264127.0,0.812,28Cg47NhNFR3gY7GtDVQIR,0.0,6.0,0.106,-6.335,0.0,0.0376,126.023,4.0,https://api.spotify.com/v1/tracks/28Cg47NhNFR3gY7GtDVQIR,audio_features,spotify:track:28Cg47NhNFR3gY7GtDVQIR,0.816
9,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
