,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Aphex Twin, Rhubarb,unknown,0.000555,https://api.spotify.com/v1/audio-analysis/0c0PhGTdl4K1SRWu0kYkBh,8B,0.745,368173.0,0.89,0c0PhGTdl4K1SRWu0kYkBh,0.926,0.0,0.203,-8.51,1.0,0.0685,140.017,4.0,https://api.spotify.com/v1/tracks/0c0PhGTdl4K1SRWu0kYkBh,audio_features,spotify:track:0c0PhGTdl4K1SRWu0kYkBh,0.714
1,Ben Bohmer feat. Simon Krause Wood, Give Me,unknown,0.00852,https://api.spotify.com/v1/audio-analysis/64xixrghnIPTZwdkr9FcKz,8B,0.619,211933.0,0.695,64xixrghnIPTZwdkr9FcKz,0.00274,0.0,0.112,-6.09,1.0,0.0234,103.02,4.0,https://api.spotify.com/v1/tracks/64xixrghnIPTZwdkr9FcKz,audio_features,spotify:track:64xixrghnIPTZwdkr9FcKz,0.551
2,Ben Bohmer   Simon Krause Wood, Give Me,unknown,0.18,https://api.spotify.com/v1/audio-analysis/5ZkMIeFkKTKhlX1Eaoug6n,9A,0.758,512500.0,0.539,5ZkMIeFkKTKhlX1Eaoug6n,0.911,4.0,0.0914,-9.92,0.0,0.0589,120.0,4.0,https://api.spotify.com/v1/tracks/5ZkMIeFkKTKhlX1Eaoug6n,audio_features,spotify:track:5ZkMIeFkKTKhlX1Eaoug6n,0.076
3,Hans Zimmer, Time ,Inception OST,0.155,https://api.spotify.com/v1/audio-analysis/6ZFbXIJkuI1dVNWvzJzown,9B,0.221,275547.0,0.0879,6ZFbXIJkuI1dVNWvzJzown,0.698,7.0,0.0869,-16.996,1.0,0.0381,126.622,4.0,https://api.spotify.com/v1/tracks/6ZFbXIJkuI1dVNWvzJzown,audio_features,spotify:track:6ZFbXIJkuI1dVNWvzJzown,0.0401
4,Motsa   Sophie Lindinger, Petrichor ,Kalipo Remix,0.0289,https://api.spotify.com/v1/audio-analysis/3L6nTXUKxrv4nSNMSfbec2,9B,0.739,338852.0,0.704,3L6nTXUKxrv4nSNMSfbec2,0.889,7.0,0.14,-10.12,1.0,0.0527,122.02,4.0,https://api.spotify.com/v1/tracks/3L6nTXUKxrv4nSNMSfbec2,audio_features,spotify:track:3L6nTXUKxrv4nSNMSfbec2,0.257
5,Martin Waslewski Ole Biege, Reilstreet,unknown,0.002,https://api.spotify.com/v1/audio-analysis/1dBHO3c71z5NDqqFTKouHc,8A,0.692,535533.0,0.712,1dBHO3c71z5NDqqFTKouHc,0.813,9.0,0.0876,-9.676,0.0,0.037,122.01,4.0,https://api.spotify.com/v1/tracks/1dBHO3c71z5NDqqFTKouHc,audio_features,spotify:track:1dBHO3c71z5NDqqFTKouHc,0.13
6,Rodriguez Jr., Radian,unknown,0.00035,https://api.spotify.com/v1/audio-analysis/4G8bh5gfQXjtLNMpbQSfnI,10B,0.709,437766.0,0.852,4G8bh5gfQXjtLNMpbQSfnI,0.483,2.0,0.103,-7.892,1.0,0.0366,124.003,5.0,https://api.spotify.com/v1/tracks/4G8bh5gfQXjtLNMpbQSfnI,audio_features,spotify:track:4G8bh5gfQXjtLNMpbQSfnI,0.17
7,The Chemical Brothers, Swoon ,Tinlicker Unofficial Remix,0.0022,https://api.spotify.com/v1/audio-analysis/1xrr9bAS0zfjCXdLKpLJnA,7A,0.492,365080.0,0.773,1xrr9bAS0zfjCXdLKpLJnA,0.835,2.0,0.305,-5.845,0.0,0.0369,123.974,4.0,https://api.spotify.com/v1/tracks/1xrr9bAS0zfjCXdLKpLJnA,audio_features,spotify:track:1xrr9bAS0zfjCXdLKpLJnA,0.197
8,Trevino, Casino,unknown,9.36e-05,https://api.spotify.com/v1/audio-analysis/2Td4WhTkczleYRzuz0niJG,7A,0.672,548421.0,0.768,2Td4WhTkczleYRzuz0niJG,0.87,2.0,0.536,-8.366,0.0,0.0343,125.006,4.0,https://api.spotify.com/v1/tracks/2Td4WhTkczleYRzuz0niJG,audio_features,spotify:track:2Td4WhTkczleYRzuz0niJG,0.302
9,Kyson, A Song About The Future ,Dave DK Remix,0.106,https://api.spotify.com/v1/audio-analysis/5ev8fbmlGc9ptUPaAXFKDR,4A,0.58,322259.0,0.723,5ev8fbmlGc9ptUPaAXFKDR,0.618,5.0,0.513,-10.593,0.0,0.0344,124.041,4.0,https://api.spotify.com/v1/tracks/5ev8fbmlGc9ptUPaAXFKDR,audio_features,spotify:track:5ev8fbmlGc9ptUPaAXFKDR,0.155
