,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Vini Vici Liquid Soul, Universe Inside,unknown,0.00413,https://api.spotify.com/v1/audio-analysis/5yKKzu53D0Q9yhBOLmTBzY,9B,0.687,481739.0,0.834,5yKKzu53D0Q9yhBOLmTBzY,0.893,7.0,0.0608,-7.699,1.0,0.0823,137.985,4.0,https://api.spotify.com/v1/tracks/5yKKzu53D0Q9yhBOLmTBzY,audio_features,spotify:track:5yKKzu53D0Q9yhBOLmTBzY,0.055
1,Different Reality, Liquid Soul,unknown,,,,,,,,,,,,,,,,,,,
2,Liquid Soul Phanatic, Awakening Dreams,unknown,0.00209,https://api.spotify.com/v1/audio-analysis/1QzrZRaLSXx37fxsdUKOOz,3A,0.597,470504.0,0.843,1QzrZRaLSXx37fxsdUKOOz,0.716,10.0,0.089,-8.964,0.0,0.0419,138.988,4.0,https://api.spotify.com/v1/tracks/1QzrZRaLSXx37fxsdUKOOz,audio_features,spotify:track:1QzrZRaLSXx37fxsdUKOOz,0.0379
3,Liquid Soul Zyce, We Come In Peace,unknown,0.00127,https://api.spotify.com/v1/audio-analysis/4GtQoaeVYFGytYBHdAChlQ,3B,0.631,444348.0,0.838,4GtQoaeVYFGytYBHdAChlQ,0.726,1.0,0.0874,-7.157,1.0,0.0571,138.021,4.0,https://api.spotify.com/v1/tracks/4GtQoaeVYFGytYBHdAChlQ,audio_features,spotify:track:4GtQoaeVYFGytYBHdAChlQ,0.115
4,Liquid Soul, I See The Spirit ,Protonica Remix,0.00169,https://api.spotify.com/v1/audio-analysis/3WIEk5e4GbiOOQVhbALIsz,11B,0.78,482203.0,0.627,3WIEk5e4GbiOOQVhbALIsz,0.834,9.0,0.0849,-6.414,1.0,0.0709,136.005,4.0,https://api.spotify.com/v1/tracks/3WIEk5e4GbiOOQVhbALIsz,audio_features,spotify:track:3WIEk5e4GbiOOQVhbALIsz,0.0393
5,Liquid Soul Neodyne, Cherub,unknown,0.000766,https://api.spotify.com/v1/audio-analysis/6EXK0zv0BzOwBFhydEQRbL,11A,0.687,473043.0,0.877,6EXK0zv0BzOwBFhydEQRbL,0.86,6.0,0.443,-6.787,0.0,0.046,137.996,4.0,https://api.spotify.com/v1/tracks/6EXK0zv0BzOwBFhydEQRbL,audio_features,spotify:track:6EXK0zv0BzOwBFhydEQRbL,0.059
6,FREq, Dreambody ,Liquid Soul & Orison Remix,0.000979,https://api.spotify.com/v1/audio-analysis/2bYdjATcnuU81kWU6fvQnY,11A,0.764,523240.0,0.859,2bYdjATcnuU81kWU6fvQnY,0.736,6.0,0.0348,-8.563,0.0,0.0585,135.018,4.0,https://api.spotify.com/v1/tracks/2bYdjATcnuU81kWU6fvQnY,audio_features,spotify:track:2bYdjATcnuU81kWU6fvQnY,0.0372
7,Captain Hook Vs. Liquid Soul, Liquid Hook,unknown,0.000832,https://api.spotify.com/v1/audio-analysis/5NuW9UhYl3q0dcIVqzRAu3,11A,0.74,469892.0,0.877,5NuW9UhYl3q0dcIVqzRAu3,0.789,6.0,0.589,-8.97,0.0,0.0535,135.006,4.0,https://api.spotify.com/v1/tracks/5NuW9UhYl3q0dcIVqzRAu3,audio_features,spotify:track:5NuW9UhYl3q0dcIVqzRAu3,0.0357
8,Liquid Soul Animato, Hope For Life,unknown,0.989,https://api.spotify.com/v1/audio-analysis/6sho13di4vZC0Tzjam0Ip9,3B,0.0676,414000.0,0.0579,6sho13di4vZC0Tzjam0Ip9,0.849,1.0,0.109,-26.984,1.0,0.0399,57.872,4.0,https://api.spotify.com/v1/tracks/6sho13di4vZC0Tzjam0Ip9,audio_features,spotify:track:6sho13di4vZC0Tzjam0Ip9,0.0383
9,Ace Ventura Liquid Soul, Neurochemistry,unknown,0.000228,https://api.spotify.com/v1/audio-analysis/7npDS6ILdr6aJsp4Uw2wLw,9B,0.717,480000.0,0.898,7npDS6ILdr6aJsp4Uw2wLw,0.884,7.0,0.16,-7.52,1.0,0.0424,137.024,4.0,https://api.spotify.com/v1/tracks/7npDS6ILdr6aJsp4Uw2wLw,audio_features,spotify:track:7npDS6ILdr6aJsp4Uw2wLw,0.127
10,Liquid Soul Zyce   Solar Kid, Anjuna ,Symbolic & Outsiders Remix,0.00187,https://api.spotify.com/v1/audio-analysis/6Rarz9qBNBv1VqKKdDH9wA,11A,0.605,541714.0,0.934,6Rarz9qBNBv1VqKKdDH9wA,0.833,6.0,0.101,-7.757,0.0,0.0445,140.01,4.0,https://api.spotify.com/v1/tracks/6Rarz9qBNBv1VqKKdDH9wA,audio_features,spotify:track:6Rarz9qBNBv1VqKKdDH9wA,0.0416
11,Liquid Soul, Wake Up,unknown,0.00167,https://api.spotify.com/v1/audio-analysis/0atp90kZGeusIkk430yeSQ,9A,0.468,118610.0,0.948,0atp90kZGeusIkk430yeSQ,0.697,4.0,0.636,-12.396,0.0,0.0668,138.019,4.0,https://api.spotify.com/v1/tracks/0atp90kZGeusIkk430yeSQ,audio_features,spotify:track:0atp90kZGeusIkk430yeSQ,0.174
12,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
13,Transwave, Land of Freedom ,Liquid Soul rmx,0.00614,https://api.spotify.com/v1/audio-analysis/3UwInSTbNbbH3XgUM9QWcE,11A,0.717,488824.0,0.899,3UwInSTbNbbH3XgUM9QWcE,0.899,6.0,0.109,-8.659,0.0,0.0569,136.016,4.0,https://api.spotify.com/v1/tracks/3UwInSTbNbbH3XgUM9QWcE,audio_features,spotify:track:3UwInSTbNbbH3XgUM9QWcE,0.423
14,Neodyne Liquid Soul, Believe,unknown,0.00353,https://api.spotify.com/v1/audio-analysis/4iPOG3qY5iD0xR0V4WrTvQ,10A,0.436,461778.0,0.797,4iPOG3qY5iD0xR0V4WrTvQ,0.812,11.0,0.11,-8.915,0.0,0.1,138.018,4.0,https://api.spotify.com/v1/tracks/4iPOG3qY5iD0xR0V4WrTvQ,audio_features,spotify:track:4iPOG3qY5iD0xR0V4WrTvQ,0.102
15,[79.30] The Overlords, God's Eye on Goa ,Liquid Soul Remix,,,,,,,,,,,,,,,,,,,
16,Liquid Soul, Devotion ,Morten Granau & Zyce Remix,0.00201,https://api.spotify.com/v1/audio-analysis/3EgV8tXiZn4JMcrkqG4yDq,5A,0.756,415306.0,0.869,3EgV8tXiZn4JMcrkqG4yDq,0.879,0.0,0.252,-6.744,0.0,0.0592,137.008,4.0,https://api.spotify.com/v1/tracks/3EgV8tXiZn4JMcrkqG4yDq,audio_features,spotify:track:3EgV8tXiZn4JMcrkqG4yDq,0.0392
