,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Mind Vortex, ID,unknown,0.0106,https://api.spotify.com/v1/audio-analysis/0amjYuG9lk1CV4TAwDcLz7,9A,0.321,75413.0,0.493,0amjYuG9lk1CV4TAwDcLz7,0.802,4.0,0.137,-16.213,0.0,0.047,98.989,4.0,https://api.spotify.com/v1/tracks/0amjYuG9lk1CV4TAwDcLz7,audio_features,spotify:track:0amjYuG9lk1CV4TAwDcLz7,0.603
1,Sub Focus, Timewarp ,VIP,0.000563,https://api.spotify.com/v1/audio-analysis/1KC0dwAomEVOofw5329pLh,3B,0.456,263438.0,0.921,1KC0dwAomEVOofw5329pLh,0.752,1.0,0.126,-5.16,1.0,0.087,174.018,4.0,https://api.spotify.com/v1/tracks/1KC0dwAomEVOofw5329pLh,audio_features,spotify:track:1KC0dwAomEVOofw5329pLh,0.396
2,Mind Vortex, Gravity,unknown,9.42e-05,https://api.spotify.com/v1/audio-analysis/1vnQ2jveh4t40jPYBkSBk5,3B,0.563,269385.0,0.988,1vnQ2jveh4t40jPYBkSBk5,0.893,1.0,0.084,-2.208,1.0,0.222,174.038,4.0,https://api.spotify.com/v1/tracks/1vnQ2jveh4t40jPYBkSBk5,audio_features,spotify:track:1vnQ2jveh4t40jPYBkSBk5,0.155
3,Pythius Neonlight, Tarkin,unknown,0.000405,https://api.spotify.com/v1/audio-analysis/7AX0w8d5OnNxbU2eGhrgIC,3B,0.608,304828.0,0.973,7AX0w8d5OnNxbU2eGhrgIC,0.847,1.0,0.509,-1.825,1.0,0.257,174.074,4.0,https://api.spotify.com/v1/tracks/7AX0w8d5OnNxbU2eGhrgIC,audio_features,spotify:track:7AX0w8d5OnNxbU2eGhrgIC,0.141
4,Jauz Netsky, Higher ,The Prototypes Remix,0.000178,https://api.spotify.com/v1/audio-analysis/0KdBU0RjhTil2TnQffG6We,3A,0.575,248413.0,0.944,0KdBU0RjhTil2TnQffG6We,0.0804,10.0,0.0947,-1.426,0.0,0.117,174.061,4.0,https://api.spotify.com/v1/tracks/0KdBU0RjhTil2TnQffG6We,audio_features,spotify:track:0KdBU0RjhTil2TnQffG6We,0.181
5,Gridlok, Insectivore,unknown,,,,,,,,,,,,,,,,,,,
6,TC, Next Hype ,Crissy Criss & Malux & Erb N Dub Remix,0.000596,https://api.spotify.com/v1/audio-analysis/6uNlwNo4ImyEZjTCM8nBpo,8B,0.513,232181.0,0.913,6uNlwNo4ImyEZjTCM8nBpo,0.317,0.0,0.261,-4.369,1.0,0.175,174.043,4.0,https://api.spotify.com/v1/tracks/6uNlwNo4ImyEZjTCM8nBpo,audio_features,spotify:track:6uNlwNo4ImyEZjTCM8nBpo,0.273
7,DC Breaks, Swag 2017,unknown,0.000141,https://api.spotify.com/v1/audio-analysis/3IJrb6DAxu0QkIPJwFgql7,6B,0.556,257022.0,0.937,3IJrb6DAxu0QkIPJwFgql7,0.715,10.0,0.257,-1.566,1.0,0.263,174.115,4.0,https://api.spotify.com/v1/tracks/3IJrb6DAxu0QkIPJwFgql7,audio_features,spotify:track:3IJrb6DAxu0QkIPJwFgql7,0.332
8,The Prototypes, Electric,unknown,0.000148,https://api.spotify.com/v1/audio-analysis/4OyTFWc9kB4x62AoAIaj5P,3B,0.537,259146.0,0.985,4OyTFWc9kB4x62AoAIaj5P,0.623,1.0,0.126,-1.862,1.0,0.306,174.019,4.0,https://api.spotify.com/v1/tracks/4OyTFWc9kB4x62AoAIaj5P,audio_features,spotify:track:4OyTFWc9kB4x62AoAIaj5P,0.436
9,Emperor Mefjus, Sanity Check,unknown,0.011,https://api.spotify.com/v1/audio-analysis/5Ue86b7evuJa9S6Kboq5Nn,3B,0.485,286633.0,0.962,5Ue86b7evuJa9S6Kboq5Nn,0.644,1.0,0.0968,-2.917,1.0,0.214,172.048,4.0,https://api.spotify.com/v1/tracks/5Ue86b7evuJa9S6Kboq5Nn,audio_features,spotify:track:5Ue86b7evuJa9S6Kboq5Nn,0.0698
10,Chase Status, No Problem,unknown,0.000667,https://api.spotify.com/v1/audio-analysis/5k3jdIh7BpJaV1DntDQoSD,2B,0.556,250667.0,0.948,5k3jdIh7BpJaV1DntDQoSD,0.103,6.0,0.0505,-5.522,1.0,0.0886,174.975,4.0,https://api.spotify.com/v1/tracks/5k3jdIh7BpJaV1DntDQoSD,audio_features,spotify:track:5k3jdIh7BpJaV1DntDQoSD,0.505
11,Dimension, Whip Slap,unknown,0.000211,https://api.spotify.com/v1/audio-analysis/61iCVIZSyn9rxF4DQcb0mz,3A,0.439,226207.0,0.994,61iCVIZSyn9rxF4DQcb0mz,0.812,10.0,0.401,-1.668,0.0,0.0734,173.986,4.0,https://api.spotify.com/v1/tracks/61iCVIZSyn9rxF4DQcb0mz,audio_features,spotify:track:61iCVIZSyn9rxF4DQcb0mz,0.269
12,DJ Hazard Distorted Minds, Mr. Happy,unknown,0.00831,https://api.spotify.com/v1/audio-analysis/4T9D8HvNML0kMwb0sRkSfJ,3B,0.62,358732.0,0.959,4T9D8HvNML0kMwb0sRkSfJ,0.105,1.0,0.179,0.326,1.0,0.368,173.937,4.0,https://api.spotify.com/v1/tracks/4T9D8HvNML0kMwb0sRkSfJ,audio_features,spotify:track:4T9D8HvNML0kMwb0sRkSfJ,0.167
13,Wilkinson, Direction ,Mind Vortex Remix,0.00422,https://api.spotify.com/v1/audio-analysis/54qdcvuMH6tvbxjkFG4iDG,5B,0.416,312069.0,0.932,54qdcvuMH6tvbxjkFG4iDG,0.716,3.0,0.338,-3.405,1.0,0.126,173.962,4.0,https://api.spotify.com/v1/tracks/54qdcvuMH6tvbxjkFG4iDG,audio_features,spotify:track:54qdcvuMH6tvbxjkFG4iDG,0.0611
14,Loadstar, Guerilla,unknown,0.000208,https://api.spotify.com/v1/audio-analysis/4kmHGzKegiViQdVTYPjAbR,8B,0.271,223674.0,0.948,4kmHGzKegiViQdVTYPjAbR,0.413,0.0,0.412,-3.886,1.0,0.166,174.947,4.0,https://api.spotify.com/v1/tracks/4kmHGzKegiViQdVTYPjAbR,audio_features,spotify:track:4kmHGzKegiViQdVTYPjAbR,0.116
