,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,FREY, Milkshake,unknown,0.00349,https://api.spotify.com/v1/audio-analysis/71OA4Bizs6CCVjG3HuGLCl,2B,0.801,345366.0,0.962,71OA4Bizs6CCVjG3HuGLCl,0.378,6.0,0.0819,-4.857,1.0,0.0655,123.005,4.0,https://api.spotify.com/v1/tracks/71OA4Bizs6CCVjG3HuGLCl,audio_features,spotify:track:71OA4Bizs6CCVjG3HuGLCl,0.879
1,David Guetta Sia, Flames ,Sylvain Armand Remix,0.0609,https://api.spotify.com/v1/audio-analysis/7xuGJmN8O7vycKgwrs4vNS,4A,0.816,272422.0,0.488,7xuGJmN8O7vycKgwrs4vNS,0.153,5.0,0.0882,-8.695,0.0,0.191,125.03,4.0,https://api.spotify.com/v1/tracks/7xuGJmN8O7vycKgwrs4vNS,audio_features,spotify:track:7xuGJmN8O7vycKgwrs4vNS,0.103
2,Lost Frequencies Zonderling   David Benjamin, Crazy,unknown,0.932,https://api.spotify.com/v1/audio-analysis/5HhEkkAFcGMYLQbF6GUa6C,3B,0.739,171744.0,0.289,5HhEkkAFcGMYLQbF6GUa6C,0.0,1.0,0.12,-8.715,1.0,0.031,105.174,4.0,https://api.spotify.com/v1/tracks/5HhEkkAFcGMYLQbF6GUa6C,audio_features,spotify:track:5HhEkkAFcGMYLQbF6GUa6C,0.563
3,w/ Lost Frequencies Zonderling   David Benjamin, Crazy ,Mr. Belt & Wezol Remix,0.125,https://api.spotify.com/v1/audio-analysis/1IOdvCiYj1qKyJucOUfZx3,10B,0.802,126827.0,0.676,1IOdvCiYj1qKyJucOUfZx3,0.0,2.0,0.207,-3.919,1.0,0.0752,115.987,4.0,https://api.spotify.com/v1/tracks/1IOdvCiYj1qKyJucOUfZx3,audio_features,spotify:track:1IOdvCiYj1qKyJucOUfZx3,0.859
4,Lost Frequencies   Sandro Cavazza, Beautiful Life ,Lost Frequencies Deluxe Mix,0.0175,https://api.spotify.com/v1/audio-analysis/4AY90Zpuz7vjr0rStwJ9as,7A,0.858,185574.0,0.529,4AY90Zpuz7vjr0rStwJ9as,0.0125,2.0,0.128,-8.301,0.0,0.0528,124.999,4.0,https://api.spotify.com/v1/tracks/4AY90Zpuz7vjr0rStwJ9as,audio_features,spotify:track:4AY90Zpuz7vjr0rStwJ9as,0.358
5,Lost Frequencies, Send Her My Love ,R.O Remix,0.325,https://api.spotify.com/v1/audio-analysis/6W4Jtd1piDOPh05jlFGPN4,3B,0.857,202002.0,0.759,6W4Jtd1piDOPh05jlFGPN4,0.148,1.0,0.102,-3.816,1.0,0.0434,106.004,4.0,https://api.spotify.com/v1/tracks/6W4Jtd1piDOPh05jlFGPN4,audio_features,spotify:track:6W4Jtd1piDOPh05jlFGPN4,0.661
6,w/ Lost Frequencies, Send Her My Love ,Lost Frequencies Deluxe Mix,0.325,https://api.spotify.com/v1/audio-analysis/6W4Jtd1piDOPh05jlFGPN4,3B,0.857,202002.0,0.759,6W4Jtd1piDOPh05jlFGPN4,0.148,1.0,0.102,-3.816,1.0,0.0434,106.004,4.0,https://api.spotify.com/v1/tracks/6W4Jtd1piDOPh05jlFGPN4,audio_features,spotify:track:6W4Jtd1piDOPh05jlFGPN4,0.661
7,Lost Frequencies   Jake Reese, Sky Is The Limit ,Lost Frequencies Deluxe Mix,0.0805,https://api.spotify.com/v1/audio-analysis/7lYkrvPmgOwBN6DOF1rufn,10A,0.801,233341.0,0.445,7lYkrvPmgOwBN6DOF1rufn,0.00337,11.0,0.0726,-9.337,0.0,0.0906,123.957,4.0,https://api.spotify.com/v1/tracks/7lYkrvPmgOwBN6DOF1rufn,audio_features,spotify:track:7lYkrvPmgOwBN6DOF1rufn,0.266
8,Lost Frequencies   James Blunt, Melody,unknown,0.126,https://api.spotify.com/v1/audio-analysis/7uTZbLZrF3gqyMdQ7p9XeG,8B,0.674,149009.0,0.659,7uTZbLZrF3gqyMdQ7p9XeG,0.0,0.0,0.455,-8.456,1.0,0.048,120.05,4.0,https://api.spotify.com/v1/tracks/7uTZbLZrF3gqyMdQ7p9XeG,audio_features,spotify:track:7uTZbLZrF3gqyMdQ7p9XeG,0.352
9,w/ Lost Frequencies   James Blunt, Melody ,Lost Frequencies Deluxe Mix,0.29,https://api.spotify.com/v1/audio-analysis/3XIwEHIZczmlfBaZecjHK1,4A,0.59,147461.0,0.127,3XIwEHIZczmlfBaZecjHK1,0.837,5.0,0.111,-21.571,0.0,0.0369,119.837,4.0,https://api.spotify.com/v1/tracks/3XIwEHIZczmlfBaZecjHK1,audio_features,spotify:track:3XIwEHIZczmlfBaZecjHK1,0.155
