,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,MEG \ NERAK, ID ,Intro Edit,0.827,https://api.spotify.com/v1/audio-analysis/4L6hVJ2xJYs7hvgc5gmpPC,1B,0.573,247693.0,0.327,4L6hVJ2xJYs7hvgc5gmpPC,0.000334,11.0,0.111,-11.857,1.0,0.0384,78.97,4.0,https://api.spotify.com/v1/tracks/4L6hVJ2xJYs7hvgc5gmpPC,audio_features,spotify:track:4L6hVJ2xJYs7hvgc5gmpPC,0.153
1,Tom Swoon Teamworx, Atom,unknown,2.45e-05,https://api.spotify.com/v1/audio-analysis/5N4dAK7oIBhH9ghhJQhsv4,3B,0.564,152812.0,0.937,5N4dAK7oIBhH9ghhJQhsv4,0.776,1.0,0.253,-5.327,1.0,0.0439,127.967,4.0,https://api.spotify.com/v1/tracks/5N4dAK7oIBhH9ghhJQhsv4,audio_features,spotify:track:5N4dAK7oIBhH9ghhJQhsv4,0.175
2,Shapov   MEG \ NERAK, Everybody,unknown,0.00152,https://api.spotify.com/v1/audio-analysis/4eRWmfraCyhJUu6TsxUX9J,11B,0.708,265312.0,0.957,4eRWmfraCyhJUu6TsxUX9J,0.369,9.0,0.0759,-3.355,1.0,0.0617,128.013,4.0,https://api.spotify.com/v1/tracks/4eRWmfraCyhJUu6TsxUX9J,audio_features,spotify:track:4eRWmfraCyhJUu6TsxUX9J,0.289
3,Michael Feiner, Bababa,unknown,0.0372,https://api.spotify.com/v1/audio-analysis/17egKpMIcWfAdAmFeA4Dlz,2B,0.847,184687.0,0.952,17egKpMIcWfAdAmFeA4Dlz,0.929,6.0,0.0598,-2.478,1.0,0.216,128.053,4.0,https://api.spotify.com/v1/tracks/17egKpMIcWfAdAmFeA4Dlz,audio_features,spotify:track:17egKpMIcWfAdAmFeA4Dlz,0.298
4,Queen, We Will Rock You,unknown,0.688,https://api.spotify.com/v1/audio-analysis/54flyrjcdnQdco7300avMJ,10A,0.692,122067.0,0.488,54flyrjcdnQdco7300avMJ,0.0,11.0,0.4,-7.282,0.0,0.104,81.4,4.0,https://api.spotify.com/v1/tracks/54flyrjcdnQdco7300avMJ,audio_features,spotify:track:54flyrjcdnQdco7300avMJ,0.51
5,w/ Matisse Sadko, Lock 'N' Load,unknown,0.00514,https://api.spotify.com/v1/audio-analysis/3rT8N86xtfkBiQo0yO3obt,4A,0.521,174662.0,0.957,3rT8N86xtfkBiQo0yO3obt,0.83,5.0,0.525,-4.199,0.0,0.0781,128.01,4.0,https://api.spotify.com/v1/tracks/3rT8N86xtfkBiQo0yO3obt,audio_features,spotify:track:3rT8N86xtfkBiQo0yO3obt,0.221
6,MEG \ NERAK, Concorde,unknown,0.0752,https://api.spotify.com/v1/audio-analysis/0KawPmkhe1HX4CSCBQkp4T,9B,0.394,89625.0,0.887,0KawPmkhe1HX4CSCBQkp4T,0.959,7.0,0.38,-7.402,1.0,0.0338,139.079,4.0,https://api.spotify.com/v1/tracks/0KawPmkhe1HX4CSCBQkp4T,audio_features,spotify:track:0KawPmkhe1HX4CSCBQkp4T,0.469
7,MEG \ NERAK, ID,unknown,0.827,https://api.spotify.com/v1/audio-analysis/4L6hVJ2xJYs7hvgc5gmpPC,1B,0.573,247693.0,0.327,4L6hVJ2xJYs7hvgc5gmpPC,0.000334,11.0,0.111,-11.857,1.0,0.0384,78.97,4.0,https://api.spotify.com/v1/tracks/4L6hVJ2xJYs7hvgc5gmpPC,audio_features,spotify:track:4L6hVJ2xJYs7hvgc5gmpPC,0.153
8,w/ Faithless, God Is A DJ ,Acapella,0.177,https://api.spotify.com/v1/audio-analysis/1pUFYb9peWkK8m1WCKNRjp,3A,0.607,208507.0,0.897,1pUFYb9peWkK8m1WCKNRjp,0.885,10.0,0.17,-7.468,0.0,0.0448,130.549,4.0,https://api.spotify.com/v1/tracks/1pUFYb9peWkK8m1WCKNRjp,audio_features,spotify:track:1pUFYb9peWkK8m1WCKNRjp,0.391
9,The Chemical Brothers KAAZE   Martin Garrix Florian Picasso," Hey Boy, Hey Girl ",Martin Garrix Mashup,0.119,https://api.spotify.com/v1/audio-analysis/7kXmJwrZGIhDaLT9sNo3ut,10B,0.632,290493.0,0.92,7kXmJwrZGIhDaLT9sNo3ut,0.508,2.0,0.114,-4.976,1.0,0.0531,127.001,4.0,https://api.spotify.com/v1/tracks/7kXmJwrZGIhDaLT9sNo3ut,audio_features,spotify:track:7kXmJwrZGIhDaLT9sNo3ut,0.363
