,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,4 Strings   Vanessa Van Hemert, Take Me Away ,Into The Night,0.0017,https://api.spotify.com/v1/audio-analysis/2DBZoeYzOGURGY3nj8XpC7,2A,0.623,190427.0,0.792,2DBZoeYzOGURGY3nj8XpC7,0.0575,3.0,0.18,-6.991,0.0,0.0372,138.009,4.0,https://api.spotify.com/v1/tracks/2DBZoeYzOGURGY3nj8XpC7,audio_features,spotify:track:2DBZoeYzOGURGY3nj8XpC7,0.227
1,Pascal Feliz Nenes, Platinum ,Radion6 Remix,0.00153,https://api.spotify.com/v1/audio-analysis/1Qp9lM7fBkOIftSkYEGVOg,3B,0.601,394667.0,0.751,1Qp9lM7fBkOIftSkYEGVOg,0.838,1.0,0.0666,-7.283,1.0,0.0412,135.006,4.0,https://api.spotify.com/v1/tracks/1Qp9lM7fBkOIftSkYEGVOg,audio_features,spotify:track:1Qp9lM7fBkOIftSkYEGVOg,0.649
2,Artento Divini, Who's Next ,Remix,,,,,,,,,,,,,,,,,,,
3,MaRLo First State, Falling Down,unknown,0.00181,https://api.spotify.com/v1/audio-analysis/1I6p0OQ7T2OBoi1dj9t1v6,10A,0.613,88613.0,0.873,1I6p0OQ7T2OBoi1dj9t1v6,0.109,11.0,0.717,-7.391,0.0,0.0581,130.018,4.0,https://api.spotify.com/v1/tracks/1I6p0OQ7T2OBoi1dj9t1v6,audio_features,spotify:track:1I6p0OQ7T2OBoi1dj9t1v6,0.66
4,Avancada   Darius Finlay, Xplode ,Yoel Lewis & Grahham Bell Remix,0.00036,https://api.spotify.com/v1/audio-analysis/1PnOsfpmZmRsVy9lDxQp4M,12A,0.443,134551.0,0.766,1PnOsfpmZmRsVy9lDxQp4M,0.59,1.0,0.353,-11.645,0.0,0.0374,131.939,4.0,https://api.spotify.com/v1/tracks/1PnOsfpmZmRsVy9lDxQp4M,audio_features,spotify:track:1PnOsfpmZmRsVy9lDxQp4M,0.149
5,MaRLo   Emma Chatt, Here We Are,unknown,0.197,https://api.spotify.com/v1/audio-analysis/7mzptUnfbcHitMqb4ioKnV,2B,0.485,206769.0,0.512,7mzptUnfbcHitMqb4ioKnV,2.94e-05,6.0,0.104,-7.282,1.0,0.0327,129.966,4.0,https://api.spotify.com/v1/tracks/7mzptUnfbcHitMqb4ioKnV,audio_features,spotify:track:7mzptUnfbcHitMqb4ioKnV,0.133
6,Bedrock, Heaven Scent ,Ahmet Atasever Remix,0.00108,https://api.spotify.com/v1/audio-analysis/5lLpIhfhPGiU45tA5dYyH5,6A,0.657,630354.0,0.866,5lLpIhfhPGiU45tA5dYyH5,0.871,7.0,0.729,-15.268,0.0,0.058,134.988,4.0,https://api.spotify.com/v1/tracks/5lLpIhfhPGiU45tA5dYyH5,audio_features,spotify:track:5lLpIhfhPGiU45tA5dYyH5,0.666
7,Gareth Emery   Lucy Saunders, Sanctuary,unknown,0.00341,https://api.spotify.com/v1/audio-analysis/4tlxyl1P3PtKuRk9EhyTL4,6A,0.587,225709.0,0.697,4tlxyl1P3PtKuRk9EhyTL4,0.191,7.0,0.272,-6.723,0.0,0.0337,133.972,4.0,https://api.spotify.com/v1/tracks/4tlxyl1P3PtKuRk9EhyTL4,audio_features,spotify:track:4tlxyl1P3PtKuRk9EhyTL4,0.309
8,Hardwell KAAZE Jonathan Mendelsohn, We Are Legends ,Instrumental Mix,0.0639,https://api.spotify.com/v1/audio-analysis/1ljIUIAxK8frRz1HNQx80Q,11A,0.295,200625.0,0.841,1ljIUIAxK8frRz1HNQx80Q,2.35e-05,6.0,0.22,-2.287,0.0,0.0563,127.998,4.0,https://api.spotify.com/v1/tracks/1ljIUIAxK8frRz1HNQx80Q,audio_features,spotify:track:1ljIUIAxK8frRz1HNQx80Q,0.0728
9,MaRLo   Christina Novelli, Hold It Together,unknown,0.219,https://api.spotify.com/v1/audio-analysis/6aeqAwf4vfQeWFSjmgZCEB,4A,0.642,254770.0,0.659,6aeqAwf4vfQeWFSjmgZCEB,0.0,5.0,0.585,-6.941,0.0,0.252,130.016,4.0,https://api.spotify.com/v1/tracks/6aeqAwf4vfQeWFSjmgZCEB,audio_features,spotify:track:6aeqAwf4vfQeWFSjmgZCEB,0.432
10,Ørjan Nilsen, Between The Rays ,MaRLo Remix,0.144,https://api.spotify.com/v1/audio-analysis/1GWjo7HPvH2SKLy7WyOFsz,6A,0.717,210000.0,0.814,1GWjo7HPvH2SKLy7WyOFsz,1.7e-05,7.0,0.378,-5.803,0.0,0.435,133.095,4.0,https://api.spotify.com/v1/tracks/1GWjo7HPvH2SKLy7WyOFsz,audio_features,spotify:track:1GWjo7HPvH2SKLy7WyOFsz,0.202
11,Wiwek Gregor Salto   MC Spyder, Trouble,unknown,0.0535,https://api.spotify.com/v1/audio-analysis/4hqz3JnM6VK1fPlVFZoYn8,2A,0.717,271885.0,0.983,4hqz3JnM6VK1fPlVFZoYn8,0.491,3.0,0.108,-1.615,0.0,0.0942,128.004,4.0,https://api.spotify.com/v1/tracks/4hqz3JnM6VK1fPlVFZoYn8,audio_features,spotify:track:4hqz3JnM6VK1fPlVFZoYn8,0.077
12,Vini Vici, FKD Up Kids,unknown,0.00125,https://api.spotify.com/v1/audio-analysis/6OvW3bx8x3mAXzkRF1vCqD,8B,0.622,447391.0,0.994,6OvW3bx8x3mAXzkRF1vCqD,0.391,0.0,0.325,-5.74,1.0,0.252,138.02,4.0,https://api.spotify.com/v1/tracks/6OvW3bx8x3mAXzkRF1vCqD,audio_features,spotify:track:6OvW3bx8x3mAXzkRF1vCqD,0.0909
13,w/ W&W x Vini Vici, Chakra,unknown,0.0038,https://api.spotify.com/v1/audio-analysis/0yn1vlbJKUVQuFmFDnRUyK,4A,0.451,263130.0,0.887,0yn1vlbJKUVQuFmFDnRUyK,0.0858,5.0,0.0153,-3.907,0.0,0.0698,150.017,4.0,https://api.spotify.com/v1/tracks/0yn1vlbJKUVQuFmFDnRUyK,audio_features,spotify:track:0yn1vlbJKUVQuFmFDnRUyK,0.21
14,KSHMR Tigerlily, Invisible Children,unknown,0.00354,https://api.spotify.com/v1/audio-analysis/2tOVPOp7vjoq2nonNFQJO6,10B,0.624,171693.0,0.984,2tOVPOp7vjoq2nonNFQJO6,0.33,2.0,0.2,-3.496,1.0,0.0639,128.092,4.0,https://api.spotify.com/v1/tracks/2tOVPOp7vjoq2nonNFQJO6,audio_features,spotify:track:2tOVPOp7vjoq2nonNFQJO6,0.0598
15,MaRLo   Jano, Haunted,unknown,0.00221,https://api.spotify.com/v1/audio-analysis/7ouMvXvjvzl3PbqXQWGNOZ,10A,0.499,225065.0,0.835,7ouMvXvjvzl3PbqXQWGNOZ,0.164,11.0,0.276,-4.127,0.0,0.0497,135.026,4.0,https://api.spotify.com/v1/tracks/7ouMvXvjvzl3PbqXQWGNOZ,audio_features,spotify:track:7ouMvXvjvzl3PbqXQWGNOZ,0.0758
16,Ferry Corsten, Beautiful ,MaRLo Remix,0.000456,https://api.spotify.com/v1/audio-analysis/0D1bl9UxUoaNFofBMmk5iP,10A,0.573,312914.0,0.886,0D1bl9UxUoaNFofBMmk5iP,0.033,11.0,0.102,-4.869,0.0,0.062,134.99,4.0,https://api.spotify.com/v1/tracks/0D1bl9UxUoaNFofBMmk5iP,audio_features,spotify:track:0D1bl9UxUoaNFofBMmk5iP,0.135
17,Underworld, Born Slippy ,ID Remix,0.00106,https://api.spotify.com/v1/audio-analysis/7xQYVjs4wZNdCwO0EeAWMC,6B,0.576,456480.0,0.953,7xQYVjs4wZNdCwO0EeAWMC,0.49,10.0,0.474,-8.968,1.0,0.0362,140.042,4.0,https://api.spotify.com/v1/tracks/7xQYVjs4wZNdCwO0EeAWMC,audio_features,spotify:track:7xQYVjs4wZNdCwO0EeAWMC,0.303
18,KhoMha, Dance Electric,unknown,0.0017,https://api.spotify.com/v1/audio-analysis/6whIeXdKBda50J3weA2fwP,10A,0.524,165049.0,0.983,6whIeXdKBda50J3weA2fwP,0.136,11.0,0.639,-5.687,0.0,0.0575,128.022,4.0,https://api.spotify.com/v1/tracks/6whIeXdKBda50J3weA2fwP,audio_features,spotify:track:6whIeXdKBda50J3weA2fwP,0.0669
19,Rank 1, L.E.D. There Be Light ,Slice N Dice Bootleg,0.0061,https://api.spotify.com/v1/audio-analysis/50RBSXjSa83gltauR6GxkF,11A,0.508,210572.0,0.914,50RBSXjSa83gltauR6GxkF,0.909,6.0,0.382,-5.592,0.0,0.0834,132.018,4.0,https://api.spotify.com/v1/tracks/50RBSXjSa83gltauR6GxkF,audio_features,spotify:track:50RBSXjSa83gltauR6GxkF,0.149
20,MaRLo, ID,unknown,0.814,https://api.spotify.com/v1/audio-analysis/1ea8vYKPfE7DhpolG4l5d3,4A,0.566,265040.0,0.587,1ea8vYKPfE7DhpolG4l5d3,0.0,5.0,0.0968,-11.499,0.0,0.0797,87.999,4.0,https://api.spotify.com/v1/tracks/1ea8vYKPfE7DhpolG4l5d3,audio_features,spotify:track:1ea8vYKPfE7DhpolG4l5d3,0.512
21,Jochen Miller, Brace Yourself ,Refurbished Mix,0.000394,https://api.spotify.com/v1/audio-analysis/5ePvXeNW7lGSY6IwOvzZMu,3A,0.666,170909.0,0.879,5ePvXeNW7lGSY6IwOvzZMu,0.0368,10.0,0.275,-6.917,0.0,0.0571,131.993,4.0,https://api.spotify.com/v1/tracks/5ePvXeNW7lGSY6IwOvzZMu,audio_features,spotify:track:5ePvXeNW7lGSY6IwOvzZMu,0.163
22,Dash Berlin   Roxanne Emery, Shelter ,MaRLo Remix,0.0022,https://api.spotify.com/v1/audio-analysis/2fhn4Cjr9qzoeQqpaafkLD,2B,0.6,201231.0,0.781,2fhn4Cjr9qzoeQqpaafkLD,0.00562,6.0,0.0359,-4.321,1.0,0.0409,129.972,4.0,https://api.spotify.com/v1/tracks/2fhn4Cjr9qzoeQqpaafkLD,audio_features,spotify:track:2fhn4Cjr9qzoeQqpaafkLD,0.235
23,Gareth Emery   Roxanne Emery, Soldier ,Live Vocals,0.0389,https://api.spotify.com/v1/audio-analysis/5oad3aS3i6PgHVefxZJsHO,12B,0.572,203434.0,0.687,5oad3aS3i6PgHVefxZJsHO,0.000482,4.0,0.589,-6.464,1.0,0.0647,128.027,4.0,https://api.spotify.com/v1/tracks/5oad3aS3i6PgHVefxZJsHO,audio_features,spotify:track:5oad3aS3i6PgHVefxZJsHO,0.0498
