,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Eek,A,unknown,0.11,https://api.spotify.com/v1/audio-analysis/1zqnTdvJTdbFgENH6Xw291,9B,0.8,357573.0,0.456,1zqnTdvJTdbFgENH6Xw291,0.0391,7.0,0.107,-9.295,1.0,0.109,136.408,4.0,https://api.spotify.com/v1/tracks/1zqnTdvJTdbFgENH6Xw291,audio_features,spotify:track:1zqnTdvJTdbFgENH6Xw291,0.634
1,Barrington Levy, Under Mi Sensi,unknown,0.0149,https://api.spotify.com/v1/audio-analysis/5ZFMzz6lcD6en3jPJkwsnD,9A,0.825,260000.0,0.333,5ZFMzz6lcD6en3jPJkwsnD,1.01e-06,4.0,0.16,-13.677,0.0,0.333,74.247,4.0,https://api.spotify.com/v1/tracks/5ZFMzz6lcD6en3jPJkwsnD,audio_features,spotify:track:5ZFMzz6lcD6en3jPJkwsnD,0.248
2,Super Cat, Permit Fi Gun,unknown,,,,,,,,,,,,,,,,,,,
3,Little Twitch, Devil Send You Come,unknown,0.0204,https://api.spotify.com/v1/audio-analysis/466xuhWbq1srBfgF3Gce0f,3A,0.83,216920.0,0.7,466xuhWbq1srBfgF3Gce0f,0.000248,10.0,0.336,-5.142,0.0,0.111,159.64,4.0,https://api.spotify.com/v1/tracks/466xuhWbq1srBfgF3Gce0f,audio_features,spotify:track:466xuhWbq1srBfgF3Gce0f,0.763
4,Althea Donna, Uptown Top Ranking,unknown,0.0477,https://api.spotify.com/v1/audio-analysis/34zWZOSpU2V1ab0PiZCcv4,9B,0.886,229160.0,0.522,34zWZOSpU2V1ab0PiZCcv4,0.00108,7.0,0.207,-7.971,1.0,0.173,82.439,4.0,https://api.spotify.com/v1/tracks/34zWZOSpU2V1ab0PiZCcv4,audio_features,spotify:track:34zWZOSpU2V1ab0PiZCcv4,0.79
5,Johnny Osbourne, Can't Find No Reason,unknown,,,,,,,,,,,,,,,,,,,
6,Tiger, Ram Dance Hall,unknown,0.387,https://api.spotify.com/v1/audio-analysis/6Nmr1RrG9mZcHqpr9NKrSY,11B,0.755,230000.0,0.711,6Nmr1RrG9mZcHqpr9NKrSY,0.0,9.0,0.313,-12.236,1.0,0.29,82.092,4.0,https://api.spotify.com/v1/tracks/6Nmr1RrG9mZcHqpr9NKrSY,audio_features,spotify:track:6Nmr1RrG9mZcHqpr9NKrSY,0.961
7,Yellowman, Zungguzungguguzungguzeng,unknown,0.0497,https://api.spotify.com/v1/audio-analysis/4czopM9AcLjrH4IunzRoBg,11A,0.75,387307.0,0.474,4czopM9AcLjrH4IunzRoBg,0.0013,6.0,0.0896,-10.641,0.0,0.243,164.889,4.0,https://api.spotify.com/v1/tracks/4czopM9AcLjrH4IunzRoBg,audio_features,spotify:track:4czopM9AcLjrH4IunzRoBg,0.425
8,Pinchers, Bandelero,unknown,0.0469,https://api.spotify.com/v1/audio-analysis/0j2hYbbYeadrfJgII5bhea,1B,0.715,213360.0,0.35,0j2hYbbYeadrfJgII5bhea,0.0,11.0,0.0724,-13.846,1.0,0.121,81.682,4.0,https://api.spotify.com/v1/tracks/0j2hYbbYeadrfJgII5bhea,audio_features,spotify:track:0j2hYbbYeadrfJgII5bhea,0.752
9,Louie Culture, Rudie Don't Fear,unknown,0.135,https://api.spotify.com/v1/audio-analysis/6nT793gt3i4EszeOZMYLR4,6B,0.777,223160.0,0.352,6nT793gt3i4EszeOZMYLR4,0.0,10.0,0.0599,-12.371,1.0,0.364,171.749,4.0,https://api.spotify.com/v1/tracks/6nT793gt3i4EszeOZMYLR4,audio_features,spotify:track:6nT793gt3i4EszeOZMYLR4,0.834
10,w/ Dennis Brown, Stop The Fussing And Fighting,unknown,0.000658,https://api.spotify.com/v1/audio-analysis/56aJOqS5bq11MDwQNrAZds,2B,0.837,257480.0,0.425,56aJOqS5bq11MDwQNrAZds,2.79e-06,6.0,0.0771,-10.234,1.0,0.136,136.862,4.0,https://api.spotify.com/v1/tracks/56aJOqS5bq11MDwQNrAZds,audio_features,spotify:track:56aJOqS5bq11MDwQNrAZds,0.624
11,Mega Banton, Sound Boy Killing,unknown,0.0208,https://api.spotify.com/v1/audio-analysis/3sbmfsbvJdAEIEYbISNUUR,4B,0.699,212293.0,0.491,3sbmfsbvJdAEIEYbISNUUR,0.0,8.0,0.286,-12.77,1.0,0.288,86.391,4.0,https://api.spotify.com/v1/tracks/3sbmfsbvJdAEIEYbISNUUR,audio_features,spotify:track:3sbmfsbvJdAEIEYbISNUUR,0.865
12,Johnny Osbourne, No Ice Cream Sound ,Major Lazer Dub,0.00555,https://api.spotify.com/v1/audio-analysis/1jgDgjAPMARWlkOYlWFuMe,10B,0.742,211267.0,0.32,1jgDgjAPMARWlkOYlWFuMe,0.0,2.0,0.219,-13.658,1.0,0.371,172.737,4.0,https://api.spotify.com/v1/tracks/1jgDgjAPMARWlkOYlWFuMe,audio_features,spotify:track:1jgDgjAPMARWlkOYlWFuMe,0.663
13,Dawn Penn, You Don't Love Me ,"No, No, No",0.0122,https://api.spotify.com/v1/audio-analysis/0INtJm8gCJKtNaAYQNVlpZ,9B,0.811,277893.0,0.428,0INtJm8gCJKtNaAYQNVlpZ,0.317,7.0,0.344,-10.728,1.0,0.221,80.962,4.0,https://api.spotify.com/v1/tracks/0INtJm8gCJKtNaAYQNVlpZ,audio_features,spotify:track:0INtJm8gCJKtNaAYQNVlpZ,0.653
14,Sister Nancy, Bam Bam,unknown,0.825,https://api.spotify.com/v1/audio-analysis/7cKLOenzViwzoHJWciMIrj,7B,0.722,196507.0,0.605,7cKLOenzViwzoHJWciMIrj,0.0178,5.0,0.248,-6.07,1.0,0.153,165.998,4.0,https://api.spotify.com/v1/tracks/7cKLOenzViwzoHJWciMIrj,audio_features,spotify:track:7cKLOenzViwzoHJWciMIrj,0.709
15,Tenor Saw, Ring The Alarm,unknown,0.227,https://api.spotify.com/v1/audio-analysis/1REJRpQNstNXaPtWSrsHa3,2B,0.666,188827.0,0.582,1REJRpQNstNXaPtWSrsHa3,0.0,6.0,0.0945,-6.131,1.0,0.209,170.915,4.0,https://api.spotify.com/v1/tracks/1REJRpQNstNXaPtWSrsHa3,audio_features,spotify:track:1REJRpQNstNXaPtWSrsHa3,0.733
16,Nicodemus, Bonanza,unknown,0.0648,https://api.spotify.com/v1/audio-analysis/1aX4Cuga9mRo2YPR4ZvAjQ,1B,0.828,221267.0,0.364,1aX4Cuga9mRo2YPR4ZvAjQ,0.0,11.0,0.0799,-15.552,1.0,0.435,170.204,4.0,https://api.spotify.com/v1/tracks/1aX4Cuga9mRo2YPR4ZvAjQ,audio_features,spotify:track:1aX4Cuga9mRo2YPR4ZvAjQ,0.899
17,Bounty Killer," Roots, Reality And Culture",unknown,0.0617,https://api.spotify.com/v1/audio-analysis/6icy40J9wTPmaq2YuAdRkD,10B,0.805,214107.0,0.614,6icy40J9wTPmaq2YuAdRkD,0.0,2.0,0.0935,-4.817,1.0,0.339,85.725,4.0,https://api.spotify.com/v1/tracks/6icy40J9wTPmaq2YuAdRkD,audio_features,spotify:track:6icy40J9wTPmaq2YuAdRkD,0.791
18,Reggie Stepper, Modelling,unknown,0.0204,https://api.spotify.com/v1/audio-analysis/68QvbVvT7ryrE9TzMGFBWW,10A,0.787,220427.0,0.4,68QvbVvT7ryrE9TzMGFBWW,9.14e-05,11.0,0.0835,-15.559,0.0,0.412,172.787,4.0,https://api.spotify.com/v1/tracks/68QvbVvT7ryrE9TzMGFBWW,audio_features,spotify:track:68QvbVvT7ryrE9TzMGFBWW,0.817
19,Tiger, Dance Hall Vibes,unknown,0.0977,https://api.spotify.com/v1/audio-analysis/5sm8qEi7CLXD0W4BCTOX4w,3A,0.846,212000.0,0.689,5sm8qEi7CLXD0W4BCTOX4w,0.0,10.0,0.276,-10.904,0.0,0.111,171.722,4.0,https://api.spotify.com/v1/tracks/5sm8qEi7CLXD0W4BCTOX4w,audio_features,spotify:track:5sm8qEi7CLXD0W4BCTOX4w,0.969
20,Johnny P, Hold It Down,unknown,0.35,https://api.spotify.com/v1/audio-analysis/2mnhEV4v4ZkpB8lx8x7Nyc,6B,0.843,225267.0,0.565,2mnhEV4v4ZkpB8lx8x7Nyc,0.0,10.0,0.248,-11.246,1.0,0.278,171.741,4.0,https://api.spotify.com/v1/tracks/2mnhEV4v4ZkpB8lx8x7Nyc,audio_features,spotify:track:2mnhEV4v4ZkpB8lx8x7Nyc,0.95
21,Cocoa Tea, Why Turn Down The Sound,unknown,0.0491,https://api.spotify.com/v1/audio-analysis/5LtPduqKbS5CLU7i10MACL,6B,0.881,188573.0,0.669,5LtPduqKbS5CLU7i10MACL,0.0,10.0,0.0591,-6.422,1.0,0.0555,85.933,4.0,https://api.spotify.com/v1/tracks/5LtPduqKbS5CLU7i10MACL,audio_features,spotify:track:5LtPduqKbS5CLU7i10MACL,0.913
22,Shabba Ranks   Home T Cocoa Tea, Pirates Anthem,unknown,0.00112,https://api.spotify.com/v1/audio-analysis/6QBTyLN6Rn1XNDsPmdOylE,9B,0.68,347933.0,0.666,6QBTyLN6Rn1XNDsPmdOylE,1.6e-06,7.0,0.106,-11.069,1.0,0.0869,171.466,4.0,https://api.spotify.com/v1/tracks/6QBTyLN6Rn1XNDsPmdOylE,audio_features,spotify:track:6QBTyLN6Rn1XNDsPmdOylE,0.77
23,Buju Banton, Champion,unknown,0.092,https://api.spotify.com/v1/audio-analysis/1UFOUQ1Szs3fJWWWQDOreB,9A,0.791,237533.0,0.599,1UFOUQ1Szs3fJWWWQDOreB,0.0,4.0,0.0863,-9.837,0.0,0.326,180.078,4.0,https://api.spotify.com/v1/tracks/1UFOUQ1Szs3fJWWWQDOreB,audio_features,spotify:track:1UFOUQ1Szs3fJWWWQDOreB,0.545
24,Buju Banton   Nadine Sutherland, Wicked Dickie,unknown,0.174,https://api.spotify.com/v1/audio-analysis/1bYynmgkifuEq9VgpAZt4y,3B,0.772,237200.0,0.918,1bYynmgkifuEq9VgpAZt4y,0.0,1.0,0.314,-5.186,1.0,0.082,91.622,4.0,https://api.spotify.com/v1/tracks/1bYynmgkifuEq9VgpAZt4y,audio_features,spotify:track:1bYynmgkifuEq9VgpAZt4y,0.789
25,Snow   Nadine Sutherland Beenie Man Buju Banton Terror Fabulous Louie Culture Kulcha Knox, Anything For You,unknown,0.175,https://api.spotify.com/v1/audio-analysis/2BrU0tKjZXXSFnEgpg8TDv,2B,0.714,269773.0,0.519,2BrU0tKjZXXSFnEgpg8TDv,0.0,6.0,0.0892,-8.175,1.0,0.13,170.072,4.0,https://api.spotify.com/v1/tracks/2BrU0tKjZXXSFnEgpg8TDv,audio_features,spotify:track:2BrU0tKjZXXSFnEgpg8TDv,0.834
26,Terror Fabulous Nadine Sutherland, Action,unknown,0.187,https://api.spotify.com/v1/audio-analysis/42F0eI7tFI8Xez4iqXObBt,11A,0.62,201747.0,0.477,42F0eI7tFI8Xez4iqXObBt,0.0,6.0,0.0522,-12.277,0.0,0.169,123.876,5.0,https://api.spotify.com/v1/tracks/42F0eI7tFI8Xez4iqXObBt,audio_features,spotify:track:42F0eI7tFI8Xez4iqXObBt,0.757
27,Buju Banton   Carol González, No Second Class Love,unknown,,,,,,,,,,,,,,,,,,,
28,Sean Paul, Infiltrate,unknown,0.667,https://api.spotify.com/v1/audio-analysis/0ru8bc0XnKjUL2O1Fl1k7a,10A,0.732,209467.0,0.752,0ru8bc0XnKjUL2O1Fl1k7a,0.0,11.0,0.525,-7.836,0.0,0.382,88.868,4.0,https://api.spotify.com/v1/tracks/0ru8bc0XnKjUL2O1Fl1k7a,audio_features,spotify:track:0ru8bc0XnKjUL2O1Fl1k7a,0.593
29,Beenie Man, Who Am I,unknown,0.211,https://api.spotify.com/v1/audio-analysis/4PaV16f3DUo9QxbQMUzMKH,1B,0.628,196000.0,0.753,4PaV16f3DUo9QxbQMUzMKH,0.0,11.0,0.12,-8.778,1.0,0.468,86.194,4.0,https://api.spotify.com/v1/tracks/4PaV16f3DUo9QxbQMUzMKH,audio_features,spotify:track:4PaV16f3DUo9QxbQMUzMKH,0.559
