,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Oliver Heldens, I Don't Wanna Go Home ,Lenno Remix,0.0689,https://api.spotify.com/v1/audio-analysis/1FKZLBiIxmnnYqGorq4SYL,9B,0.716,282723.0,0.79,1FKZLBiIxmnnYqGorq4SYL,0.67,7.0,0.0358,-7.161,1.0,0.0621,117.99,4.0,https://api.spotify.com/v1/tracks/1FKZLBiIxmnnYqGorq4SYL,audio_features,spotify:track:1FKZLBiIxmnnYqGorq4SYL,0.56
1,Offaiah, Run,unknown,0.0227,https://api.spotify.com/v1/audio-analysis/5FMWSXfAfHAKwzXDekfEua,9B,0.707,170820.0,0.954,5FMWSXfAfHAKwzXDekfEua,1.29e-06,7.0,0.214,-4.257,1.0,0.145,123.975,4.0,https://api.spotify.com/v1/tracks/5FMWSXfAfHAKwzXDekfEua,audio_features,spotify:track:5FMWSXfAfHAKwzXDekfEua,0.746
2,Throttle   LunchMoney Lewis Aston Merrygold, Money Maker ,Mike Williams Remix,0.0187,https://api.spotify.com/v1/audio-analysis/2ASbQx5r6GCxzYDDkoOq7E,4A,0.767,227010.0,0.834,2ASbQx5r6GCxzYDDkoOq7E,0.0897,5.0,0.0323,-3.801,0.0,0.09,127.974,4.0,https://api.spotify.com/v1/tracks/2ASbQx5r6GCxzYDDkoOq7E,audio_features,spotify:track:2ASbQx5r6GCxzYDDkoOq7E,0.685
3,Fatesky Meysen, Get That,unknown,0.0299,https://api.spotify.com/v1/audio-analysis/24hlC72GB6aZChnTMJR5cV,8A,0.799,221540.0,0.98,24hlC72GB6aZChnTMJR5cV,0.886,9.0,0.0945,-4.378,0.0,0.0712,125.007,4.0,https://api.spotify.com/v1/tracks/24hlC72GB6aZChnTMJR5cV,audio_features,spotify:track:24hlC72GB6aZChnTMJR5cV,0.712
4,Lucas Steve   Pep Rash, Feel Alive,unknown,0.0218,https://api.spotify.com/v1/audio-analysis/15J54YXr8wiW7P6gj7g552,10A,0.468,166667.0,0.878,15J54YXr8wiW7P6gj7g552,0.767,11.0,0.176,-5.866,0.0,0.116,126.059,4.0,https://api.spotify.com/v1/tracks/15J54YXr8wiW7P6gj7g552,audio_features,spotify:track:15J54YXr8wiW7P6gj7g552,0.104
5,DJ Henry X   Wizkid, Like This ,Airietja & Sonny Bass Remix,0.261,https://api.spotify.com/v1/audio-analysis/3ChwoluCXxL8RUkX5pUtnc,5A,0.499,225000.0,0.751,3ChwoluCXxL8RUkX5pUtnc,6.11e-05,0.0,0.154,-3.454,0.0,0.107,116.491,1.0,https://api.spotify.com/v1/tracks/3ChwoluCXxL8RUkX5pUtnc,audio_features,spotify:track:3ChwoluCXxL8RUkX5pUtnc,0.697
6,Mike Williams   Matluck, Another Night,unknown,0.0717,https://api.spotify.com/v1/audio-analysis/4lvAq5HY90VeIayrOwag8M,5A,0.638,212068.0,0.806,4lvAq5HY90VeIayrOwag8M,0.0,0.0,0.135,-4.384,0.0,0.0477,114.955,4.0,https://api.spotify.com/v1/tracks/4lvAq5HY90VeIayrOwag8M,audio_features,spotify:track:4lvAq5HY90VeIayrOwag8M,0.444
7,Dastic   CADE, Let Me Love You,unknown,0.166,https://api.spotify.com/v1/audio-analysis/6FsE5dDerdwQxxC9fsjL8A,6A,0.553,203724.0,0.795,6FsE5dDerdwQxxC9fsjL8A,1.04e-06,7.0,0.0667,-6.641,0.0,0.0763,103.982,4.0,https://api.spotify.com/v1/tracks/6FsE5dDerdwQxxC9fsjL8A,audio_features,spotify:track:6FsE5dDerdwQxxC9fsjL8A,0.496
8,Janieck, Feel The Love ,Mike Williams Remix,0.015,https://api.spotify.com/v1/audio-analysis/4a37PA0L5WLp4HHunFu5nW,2A,0.703,229663.0,0.903,4a37PA0L5WLp4HHunFu5nW,0.0459,3.0,0.0405,-4.538,0.0,0.0471,128.037,4.0,https://api.spotify.com/v1/tracks/4a37PA0L5WLp4HHunFu5nW,audio_features,spotify:track:4a37PA0L5WLp4HHunFu5nW,0.445
9,Robin Aristo, Move It Up,unknown,0.0368,https://api.spotify.com/v1/audio-analysis/7DCEdKdUEVLz9ShpFqfpXL,7B,0.824,255060.0,0.936,7DCEdKdUEVLz9ShpFqfpXL,0.621,5.0,0.245,-3.535,1.0,0.296,128.042,4.0,https://api.spotify.com/v1/tracks/7DCEdKdUEVLz9ShpFqfpXL,audio_features,spotify:track:7DCEdKdUEVLz9ShpFqfpXL,0.462
10,Bart B More, Chu Want Dat,unknown,0.0773,https://api.spotify.com/v1/audio-analysis/0YOOIFLHIstNsOu6bJtj3r,10A,0.969,256328.0,0.622,0YOOIFLHIstNsOu6bJtj3r,0.871,11.0,0.0815,-6.321,0.0,0.265,124.267,4.0,https://api.spotify.com/v1/tracks/0YOOIFLHIstNsOu6bJtj3r,audio_features,spotify:track:0YOOIFLHIstNsOu6bJtj3r,0.486
11,Tiësto Oliver Heldens   Nathalie La Rose, The Right Song ,Wombass,0.459,https://api.spotify.com/v1/audio-analysis/59yxjfkqhOPacjiolBHQDC,4B,0.546,205440.0,0.894,59yxjfkqhOPacjiolBHQDC,0.000106,8.0,0.322,-3.56,1.0,0.0898,125.031,4.0,https://api.spotify.com/v1/tracks/59yxjfkqhOPacjiolBHQDC,audio_features,spotify:track:59yxjfkqhOPacjiolBHQDC,0.387
12,One Direction, Drag Me Down ,Mike Williams Bootleg,0.109,https://api.spotify.com/v1/audio-analysis/2K87XMYnUMqLcX3zvtAF4G,5A,0.73,192120.0,0.703,2K87XMYnUMqLcX3zvtAF4G,0.0,0.0,0.0657,-5.672,0.0,0.0369,138.113,4.0,https://api.spotify.com/v1/tracks/2K87XMYnUMqLcX3zvtAF4G,audio_features,spotify:track:2K87XMYnUMqLcX3zvtAF4G,0.595
13,Justin Timberlake   The Voyagers, Can't Stop The Force,unknown,,,,,,,,,,,,,,,,,,,
14,Mike Williams, Bambini,unknown,0.000763,https://api.spotify.com/v1/audio-analysis/3p3XKoz87Ihxhqw6Uj9fr9,3B,0.477,162187.0,0.916,3p3XKoz87Ihxhqw6Uj9fr9,0.684,1.0,0.124,-4.94,1.0,0.037,127.99,4.0,https://api.spotify.com/v1/tracks/3p3XKoz87Ihxhqw6Uj9fr9,audio_features,spotify:track:3p3XKoz87Ihxhqw6Uj9fr9,0.112
15,Ed Sheeran, Castle On The Hill ,Throttle Remix,0.0412,https://api.spotify.com/v1/audio-analysis/0TNouIVlNVAU1N2xDPVvbY,10B,0.585,220880.0,0.86,0TNouIVlNVAU1N2xDPVvbY,0.0,2.0,0.372,-4.023,1.0,0.0539,137.993,4.0,https://api.spotify.com/v1/tracks/0TNouIVlNVAU1N2xDPVvbY,audio_features,spotify:track:0TNouIVlNVAU1N2xDPVvbY,0.204
